sku,vendor,ptype,price,lb_loja,lb_fornecedor,usd_lb,teto_lb,handle,variant_id,product_id
MOEN-900-002,Moen,Leak Detection Valves,1296.21,0.6,,2160.4,43.68,flo-by-moen-1-25-in-water-leak-detector-with-automatic-water-shut-off-valve,44350979178599,7715580674151
GROH-31.380DC0,Grohe,Semi-Pro Faucets,1289.41,11.1,,116.2,43.45,k7-medium-single-handle-semi-pro-dual-spray-kitchen-faucet-1-75-gpm-in-grohe-supersteel,44350725914727,7715432792167
MILW-2941-21,Milwaukee Tools,Refrigeration Tools,1284.32,5.5,,233.5,43.28,m18-fuel-5-cfm-vacuum-pump-kit,44350915903591,7715536961639
COPT-100-LS,Mueller Streamline,Type L Soft,1277.4,39.3,,32.5,43.05,1-x-60-copper-tube-l-soft,44351113986151,7715645292647
MLWV-2885-M-300,Milwaukee Valve,Gate Valves,1276.85,1.44,,886.7,43.03,3-flange-x-flange-cast-iron-gate-valve-125-swp-200-wog-os-y-stem-bronze-seat-solid-wedge-disc,44350949425255,7715563012199
WATT-T063235,Watts,Backflow Preventers,1268.54,3.0,,422.8,42.75,2-lead-free-double-check-valve-backflow-preventer-assembly-quarter-turn-shutoff-single-top-entry-with-freeze-stop,44353489961063,7716836507751
SANI-081,SANIFLO,Drain & Condensate Pumps,1266.07,20.5,,61.8,42.67,saniaccess-2-half-bathroom-macerating-pump-1-2hp-2pcs-install-with-any-saniflo-bowls-tank,44351364497511,7715766075495
MPEX-3811000,MrPEX Systems,Manifolds (Radiant Heating),1262.55,0.8,,1578.2,42.55,10-loop-composite-manifold-valve-flowmeter-complete-kit,44351004770407,7715600466023
TACO-0013-VDTF3,Taco Comfort Solutions,Variable Speed Circulators,1262.14,2.19,,576.3,42.53,0013-vdt-series-variable-speed-delta-t-diff-temp-cast-iron-integral-flow-check-in-box-115v-60-1-flanged-rotated,44353377599591,7716733648999
MILW-MXFXC608,Milwaukee Tools,MX Batteries,1251.78,0.73,,1714.8,42.18,mx-fuel-redlithium-forge-xc8-0-battery-pack,44350948180071,7715561930855
MLWV-CL223E-D3,Milwaukee Valve,Butterfly Valves,1242.66,1.8,,690.4,41.88,3-lug-pattern-cast-iron-butterfly-valve-200-psi-epdm-seat-bronze-disc,44350952964199,7715565863015
TACO-0034E-F2,Taco Comfort Solutions,Variable Speed Circulators,1241.61,2.19,,566.9,41.84,0034ee-series-vm3450-hd1-rc2w00-cast-iron-ecm-high-efficiency-variable-speed-flanged-rotated-analog-115-208-230-50-60-hz,44353378058343,7716734107751
GVLF-70-800-EP-PNTD,Gruvlok,Gruvlok Fittings,1240.49,0.52,,2385.6,41.8,8-slidelok-coupling-painted-gr-x-gr-epdm-green-red,44350736203879,7715441410151
HONE-MX128LF/U,Resideo,Mixing Valve - High Flow,1238.28,6.0,,206.4,41.73,1-1-4-in-npt-mixing-valve-lf,44351319375975,7715739992167
SLOA-3315010BT,Sloan,Hands-Free Faucets,1229.84,5.0,,246.0,41.45,optima-sensor-faucet-ebf85-4-bat-cp-0-5-gpm-mlm-fct-commercial-grade-ada-compliant-electronic-sensor-activated-brass-hand-washing-faucet-with-the-following-features-single-hole-in-polished-chrome,44351420366951,7715794452583
GVLF-473-200.075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1227.4,0.34,,3610.0,41.36,2x3-4-tee-316-stainless-steel-press,44353402437735,7716757766247
GVLF-478-200.075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1227.4,0.34,,3610.0,41.36,2x3-4-tee-female-316-stainless-steel-press,44353403846759,7716759175271
MPEX-1320100,MrPEX Systems,PEX-AL-PEX Tubing,1217.3,0.94,,1295.0,41.02,mrpex-1-2-x-1000-pex-al-pex-tubing-silver-1320100,44351001133159,7715597418599
WATT-0154820,Watts,Relief Valves,1210.93,2.32,,522.0,40.81,1-bronze-automatic-reseating-temperature-and-pressure-relief-valve-125-psi-210-degree-f-test-lever-3-thermostat,44353487929447,7716834967655
STIE-239222,Stiebel Eltron,Tankless Water Heaters - Electric,1208.31,17.8,,67.9,40.72,tempra-24-tankless-whole-house-electric-water-heater,44353372880999,7716729225319
GVLF-473-200.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1207.29,0.5,,2414.6,40.69,2x1-2-tee-316-stainless-steel-press,44353402404967,7716757733479
GVLF-478-200.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1207.29,0.34,,3550.9,40.69,2x1-2-tee-female-316-stainless-steel-press,44353403813991,7716759142503
CTSF-BF008,CTS Fabrication,Copper Sweat Fittings,1206.87,0.39,,3094.5,40.67,8-sweat-copper-coated-4-bolt-flange-adapter-150-lb,44350509383783,7715343892583
WOOD-B22P-6,"Woodford Manufacturing Company, LLC",Hot & Cold Box Hydrants,1199.75,3.0,,399.9,40.43,model-b22-hot-cold-box-hydrants-fip-mip-1-2-3-4-connection-wall-depth-6,44353497137255,7716843094119
COPT-075-KS,Mueller Streamline,Type K Soft,1195.8,38.46,,31.1,40.3,3-4-x-60-copper-tube-k-soft,44351113592935,7715644899431
MILW-2823-20,Milwaukee Tools,Lawn Mowers,1191.09,0.73,,1631.6,40.14,m18-fuel-21-self-propelled-dual-battery-mower,44350915149927,7715536207975
MPEX-3251200,MrPEX Systems,Manifolds (Radiant Heating),1189.72,0.8,,1487.1,40.09,12-branches-1-1-4-stainless-steel-manifold-assembly-w-flowmeter-and-ball-valve,44351003557991,7715599548519
IBCT-P-158B,IBC,IBC Parts,1187.25,2.19,,542.1,40.01,fan-replacement-kit-sl-30-175-45-260,44350819106919,7715476766823
