Handle,Variant SKU,vendor_ATUAL,vendor_SUGERIDO,motivo,productType
1-2-x-1-4-black-iron-bushing,BLIF-050.025-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-x-1-4-black-iron-coupling,BLIF-050.025-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-x-3-8-black-iron-elbow-90,BLIF-050.038-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-x-3-8-black-iron-bushing,BLIF-050.038-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-x-3-8-black-iron-coupling,BLIF-050.038-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-x-1-2-x-3-4-black-iron-tee,BLIF-050.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-x-1-2-x-1-black-iron-tee,BLIF-050.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-elbow-45,BLIF-075-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-elbow-90,BLIF-075-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-cap,BLIF-075-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-coupling,BLIF-075-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-floor-flange,BLIF-075-FFLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-plug,BLIF-075-PLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-elbow-45-street,BLIF-075-ST45,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-elbow-90-street,BLIF-075-ST90,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-tee,BLIF-075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-black-iron-union,BLIF-075-UNI,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-1-8-black-iron-bushing,BLIF-075.018-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-1-4-black-iron-bushing,BLIF-075.025-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-3-8-black-iron-bushing,BLIF-075.038-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-1-2-black-iron-elbow-90,BLIF-075.050-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-1-2-black-iron-bushing,BLIF-075.050-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-1-2-black-iron-coupling,BLIF-075.050-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-3-4-x-1-2-black-iron-tee,BLIF-075.050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-1-2-x-1-2-black-iron-tee,BLIF-075.050.050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-1-2-x-3-4-black-iron-tee,BLIF-075.050.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-4-x-3-4-x-1-black-iron-tee,BLIF-075.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-elbow-45,BLIF-100-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-elbow-90,BLIF-100-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-cap,BLIF-100-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-coupling,BLIF-100-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-floor-flange,BLIF-100-FFLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-plug,BLIF-100-PLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-elbow-45-street,BLIF-100-ST45,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-elbow-90-street,BLIF-100-ST90,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-tee,BLIF-100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-black-iron-union,BLIF-100-UNI,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-4-black-iron-coupling,BLIF-100.025-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-3-8-black-iron-bushing,BLIF-100.038-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-3-8-black-iron-coupling,BLIF-100.038-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-2-black-iron-elbow-90,BLIF-100.050-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-2-black-iron-bushing,BLIF-100.050-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-2-black-iron-coupling,BLIF-100.050-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-x-1-2-black-iron-tee,BLIF-100.050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-2-x-1-2-black-iron-tee,BLIF-100.050.050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-2-x-3-4-black-iron-tee,BLIF-100.050.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-2-x-1-black-iron-tee,BLIF-100.050.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-3-4-black-iron-elbow-90,BLIF-100.075-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-3-4-black-iron-bushing,BLIF-100.075-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-3-4-black-iron-coupling,BLIF-100.075-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-x-3-4-black-iron-tee,BLIF-100.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-3-4-x-1-2-black-iron-tee,BLIF-100.075.050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-3-4-x-3-4-black-iron-tee,BLIF-100.075.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-3-4-x-1-black-iron-tee,BLIF-100.075.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-x-1-x-1-1-8-black-iron-tee,BLIF-100.125-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-elbow-45,BLIF-125-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-elbow-90,BLIF-125-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-cap,BLIF-125-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-coupling,BLIF-125-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-floor-flange,BLIF-125-FFLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-plug,BLIF-125-PLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-elbow-45-street,BLIF-125-ST45,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-elbow-90-street,BLIF-125-ST90,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-tee,BLIF-125-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-black-iron-union,BLIF-125-UNI,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-2-black-iron-elbow-90,BLIF-125.050-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-2-black-iron-bushing,BLIF-125.050-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-2-black-iron-coupling,BLIF-125.050-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-1-4-x-1-2-black-iron-tee,BLIF-125.050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-2-x-1-black-iron-tee,BLIF-125.050.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-2-x-1-1-4-black-iron-tee,BLIF-125.050.125-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-3-4-black-iron-elbow-90,BLIF-125.075-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-3-4-black-iron-bushing,BLIF-125.075-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-3-4-black-iron-coupling,BLIF-125.075-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-1-4-x-3-4-black-iron-tee,BLIF-125.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-3-4-x-3-4-black-iron-tee,BLIF-125.075.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-3-4-x-1-black-iron-tee,BLIF-125.075.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-3-4-x-1-1-4-black-iron-tee,BLIF-125.075.125-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-black-iron-elbow-90,BLIF-125.100-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-black-iron-bushing,BLIF-125.100-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-black-iron-coupling,BLIF-125.100-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-1-4-x-1-black-iron-tee,BLIF-125.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-x-1-2-black-iron-tee,BLIF-125.100.050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-x-3-4-black-iron-tee,BLIF-125.100.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-x-1-black-iron-tee,BLIF-125.100.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-4-x-1-x-1-1-4-black-iron-tee,BLIF-125.100.125-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-elbow-45,BLIF-150-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-elbow-90,BLIF-150-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-cap,BLIF-150-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-coupling,BLIF-150-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-floor-flange,BLIF-150-FFLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-plug,BLIF-150-PLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-elbow-90-street,BLIF-150-ST90,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-tee,BLIF-150-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-black-iron-union,BLIF-150-UNI,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-2-black-iron-elbow-90,BLIF-150.050-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-2-black-iron-bushing,BLIF-150.050-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-2-black-iron-coupling,BLIF-150.050-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-2-x-1-2-black-iron-tee,BLIF-150.050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-3-4-black-iron-elbow-90,BLIF-150.075-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-3-4-black-iron-bushing,BLIF-150.075-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-3-4-black-iron-coupling,BLIF-150.075-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-2-x-3-4-black-iron-tee,BLIF-150.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-3-4-x-1-1-2-black-iron-tee,BLIF-150.075.150-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-black-iron-elbow-90,BLIF-150.100-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-black-iron-bushing,BLIF-150.100-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-black-iron-coupling,BLIF-150.100-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-2-x-1-black-iron-tee,BLIF-150.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-x-1-black-iron-tee,BLIF-150.100.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-4-black-iron-elbow-90,BLIF-150.125-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-4-black-iron-bushing,BLIF-150.125-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-4-black-iron-coupling,BLIF-150.125-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-2-x-1-1-4-black-iron-tee,BLIF-150.125-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-4-x-3-4-black-iron-tee,BLIF-150.125.075-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-4-x-1-black-iron-tee,BLIF-150.125.100-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-4-x-1-1-4-black-iron-tee,BLIF-150.125.125-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-1-2-x-1-1-4-x-1-1-2-black-iron-tee,BLIF-150.125.150-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
2-black-iron-elbow-45,BLIF-200-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
2-black-iron-elbow-90,BLIF-200-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
2-black-iron-cap,BLIF-200-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
2-black-iron-coupling,BLIF-200-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
2-black-iron-floor-flange,BLIF-200-FFLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
