handle,fonte,produto_L,produto_W,produto_H,caixa_L,caixa_W,caixa_H,volume_in3,ft3,peso_dimensional_lb
2-position-low-volt-actuator-for-vc-series-valve-hone-vc8110zz32-u,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
2-position-low-volt-actuator-for-vc-series-with-end-switch,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
2-position-low-volt-actuator-for-vc-series-with-end-switch-hone-vc8714zz11-u,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
2-x-4-in-wall-carrier-and-tank-for-toilet,L/W/H,4.0,24.0,48.0,6.0,26.0,50.0,7800.0,4.51,56.12
20-in-x-25-in-merv-13-charged-media-filter,Dimensions,20.0,25.0,4.0,22.0,27.0,6.0,3564.0,2.06,25.64
20-in-x-25-in-x-5-in-popup-replacement-filter-for-space-guard-2200,Dimensions,20.25,24.25,5.88,22.25,26.25,7.88,4602.4,2.66,33.11
20-in-x-30-in-x-4-in-return-grille-media-air-filter,Dimensions,20.0,30.0,3.0,22.0,32.0,5.0,3520.0,2.04,25.32
208-240-vac-general-purpose-relay-with-dpdt-switching,Dimensions,1.88,2.16,2.38,3.88,4.16,4.38,70.7,0.04,0.51
20x18-wall-mount-high-back-sink-lavatory-4-centers-white-vitreous-china,L/W/H,23.0,11.0,19.0,25.0,13.0,21.0,6825.0,3.95,49.1
24-shower-slide-bar-kit-3-sprays-1-75-gpm-in-grohe-brushed-nickel,L/W/H,5.0,5.0,24.0,7.0,7.0,26.0,1274.0,0.74,9.17
24-v-spst-switching-electric-heater-relay,Dimensions,3.88,2.81,1.5,5.88,4.81,3.5,99.0,0.06,0.71
24-v-spst-switching-electric-heater-relay-hone-r841d1036-u,Dimensions,3.88,2.81,1.5,5.88,4.81,3.5,99.0,0.06,0.71
24-vac-1-2-in-flare-n-c-zone-valve,Dimensions,4.0,4.69,2.38,6.0,6.69,4.38,175.8,0.1,1.26
24-vac-1-2-in-invert-flare-n-c-quickfit-zone-valve-with-18-in-lead-wires,Dimensions,4.0,3.62,2.38,6.0,5.62,4.38,147.7,0.09,1.06
24-vac-1-2-in-npt-n-c-zone-valve,Dimensions,4.0,3.0,2.38,6.0,5.0,4.38,131.4,0.08,0.95
24-vac-1-2-in-npt-nc-quickfit-zone-valve,Dimensions,4.88,3.0,2.38,6.88,5.0,4.38,150.7,0.09,1.08
24-vac-1-2-in-sweat-n-c-quickfit-zone-valve,Dimensions,4.62,3.5,2.38,6.62,5.5,4.38,159.5,0.09,1.15
24-vac-1-2-in-sweat-n-c-zone-valve,Dimensions,4.0,3.5,2.38,6.0,5.5,4.38,144.5,0.08,1.04
24-vac-1-2-in-sweat-n-c-zone-valve-with-18-in-lead-wires,Dimensions,4.0,3.0,2.38,6.0,5.0,4.38,131.4,0.08,0.95
24-vac-1-2-in-sweat-n-o-zone-valve,Dimensions,4.0,3.5,2.38,6.0,5.5,4.38,144.5,0.08,1.04
24-vac-1-in-npt-n-c-quickfit-zone-valve-with-18-in-lead-wires,Dimensions,4.0,3.0,2.38,6.0,5.0,4.38,131.4,0.08,0.95
24-vac-1-in-sweat-n-c-quickfit-zone-valve-with-18-in-lead-wires,Dimensions,4.38,3.5,2.38,6.38,5.5,4.38,153.7,0.09,1.11
24-vac-1-in-sweat-n-c-zone-valve,Dimensions,4.0,4.0,2.38,6.0,6.0,4.38,157.7,0.09,1.13
24-vac-1-in-sweat-n-c-zone-valve-with-18-in-lead-wires,Dimensions,4.0,3.69,2.38,6.0,5.69,4.38,149.5,0.09,1.08
24-vac-3-4-in-npt-n-c-quickfit-zone-valve,Dimensions,4.88,3.0,2.38,6.88,5.0,4.38,150.7,0.09,1.08
24-vac-3-4-in-npt-n-c-quickfit-zone-valve-with-18-in-lead-wires,Dimensions,4.0,3.0,2.38,6.0,5.0,4.38,131.4,0.08,0.95
24-vac-3-4-in-pro-press-zone-valve-with-18-in-lead-wire,Dimensions,4.0,2.38,6.0,6.0,4.38,8.0,210.2,0.12,1.51
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve,Dimensions,4.38,3.5,2.38,6.38,5.5,4.38,153.7,0.09,1.11
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve-hone-v8043f5036-u,Dimensions,4.38,3.5,2.38,6.38,5.5,4.38,153.7,0.09,1.11
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve-hone-v8044a1044-u,Dimensions,4.81,3.5,2.38,6.81,5.5,4.38,164.1,0.09,1.18
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve-with-18-in-lead-wires,Dimensions,4.38,3.5,2.38,6.38,5.5,4.38,153.7,0.09,1.11
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve-with-18-in-lead-wires-hone-v8043e5061-u,Dimensions,4.38,3.5,2.38,6.38,5.5,4.38,153.7,0.09,1.11
24-vac-3-4-in-sweat-n-c-zone-valve,Dimensions,4.0,3.5,2.38,6.0,5.5,4.38,144.5,0.08,1.04
24-vac-3-4-in-sweat-n-c-zone-valve-hone-v8044e1011-u,Dimensions,4.81,3.5,2.38,6.81,5.5,4.38,164.1,0.09,1.18
24-vac-3-4-in-sweat-n-c-zone-valve-with-18-in-lead-wires,Dimensions,4.0,3.5,2.38,6.0,5.5,4.38,144.5,0.08,1.04
24-vac-3-4-in-sweat-n-c-zone-valve-with-18-in-lead-wires-hone-v8043e1061-u,Dimensions,4.0,3.5,2.38,6.0,5.5,4.38,144.5,0.08,1.04
24-vac-3-4-in-sweat-n-o-zone-valve,Dimensions,4.0,3.5,2.38,6.0,5.5,4.38,144.5,0.08,1.04
24-vac-dual-slow-opening-gas-valve-with-step-opening-single-stage,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
24c-vac-2-pole-economy-definite-purpose-contactor,Dimensions,2.37,3.3,2.0,4.37,5.3,4.0,92.6,0.05,0.67
277-vac-2-pole-deluxe-definite-purpose-contactor,Dimensions,2.2,2.5,3.31,4.2,4.5,5.31,100.4,0.06,0.72
3-375ast-reduced-pressure-principle-backflow-preventer,L/W/H,32.88,11.75,22.5,34.88,13.75,24.5,11750.2,6.8,84.53
3-4-1-975xl-xl2-complete-repair-kit,L/W/H,2.6,5.3,5.6,4.6,7.3,7.6,255.2,0.15,1.84
3-4-1-fitting-compatible-with-model-975lx-975xl2,L/W/H,3.1,3.1,5.0,5.1,5.1,7.0,182.1,0.11,1.31
3-4-1-model-950xl-standard-repair-kit,L/W/H,2.6,5.3,5.6,4.6,7.3,7.6,255.2,0.15,1.84
3-4-1-model-975xl-xl2-rubber-repair-kit,L/W/H,8.9,8.4,5.3,10.9,10.4,7.3,827.5,0.48,5.95
3-4-350xl-double-check-backflow-preventer-with-sae-flare-test-fitting,L/W/H,12.0,4.6,5.6,14.0,6.6,7.6,702.2,0.41,5.05
3-4-600xlpressure-reducing-valve,L/W/H,5.5,2.8,5.5,7.5,4.8,7.5,270.0,0.16,1.94
3-4-70xl-pressure-reducing-valve,L/W/H,5.5,2.8,5.5,7.5,4.8,7.5,270.0,0.16,1.94
3-4-975xl3-reduced-pressure-principle-backflow-preventer,L/W/H,10.0,6.59,2.94,12.0,8.59,4.94,509.2,0.29,3.66
3-4-in-npt-connection-supervent-air-eliminator,Dimensions,7.4,2.7,1.9,9.4,4.7,3.9,172.3,0.1,1.24
3-4-in-sweat-connection-supervent-air-eliminator,Dimensions,7.4,2.7,1.9,9.4,4.7,3.9,172.3,0.1,1.24
3-4-in-water-filter,Dimensions,17.69,7.0,3.81,19.69,9.0,5.81,1029.6,0.6,7.41
3-4-in-x-3-4-in-universal-24-vac-standard-opening-ignition-gas-valve,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
3-baseboard-heater-complete-700-series-3-4-element,L/W/H,3.0,2.0,7.0,5.0,4.0,9.0,180.0,0.1,1.29
3-ductile-iron-wye-type-strainer,L/W/H,12.6,7.4,10.6,14.6,9.4,12.6,1729.2,1.0,12.44
3-pole-120-vac-powerpro-definite-purpose-contactor,Dimensions,3.1,3.62,2.4,5.1,5.62,4.4,126.1,0.07,0.91
3-pole-208-240-vac-powerpro-definite-purpose-contactor,Dimensions,3.1,3.62,2.4,5.1,5.62,4.4,126.1,0.07,0.91
3-pole-208-240-vac-powerpro-definite-purpose-contactor-hone-dp3040c5001-u,Dimensions,3.1,3.62,2.4,5.1,5.62,4.4,126.1,0.07,0.91
3-pole-24-vac-powerpro-definite-purpose-contactor,Dimensions,3.1,3.62,2.4,5.1,5.62,4.4,126.1,0.07,0.91
3-pole-24-vac-powerpro-definite-purpose-contactor-hone-dp3040a5003-u,Dimensions,3.1,3.62,2.4,5.1,5.62,4.4,126.1,0.07,0.91
3-temperature-and-pressure-relief-valve,L/W/H,6.5,1.25,1.25,8.5,3.25,3.25,89.8,0.05,0.65
4-baseboard-heater-complete-700-series-3-4-element,L/W/H,4.0,2.0,7.0,6.0,4.0,9.0,216.0,0.12,1.55
4-part-spud-escutcheon-and-coupling-assembly-1-1-2,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
4-temperature-and-pressure-relief-valve,L/W/H,6.5,1.25,1.25,8.5,3.25,3.25,89.8,0.05,0.65
4-temperature-and-pressure-relief-valve-wilk-tp1100a-4c-150c,L/W/H,6.5,1.25,1.25,8.5,3.25,3.25,89.8,0.05,0.65
5-baseboard-heater-complete-700-series-3-4-element,L/W/H,5.0,2.0,7.0,7.0,4.0,9.0,252.0,0.15,1.81
50va-multi-mount-transformer,Dimensions,3.19,2.19,3.62,5.19,4.19,5.62,122.2,0.07,0.88
6-baseboard-heater-complete-700-series-3-4-element,L/W/H,6.0,2.0,7.0,8.0,4.0,9.0,288.0,0.17,2.07
7-baseboard-heater-complete-700-series-3-4-element,L/W/H,7.0,2.0,7.0,9.0,4.0,9.0,324.0,0.19,2.33
700xl-dual-check-valve-with-1-2-female-union-inlet-x-1-2-female-outlet,L/W/H,4.1,2.3,2.1,6.1,4.3,4.1,107.5,0.06,0.77
8-baseboard-heater-complete-700-series-3-4-element,L/W/H,8.0,2.0,7.0,10.0,4.0,9.0,360.0,0.21,2.59
9-baseboard-heater-complete-700-series-3-4-element,L/W/H,9.0,2.0,7.0,11.0,4.0,9.0,396.0,0.23,2.85
90-pt-whole-home-dehumidification-system,Dimensions,14.3,19.3,32.2,16.3,21.3,34.2,11873.9,6.87,85.42
975xl-complete-rubber-repair-kit-compatible-with-the-1-1-4-2-model-975xl-and-975xl2,L/W/H,8.9,8.4,5.3,10.9,10.4,7.3,827.5,0.48,5.95
abs-loose-set-dome-strainer,L/W/H,6.9,6.8,2.9,8.9,8.8,4.9,383.8,0.22,2.76
actuator-for-vc-series-valves-spst-2-position-24-vac,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
actuator-with-with-power-failure-reposition-2-to-10-vdc,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
ada-handle-assembly-for-exposed-manual-flush-valve-chrome-plated-brass,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
advanced-electrode-humidifier-replacement-cylinder,Dimensions,6.0,13.0,5.57,8.0,15.0,7.57,908.4,0.53,6.54
advanced-electrode-humidifier-replacement-pc-board,Dimensions,5.0,1.65,9.5,7.0,3.65,11.5,293.8,0.17,2.11
advanced-electrode-humidifier-valve-kit,Dimensions,4.0,5.0,4.0,6.0,7.0,6.0,252.0,0.15,1.81
aqua-fit-camaya-series-single-post-sensor-faucet-in-chrome,L/W/H,7.5,2.25,4.62,9.5,4.25,6.62,267.3,0.15,1.92
aquasense-6-vdc-a-c-power-converter-for-sensor-faucets,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
aquasense-e-z-flush-retrofit-kit-with-metal-cover-chrome,L/W/H,4.69,3.94,4.88,6.69,5.94,6.88,273.4,0.16,1.97
aquasense-lead-free-thermostatic-mixing-valve-for-single-sensor-faucets,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
aquasense-zer-tm-series-ez-gear-driven-0-125-gpf-exposed-sensor-diaphragm-urinal-flush-valve,L/W/H,5.0,8.0,17.0,7.0,10.0,19.0,1330.0,0.77,9.57
aquaspec-4-centerset-faucet-4-integral-spout-0-5-gpm-vandal-resistant-pressure-comp-aerator-4-wrist-blade-handles,L/W/H,9.75,7.25,6.0,11.75,9.25,8.0,869.5,0.5,6.26
aquaspec-deck-mount-gooseneck-faucet-with-2-2-gpm-pressure-compensating-aerator-8-spout-4-wrist-blade-handles,L/W/H,16.0,12.1,15.88,18.0,14.1,17.88,4537.9,2.63,32.65
aquaspec-metering-faucet-deck-mount-with-1-0-gpm-spray-outlet-4-1-4-in-spout-push-button-handles-chrome,L/W/H,4.0,10.0,4.31,6.0,12.0,6.31,454.3,0.26,3.27
aquaspec-wall-mount-service-sink-faucet-vacuum-breaker-pail-hook-wall-brace-metal-lever-handles-chrome,L/W/H,12.0,14.7,2.8,14.0,16.7,4.8,1122.2,0.65,8.07
aquastat-relay-140-to-240-f-range-with-8-degree-f-fixed-differential-low-volt-millivolt,Dimensions,4.31,6.12,3.12,6.31,8.12,5.12,262.3,0.15,1.89
aquastat-relay-180-to-240-f-range-with-15-degree-f-fixed-differential-low-volt-millivolt,Dimensions,6.12,4.31,3.12,8.12,6.31,5.12,262.3,0.15,1.89
aquastat-relay-180-to-240-f-range-with-15-degree-f-fixed-differential-low-volt-millivolt-hone-l8148e1299-u,Dimensions,6.12,4.31,3.12,8.12,6.31,5.12,262.3,0.15,1.89
aquatrol-zoning-control-for-4-zones-of-4-wire-valves-with-end-switches-24-vac-used-for-hydronic-zoning-systems,Dimensions,9.5,8.0,3.38,11.5,10.0,5.38,618.7,0.36,4.45
aquatrol-zoning-panel-for-4-zone-2-wire-valves-24-vac-used-for-hydronic-zoning-systems,Dimensions,9.5,8.0,3.38,11.5,10.0,5.38,618.7,0.36,4.45
assembled-water-heater-stand-21w-x-21d-x-18h-18ga-650-rating,L/W/H,21.0,21.0,18.0,23.0,23.0,20.0,10580.0,6.12,76.12
assembled-water-heater-stand-24w-x-24d-x-18h-16ga-1300-rating,L/W/H,24.0,24.0,18.0,26.0,26.0,20.0,13520.0,7.82,97.27
at100-electric-elongated-spalet-bidet-seat-in-canvas-white,L/W/H,21.0,16.0,6.0,23.0,18.0,8.0,3312.0,1.92,23.83
bonded-neo-seal-closet-gasket-kit-4,L/W/H,5.5,5.4,1.0,7.5,7.4,3.0,166.5,0.1,1.2
brush-gold-baseboard-electric-heat-thermostat,Dimensions,4.56,2.88,1.94,6.56,4.88,3.94,126.1,0.07,0.91
brush-gold-electric-heat-thermostat-for-electric-baseboard-heat,Dimensions,4.56,2.88,1.94,6.56,4.88,3.94,126.1,0.07,0.91
c7189u1005-remote-indoor-temperature-sensor,Dimensions,1.5,2.25,0.75,3.5,4.25,2.75,40.9,0.02,0.29
cadmium-sulfide-flame-detector-with-60-in-leads-type-r-bracket-and-higher-sensitivity-cad-cell,Dimensions,1.88,1.0,0.5,3.88,3.0,2.5,29.1,0.02,0.21
cadmium-sulfide-flame-detector-with-60-in-leads-type-r-mounting-bracket-and-130367-cad-cell,Dimensions,1.88,1.0,0.5,3.88,3.0,2.5,29.1,0.02,0.21
cerana-33-apron-single-bowl-farmhouse-sink-white,CSV anterior,33.0,17.63,9.62,35.0,19.63,11.62,7983.5,4.62,57.44
co2450-adjustable-floor-cleanout-nickel-top-3-pvc,L/W/H,5.0,5.0,5.19,7.0,7.0,7.19,352.3,0.2,2.53
co2450-adjustable-floor-cleanout-nickel-top-4-abs,L/W/H,5.25,5.25,3.87,7.25,7.25,5.87,308.5,0.18,2.22
commercialpro-7000-programmable-thermostat,Dimensions,6.0,3.75,1.38,8.0,5.75,3.38,155.5,0.09,1.12
contemporary-soap-dispenser-in-grohe-chrome,L/W/H,3.0,1.0,2.0,5.0,3.0,4.0,60.0,0.03,0.43
cool-only-thermostat-dual-scale-fahrenheit-and-celsius,Dimensions,4.75,2.88,1.38,6.75,4.88,3.38,111.3,0.06,0.8
dayton-stainless-steel-15-x-15-x-5-3-16-2-hole-single-bowl-drop-in-bar-sink-with-2-drain-opening,L/W/H,15.0,15.0,5.19,17.0,17.0,7.19,2077.9,1.2,14.95
dayton-stainless-steel-16-1-2-x-18-1-4-x-8-single-bowl-undermount-bar-sink,L/W/H,16.5,18.25,8.0,18.5,20.25,10.0,3746.2,2.17,26.95
dayton-stainless-steel-17-x-19-x-6-1-8-3-hole-single-bowl-drop-in-bar-sink,L/W/H,17.0,19.0,6.19,19.0,21.0,8.19,3267.8,1.89,23.51
dayton-stainless-steel-20-x-20-x-10-1-8-1-hole-single-bowl-drop-in-laundry-sink,L/W/H,20.0,20.0,10.12,22.0,22.0,12.12,5866.1,3.39,42.2
dayton-stainless-steel-25-x-19-x-6-5-16-1-hole-equal-double-bowl-drop-in-sink,L/W/H,25.0,19.0,6.31,27.0,21.0,8.31,4711.8,2.73,33.9
dayton-stainless-steel-25-x-21-1-4-x-5-3-8-3-hole-single-bowl-drop-in-sink-with-right-drain,L/W/H,25.0,21.25,5.38,27.0,23.25,7.38,4632.8,2.68,33.33
dayton-stainless-steel-25-x-21-1-4-x-6-9-16-4-hole-single-bowl-drop-in-sink,L/W/H,25.0,21.25,6.56,27.0,23.25,8.56,5373.5,3.11,38.66
dayton-stainless-steel-25-x-22-x-6-9-16-3-hole-single-bowl-drop-in-sink,L/W/H,25.0,22.0,6.56,27.0,24.0,8.56,5546.9,3.21,39.91
dayton-stainless-steel-25-x-22-x-6-9-16-4-hole-single-bowl-drop-in-sink,L/W/H,25.0,22.0,6.56,27.0,24.0,8.56,5546.9,3.21,39.91
dayton-stainless-steel-25-x-22-x-8-1-16-3-hole-single-bowl-drop-in-sink,L/W/H,25.0,22.0,8.06,27.0,24.0,10.06,6518.9,3.77,46.9
dayton-stainless-steel-25-x-22-x-8-1-16-4-hole-single-bowl-drop-in-sink,L/W/H,25.0,22.0,8.06,27.0,24.0,10.06,6518.9,3.77,46.9
dayton-stainless-steel-26-1-2-x-18-1-2-x-8-single-bowl-undermount-sink,L/W/H,26.5,18.5,8.0,28.5,20.5,10.0,5842.5,3.38,42.03
dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink,L/W/H,30.5,18.25,8.0,32.5,20.25,10.0,6581.2,3.81,47.35
dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink-dayt-dxuh2816,L/W/H,30.5,18.25,8.0,32.5,20.25,10.0,6581.2,3.81,47.35
dayton-stainless-steel-31-3-4-x-18-1-4-x-8-equal-double-bowl-undermount-sink,L/W/H,31.75,18.25,8.0,33.75,20.25,10.0,6834.4,3.96,49.17
dayton-stainless-steel-33-x-19-x-6-7-16-3-hole-equal-double-bowl-drop-in-sink,L/W/H,33.0,19.0,6.44,35.0,21.0,8.44,6203.4,3.59,44.63
