handle,sku,title,price,peso,vol,peso_dim,lam,perfil,tag
resideo-zd14x8tz-u-truezone-parallel-blade-zone-damper-14-in-x-8-in,HONE-ZD14X8TZ/U,"Resideo ZD14X8TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 8 in",227.14,5.4,448.000,3.22,0.0238,General,free-ship-eligible
resideo-zd16x10tz-u-truezone-parallel-blade-zone-damper-16-in-x-10-in,HONE-ZD16X10TZ/U,"Resideo ZD16X10TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 10 in",260.01,6.4,640.000,4.60,0.0246,General,free-ship-eligible
resideo-zd16x14tz-u-truezone-parallel-blade-zone-damper-16-in-x-14-in,HONE-ZD16X14TZ/U,"Resideo ZD16X14TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 14 in",303.31,7.7,896.000,6.45,0.0254,General,free-ship-eligible
resideo-zd16x16tz-u-truezone-parallel-blade-zone-damper-16-in-x-16-in,HONE-ZD16X16TZ/U,"Resideo ZD16X16TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 16 in",288.01,8.8,1024.000,7.37,0.0306,General,free-ship-eligible
resideo-zd16x18tz-u-truezone-parallel-blade-zone-damper-16-in-x-18-in,HONE-ZD16X18TZ/U,"Resideo ZD16X18TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 18 in",332.77,9.2,1152.000,8.29,0.0276,General,free-ship-eligible
resideo-zd16x20tz-u-truezone-parallel-blade-zone-damper-16-in-x-20-in,HONE-ZD16X20TZ/U,"Resideo ZD16X20TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 20 in",335.37,10.7,1280.000,9.21,0.0319,General,free-ship-eligible
resideo-zd16x22tz-u-truezone-parallel-blade-zone-damper-16-in-x-22-in,HONE-ZD16X22TZ/U,"Resideo ZD16X22TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 22 in",351.16,11.3,1408.000,10.13,0.0322,General,free-ship-eligible
resideo-zd16x24tz-u-truezone-parallel-blade-zone-damper-16-in-x-24-in,HONE-ZD16X24TZ/U,"Resideo ZD16X24TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 24 in",364.54,11.9,1536.000,11.05,0.0326,General,free-ship-eligible
resideo-zd16x26tz-u-truezone-parallel-blade-zone-damper-16-in-x-26-in,HONE-ZD16X26TZ/U,"Resideo ZD16X26TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 26 in",385.69,13.5,1664.000,11.97,0.0350,THS Standard - no free shipping,
resideo-zd16x6tz-u-truezone-parallel-blade-zone-damper-16-in-x-6-in,HONE-ZD16X6TZ/U,"Resideo ZD16X6TZ/U TrueZONE Parallel Blade Zone Damper, 16 in x 6 in",267.31,5.2,384.000,2.76,0.0195,General,free-ship-eligible
resideo-zd18x12tz-u-truezone-parallel-blade-zone-damper-18-in-x-12-in,HONE-ZD18X12TZ/U,"Resideo ZD18X12TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 12 in",275.03,7.7,864.000,6.22,0.0280,General,free-ship-eligible
resideo-zd18x14tz-u-truezone-parallel-blade-zone-damper-18-in-x-14-in,HONE-ZD18X14TZ/U,"Resideo ZD18X14TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 14 in",316.90,8.3,1008.000,7.25,0.0262,General,free-ship-eligible
resideo-zd18x16tz-u-truezone-parallel-blade-zone-damper-18-in-x-16-in,HONE-ZD18X16TZ/U,"Resideo ZD18X16TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 16 in",332.77,9.2,1152.000,8.29,0.0276,General,free-ship-eligible
resideo-zd18x18tz-u-truezone-parallel-blade-zone-damper-18-in-x-18-in,HONE-ZD18X18TZ/U,"Resideo ZD18X18TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 18 in",363.20,10.8,1296.000,9.32,0.0297,General,free-ship-eligible
resideo-zd18x20tz-u-truezone-parallel-blade-zone-damper-18-in-x-20-in,HONE-ZD18X20TZ/U,"Resideo ZD18X20TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 20 in",382.86,11.1,1440.000,10.36,0.0290,General,free-ship-eligible
resideo-zd18x22tz-u-truezone-parallel-blade-zone-damper-18-in-x-22-in,HONE-ZD18X22TZ/U,"Resideo ZD18X22TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 22 in",383.83,11.9,1584.000,11.40,0.0310,General,free-ship-eligible
resideo-zd18x24tz-u-truezone-parallel-blade-zone-damper-18-in-x-24-in,HONE-ZD18X24TZ/U,"Resideo ZD18X24TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 24 in",401.46,12.5,1728.000,12.43,0.0311,General,free-ship-eligible
resideo-zd18x26tz-u-truezone-parallel-blade-zone-damper-18-in-x-26-in,HONE-ZD18X26TZ/U,"Resideo ZD18X26TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 26 in",415.10,13.1,1872.000,13.47,0.0324,General,free-ship-eligible
resideo-zd18x6tz-u-truezone-parallel-blade-zone-damper-18-in-x-6-in,HONE-ZD18X6TZ/U,"Resideo ZD18X6TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 6 in",272.17,5.5,432.000,3.11,0.0202,General,free-ship-eligible
resideo-zd18x8tz-u-truezone-parallel-blade-zone-damper-18-in-x-8-in,HONE-ZD18X8TZ/U,"Resideo ZD18X8TZ/U TrueZONE Parallel Blade Zone Damper, 18 in x 8 in",233.79,5.9,576.000,4.14,0.0252,General,free-ship-eligible
resideo-zd20x14tz-u-truezone-parallel-blade-zone-damper-20-in-x-14-in,HONE-ZD20X14TZ/U,"Resideo ZD20X14TZ/U TrueZONE Parallel Blade Zone Damper, 20 in x 14 in",277.27,9.5,1120.000,8.06,0.0343,THS Standard - no free shipping,
resideo-zd20x16tz-u-truezone-parallel-blade-zone-damper-20-in-x-16-in,HONE-ZD20X16TZ/U,"Resideo ZD20X16TZ/U TrueZONE Parallel Blade Zone Damper, 20 in x 16 in",287.06,10.4,1280.000,9.21,0.0362,THS Standard - no free shipping,
resideo-zd20x18tz-u-truezone-parallel-blade-zone-damper-20-in-x-18-in,HONE-ZD20X18TZ/U,"Resideo ZD20X18TZ/U TrueZONE Parallel Blade Zone Damper, 20 in x 18 in",379.90,11.8,1440.000,10.36,0.0311,General,free-ship-eligible
resideo-zd20x20tz-u-truezone-parallel-blade-zone-damper-20-in-x-20-in,HONE-ZD20X20TZ/U,"Resideo ZD20X20TZ/U TrueZONE Parallel Blade Zone Damper, 20 in x 20 in",388.84,11.9,1600.000,11.51,0.0306,General,free-ship-eligible
resideo-zd20x22tz-u-truezone-parallel-blade-zone-damper-20-in-x-22-in,HONE-ZD20X22TZ/U,"Resideo ZD20X22TZ/U TrueZONE Parallel Blade Zone Damper, 20 in x 22 in",395.64,13.3,1760.000,12.66,0.0336,General,free-ship-eligible
resideo-zd20x24tz-u-truezone-parallel-blade-zone-damper-20-in-x-24-in,HONE-ZD20X24TZ/U,"Resideo ZD20X24TZ/U TrueZONE Parallel Blade Zone Damper, 20 in x 24 in",417.20,13.0,,0.00,0.0312,General,free-ship-eligible
resideo-zd20x6tz-u-truezone-parallel-blade-zone-damper-20-in-x-6-in,HONE-ZD20X6TZ/U,"Resideo ZD20X6TZ/U TrueZONE Parallel Blade Zone Damper, 20 in x 6 in",277.04,6.2,480.000,3.45,0.0224,General,free-ship-eligible
resideo-zd22x10tz-u-truezone-parallel-blade-zone-damper-22-in-x-10-in,HONE-ZD22X10TZ/U,"Resideo ZD22X10TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 10 in",317.07,7.8,880.000,6.33,0.0246,General,free-ship-eligible
resideo-zd22x12tz-u-truezone-parallel-blade-zone-damper-22-in-x-12-in,HONE-ZD22X12TZ/U,"Resideo ZD22X12TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 12 in",323.94,9.2,1056.000,7.60,0.0284,General,free-ship-eligible
resideo-zd22x14tz-u-truezone-parallel-blade-zone-damper-22-in-x-14-in,HONE-ZD22X14TZ/U,"Resideo ZD22X14TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 14 in",329.81,9.7,1232.000,8.86,0.0294,General,free-ship-eligible
resideo-zd22x16tz-u-truezone-parallel-blade-zone-damper-22-in-x-16-in,HONE-ZD22X16TZ/U,"Resideo ZD22X16TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 16 in",346.07,11.1,1408.000,10.13,0.0321,General,free-ship-eligible
resideo-zd22x18tz-u-truezone-parallel-blade-zone-damper-22-in-x-18-in,HONE-ZD22X18TZ/U,"Resideo ZD22X18TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 18 in",383.83,12.0,1584.000,11.40,0.0313,General,free-ship-eligible
resideo-zd22x20tz-u-truezone-parallel-blade-zone-damper-22-in-x-20-in,HONE-ZD22X20TZ/U,"Resideo ZD22X20TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 20 in",395.64,12.6,1760.000,12.66,0.0320,General,free-ship-eligible
resideo-zd22x22tz-u-truezone-parallel-blade-zone-damper-22-in-x-22-in,HONE-ZD22X22TZ/U,"Resideo ZD22X22TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 22 in",418.23,13.5,1936.000,13.93,0.0333,General,free-ship-eligible
resideo-zd22x24tz-u-truezone-parallel-blade-zone-damper-22-in-x-24-in,HONE-ZD22X24TZ/U,"Resideo ZD22X24TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 24 in",420.17,13.1,2112.000,15.19,0.0362,THS Standard - no free shipping,
resideo-zd22x6tz-u-truezone-parallel-blade-zone-damper-22-in-x-6-in,HONE-ZD22X6TZ/U,"Resideo ZD22X6TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 6 in",281.89,6.3,528.000,3.80,0.0223,General,free-ship-eligible
resideo-zd22x8tz-u-truezone-parallel-blade-zone-damper-22-in-x-8-in,HONE-ZD22X8TZ/U,"Resideo ZD22X8TZ/U TrueZONE Parallel Blade Zone Damper, 22 in x 8 in",282.87,6.8,704.000,5.06,0.0240,General,free-ship-eligible
resideo-zd24x12tz-u-truezone-parallel-blade-zone-damper-24-in-x-12-in,HONE-ZD24X12TZ/U,"Resideo ZD24X12TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 12 in",330.51,9.5,1152.000,8.29,0.0287,General,free-ship-eligible
resideo-zd24x14tz-u-truezone-parallel-blade-zone-damper-24-in-x-14-in,HONE-ZD24X14TZ/U,"Resideo ZD24X14TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 14 in",348.49,10.1,1344.000,9.67,0.0290,General,free-ship-eligible
resideo-zd24x16tz-u-truezone-parallel-blade-zone-damper-24-in-x-16-in,HONE-ZD24X16TZ/U,"Resideo ZD24X16TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 16 in",369.91,11.4,1536.000,11.05,0.0308,General,free-ship-eligible
resideo-zd24x18tz-u-truezone-parallel-blade-zone-damper-24-in-x-18-in,HONE-ZD24X18TZ/U,"Resideo ZD24X18TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 18 in",395.64,12.3,1728.000,12.43,0.0314,General,free-ship-eligible
resideo-zd24x20tz-u-truezone-parallel-blade-zone-damper-24-in-x-20-in,HONE-ZD24X20TZ/U,"Resideo ZD24X20TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 20 in",419.23,13.3,1920.000,13.81,0.0329,General,free-ship-eligible
resideo-zd24x22tz-u-truezone-parallel-blade-zone-damper-24-in-x-22-in,HONE-ZD24X22TZ/U,"Resideo ZD24X22TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 22 in",430.66,14.3,2112.000,15.19,0.0353,THS Standard - no free shipping,
resideo-zd24x24tz-u-truezone-parallel-blade-zone-damper-24-in-x-24-in,HONE-ZD24X24TZ/U,"Resideo ZD24X24TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 24 in",454.74,14.2,2304.000,16.58,0.0365,THS Standard - no free shipping,
resideo-zd24x6tz-u-truezone-parallel-blade-zone-damper-24-in-x-6-in,HONE-ZD24X6TZ/U,"Resideo ZD24X6TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 6 in",287.74,6.6,576.000,4.14,0.0229,General,free-ship-eligible
resideo-zd24x8tz-u-truezone-parallel-blade-zone-damper-24-in-x-8-in,HONE-ZD24X8TZ/U,"Resideo ZD24X8TZ/U TrueZONE Parallel Blade Zone Damper, 24 in x 8 in",261.80,7.0,768.000,5.53,0.0267,General,free-ship-eligible
resideo-zd26x10tz-u-truezone-parallel-blade-zone-damper-26-in-x-10-in,HONE-ZD26X10TZ/U,"Resideo ZD26X10TZ/U TrueZONE Parallel Blade Zone Damper, 26 in x 10 in",333.76,8.8,1040.000,7.48,0.0264,General,free-ship-eligible
resideo-zd26x12tz-u-truezone-parallel-blade-zone-damper-26-in-x-12-in,HONE-ZD26X12TZ/U,"Resideo ZD26X12TZ/U TrueZONE Parallel Blade Zone Damper, 26 in x 12 in",346.53,10.0,1248.000,8.98,0.0289,General,free-ship-eligible
resideo-zd26x14tz-u-truezone-parallel-blade-zone-damper-26-in-x-14-in,HONE-ZD26X14TZ/U,"Resideo ZD26X14TZ/U TrueZONE Parallel Blade Zone Damper, 26 in x 14 in",366.14,10.5,1456.000,10.47,0.0287,General,free-ship-eligible
resideo-zd26x16tz-u-truezone-parallel-blade-zone-damper-26-in-x-16-in,HONE-ZD26X16TZ/U,"Resideo ZD26X16TZ/U TrueZONE Parallel Blade Zone Damper, 26 in x 16 in",383.83,12.1,1664.000,11.97,0.0315,General,free-ship-eligible
resideo-zd26x18tz-u-truezone-parallel-blade-zone-damper-26-in-x-18-in,HONE-ZD26X18TZ/U,"Resideo ZD26X18TZ/U TrueZONE Parallel Blade Zone Damper, 26 in x 18 in",423.14,12.9,1872.000,13.47,0.0318,General,free-ship-eligible
resideo-zd26x20tz-u-truezone-parallel-blade-zone-damper-26-in-x-20-in,HONE-ZD26X20TZ/U,"Resideo ZD26X20TZ/U TrueZONE Parallel Blade Zone Damper, 26 in x 20 in",419.16,13.4,2080.000,14.96,0.0357,THS Standard - no free shipping,
resideo-zd26x8tz-u-truezone-parallel-blade-zone-damper-26-in-x-8-in,HONE-ZD26X8TZ/U,"Resideo ZD26X8TZ/U TrueZONE Parallel Blade Zone Damper, 26 in x 8 in",310.17,7.3,832.000,5.99,0.0235,General,free-ship-eligible
resideo-zd28x10tz-u-truezone-parallel-blade-zone-damper-28-in-x-10-in,HONE-ZD28X10TZ/U,"Resideo ZD28X10TZ/U TrueZONE Parallel Blade Zone Damper, 28 in x 10 in",343.57,8.8,1120.000,8.06,0.0256,General,free-ship-eligible
