Handle,Command,Title
pilot-burner-used-for-natural-gas-includes-a-bcr-18-orifice-front-single-tip-style-c-style-mounting-bracket-and-primary-aeration,UPDATE,"Resideo Pilot Burner, used for Natural Gas includes a BCR-18 Orifice, Front Single Tip Style, C-Style Mounting Bracket and primary aeration"
pilot-burner-used-for-natural-gas-includes-a-bcr-22-orifice-right-single-tip-style-e-style-mounting-bracket-and-primary-aeration,UPDATE,"Resideo Pilot Burner, used for Natural Gas includes a BCR-22 Orifice, Right Single Tip Style, E-Style Mounting Bracket and primary aeration"
standard-2-stage-opening-smartvalve-intermittent-hot-surface-pilot-ignition-natural-gas-1-2-in-npt-x-1-2-in-npt-inlet-outlet-size,UPDATE,"Resideo Standard 2-Stage Opening SmartValve, Intermittent Hot Surface Pilot Ignition, Natural Gas, 1/2 in NPT x 1/2 in NPT inlet/outlet size"
standard-opening-smartvalve-intermittent-hot-surface-pilot-ignition-natural-lp-with-included-conversion-kit-3-4-in-npt-x-3-4-in-npt,UPDATE,"Resideo Standard Opening SmartValve, Intermittent Hot Surface Pilot Ignition, Natural/LP with included conversion kit, 3/4 in NPT x 3/4 in NPT"
l5-wifi-power-adapter-for-north-america,UPDATE,Resideo VB-SP02Y-002 L5 WiFi Power Adapter for North America
single-stage-gas-controls-for-standing-pilot-appliance-3-4-in-x-3-4-in-standard-opening-120-v-ac-natural-gas-lp-with-included-conversion-kit,UPDATE,"Resideo Single Stage Gas Controls for Standing Pilot appliance, 3/4 in x 3/4 in, Standard Opening, 120 V AC, Natural Gas/LP with included conversion"
single-stage-gas-controls-for-intermittent-pilot-appliance-1-2-in-x-1-2-in-inlet-outlet-size-slow-opening-24-v-ac-natural-gas,UPDATE,"Resideo Single Stage Gas Controls for Intermittent Pilot appliance, 1/2 in x 1/2 in inlet/outlet size, Slow Opening, 24 V AC, Natural Gas"
two-stage-gas-controls-for-direct-spark-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,UPDATE,"Resideo Two Stage Gas Controls for Direct Spark Ignition appliance, 1/2 in x 1/2 in inlet/outlet size, Standard Opening, 24 V AC, Natural Gas"
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-fast-fast-opening-24-v-ac-natural-gas,UPDATE,"Resideo Single Stage Gas Controls for Direct Ignition appliance, 1/2 in x 1/2 in inlet/outlet size, Fast-Fast Opening, 24 V AC, Natural Gas"
single-stage-gas-controls-for-standing-pilot-appliance-3-4-in-x-3-4-in-standard-opening-24-v-ac-natural-gas-lp-with-included-conversion-kit,UPDATE,"Resideo Single Stage Gas Controls for Standing Pilot appliance, 3/4 in x 3/4 in, Standard Opening, 24 V AC, Natural Gas/LP with included conversion"
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-3-4-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,UPDATE,"Resideo Single Stage Gas Controls for Direct Ignition appliance, 1/2 in x 3/4 in inlet/outlet size, Standard Opening, 24 V AC, Natural Gas"
two-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-standard-opening-24-v-ac-natural-gas-lp-with-included-conversion-kit,UPDATE,"Resideo Two Stage Gas Controls for Direct Ignition appliance, 1/2 in x 1/2 in, Standard Opening, 24 V AC, Natural Gas/LP with included conversion kit"
prestige-2-wire-iaq-kit-with-high-definition-color-touchscreen-white-front-white-sides-thermostat-with-redlink-technology-and-sensors,UPDATE,Resideo Prestige® 2-Wire IAQ Kit with high definition color touchscreen white front/white sides thermostat with RedLINK® technology and sensors
