sku,titulo,marca,categoria,preco_usd,comprimento_ft,peso_atual_lb_IMPOSSIVEL,peso_se_for_por_pe_lb,peso_real_lb_PREENCHER
COPT-138-ACR,"Mueller Streamline AC10020 1-3/8"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,Type L Hard ACR-OXY-MED,540.60,20,0.88,17.6,
POLY-200-250/100,"Centennial Plastics FL472000200-100 2"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,489.00,100,0.94,94.0,
ANVI-AS200-EH-BTB-20-PGV,"Anvil 1-5/8"" x 20' Back-To-Back Galvanized Slotted Strut",Anvil,Strut (Channel),467.40,20,1.89,37.8,
COPT-118-ACR,"Mueller Streamline AC06020 1-1/8"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,Type L Hard ACR-OXY-MED,405.60,20,0.66,13.2,
CPVP-250-20-SCH80,"Charlotte Pipe 2-1/2"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,CPVC Pipe,378.20,20,1.56,31.2,
POLY-100-250/300,"Centennial Plastics FL472500100-300 1"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,378.00,300,0.24,72.0,
COPT-200-10DWV,"Mueller Streamline V 14020 2"" x 10' - Copper Tube - DWV",Mueller Streamline,DWV,365.70,10,1.07,10.7,
ANVI-AS100-EH-20-PGV,"Anvil 3-1/4"" x 20' Galvanized Slotted Strut",Anvil,Strut (Channel),361.60,20,1.89,37.8,
BLIP-300-A53B-PE,"Valencia Pipe 3"" x 21' Black Steel Pipe A53 Type E Grade B ERW Plain End 0.216"" W Import",Valencia Pipe,Plain End A53,360.99,21,0.94,19.74,
MDPE-1031252,"Centennial Plastics GASM0110100-250 1"" x 250' Gas Pipe - MDPE 2708 - SDR 11 CenGas",Centennial Plastics,HDPE & Poly Pipe,337.50,250,0.19,47.5,
ANVI-AS200-EH-10-304SS,"Anvil 1-5/8"" x 10' Stainless Steel Strut with Elongaged Holes",Anvil,Strut (Channel),297.60,10,1.89,18.9,
POLY-150-250/100,"Centennial Plastics FL472000150-100 1-1/2"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,297.00,100,0.57,57.0,
HDPE-400,"Centennial Plastics FS470170400-20 4"" x 20' HDPE Geothermal Pipe - 160 PSI - SDR 17 CenFuse",Centennial Plastics,HDPE & Poly Pipe,289.00,20,0.22,4.4,
COPT-078-ACR,"Mueller Streamline AC05020 7/8"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,Type L Hard ACR-OXY-MED,282.00,20,0.46,9.2,
COPT-150-10DWV,"Mueller Streamline 1-1/2"" x 10' - Copper Tube - DWV",Mueller Streamline,DWV,278.40,10,0.81,8.1,
BLIP-250-A53B-PE,"Valencia Pipe 2-1/2"" x 21' Black Steel Pipe A53 Type E Grade B ERW Plain End 0.203"" W Import",Valencia Pipe,Plain End A53,276.15,21,0.94,19.74,
CPVP-200-20-SCH80,"Charlotte Pipe 2"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,CPVC Pipe,249.00,20,1.02,20.4,
PVCP-800-SCH40-BE,"Charlotte Pipe PVC 09800B 0600 8"" x 20' PVC SCH40 Belled End Pipe",Charlotte Pipe,PVC SCH40 Belled End,247.80,20,0.63,12.6,
PVCP-800-SCH40-PE,"Charlotte Pipe PVC 07800 0800 8"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,247.80,20,0.54,10.8,
COPT-075-ACR,"Mueller Streamline AC04020 3/4"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,Type L Hard ACR-OXY-MED,237.40,20,0.36,7.2,
POLY-075-250/300,"Centennial Plastics FL472500075-300 3/4"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,234.00,300,0.2,60.0,
MDPE-1002239,"Centennial Plastics GASM0110075-250 3/4"" x 250' Gas Pipe - MDPE 2708 - SDR 11 CenGas",Centennial Plastics,HDPE & Poly Pipe,222.50,250,0.12,30.0,
POLY-125-250/100,"Centennial Plastics FL472000125-100 1-1/4"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,217.00,100,0.42,42.0,
CPVP-300-10-CHEM,"Charlotte Pipe AW 14003 3"" x 10' ChemDrain CPVC Pipe",Charlotte Pipe,CPVC Pipe,210.60,10,0.96,9.6,
ANVI-AS200-20-PGV,"Anvil 1-5/8"" x 20' Galvanized Solid Strut",Anvil,Strut (Channel),195.80,20,1.89,37.8,
CPVP-150-20-SCH80,"Charlotte Pipe 1-1/2"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,CPVC Pipe,180.40,20,0.74,14.8,
COPT-058-ACR,"Mueller Streamline AC03020 5/8"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,Type L Hard ACR-OXY-MED,177.40,20,0.28,5.6,
BLIP-200-A53B-PE,"Valencia Pipe 2"" x 21' Black Steel Pipe A53 Type E Grade B ERW Plain End 0.154"" W Import",Valencia Pipe,Plain End A53,172.41,21,0.94,19.74,
DIVE-FP-22,"DiversiTech FP-22 High Tempature Condensate Pump, 120V, 22 ft Lift",DiversiTech,Condensate Pumps & Accessories,171.56,22,1.0,22.0,
S&DP-600-3034G,"RJB Wholesale S&amp;DP-600-3034G 6"" x 20' PVC Sewer and Drain Pipe ASTM D-3034 Gasket Joint White",RJB Wholesale,Sewer & Drain Pipe,157.80,20,1.03,20.6,
PVCP-600-SCH40-BE,"Charlotte Pipe PVC 09600B 0600 6"" x 20' PVC SCH40 Belled End Pipe",Charlotte Pipe,PVC SCH40 Belled End,157.20,20,0.63,12.6,
PVCP-600-SCH40-PE,"Charlotte Pipe PVC 07600 0800 6"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,157.20,20,0.54,10.8,
HONE-T104B1046,Resideo T104B1046 High Capacity Thermostatic Radiator Actuator 16 ft,Resideo,Thermostatic Radiator Controls & Valves,153.51,16,0.61,9.76,
CPVP-125-20-SCH80,"Charlotte Pipe 1-1/4"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,CPVC Pipe,148.80,20,0.61,12.2,
ZOEL-10-0032,Zoeller Pump 10-0032 15' 15 AMP SINGLE PIGGYBACK VARIABLE LEVEL FLOAT SWITCH,Zoeller Pump Company,"Switches, Alarms & Check Valves",129.80,15,1.75,26.25,
ANVI-AS500-EH-20-PGV,"Anvil 13/16"" x 20' Galvanized Slotted Strut",Anvil,Strut (Channel),127.80,20,1.89,37.8,
POLY-100-250/100,"Centennial Plastics FL472500100-100 1"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,126.00,100,0.24,24.0,
DIVE-CP-22LP,"DiversiTech CP-22LP CP Series 120V Low Profile Condensate Pump, 22 ft Lift",DiversiTech,Condensate Pumps & Accessories,123.30,22,1.0,22.0,
BLIP-050-XH106B-PE,"Valencia Pipe 1/2"" x 21' Black Steel Pipe A106 Grade B Seamless Plain End 0.147"" W XH Import",Valencia Pipe,Plain End SCH80 A106 Seamless,116.76,21,0.94,19.74,
CPVP-100-20-SCH80,"Charlotte Pipe 1"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,CPVC Pipe,106.80,20,0.44,8.8,
ABSP-400-20,"Charlotte Pipe ABS 03400 0800 4"" x 20' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,ABS Pipe,106.40,20,1.03,20.6,
ANVI-AS200-10-PGV,"Anvil 1-5/8"" x 10' Galvanized Solid Strut",Anvil,Strut (Channel),97.90,10,1.89,18.9,
ZOEL-10-1881,Zoeller Pump 10-1881 25' NARROW ANGLE LEVEL CONTROL SWITCH,Zoeller Pump Company,"Switches, Alarms & Check Valves",96.87,25,1.75,43.75,
CPVP-200-10-V,"Charlotte Pipe CTS 12020-10 2"" x 10' FlowGuard Gold CPVC Pipe",Charlotte Pipe,CPVC Pipe,96.40,10,0.82,8.2,
BLIP-038,"Valencia Pipe 3/8"" x 21' Black Steel Pipe Threaded & Coupled Import",Valencia Pipe,Threaded & Coupled,89.46,21,0.57,11.97,
PVCP-400-SCH40-PE,"Charlotte Pipe PVC 07400 0800 4"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,87.60,20,0.54,10.8,
HGRI-050-7510-EG,"nVent Caddy 0507510EG 3/4"" x 10' Threaded Rod, Steel, EG",nVent Caddy,All Thread Rod,86.50,10,1.22,12.2,
ZOEL-10-0034,Zoeller Pump 10-0034 15' 13 AMP SINGLE PIGGYBACK VARIABLE LEVEL FLOAT SWITCH Normally Open,Zoeller Pump Company,"Switches, Alarms & Check Valves",79.00,15,1.75,26.25,
POLY-075-250/100,"Centennial Plastics FL472500075-100 3/4"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,78.00,100,0.2,20.0,
ANVI-AS500-EH-10-ZTC,"Anvil 13/16"" x 10' Gold Slotted Strut",Anvil,Strut (Channel),77.70,10,1.89,18.9,
ANVI-AS200-EH-10-ZTC,"Anvil 1-5/8"" x 10' Gold Slotted Strut",Anvil,Strut (Channel),76.30,10,1.89,18.9,
CPVP-075-20-SCH80,"Charlotte Pipe 3/4"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,CPVC Pipe,73.00,20,0.3,6.0,
ABSP-300-20,"Charlotte Pipe ABS 03300 0800 3"" x 20' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,ABS Pipe,70.00,20,0.72,14.4,
S&DP-400-3034G,"RJB Wholesale S&amp;DP-400-3034G 4"" x 20' PVC Sewer and Drain Pipe ASTM D-3034 Gasket Joint White",RJB Wholesale,Sewer & Drain Pipe,69.20,20,1.03,20.6,
BLIP-200-TBE,"Valencia Pipe 2"" x 10' Black Steel Pipe SCH40 A53 Threaded Both Ends Import",Valencia Pipe,Threaded Both Ends 10' Lengths,64.00,10,1.4,14.0,
ANVI-AS500-EH-10-PGV,"Anvil 13/16"" x 10' Galvanized Slotted Strut",Anvil,Strut (Channel),63.90,10,1.89,18.9,
HGRI-050-6210-EG,"nVent Caddy 0506210EG 5/8"" x 10' Threaded Rod, Steel, EG",nVent Caddy,All Thread Rod,62.00,10,0.83,8.3,
PVCP-300-SCH40-PE,"Charlotte Pipe PVC 07300 0800 3"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,61.80,20,0.54,10.8,
CPVP-150-10-V,"Charlotte Pipe CTS 12015-10 1-1/2"" x 10' FlowGuard Gold CPVC Pipe",Charlotte Pipe,CPVC Pipe,60.30,10,0.47,4.7,
BLIP-100-PE,"Valencia Pipe 1"" x 21' Black Steel Pipe Plain End Import",Valencia Pipe,Plain End,57.96,21,1.68,35.28,
CPVP-050-20-SCH80,"Charlotte Pipe 1/2"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,CPVC Pipe,53.40,20,0.22,4.4,
BLIP-025,"Valencia Pipe 1/4"" x 21' Black Steel Pipe Threaded & Coupled Import",Valencia Pipe,Threaded & Coupled,53.34,21,0.42,8.82,
ABSP-400-10,"Charlotte Pipe ABS 03400 0600 4"" x 10' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,ABS Pipe,53.20,10,1.03,10.3,
S&DP-400-3034G-14,"RJB Wholesale S&amp;DP-400-3034G-14 4"" x 14' PVC Sewer and Drain Pipe ASTM D-3034 Gasket Joint White",RJB Wholesale,Sewer & Drain Pipe,48.44,14,1.03,14.42,
BLIP-150-TBE,"Valencia Pipe 1-1/2"" x 10' Black Steel Pipe SCH40 A53 Threaded Both Ends Import",Valencia Pipe,Threaded Both Ends 10' Lengths,47.70,10,1.4,14.0,
CPVP-125-10-V,"Charlotte Pipe CTS 12012-10 1-1/4"" x 10' FlowGuard Gold CPVC Pipe",Charlotte Pipe,CPVC Pipe,46.30,10,0.35,3.5,
PVCP-400-10-SCH40-PE,"Charlotte Pipe PVC 07400 0600 4"" x 10' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,43.80,10,0.54,5.4,
BLIP-075-PE,"Valencia Pipe 3/4"" x 21' Black Steel Pipe Plain End Import",Valencia Pipe,Plain End,41.37,21,1.13,23.73,
S&DP-600-2729P,"RJB Wholesale S&amp;DP-600-2729P 6"" x 10' PVC Sewer and Drain Pipe ASTM D-2729 Perforated Solvent Weld White",RJB Wholesale,Sewer & Drain Pipe,39.40,10,1.39,13.9,
S&DP-600-2729S,"RJB Wholesale S&amp;DP-600-2729S 6"" x 10' PVC Sewer and Drain Pipe ASTM D-2729 Solvent Weld White",RJB Wholesale,Sewer & Drain Pipe,39.40,10,1.39,13.9,
ABSP-200-20,"Charlotte Pipe ABS 03200 0800 2"" x 20' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,ABS Pipe,36.80,20,0.34,6.8,
ABSP-300-10,"Charlotte Pipe ABS 03300 0600 3"" x 10' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,ABS Pipe,35.00,10,0.72,7.2,
PVCP-300-10-SCH40-PE,"Charlotte Pipe PVC 07300 0600 3"" x 10' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,30.90,10,0.54,5.4,
BLIP-050-PE,"Valencia Pipe 1/2"" x 21' Black Steel Pipe Plain End Import",Valencia Pipe,Plain End,29.82,21,0.85,17.85,
PVCP-200-SCH40-PE,"Charlotte Pipe PVC 07200 0800 2"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,29.60,20,0.54,10.8,
BLIP-100-TBE,"Valencia Pipe 1"" x 10' Black Steel Pipe SCH40 A53 Threaded Both Ends Import",Valencia Pipe,Threaded Both Ends 10' Lengths,29.20,10,1.68,16.8,
ABSP-150-20,"Charlotte Pipe ABS 03112 0800 1-1/2"" x 20' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,ABS Pipe,27.00,20,0.26,5.2,
S&DP-400-3034SW-10,"RJB Wholesale S&amp;DP-400-3034SW-10 4"" x 10' PVC Sewer and Drain Pipe ASTM D-3034 Solvent Weld White",RJB Wholesale,Sewer & Drain Pipe,26.70,10,1.03,10.3,
S&DP-400-3034SWPER-10,"RJB Wholesale S&amp;DP-400-3034SWPER-10 4"" x 10' PVC Sewer and Drain Pipe ASTM D-3034 Perforated Solvent Weld White",RJB Wholesale,Sewer & Drain Pipe,26.70,10,1.03,10.3,
VEGA-68431,"Viega 68431 1-1/4"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,Tubing Support,26.47,10,0.05,0.5,
VEGA-68432,"Viega 68432 1-1/2"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,Tubing Support,26.13,10,0.05,0.5,
CPVP-100-10-V,"Charlotte Pipe CTS 12010-10 1"" x 10' FlowGuard Gold CPVC Pipe",Charlotte Pipe,CPVC Pipe,25.50,10,0.23,2.3,
VEGA-11500,"Viega 11500 3/4"" x 20' Red Stripe on Black O2 Barrier PEX Tubing",Viega,Barrier Tubing,23.80,20,0.1,2.0,
VEGA-68430,"Viega 68430 1"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,Tubing Support,22.18,10,0.05,0.5,
VEGA-68435,"Viega 68435 3/4"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,Tubing Support,19.89,10,0.05,0.5,
S&DP-400-2729P,"RJB Wholesale S&amp;DP-400-2729P 4"" x 10' PVC Sewer and Drain Pipe ASTM D-2729 Perforated Solvent Weld White",RJB Wholesale,Sewer & Drain Pipe,19.70,10,0.68,6.8,
S&DP-400-2729S,"RJB Wholesale S&amp;DP-400-2729S 4"" x 10' PVC Sewer and Drain Pipe ASTM D-2729 Solvent Weld White",RJB Wholesale,Sewer & Drain Pipe,19.70,10,0.68,6.8,
BLIP-075-TBE,"Valencia Pipe 3/4"" x 10' Black Steel Pipe SCH40 A53 Threaded Both Ends Import",Valencia Pipe,Threaded Both Ends 10' Lengths,19.70,10,1.13,11.3,
PVCP-125-SCH40-PE,"Charlotte Pipe PVC 07100 0800 1-1/4"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,18.60,20,0.54,10.8,
ABSP-200-10,"Charlotte Pipe ABS 03200 0600 2"" x 10' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,ABS Pipe,18.40,10,0.34,3.4,
SHAR-25406A,"SharkBite 25406A 10' x 2"" Silicone Wrap",SharkBite,Push Fittings,15.09,10,0.33,3.3,
PVCP-200-10-SCH40-BE,"Charlotte Pipe PVC 04015B 0600 2"" x 10' PVC SCH40 Belled End Pipe",Charlotte Pipe,PVC SCH40 Belled End,14.80,10,0.56,5.6,
PVCP-200-10-SCH40-PE,"Charlotte Pipe PVC 07200 0600 2"" x 10' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,14.80,10,0.56,5.6,
BLIP-050-TBE,"Valencia Pipe 1/2"" x 10' Black Steel Pipe SCH40 A53 Threaded Both Ends Import",Valencia Pipe,Threaded Both Ends 10' Lengths,14.80,10,0.85,8.5,
VEGA-68434,"Viega 68434 1/2"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,Tubing Support,14.75,10,0.05,0.5,
PVCP-100-SCH40-PE,"Charlotte Pipe PVC 04010 0800 1"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,14.40,20,0.54,10.8,
HGRI-050-5010-EG,"nVent Caddy 0505010EG 1/2"" x 10' Threaded Rod, Steel, EG",nVent Caddy,All Thread Rod,13.60,10,0.51,5.1,
ABSP-150-10,"Charlotte Pipe ABS 03112 0600 1-1/2"" x 10' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,ABS Pipe,13.50,10,0.26,2.6,
CPVP-075-10-V,"Charlotte Pipe CTS 12007-10 3/4"" x 10' FlowGuard Gold CPVC Pipe",Charlotte Pipe,CPVC Pipe,11.60,10,0.14,1.4,
PVCP-125-10-SCH40-PE,"Charlotte Pipe PVC 07100 0600 1-1/4"" x 10' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,9.30,10,0.54,5.4,
PVCP-075-SCH40-PE,"Charlotte Pipe PVC 04007 0800 3/4"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,9.20,20,0.54,10.8,
VEGA-33020,"Viega 33020 1/2"" x 20' White PureFlow PEX Tubing",Viega,Non-Barrier Tubing,8.60,20,1.07,21.4,
VEGA-33120,"Viega 33120 1/2"" x 20' Red PureFlow PEX Tubing",Viega,Non-Barrier Tubing,8.60,20,1.07,21.4,
VEGA-33240,"Viega 33240 1/2"" x 20' Blue PureFlow PEX Tubing",Viega,Non-Barrier Tubing,8.60,20,0.05,1.0,
PVCP-050-SCH40-PE,"Charlotte Pipe PVC 04005 0800 1/2"" x 20' PVC SCH40 Plain End Pipe",Charlotte Pipe,PVC SCH40 Plain End,7.20,20,0.54,10.8,
PVCP-100-10-SCH40-BE,"Charlotte Pipe PVC 04010B 0600 1"" x 10' PVC SCH40 Belled End Pipe",Charlotte Pipe,PVC SCH40 Belled End,7.20,10,0.63,6.3,
CPVP-050-10-V,"Charlotte Pipe CTS 12005-10 1/2"" x 10' FlowGuard Gold CPVC Pipe",Charlotte Pipe,CPVC Pipe,7.00,10,0.08,0.8,
HGRI-050-3710-EG,"nVent Caddy 0503710EG 3/8"" x 10' Threaded Rod, Steel, EG",nVent Caddy,All Thread Rod,6.10,10,0.28,2.8,
ANVI-AS200-EH-20-GR,Anvil 1-5/8 x 20' Green Strut with Elongated Holes,Anvil,Strut (Channel),5.31,20,1.89,37.8,
ANVI-AS500-EH-20-GR,"Anvil 13/16"" x 20' Green Strut with Elongated Holes",Anvil,Strut (Channel),3.66,20,1.89,37.8,
HGRI-050-2510-EG,"nVent Caddy 0502510EG 1/4"" x 10' Threaded Rod, Steel, EG",nVent Caddy,All Thread Rod,3.50,10,0.52,5.2,
