vendor,sku,part_number,orders,unidades,receita,keywords_exact_sugeridas,impr_gsc_com_esse_pn,queries_gsc_exemplo,titulo
"Woodford Manufacturing Company, LLC",WOOD-67P-6,67P-6,1,1,387.0,[67p-6] | [woodford 67p-6],0,,"Woodford 67P-6 Model 67 - Freezeless Hydrants FIP, 3/4"" Connection, Wall Depth -"
Rheem Manufacturing,RHEE-AP23528,AP23528,2,2,339.36,[ap23528] | [rheem ap23528],0,,Rheem AP23528 Duct Diverter
Grohe,GROH-47.157000,,1,2,327.6,,0,,Pressure Balance Valve Cartridge in GROHE CHROME 47157000
Resideo,HONE-T498B1512/U,T498B1512/U,1,6,308.28,[t498b1512] | [resideo t498b1512],0,,Resideo T498B1512/U Brush Gold Baseboard Electric Heat Thermostat
Grohe,GROH-19.494001,,1,1,279.45,,0,,Dual Function Pressure Balance Trim in GROHE CHROME 19494001
Blanco,BLAN-240332,,1,1,252.0,,0,,Blanco Color-Coordinated Metal Waste Flange - Truffle
Toto,TOTO-TS211T-CP,TS211T#CP,1,1,250.02,[ts211t#cp] | [toto ts211t#cp],0,,"TOTO® Keane™ Thermostatic Mixing Valve Trim, Polished Chrome - TS211T#CP"
Resideo,HONE-ZD10X18TZ/U,ZD10X18TZ/U,1,1,232.38,[zd10x18tz] | [resideo zd10x18tz],0,,Resideo ZD10X18TZ/U 10 in x 18 in Parallel Blade Damper
Axiom,AXIM-NC-1S,NC-1S,1,2,231.04,[nc-1s] | [axiom nc-1s],0,,Axiom NC-1S Streaker Neutrapal Condensate Neutralization Kit
Resideo,HONE-ZD10X16TZ/U,ZD10X16TZ/U,1,1,214.97,[zd10x16tz] | [resideo zd10x16tz],0,,Resideo ZD10X16TZ/U 10 in x 16 in Parallel Blade Damper
Grohe,GROH-26.465EN0,26465EN0,1,1,205.03,[26465en0] | [grohe 26465en0],0,,"Grohe 26465EN0 Stick Hand Shower - 1 Spray, 1.75 gpm in GROHE BRUSHED NICKEL"
Oatey,OATE-30818,,1,27,198.45,,0,,"Oatey® 30818 4 oz. All-Purpose ABS, PVC and CPVC Clear Cement"
DiversiTech,DIVE-U3660-3,,1,1,191.64,,0,,"DiversiTech Universal 36"" x 60"" x 3"" Concrete Equipment Pad"
Resideo,HONE-TH3210U2004/U,TH3210U2004/U,1,4,185.12,[th3210u2004] | [resideo th3210u2004],0,,Resideo T3 Pro Non-Programmable Thermostat TH3210U2004/U
InSinkErator,ISED-BADGER-1WC,76039A,1,1,159.7,[76039a] | [insinkerator 76039a],0,,InSinkErator 76039A - Badger® (1/3 HP) - Continuous Feed
HoldRite,HOLD-HF-PC-0300,HF-PC-0300,1,6,156.06,[hf-pc-0300] | [holdrite hf-pc-0300],0,,HoldRite HF-PC-0300 HydroFlame Intumescent Pipe Collar - 3-in
TurboTorch,TURB-T-6,,1,1,137.1,,0,,TurboTorch T-6 TIP LP NO. 6 T Series Map-Pro/LP self lighting tips
Legend Valve,LEGE-108-029NL,,1,2,134.76,,0,,"Legend Valve 3/4"" x 8"" - MIP/FIP x MGHT, No Lead Forged Brass Multi-Turn Frostfr"
Delta,DELT-RP101845BL,RP101845BL,1,1,132.3,[rp101845bl] | [delta rp101845bl],0,,Delta RP101845BL Modern Tub Spout Pull Up Diverter Matte Black
Duravit,DURA-1006910000,,1,1,131.62,,0,,"Duravit 1006910000 Supply Hose, Toilet Part"
Resideo,HONE-RC840/U,RC840/U,1,2,120.04,[rc840] | [resideo rc840],0,,Resideo RC840/U Electromechanical Relay Without Transformer
Sioux Chief,SIOU-687-2XD,,1,2,111.12,,0,,"Sioux Chief 687-2XD 1/2"" PEX F1807 Single Valve Service Box"
IPS Corporation,IPSC-20342,,1,1,108.33,,0,,"IPS 3"" or 4"" Push Fit Maxi-Vent"
Sioux Chief,SIOU-598-023,,1,4,107.92,,0,,Sioux Chief 598-023 3 Piece Expansion Tank Bracket Water Heater Mounted
Dearborn,DEAR-ADA101,,1,2,106.1,,0,,Dearborn® Safety Series Brass & Plastic P-Trap Full Cover Kit - Straight Grid Dr
Mill Rose,MILL-61210,,1,30,99.0,,0,,"Mill Rose 61210 1/2""ID,FTG.BRUSH,6100 SERIES"
Navien,NAVI-GWFC110GD001,,1,1,87.5,,0,,Navien PeakFlow S E Replacement Filter
MaxiPro,MAXI-078-TEE,MPA5T,1,1,66.5,[mpa5t] | [maxipro mpa5t],0,,"MaxiPro MPA5T 007070701 7/8"" ACR Press Fitting - TEE"
Armacell,INSL-58DT,6IL068058,1,6,56.88,[6il068058] | [armacell 6il068058],0,,"Armacell 6IL068058 5/8"" x 3/4"" wall, Elastomeric Pipe Insulation with a flexible"
Suntemp,SUNT-SEL-3,SEL-3,2,4,55.92,[sel-3] | [suntemp sel-3],0,,"Suntemp SEL-3 3"" Baseboard End Cap Left Side - 700 Series"
MaxiPro,MAXI-038-TEE,MPA5T,1,1,51.7,[mpa5t] | [maxipro mpa5t],0,,"MaxiPro MPA5T 003030301 3/8"" ACR Press Fitting - TEE"
Navien,NAVI-GXXX001769,GXXX001769,1,2,51.66,[gxxx001769] | [navien gxxx001769],0,,Navien GXXX001769 Universal Temperature Sensor
Navien,NAVI-30010747A,,1,3,45.0,,0,,"Navien 2"" Wall Flange and Vent Terminator Kit"
Suntemp,SUNT-SER-3,SER-3,1,3,41.94,[ser-3] | [suntemp ser-3],0,,"Suntemp SER-3 3"" Baseboard End Cap Right Side - 700 Series"
nVent Caddy,HGRI-454005,,1,10,35.7,,0,,"nVent CADDY Superfix 454 Standard Duty, 1.024""-1.102"" (26.7-28.6 mm) OD, 3/4"" Pi"
Toto,TOTO-THU441.10J-A,THU441.10J-A,1,1,23.43,[thu441.10j-a] | [toto thu441.10j-a],0,,Toto USA THU441.10J-A - Drain Valve Assembly for CST754SF 1.6 GPF Elongated Toil
Sioux Chief,SIOU-614-8L,,1,1,9.0,,0,,"Sioux Chief 1/2"" MIP Stub-Out Bullet"
Toto,TOTO-9BU024E,9BU024E,1,1,8.69,[9bu024e] | [toto 9bu024e],0,,"Toto USA 9BU024E - 3"", Tank to Bowl Gasket for Whitney CST754EFN 1.28 GPF Elonga"
Sioux Chief,SIOU-699RF,699RF,1,3,5.58,[699rf] | [sioux 699rf],0,,Sioux Chief 699RF Proplate Fire Rated Frame
Canplas,CANP-112332,,1,1,3.63,,0,,"Canplas 112332 1-1/2"" x 1-1/2"" x 7/8"" ABS Appliance WYE"
Canplas,CANP-112321,,1,1,2.29,,0,,"Canplas 112321 1-1/2"" x 1-1/2"" x 5/8"" ABS Appliance WYE"
