Handle,Command,Title,Vendor,SEO Title,SEO Description
l5-wifi-actuator-with-1-in-npt-ball-valve,UPDATE,Honeywell Home VWS02Y-1 L5 WiFi Actuator with 1 in NPT Ball Valve,Honeywell Home,Honeywell Home VWS02Y-1 L5 WiFi Actuator with 1 in NPT Ball Valve,Honeywell Home L5 WiFi Actuator with 1 in NPT Ball Valve. MPN VWS02Y-1. Motorized shutoff closes the supply when a leak is reported.
l5-wifi-power-adapter-for-north-america,UPDATE,Honeywell Home VB-SP02Y-003 L5 WiFi Power Adapter for North America,Honeywell Home,Honeywell Home VB-SP02Y-003 L5 WiFi Power Adapter for North America,Honeywell Home L5 WiFi Power Adapter for North America. MPN VB-SP02Y-003. Powers an L5 WiFi shutoff device on a North American supply.
l5-wifi-replacement-actuator,UPDATE,Honeywell Home VB-SP02Y-002 L5 WiFi Replacement Actuator,Honeywell Home,Honeywell Home VB-SP02Y-002 L5 WiFi Replacement Actuator,Honeywell Home L5 WiFi Replacement Actuator. MPN VB-SP02Y-002. Replaces the actuator on an L5 WiFi shutoff already in the line.
2-wire-iaq-high-definition-color-touchscreen-white-front-white-side-thermostat-with-redlink-technology,UPDATE,Honeywell Home THX9421R5021WW/U 2-Wire IAQ high definition color touchscreen white front/white side thermostat with RedLINK® technology,Honeywell Home,Honeywell Home THX9421R5021WW/U thermostat,Honeywell Home 2-Wire IAQ high definition color touchscreen white front/white side thermostat. MPN THX9421R5021WW/U.
wiresaver-a-c-wire-adapter-for-wi-fi-thermostats-or-redlink-8000-series-models,UPDATE,"Honeywell Home THP9045A1023/U WireSaver, a C-Wire Adapter for Wi-Fi thermostats or RedLINK 8000 series models",Honeywell Home,Honeywell Home THP9045A1023/U a C-Wire Adapter,"Honeywell Home WireSaver, a C-Wire Adapter for Wi-Fi thermostats or RedLINK 8000 series models. MPN THP9045A1023/U."
white-coverplate-assembly-for-use-with-the-prestige-2-wire-iaq-thermostat,UPDATE,Honeywell Home THP2400A1027W/U White Coverplate assembly for use with the Prestige® 2-Wire IAQ Thermostat,Honeywell Home,Honeywell Home THP2400A1027W/U White Coverplate assembly,Honeywell Home White Coverplate assembly for use with the Prestige® 2-Wire IAQ Thermostat. MPN THP2400A1027W/U.
coverplate-assembly-for-use-with-the-redlink-visionpro,UPDATE,Honeywell Home THP2400A1019/U Coverplate assembly for use with the RedLINK® VisionPRO®,Honeywell Home,Honeywell Home THP2400A1019/U Coverplate assembly,Honeywell Home Coverplate assembly for use with the RedLINK® VisionPRO®. MPN THP2400A1019/U. Small part that keeps a thermostat job looking finished.
prestige-2-wire-iaq-equipment-interface-module,UPDATE,Honeywell Home THM5421R1021/U Prestige® 2-Wire IAQ Equipment Interface Module,Honeywell Home,Honeywell Home THM5421R1021/U Prestige® 2-Wire IAQ Equipment Interface Module,Honeywell Home Prestige® 2-Wire IAQ Equipment Interface Module. MPN THM5421R1021/U. Honeywell Home RedLINK numbering carries over to the Resideo catalog.
wireless-adapter-for-use-with-redlink-enabled-thermostats-and-truezone-system,UPDATE,Honeywell Home THM4000R1000/U Wireless Adapter for Use With RedLINK®-Enabled Thermostats and TrueZONE® System,Honeywell Home,Honeywell Home THM4000R1000/U Wireless Adapter,Honeywell Home Wireless Adapter for Use With RedLINK®-Enabled Thermostats and TrueZONE® System. MPN THM4000R1000/U.
wifi-9000-color-touchscreen-thermostat,UPDATE,Honeywell Home TH9320WF5003/U WiFi 9000 Color Touchscreen Thermostat,Honeywell Home,Honeywell Home TH9320WF5003/U WiFi 9000 Color Touchscreen Thermostat,Honeywell Home WiFi 9000 Color Touchscreen Thermostat. MPN TH9320WF5003/U. Check the wiring and the C terminal before moving to a connected control.
wi-fi-visionpro-8000-for-residential-or-commercial-use-stages-up-to-up-to-3-heat-2-cool,UPDATE,Honeywell Home TH8321WF1001/U Wi-Fi VisionPRO® 8000 for residential or commercial use. Stages up to Up to 3 Heat / 2 Cool.,Honeywell Home,Honeywell Home Wi-Fi VisionPRO® 8000 for residential or commercial,"Honeywell Home Wi-Fi VisionPRO 8000 Thermostat, MPN TH8321WF1001/U. Wi-Fi thermostat for residential and commercial use, staging up to three heat and two cool."
visionpro-8000-with-redlink-technology-for-residential-or-commercial-use-stages-up-to-1-heat-1-cool,UPDATE,Honeywell Home TH8110R1008/U VisionPRO® 8000 with RedLINK® technology for residential or commercial use. Stages up to 1 Heat / 1 Cool,Honeywell Home,Honeywell Home VisionPRO® 8000 with RedLINK® technology,Honeywell Home VisionPRO® 8000 with RedLINK® technology for residential or commercial use. Stages up. MPN TH8110R1008/U.
focuspro-6000-5-1-1-programmable-wireless-thermostat,UPDATE,Honeywell Home TH6320R1004/U FocusPRO® 6000 5-1-1 programmable wireless thermostat,Honeywell Home,Honeywell Home TH6320R1004/U 6000 5-1-1 programmable wireless thermostat,"Honeywell Home FocusPRO® 6000 5-1-1 programmable wireless thermostat. MPN TH6320R1004/U. Spec by heat and cool stages, then by mounting."
t6-pro-smart-thermostat-multi-stage-2-heat-2-cool,UPDATE,Honeywell Home TH6220WF2006/U T6 Pro Smart Thermostat Multi-Stage 2 Heat/2 Cool,Honeywell Home,Honeywell Home TH6220WF2006/U T6 Pro Smart Thermostat,Honeywell Home T6 Pro Smart Thermostat Multi-Stage 2 Heat/2 Cool. MPN TH6220WF2006/U. Wi-Fi wall control for a residential heating and cooling system.
redlink-equipment-remote-module,UPDATE,Honeywell Home ERM5220R1018/U RedLINK® Equipment Remote Module,Honeywell Home,Honeywell Home ERM5220R1018/U RedLINK® Equipment Remote Module,Honeywell Home RedLINK® Equipment Remote Module. MPN ERM5220R1018/U. RedLINK devices pair wirelessly with a compatible Resideo thermostat.
l1-wifi-water-leak-and-freeze-detector-and-sensor-cable,UPDATE,Honeywell Home CHW3610W8001/U L1 WiFi Water Leak and Freeze Detector and Sensor Cable,Honeywell Home,Honeywell Home L1 WiFi Water Leak and Freeze Detector and Sensor,Honeywell Home L1 WiFi Water Leak and Freeze Detector and Sensor Cable. MPN CHW3610W8001/U. Catches water before it reaches the floor and the drywall.
return-duct-backup-control-of-non-zoned-redlink-enabled,UPDATE,Honeywell Home C7735A1000/U Return Duct: Backup Control of Non-Zoned RedLINK®-Enabled,Honeywell Home,Honeywell Home Return Duct: Backup Control of Non-Zoned,Honeywell Home Return Duct: Backup Control of Non-Zoned RedLINK®-Enabled. MPN C7735A1000/U. Adds remote sensing or equipment control to a RedLINK system.
redlink-enabled-wireless-indoor-air-sensor,UPDATE,Honeywell Home C7189R1004/U RedLINK®-Enabled Wireless Indoor Air Sensor,Honeywell Home,Honeywell Home C7189R1004/U RedLINK®-Enabled Wireless Indoor Air Sensor,Honeywell Home RedLINK®-Enabled Wireless Indoor Air Sensor. MPN C7189R1004/U. Honeywell Home RedLINK numbering carries over to the Resideo catalog.
c7089r1013-redlink-outdoor-temperature-and-humidity-sensor,UPDATE,Honeywell Home C7089R1013/U C7089R1013 RedLINK® Outdoor Temperature and Humidity Sensor,Honeywell Home,Honeywell Home C7089R1013/U C7089R1013 Temperature and Humidity Sensor,Honeywell Home C7089R1013 RedLINK® Outdoor Temperature and Humidity Sensor. MPN C7089R1013/U. Adds remote sensing or equipment control to a RedLINK system.
