variant_id,sku,perfil_anterior,perfil_novo
gid://shopify/ProductVariant/50331155169383,HONE-F200F2020/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331155464295,HONE-F200F2025/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331155431527,HONE-F300E1019/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331155529831,HONE-F300E1035/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331136262247,HONE-32006027-001/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331155726439,HONE-FC100A1045/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156021351,HONE-FC100A1052/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156086887,HONE-FC200E1003/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156119655,HONE-FC200E1011/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156152423,HONE-FC2200A1009/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156185191,HONE-FC313R1414/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156217959,HONE-FC313R1424/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156250727,HONE-FC313R1818/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156349031,HONE-FC313R2020/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156381799,HONE-FC313R2024/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156414567,HONE-FC313R2025/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156447335,HONE-FC313R2030/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156480103,HONE-FC313R2036/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156709479,HONE-FC40R1003/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156676711,HONE-FC40R1011/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156742247,HONE-FC40R1037/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156807783,HONE-FC40R1045/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156840551,HONE-FC40R1052/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156873319,HONE-FC40R1060/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156906087,HONE-FC40R1078/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156938855,HONE-FC40R1094/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331156971623,HONE-FC40R1102/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331157004391,HONE-FC40R1110/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331157037159,HONE-FC40R1128/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331157069927,HONE-FC40R1136/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331157397607,HONE-FC40R1144/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331157430375,HONE-FC40R1169/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331157463143,HONE-FC40R1177/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331157495911,HONE-FC40R1185/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331157528679,HONE-FC40R1830/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331158708327,HONE-FR8000A1620/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331158741095,HONE-FR8000A2020/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331158839399,HONE-FR8000A2520/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331158872167,HONE-FR8000F1625/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331158904935,HONE-FR8000F2025/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331164967015,HONE-POPUP1620/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331165032551,HONE-POPUP1625/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331165098087,HONE-POPUP2020/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331165065319,HONE-POPUP2025/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175780455,HONE-TRN1427T1/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175813223,HONE-TRN1727T1/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175845991,HONE-TRN2121T1/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175878759,HONE-TRN2127T1/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175911527,HONE-TRN2321T1/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175944295,HONE-TRN2427T1/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175977063,HONE-TRN2621T1/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149172839,HONE-AT140B1016/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331141374055,HONE-50041861-002/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159232615,HONE-HC26A1008/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159265383,HONE-HE100A1000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159298151,HONE-HE105A1000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159330919,HONE-HE150A1005/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159396455,HONE-HE200A1000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159461991,HONE-HE205A1000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159494759,HONE-HE250A1005/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159527527,HONE-HE365A1000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331159855207,HONE-HM750AHOSEKIT/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175288935,HONE-TK300-30A-1FM/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175321703,HONE-TK300-30A-2FM/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175420007,HONE-TK30PV100FM/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175452775,HONE-TK30PV100NK/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175518311,HONE-TK30PV125NK/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175551079,HONE-TK60PV125FMNC/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175583847,HONE-TK60PV125SFMNC/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175616615,HONE-TK60PV150NK/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175649383,HONE-TK60PV150PNKP/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175682151,HONE-TK60PV150SNK/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175714919,HONE-TK60PV200NK/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331148550247,HONE-AP400/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331148583015,HONE-AP401/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331148615783,HONE-AP402/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331160576103,HONE-HYDROSEP-107-F/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331160641639,HONE-HYDROSEP-108-F/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331160674407,HONE-HYDROSEP-109-F/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331172798567,HONE-TAXV-040/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331172831335,HONE-TAXV-060/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331172864103,HONE-TAXV-080/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331172929639,HONE-TAXV-100/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331172962407,HONE-TAXV-120/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331172995175,HONE-TAXV-144/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331173027943,HONE-TAXV-180/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331173060711,HONE-TAXV-200/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331173093479,HONE-TAXV-240/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331173126247,HONE-TAXV-260/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331173159015,HONE-TAXV-280/U,General profile,THS Freight & Oversize
gid://shopify/ProductVariant/50331175223399,HONE-TK300-15/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175256167,HONE-TK300-30/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175354471,HONE-TK300-60/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331175387239,HONE-TK300-90/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331176108135,HONE-TX-12/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331176140903,HONE-TX-25V/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331176173671,HONE-TX-5/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331184922727,HONE-XPS-030V/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331184955495,HONE-XPS-040V/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331184988263,HONE-XPS-060V/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331185021031,HONE-XPS-090V/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331185184871,HONE-XPS-110V/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331185217639,HONE-XPS-160V/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331173421159,HONE-TG512A1009/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331174469735,HONE-THP2400A1075/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331135803495,HONE-272858/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149041767,HONE-AT120A1004/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149074535,HONE-AT140A1000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149107303,HONE-AT140A1018/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149140071,HONE-AT140A1042/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149205607,HONE-AT150B1146/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149238375,HONE-AT150B1237/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149533287,HONE-AT72D1188/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149598823,HONE-AT72D1725/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149631591,HONE-AT72D1733/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331149664359,HONE-AT72D1956/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331169357927,HONE-R8285B1053/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331169390695,HONE-R8285D5001/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331148222567,HONE-AM206-042LF/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331182399591,HONE-VNT5150H2000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331182563431,HONE-VNT5200H2000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331141570663,HONE-50053952-001/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331141603431,HONE-50053952-002/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331142586471,HONE-50063805-007/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331143635047,HONE-900748,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331143602279,HONE-901246,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331143667815,HONE-901443,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331143733351,HONE-901446,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331143766119,HONE-901447,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331143864423,HONE-901499,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331151859815,HONE-CAMWE-WOBB,General profile,THS Standard - no free shipping
