Handle,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve-with-18-in-lead-wires-hone-v8043e5061-u,UPDATE,"{""value"": 6.38, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-c-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-c-zone-valve-hone-v8044e1011-u,UPDATE,"{""value"": 6.81, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-c-zone-valve-with-18-in-lead-wires,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-c-zone-valve-with-18-in-lead-wires-hone-v8043e1061-u,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-o-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-dual-slow-opening-gas-valve-with-step-opening-single-stage,UPDATE,"{""value"": 7.38, ""unit"": ""in""}","{""value"": 6.06, ""unit"": ""in""}","{""value"": 4.69, ""unit"": ""in""}"
24c-vac-2-pole-economy-definite-purpose-contactor,UPDATE,"{""value"": 4.37, ""unit"": ""in""}","{""value"": 5.3, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}"
277-vac-2-pole-deluxe-definite-purpose-contactor,UPDATE,"{""value"": 4.2, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}","{""value"": 5.31, ""unit"": ""in""}"
3-375ast-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 34.88, ""unit"": ""in""}","{""value"": 13.75, ""unit"": ""in""}","{""value"": 24.5, ""unit"": ""in""}"
3-4-1-975xl-xl2-complete-repair-kit,UPDATE,"{""value"": 4.6, ""unit"": ""in""}","{""value"": 7.3, ""unit"": ""in""}","{""value"": 7.6, ""unit"": ""in""}"
3-4-1-fitting-compatible-with-model-975lx-975xl2,UPDATE,"{""value"": 5.1, ""unit"": ""in""}","{""value"": 5.1, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
3-4-1-model-950xl-standard-repair-kit,UPDATE,"{""value"": 4.6, ""unit"": ""in""}","{""value"": 7.3, ""unit"": ""in""}","{""value"": 7.6, ""unit"": ""in""}"
3-4-1-model-975xl-xl2-rubber-repair-kit,UPDATE,"{""value"": 10.9, ""unit"": ""in""}","{""value"": 10.4, ""unit"": ""in""}","{""value"": 7.3, ""unit"": ""in""}"
3-4-350xl-double-check-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 14.0, ""unit"": ""in""}","{""value"": 6.6, ""unit"": ""in""}","{""value"": 7.6, ""unit"": ""in""}"
3-4-600xlpressure-reducing-valve,UPDATE,"{""value"": 7.5, ""unit"": ""in""}","{""value"": 4.8, ""unit"": ""in""}","{""value"": 7.5, ""unit"": ""in""}"
3-4-70xl-pressure-reducing-valve,UPDATE,"{""value"": 7.5, ""unit"": ""in""}","{""value"": 4.8, ""unit"": ""in""}","{""value"": 7.5, ""unit"": ""in""}"
3-4-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 12.0, ""unit"": ""in""}","{""value"": 8.59, ""unit"": ""in""}","{""value"": 4.94, ""unit"": ""in""}"
3-4-in-npt-connection-supervent-air-eliminator,UPDATE,"{""value"": 9.4, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}","{""value"": 3.9, ""unit"": ""in""}"
3-4-in-sweat-connection-supervent-air-eliminator,UPDATE,"{""value"": 9.4, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}","{""value"": 3.9, ""unit"": ""in""}"
3-4-in-water-filter,UPDATE,"{""value"": 19.69, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}","{""value"": 5.81, ""unit"": ""in""}"
3-4-in-x-3-4-in-universal-24-vac-standard-opening-ignition-gas-valve,UPDATE,"{""value"": 7.38, ""unit"": ""in""}","{""value"": 6.06, ""unit"": ""in""}","{""value"": 4.69, ""unit"": ""in""}"
3-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
3-ductile-iron-wye-type-strainer,UPDATE,"{""value"": 14.6, ""unit"": ""in""}","{""value"": 9.4, ""unit"": ""in""}","{""value"": 12.6, ""unit"": ""in""}"
3-pole-120-vac-powerpro-definite-purpose-contactor,UPDATE,"{""value"": 5.1, ""unit"": ""in""}","{""value"": 5.62, ""unit"": ""in""}","{""value"": 4.4, ""unit"": ""in""}"
3-pole-208-240-vac-powerpro-definite-purpose-contactor,UPDATE,"{""value"": 5.1, ""unit"": ""in""}","{""value"": 5.62, ""unit"": ""in""}","{""value"": 4.4, ""unit"": ""in""}"
3-pole-208-240-vac-powerpro-definite-purpose-contactor-hone-dp3040c5001-u,UPDATE,"{""value"": 5.1, ""unit"": ""in""}","{""value"": 5.62, ""unit"": ""in""}","{""value"": 4.4, ""unit"": ""in""}"
3-pole-24-vac-powerpro-definite-purpose-contactor,UPDATE,"{""value"": 5.1, ""unit"": ""in""}","{""value"": 5.62, ""unit"": ""in""}","{""value"": 4.4, ""unit"": ""in""}"
3-pole-24-vac-powerpro-definite-purpose-contactor-hone-dp3040a5003-u,UPDATE,"{""value"": 5.1, ""unit"": ""in""}","{""value"": 5.62, ""unit"": ""in""}","{""value"": 4.4, ""unit"": ""in""}"
3-temperature-and-pressure-relief-valve,UPDATE,"{""value"": 8.5, ""unit"": ""in""}","{""value"": 3.25, ""unit"": ""in""}","{""value"": 3.25, ""unit"": ""in""}"
4-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
4-part-spud-escutcheon-and-coupling-assembly-1-1-2,UPDATE,"{""value"": 9.0, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
4-temperature-and-pressure-relief-valve,UPDATE,"{""value"": 8.5, ""unit"": ""in""}","{""value"": 3.25, ""unit"": ""in""}","{""value"": 3.25, ""unit"": ""in""}"
4-temperature-and-pressure-relief-valve-wilk-tp1100a-4c-150c,UPDATE,"{""value"": 8.5, ""unit"": ""in""}","{""value"": 3.25, ""unit"": ""in""}","{""value"": 3.25, ""unit"": ""in""}"
5-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 7.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
50va-multi-mount-transformer,UPDATE,"{""value"": 5.19, ""unit"": ""in""}","{""value"": 4.19, ""unit"": ""in""}","{""value"": 5.62, ""unit"": ""in""}"
6-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 8.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
7-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 9.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
700xl-dual-check-valve-with-1-2-female-union-inlet-x-1-2-female-outlet,UPDATE,"{""value"": 6.1, ""unit"": ""in""}","{""value"": 4.3, ""unit"": ""in""}","{""value"": 4.1, ""unit"": ""in""}"
8-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 10.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
9-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 11.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
90-pt-whole-home-dehumidification-system,UPDATE,"{""value"": 16.3, ""unit"": ""in""}","{""value"": 21.3, ""unit"": ""in""}","{""value"": 34.2, ""unit"": ""in""}"
975xl-complete-rubber-repair-kit-compatible-with-the-1-1-4-2-model-975xl-and-975xl2,UPDATE,"{""value"": 10.9, ""unit"": ""in""}","{""value"": 10.4, ""unit"": ""in""}","{""value"": 7.3, ""unit"": ""in""}"
