Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,preco,lambda_antes,lambda_depois,titulo
3-4-x-3-8-black-iron-bushing,UPDATE,UPDATE,BLIF-075.038-BSH,0.125,lb,521-942,0.52,0.125,4.16,3.15,0.1651,0.0397,"Mueller Streamline 521-942 3/4"" x 3/8"" Black Iron Bushing"
5-8-copper-sweat-fittings-90-degree-long-turn-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-058-LTST90-C,0.094,lb,W 02828,0.39,0.094,4.15,15.3,0.0255,0.0061,"Mueller Streamline W 02828 5/8"" Copper Sweat Fittings - 90 Degree Long Turn Street Elbow Ftg x C"
1-2-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-050.100-TEE,0.529,lb,520-335,2.04,0.529,3.86,8.48,0.2406,0.0624,"Mueller Streamline 520-335 1/2"" x 1/2"" x 1"" Black Iron Tee"
1-4-copper-sweat-fittings-45-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-025-45EL-C,0.013,lb,W 03012,0.05,0.013,3.85,9.88,0.0051,0.0013,"Mueller Streamline W 03012 1/4"" Copper Sweat Fittings - 45 Degree Elbow C x C"
3-8-copper-sweat-fittings-cap-c,UPDATE,UPDATE,COPF-038-CAP-C,0.013,lb,W 07006,0.05,0.013,3.85,2.59,0.0193,0.005,"Mueller Streamline W 07006 3/8"" Copper Sweat Fittings - Cap C"
3-4-x-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-075.025-BSH,0.126,lb,521-941,0.47,0.126,3.73,3.15,0.1492,0.04,"Mueller Streamline 521-941 3/4"" x 1/4"" Black Iron Bushing"
3-4-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-075.018-BSH,0.143,lb,521-940,0.52,0.143,3.64,3.15,0.1651,0.0454,"Mueller Streamline 521-940 3/4"" x 1/8"" Black Iron Bushing"
3-8-black-iron-cap,UPDATE,UPDATE,BLIF-038-CAP,0.08,lb,521-402,0.29,0.08,3.62,2.35,0.1234,0.034,"Mueller Streamline 521-402 3/8"" Black Iron Cap"
3-4-carbon-steel-press-fittings-gas-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-075-MA-G,0.262,lb,CP01146G,0.95,0.262,3.62,37.2,0.0255,0.0071,"Mueller Streamline CP01146G 3/4"" Carbon Steel Press Fittings - Gas - Male Adapter P x MPT"
3-8-x-1-4-copper-sweat-fittings-flush-bushing-ftg-x-c,UPDATE,UPDATE,COPF-038.025-FLB-C,0.014,lb,W 01712,0.05,0.014,3.57,3.06,0.0163,0.0046,"Mueller Streamline W 01712 3/8"" x 1/4"" Copper Sweat Fittings - Flush Bushing Ftg x C"
3-4-carbon-steel-press-fittings-mechanical-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-075-MA,0.262,lb,CP01146,0.9,0.262,3.43,35.34,0.0255,0.0074,"Mueller Streamline CP01146 3/4"" Carbon Steel Press Fittings - Mechanical - Male Adapter P x MPT"
3-8-x-1-4-copper-sweat-fittings-fitting-reducer-ftg-x-c,UPDATE,UPDATE,COPF-038.025-FTR-C,0.015,lb,W 01312,0.05,0.015,3.33,3.92,0.0128,0.0038,"Mueller Streamline W 01312 3/8"" x 1/4"" Copper Sweat Fittings - Fitting Reducer Ftg x C"
3-8-x-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-038.025-CPL,0.11,lb,521-321,0.35,0.11,3.18,2.91,0.1203,0.0378,"Mueller Streamline 521-321 3/8"" x 1/4"" Black Iron Coupling"
3-8-black-iron-elbow-45,UPDATE,UPDATE,BLIF-038-45EL,0.136,lb,520-202,0.43,0.136,3.16,3.38,0.1272,0.0402,"Mueller Streamline 520-202 3/8"" Black Iron Elbow - 45°"
1-8-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-018-MA-C,0.016,lb,W 01107,0.05,0.016,3.12,24.55,0.002,0.0007,"Mueller Streamline W 01107 1/8"" Copper Sweat Fittings - Male Adapter C x MPT"
3-4-black-iron-plug,UPDATE,UPDATE,BLIF-075-PLG,0.101,lb,521-804,0.31,0.101,3.07,1.64,0.189,0.0616,"Mueller Streamline 521-804 3/4"" Black Iron Plug"
3-4-galvanized-plug,UPDATE,UPDATE,GAIF-075-PLG-G,0.101,lb,511-804,0.31,0.101,3.07,2.96,0.1047,0.0341,"Mueller Streamline 511-804 3/4"" - Galvanized Plug"
3-8-black-iron-union,UPDATE,UPDATE,BLIF-038-UNI,0.32,lb,521-702,0.96,0.32,3.0,8.32,0.1154,0.0385,"Mueller Streamline 521-702 3/8"" Black Iron Union"
1-4-black-iron-tee,UPDATE,UPDATE,BLIF-025-TEE,0.143,lb,520-601,0.42,0.143,2.94,3.63,0.1157,0.0394,"Mueller Streamline 520-601 1/4"" Black Iron Tee"
1-4-copper-fittings-cleaned-bagged-90-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-025-90EL,0.017,lb,W 02009R,0.05,0.017,2.94,7.33,0.0068,0.0023,"Mueller Streamline W 02009R 1/4"" Copper Fittings - Cleaned & Bagged - 90 Degree Elbow C x C"
1-4-galvanized-tee,UPDATE,UPDATE,GAIF-025-TEE-G,0.143,lb,510-601,0.42,0.143,2.94,4.0,0.105,0.0358,"Mueller Streamline 510-601 1/4"" - Galvanized Tee"
3-8-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-038-ST90,0.15,lb,520-302,0.44,0.15,2.93,3.63,0.1212,0.0413,"Mueller Streamline 520-302 3/8"" Black Iron Elbow - 90° (Street)"
3-8-galvanized-street-elbow-90,UPDATE,UPDATE,GAIF-038-ST90-G,0.15,lb,510-302,0.44,0.15,2.93,4.23,0.104,0.0355,"Mueller Streamline 510-302 3/8"" - Galvanized Street Elbow - 90°"
1-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-025-90EL,0.11,lb,520-001,0.32,0.11,2.91,2.4,0.1333,0.0458,"Mueller Streamline 520-001 1/4"" Black Iron Elbow - 90°"
1-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-025-90EL-G,0.11,lb,510-001,0.32,0.11,2.91,3.07,0.1042,0.0358,"Mueller Streamline 510-001 1/4"" - Galvanized Elbow - 90°"
1-2-black-iron-plug,UPDATE,UPDATE,BLIF-050-PLG,0.084,lb,521-803,0.24,0.084,2.86,1.64,0.1463,0.0512,"Mueller Streamline 521-803 1/2"" Black Iron Plug"
1-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-100.075-BSH,0.167,lb,521-954,0.47,0.167,2.81,3.0,0.1567,0.0557,"Mueller Streamline 521-954 1"" x 3/4"" Black Iron Bushing"
1-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-100.075-BSH-G,0.167,lb,511-954,0.47,0.167,2.81,4.53,0.1038,0.0369,"Mueller Streamline 511-954 1"" x 3/4"" - Galvanized Bushing - MPT x FPT"
1-8-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-018-CLS,0.018,lb,560-001,0.05,0.018,2.78,2.37,0.0211,0.0076,"Mueller Streamline 560-001 1/8"" x Close - Galvanized Nipple"
3-4-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-075-ST45,0.284,lb,520-504,0.78,0.284,2.75,5.88,0.1327,0.0483,"Mueller Streamline 520-504 3/4"" Black Iron Elbow - 45° (Street)"
2-copper-fittings-dwv-double-wye-c-x-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200-DBLY-C,0.823,lb,A 07080,2.26,0.823,2.75,293.87,0.0077,0.0028,"Mueller Streamline A 07080 2"" Copper Fittings - DWV - Double Wye C x C x C x C"
3-4-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-075-ST45-G,0.284,lb,510-504,0.78,0.284,2.75,7.39,0.1055,0.0384,"Mueller Streamline 510-504 3/4"" - Galvanized Street Elbow - 45°"
1-2-x-1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-050.018-CPL,0.143,lb,521-330,0.39,0.143,2.73,2.9,0.1345,0.0493,"Mueller Streamline 521-330 1/2"" x 1/8"" Black Iron Coupling"
3-8-black-iron-coupling,UPDATE,UPDATE,BLIF-038-CPL,0.137,lb,521-202,0.37,0.137,2.7,3.0,0.1233,0.0457,"Mueller Streamline 521-202 3/8"" Black Iron Coupling"
2-copper-press-fittings-union-pxm-p-x-mpt,UPDATE,UPDATE,CPPF-200-UMA,1.974,lb,PF 11215,5.31,1.974,2.69,170.32,0.0312,0.0116,"Mueller Streamline PF 11215 2"" Copper Press Fittings - Union PxM P x MPT"
1-x-3-4-carbon-steel-press-fittings-gas-coupling-p-x-p,UPDATE,UPDATE,CRBN-100.075-CPL-G,0.355,lb,CP01049G,0.95,0.355,2.68,37.3,0.0255,0.0095,"Mueller Streamline CP01049G 1"" x 3/4"" Carbon Steel Press Fittings - Gas - Coupling P x P"
1-2-copper-fittings-cleaned-bagged-cap-c,UPDATE,UPDATE,CFCB-050-CAP,0.019,lb,W 07007R,0.05,0.019,2.63,1.91,0.0262,0.0099,"Mueller Streamline W 07007R 1/2"" Copper Fittings - Cleaned & Bagged - Cap C"
2-copper-press-fittings-union-p-x-p,UPDATE,UPDATE,CPPF-200-UNI,1.924,lb,PF 11207,4.89,1.924,2.54,224.37,0.0218,0.0086,"Mueller Streamline PF 11207 2"" Copper Press Fittings - Union P x P"
1-2-copper-sweat-fittings-drop-ear-90-degree-female-adapter-elbow-c-x-fpt,UPDATE,UPDATE,COPF-050-DE90FA-LF,0.154,lb,A 01508NL,0.39,0.154,2.53,23.21,0.0168,0.0066,"Mueller Streamline A 01508NL 1/2"" Copper Sweat Fittings - Drop Ear 90 Degree Female Adapter Elbow C x FPT"
1-2-copper-sweat-fittings-two-hole-strap,UPDATE,UPDATE,COPF-050-2HSTR-C,0.008,lb,A 02529,0.02,0.008,2.5,1.11,0.018,0.0072,"Mueller Streamline A 02529 1/2"" Copper Sweat Fittings - Two Hole Strap"
1-2-x-3-8-copper-sweat-fittings-flush-bushing-ftg-x-c,UPDATE,UPDATE,COPF-050.038-FLB-C,0.02,lb,W 01715,0.05,0.02,2.5,3.87,0.0129,0.0052,"Mueller Streamline W 01715 1/2"" x 3/8"" Copper Sweat Fittings - Flush Bushing Ftg x C"
1-carbon-steel-press-fittings-gas-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-100-MA-G,0.381,lb,CP01163G,0.95,0.381,2.49,46.59,0.0204,0.0082,"Mueller Streamline CP01163G 1"" Carbon Steel Press Fittings - Gas - Male Adapter P x MPT"
1-1-2-x-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-150.050-BSH,0.375,lb,521-973,0.93,0.375,2.48,4.89,0.1902,0.0767,"Mueller Streamline 521-973 1-1/2"" x 1/2"" Black Iron Bushing"
1-1-2-x-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-150.050-BSH-G,0.375,lb,511-973,0.93,0.375,2.48,8.87,0.1048,0.0423,"Mueller Streamline 511-973 1-1/2"" x 1/2"" - Galvanized Bushing - MPT x FPT"
3-galvanized-union,UPDATE,UPDATE,GAIF-300-UNI-G,6.067,lb,511-710,15.02,6.067,2.48,126.12,0.1191,0.0481,"Mueller Streamline 511-710 3"" - Galvanized Union"
1-2-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-050-ST45,0.194,lb,520-503,0.48,0.194,2.47,3.82,0.1257,0.0508,"Mueller Streamline 520-503 1/2"" Black Iron Elbow - 45° (Street)"
1-2-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-050-ST45-G,0.194,lb,510-503,0.48,0.194,2.47,4.56,0.1053,0.0425,"Mueller Streamline 510-503 1/2"" - Galvanized Street Elbow - 45°"
3-4-carbon-steel-press-fittings-gas-90-degree-street-elbow-ftg-x-p,UPDATE,UPDATE,CRBN-075-ST90-G,0.39,lb,CP02834G,0.95,0.39,2.43,30.42,0.0312,0.0128,"Mueller Streamline CP02834G 3/4"" Carbon Steel Press Fittings - Gas - 90 Degree Street Elbow Ftg x P"
1-1-2-x-1-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-150.125-BSH,0.318,lb,521-976,0.77,0.318,2.42,4.91,0.1568,0.0648,"Mueller Streamline 521-976 1-1/2"" x 1-1/4"" Black Iron Bushing"
1-1-2-x-1-1-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-150.125-BSH-G,0.318,lb,511-976,0.77,0.318,2.42,7.38,0.1043,0.0431,"Mueller Streamline 511-976 1-1/2"" x 1-1/4"" - Galvanized Bushing - MPT x FPT"
1-x-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-100.050-BSH,0.209,lb,521-953,0.5,0.209,2.39,3.0,0.1667,0.0697,"Mueller Streamline 521-953 1"" x 1/2"" Black Iron Bushing"
1-1-4-x-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-125.050-BSH,0.293,lb,521-963,0.7,0.293,2.39,4.3,0.1628,0.0681,"Mueller Streamline 521-963 1-1/4"" x 1/2"" Black Iron Bushing"
1-2-carbon-steel-press-fittings-gas-tee-p-x-p-x-p,UPDATE,UPDATE,CRBN-050-TEE-G,0.397,lb,CP04006G,0.95,0.397,2.39,43.68,0.0217,0.0091,"Mueller Streamline CP04006G 1/2"" Carbon Steel Press Fittings - Gas - Tee P x P x P"
1-x-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-100.050-BSH-G,0.209,lb,511-953,0.5,0.209,2.39,4.8,0.1042,0.0435,"Mueller Streamline 511-953 1"" x 1/2"" - Galvanized Bushing - MPT x FPT"
1-1-4-x-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-125.050-BSH-G,0.293,lb,511-963,0.7,0.293,2.39,6.71,0.1043,0.0437,"Mueller Streamline 511-963 1-1/4"" x 1/2"" - Galvanized Bushing - MPT x FPT"
1-1-2-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-150.075-BSH,0.397,lb,521-974,0.93,0.397,2.34,4.89,0.1902,0.0812,"Mueller Streamline 521-974 1-1/2"" x 3/4"" Black Iron Bushing"
1-1-2-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-150.075-BSH-G,0.397,lb,511-974,0.93,0.397,2.34,8.87,0.1048,0.0448,"Mueller Streamline 511-974 1-1/2"" x 3/4"" - Galvanized Bushing - MPT x FPT"
2-x-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.050-BSH-G,0.5,lb,511-983,1.16,0.5,2.32,11.07,0.1048,0.0452,"Mueller Streamline 511-983 2"" x 1/2"" - Galvanized Bushing - MPT x FPT"
2-1-2-galvanized-union,UPDATE,UPDATE,GAIF-250-UNI-G,4.567,lb,511-709,10.57,4.567,2.31,88.75,0.1191,0.0515,"Mueller Streamline 511-709 2-1/2"" - Galvanized Union"
1-2-x-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-050.025-CPL,0.139,lb,521-331,0.32,0.139,2.3,2.66,0.1203,0.0523,"Mueller Streamline 521-331 1/2"" x 1/4"" Black Iron Coupling"
1-2-carbon-steel-press-fittings-mechanical-tee-p-x-p-x-p,UPDATE,UPDATE,CRBN-050-TEE,0.397,lb,CP04006,0.9,0.397,2.27,41.97,0.0214,0.0095,"Mueller Streamline CP04006 1/2"" Carbon Steel Press Fittings - Mechanical - Tee P x P x P"
1-1-4-x-1-black-iron-bushing,UPDATE,UPDATE,BLIF-125.100-BSH,0.287,lb,521-965,0.64,0.287,2.23,3.85,0.1662,0.0745,"Mueller Streamline 521-965 1-1/4"" x 1"" Black Iron Bushing"
1-1-4-x-1-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-125.100-BSH-G,0.287,lb,511-965,0.64,0.287,2.23,6.11,0.1047,0.047,"Mueller Streamline 511-965 1-1/4"" x 1"" - Galvanized Bushing - MPT x FPT"
3-4-galvanized-cross,UPDATE,UPDATE,GAIF-075-CRS-G,0.599,lb,511-004,1.31,0.599,2.19,12.5,0.1048,0.0479,"Mueller Streamline 511-004 3/4"" - Galvanized Cross"
1-2-black-iron-floor-flange,UPDATE,UPDATE,BLIF-050-FFLG,0.631,lb,521-603,1.36,0.631,2.16,6.52,0.2086,0.0968,"Mueller Streamline 521-603 1/2"" Black Iron Floor Flange"
1-2-black-iron-union,UPDATE,UPDATE,BLIF-050-UNI,0.425,lb,521-703,0.92,0.425,2.16,7.95,0.1157,0.0535,"Mueller Streamline 521-703 1/2"" Black Iron Union"
1-2-galvanized-floor-flange,UPDATE,UPDATE,GAIF-050-FFLG-G,0.631,lb,511-603,1.36,0.631,2.16,12.95,0.105,0.0487,"Mueller Streamline 511-603 1/2"" - Galvanized Floor Flange"
1-2-galvanized-union,UPDATE,UPDATE,GAIF-050-UNI-G,0.425,lb,511-703,0.92,0.425,2.16,9.3,0.0989,0.0457,"Mueller Streamline 511-703 1/2"" - Galvanized Union"
1-carbon-steel-press-fittings-gas-coupling-with-stop-p-x-p,UPDATE,UPDATE,CRBN-100-CPL/WS-G,0.454,lb,CP10147G,0.95,0.454,2.09,41.79,0.0227,0.0109,"Mueller Streamline CP10147G 1"" Carbon Steel Press Fittings - Gas - Coupling - With Stop P x P"
3-8-black-iron-elbow-90,UPDATE,UPDATE,BLIF-038-90EL,0.155,lb,520-002,0.32,0.155,2.06,2.4,0.1333,0.0646,"Mueller Streamline 520-002 3/8"" Black Iron Elbow - 90°"
1-2-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-050-ST90,0.221,lb,520-303,0.45,0.221,2.04,3.72,0.121,0.0594,"Mueller Streamline 520-303 1/2"" Black Iron Elbow - 90° (Street)"
1-x-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-100.025-CPL,0.323,lb,521-351,0.66,0.323,2.04,5.08,0.1299,0.0636,"Mueller Streamline 521-351 1"" x 1/4"" Black Iron Coupling"
1-2-galvanized-street-elbow-90-gaif-050-st90-g,UPDATE,UPDATE,GAIF-050-ST90-G,0.221,lb,510-303,0.45,0.221,2.04,4.37,0.103,0.0506,"Mueller Streamline 510-303 1/2"" - Galvanized Street Elbow - 90°"
1-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-100-ST45,0.478,lb,520-505,0.96,0.478,2.01,6.82,0.1408,0.0701,"Mueller Streamline 520-505 1"" Black Iron Elbow - 45° (Street)"
1-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-100-ST45-G,0.478,lb,510-505,0.96,0.478,2.01,9.13,0.1051,0.0524,"Mueller Streamline 510-505 1"" - Galvanized Street Elbow - 45°"
3-4-black-iron-floor-flange,UPDATE,UPDATE,BLIF-075-FFLG,0.761,lb,521-604,1.52,0.761,2.0,7.04,0.2159,0.1081,"Mueller Streamline 521-604 3/4"" Black Iron Floor Flange"
3-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-300-ST45,4.494,lb,520-510,8.99,4.494,2.0,80.66,0.1115,0.0557,"Mueller Streamline 520-510 3"" Black Iron Elbow - 45° (Street)"
3-4-galvanized-floor-flange,UPDATE,UPDATE,GAIF-075-FFLG-G,0.761,lb,511-604,1.52,0.761,2.0,14.46,0.1051,0.0526,"Mueller Streamline 511-604 3/4"" - Galvanized Floor Flange"
1-2-x-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-050.075-TEE,0.397,lb,520-334,0.77,0.397,1.94,5.85,0.1316,0.0679,"Mueller Streamline 520-334 1/2"" x 1/2"" x 3/4"" Black Iron Tee"
1-2-x-1-2-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-050.075-TEE-G,0.397,lb,510-334,0.77,0.397,1.94,6.54,0.1177,0.0607,"Mueller Streamline 510-334 1/2"" x 1/2"" x 3/4"" - Galvanized Tee"
1-2-black-iron-cap,UPDATE,UPDATE,BLIF-050-CAP,0.115,lb,521-403,0.22,0.115,1.91,1.8,0.1222,0.0639,"Mueller Streamline 521-403 1/2"" Black Iron Cap"
1-2-x-3-8-black-iron-coupling,UPDATE,UPDATE,BLIF-050.038-CPL,0.157,lb,521-332,0.3,0.157,1.91,2.5,0.12,0.0628,"Mueller Streamline 521-332 1/2"" x 3/8"" Black Iron Coupling"
1-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-100.050-CPL,0.304,lb,521-353,0.58,0.304,1.91,4.46,0.13,0.0682,"Mueller Streamline 521-353 1"" x 1/2"" Black Iron Coupling"
1-1-4-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-125-ST45,0.753,lb,520-506,1.44,0.753,1.91,11.82,0.1218,0.0637,"Mueller Streamline 520-506 1-1/4"" Black Iron Elbow - 45° (Street)"
1-2-galvanized-cap,UPDATE,UPDATE,GAIF-050-CAP-G,0.115,lb,511-403,0.22,0.115,1.91,2.13,0.1033,0.054,"Mueller Streamline 511-403 1/2"" - Galvanized Cap"
1-2-x-3-8-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-050.038-CPL-G,0.157,lb,511-332,0.3,0.157,1.91,2.86,0.1049,0.0549,"Mueller Streamline 511-332 1/2"" x 3/8"" - Galvanized Reducing Coupling"
1-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-100.050-CPL-G,0.304,lb,511-353,0.58,0.304,1.91,5.59,0.1038,0.0544,"Mueller Streamline 511-353 1"" x 1/2"" - Galvanized Reducing Coupling"
1-1-4-black-iron-floor-flange,UPDATE,UPDATE,BLIF-125-FFLG,1.006,lb,521-606,1.9,1.006,1.89,9.77,0.1945,0.103,"Mueller Streamline 521-606 1-1/4"" Black Iron Floor Flange"
1-1-4-galvanized-floor-flange,UPDATE,UPDATE,GAIF-125-FFLG-G,1.006,lb,511-606,1.9,1.006,1.89,18.11,0.1049,0.0555,"Mueller Streamline 511-606 1-1/4"" - Galvanized Floor Flange"
2-x-2-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-200.050-TEE-G,1.57,lb,510-783,2.97,1.57,1.89,24.86,0.1195,0.0632,"Mueller Streamline 510-783 2"" x 2"" x 1/2"" - Galvanized Tee"
3-8-black-iron-tee,UPDATE,UPDATE,BLIF-038-TEE,0.224,lb,520-602,0.42,0.224,1.88,3.63,0.1157,0.0617,"Mueller Streamline 520-602 3/8"" Black Iron Tee"
3-galvanized-street-elbow-90,UPDATE,UPDATE,GAIF-300-ST90-G,5.357,lb,510-310,10.06,5.357,1.88,84.48,0.1191,0.0634,"Mueller Streamline 510-310 3"" - Galvanized Street Elbow - 90°"
1-1-4-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-125.075-BSH,0.342,lb,521-964,0.64,0.342,1.87,3.85,0.1662,0.0888,"Mueller Streamline 521-964 1-1/4"" x 3/4"" Black Iron Bushing"
1-1-4-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-125.075-BSH-G,0.342,lb,511-964,0.64,0.342,1.87,6.11,0.1047,0.056,"Mueller Streamline 511-964 1-1/4"" x 3/4"" - Galvanized Bushing - MPT x FPT"
1-1-2-x-1-black-iron-bushing,UPDATE,UPDATE,BLIF-150.100-BSH,0.454,lb,521-975,0.84,0.454,1.85,4.29,0.1958,0.1058,"Mueller Streamline 521-975 1-1/2"" x 1"" Black Iron Bushing"
1-1-2-x-1-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-150.100-BSH-G,0.454,lb,511-975,0.84,0.454,1.85,7.98,0.1053,0.0569,"Mueller Streamline 511-975 1-1/2"" x 1"" - Galvanized Bushing - MPT x FPT"
3-4-black-iron-cap,UPDATE,UPDATE,BLIF-075-CAP,0.174,lb,521-404,0.32,0.174,1.84,2.43,0.1317,0.0716,"Mueller Streamline 521-404 3/4"" Black Iron Cap"
3-4-galvanized-cap,UPDATE,UPDATE,GAIF-075-CAP-G,0.174,lb,511-404,0.32,0.174,1.84,3.06,0.1046,0.0569,"Mueller Streamline 511-404 3/4"" - Galvanized Cap"
1-carbon-steel-press-fittings-gas-45-degree-street-elbow-ftg-x-p,UPDATE,UPDATE,CRBN-100-ST45-G,0.522,lb,CP03344G,0.95,0.522,1.82,42.05,0.0226,0.0124,"Mueller Streamline CP03344G 1"" Carbon Steel Press Fittings - Gas - 45 Degree Street Elbow Ftg x P"
1-1-2-copper-press-fittings-union-pxf-p-x-fpt,UPDATE,UPDATE,CPPF-150-UFA,1.042,lb,PF 11426,1.88,1.042,1.8,121.35,0.0155,0.0086,"Mueller Streamline PF 11426 1-1/2"" Copper Press Fittings - Union PxF P x FPT"
3-4-x-1-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-075.025-CPL-G,0.221,lb,511-341,0.39,0.221,1.76,3.79,0.1029,0.0583,"Mueller Streamline 511-341 3/4"" x 1/4"" - Galvanized Reducing Coupling"
1-1-4-x-1-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-125.100.050-TEE,0.742,lb,520-653,1.29,0.742,1.74,12.57,0.1026,0.059,"Mueller Streamline 520-653 1-1/4"" x 1"" x 1/2"" Black Iron Tee"
