Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,titulo
2-1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-250-CLS,1.208,lb,569-001,0.51,1.208,0.42,"Mueller Streamline 569-001 2-1/2"" x Close - Galvanized Nipple"
1-x-1-x-1-1-8-black-iron-tee,UPDATE,UPDATE,BLIF-100.125-TEE,1.025,lb,520-556,0.51,1.025,0.5,"Mueller Streamline 520-556 1"" x 1"" x 1-1/8"" Black Iron Tee"
1-1-4-x-8-galvanized-nipple,UPDATE,UPDATE,GAPN-125-8,1.519,lb,566-080,0.79,1.519,0.52,"Mueller Streamline 566-080 1-1/4"" x 8"" - Galvanized Nipple"
1-2-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-050-2,0.143,lb,583-020,0.08,0.143,0.56,"Mueller Streamline 583-020 1/2"" x 2"" - Black Iron Nipple"
1-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.100-TEE,0.753,lb,520-793,0.43,0.753,0.57,"Mueller Streamline 520-793 1"" x 1/2"" x 1"" Black Iron Tee"
1-x-1-2-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-100.050.100-TEE-G,0.753,lb,510-793,0.43,0.753,0.57,"Mueller Streamline 510-793 1"" x 1/2"" x 1"" - Galvanized Tee"
3-4-x-3-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-075.100-TEE,0.713,lb,520-445,0.43,0.713,0.6,"Mueller Streamline 520-445 3/4"" x 3/4"" x 1"" Black Iron Tee"
3-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-075-90EL,0.36,lb,520-004,0.24,0.36,0.67,"Mueller Streamline 520-004 3/4"" Black Iron Elbow - 90°"
4-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-400-CLS,2.372,lb,591-001,1.6,2.372,0.67,"Mueller Streamline 591-001 4"" x Close - Black Iron Nipple"
3-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-075-90EL-G,0.36,lb,510-004,0.24,0.36,0.67,"Mueller Streamline 510-004 3/4"" - Galvanized Elbow - 90°"
1-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-100-CLS,0.209,lb,565-001,0.14,0.209,0.67,"Mueller Streamline 565-001 1"" x Close - Galvanized Nipple"
1-x-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.075-TEE,0.606,lb,520-534,0.43,0.606,0.71,"Mueller Streamline 520-534 1"" x 1/2"" x 3/4"" Black Iron Tee"
1-8-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-018-2,0.042,lb,580-020,0.03,0.042,0.71,"Mueller Streamline 580-020 1/8"" x 2"" - Black Iron Nipple"
3-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-300-3,1.896,lb,590-030,1.34,1.896,0.71,"Mueller Streamline 590-030 3"" x 3"" - Black Iron Nipple"
1-1-4-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-125-12,2.277,lb,566-120,1.62,2.277,0.71,"Mueller Streamline 566-120 1-1/4"" x 12"" - Galvanized Nipple"
2-1-2-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-250-CLS,1.208,lb,589-001,0.9,1.208,0.75,"Mueller Streamline 589-001 2-1/2"" x Close - Black Iron Nipple"
1-2-x-1-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-1.5,0.106,lb,563-015,0.08,0.106,0.75,"Mueller Streamline 563-015 1/2"" x 1-1/2"" - Galvanized Nipple"
2-1-2-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-250-3,1.451,lb,589-030,1.1,1.451,0.76,"Mueller Streamline 589-030 2-1/2"" x 3"" - Black Iron Nipple"
1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-050-CLS,0.079,lb,563-001,0.06,0.079,0.76,"Mueller Streamline 563-001 1/2"" x Close - Galvanized Nipple"
2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-200-CLS,0.609,lb,568-001,0.46,0.609,0.76,"Mueller Streamline 568-001 2"" x Close - Galvanized Nipple"
3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-075-CPL,0.271,lb,521-204,0.21,0.271,0.77,"Mueller Streamline 521-204 3/4"" Black Iron Coupling"
3-4-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-075-CLS,0.13,lb,584-001,0.1,0.13,0.77,"Mueller Streamline 584-001 3/4"" x Close - Black Iron Nipple"
2-1-2-x-4-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-250-4.5,2.174,lb,589-045,1.68,2.174,0.77,"Mueller Streamline 589-045 2-1/2"" x 4-1/2"" - Black Iron Nipple"
3-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-300-3.5,2.213,lb,590-035,1.7,2.213,0.77,"Mueller Streamline 590-035 3"" x 3-1/2"" - Black Iron Nipple"
3-x-4-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-300-4.5,2.844,lb,590-045,2.18,2.844,0.77,"Mueller Streamline 590-045 3"" x 4-1/2"" - Black Iron Nipple"
1-2-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-2,0.143,lb,563-020,0.11,0.143,0.77,"Mueller Streamline 563-020 1/2"" x 2"" - Galvanized Nipple"
3-4-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-075-CLS,0.13,lb,564-001,0.1,0.13,0.77,"Mueller Streamline 564-001 3/4"" x Close - Galvanized Nipple"
1-8-x-2-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-018-2.5,0.051,lb,580-025,0.04,0.051,0.78,"Mueller Streamline 580-025 1/8"" x 2-1/2"" - Black Iron Nipple"
1-2-x-2-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-2.5,0.179,lb,563-025,0.14,0.179,0.78,"Mueller Streamline 563-025 1/2"" x 2-1/2"" - Galvanized Nipple"
3-4-x-1-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-075-1.5,0.141,lb,564-015,0.11,0.141,0.78,"Mueller Streamline 564-015 3/4"" x 1-1/2"" - Galvanized Nipple"
1-1-4-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-125-CLS,0.309,lb,566-001,0.24,0.309,0.78,"Mueller Streamline 566-001 1-1/4"" x Close - Galvanized Nipple"
1-1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-150-CLS,0.397,lb,567-001,0.31,0.397,0.78,"Mueller Streamline 567-001 1-1/2"" x Close - Galvanized Nipple"
2-1-2-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-250-3.5,1.691,lb,589-035,1.34,1.691,0.79,"Mueller Streamline 589-035 2-1/2"" x 3-1/2"" - Black Iron Nipple"
1-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-100-2,0.28,lb,565-020,0.22,0.28,0.79,"Mueller Streamline 565-020 1"" x 2"" - Galvanized Nipple"
1-1-4-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-125-2,0.379,lb,566-020,0.3,0.379,0.79,"Mueller Streamline 566-020 1-1/4"" x 2"" - Galvanized Nipple"
1-x-2-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-100-2.5,0.351,lb,565-025,0.28,0.351,0.8,"Mueller Streamline 565-025 1"" x 2-1/2"" - Galvanized Nipple"
