Handle,Command,Title,Vendor,SEO Title,SEO Description
coverplate-assembly-for-use-with-the-redlink-visionpro,UPDATE,Resideo THP2400A1019/U Coverplate assembly for use with the RedLINK® VisionPRO®,Resideo,Resideo THP2400A1019/U Coverplate assembly,Resideo Coverplate assembly for use with the RedLINK® VisionPRO®. MPN THP2400A1019/U. Small part that keeps a thermostat job looking finished.
prestige-2-wire-iaq-equipment-interface-module,UPDATE,Resideo THM5421R1021/U Prestige® 2-Wire IAQ Equipment Interface Module,Resideo,Resideo THM5421R1021/U Prestige® 2-Wire IAQ Equipment Interface Module,Resideo Prestige® 2-Wire IAQ Equipment Interface Module. MPN THM5421R1021/U. Honeywell Home RedLINK numbering carries over to the Resideo catalog.
wireless-adapter-for-use-with-redlink-enabled-thermostats-and-truezone-system,UPDATE,Resideo THM4000R1000/U Wireless Adapter for Use With RedLINK®-Enabled Thermostats and TrueZONE® System,Resideo,Resideo THM4000R1000/U Wireless Adapter,Resideo Wireless Adapter for Use With RedLINK®-Enabled Thermostats and TrueZONE® System. MPN THM4000R1000/U.
wifi-9000-color-touchscreen-thermostat,UPDATE,Resideo TH9320WF5003/U WiFi 9000 Color Touchscreen Thermostat,Resideo,Resideo TH9320WF5003/U WiFi 9000 Color Touchscreen Thermostat,Resideo WiFi 9000 Color Touchscreen Thermostat. MPN TH9320WF5003/U. Check the wiring and the C terminal before moving to a connected control.
wi-fi-visionpro-8000-for-residential-or-commercial-use-stages-up-to-up-to-3-heat-2-cool,UPDATE,Resideo TH8321WF1001/U Wi-Fi VisionPRO® 8000 for residential or commercial use. Stages up to Up to 3 Heat / 2 Cool.,Resideo,Resideo Wi-Fi VisionPRO® 8000 for residential or commercial,"Resideo Wi-Fi VisionPRO 8000 Thermostat, MPN TH8321WF1001/U. Wi-Fi thermostat for residential and commercial use, staging up to three heat and two cool."
visionpro-8000-with-redlink-technology-for-residential-or-commercial-use-stages-up-to-1-heat-1-cool,UPDATE,Resideo TH8110R1008/U VisionPRO® 8000 with RedLINK® technology for residential or commercial use. Stages up to 1 Heat / 1 Cool,Resideo,Resideo VisionPRO® 8000 with RedLINK® technology,Resideo VisionPRO® 8000 with RedLINK® technology for residential or commercial use. Stages up. MPN TH8110R1008/U.
focuspro-6000-5-1-1-programmable-wireless-thermostat,UPDATE,Resideo TH6320R1004/U FocusPRO® 6000 5-1-1 programmable wireless thermostat,Resideo,Resideo TH6320R1004/U 6000 5-1-1 programmable wireless thermostat,"Resideo FocusPRO® 6000 5-1-1 programmable wireless thermostat. MPN TH6320R1004/U. Spec by heat and cool stages, then by mounting."
t6-pro-smart-thermostat-multi-stage-2-heat-2-cool,UPDATE,Resideo TH6220WF2006/U T6 Pro Smart Thermostat Multi-Stage 2 Heat/2 Cool,Resideo,Resideo TH6220WF2006/U T6 Pro Smart Thermostat,Resideo T6 Pro Smart Thermostat Multi-Stage 2 Heat/2 Cool. MPN TH6220WF2006/U. Wi-Fi wall control for a residential heating and cooling system.
redlink-equipment-remote-module,UPDATE,Resideo ERM5220R1018/U RedLINK® Equipment Remote Module,Resideo,Resideo ERM5220R1018/U RedLINK® Equipment Remote Module,Resideo RedLINK® Equipment Remote Module. MPN ERM5220R1018/U. RedLINK devices pair wirelessly with a compatible Resideo thermostat.
l1-wifi-water-leak-and-freeze-detector-and-sensor-cable,UPDATE,Resideo CHW3610W8001/U L1 WiFi Water Leak and Freeze Detector and Sensor Cable,Resideo,Resideo L1 WiFi Water Leak and Freeze Detector and Sensor,Resideo L1 WiFi Water Leak and Freeze Detector and Sensor Cable. MPN CHW3610W8001/U. Catches water before it reaches the floor and the drywall.
return-duct-backup-control-of-non-zoned-redlink-enabled,UPDATE,Resideo C7735A1000/U Return Duct: Backup Control of Non-Zoned RedLINK®-Enabled,Resideo,Resideo Return Duct: Backup Control of Non-Zoned,Resideo Return Duct: Backup Control of Non-Zoned RedLINK®-Enabled. MPN C7735A1000/U. Adds remote sensing or equipment control to a RedLINK system.
redlink-enabled-wireless-indoor-air-sensor,UPDATE,Resideo C7189R1004/U RedLINK®-Enabled Wireless Indoor Air Sensor,Resideo,Resideo C7189R1004/U RedLINK®-Enabled Wireless Indoor Air Sensor,Resideo RedLINK®-Enabled Wireless Indoor Air Sensor. MPN C7189R1004/U. Honeywell Home RedLINK numbering carries over to the Resideo catalog.
c7089r1013-redlink-outdoor-temperature-and-humidity-sensor,UPDATE,Resideo C7089R1013/U C7089R1013 RedLINK® Outdoor Temperature and Humidity Sensor,Resideo,Resideo C7089R1013/U C7089R1013 Temperature and Humidity Sensor,Resideo C7089R1013 RedLINK® Outdoor Temperature and Humidity Sensor. MPN C7089R1013/U. Adds remote sensing or equipment control to a RedLINK system.
