sku,handle,categoria,preco,peso_efetivo_lb,lambda,perfil_atual,perfil_sugerido
NORI-EZ111DVNG,ez111-natural-gas-whole-home-tankless-water-heater,Tankless Water Heaters - Gas,2490.32,74.00,0.0297,THS Freight & Oversize,General profile
MOEN-615BG,moen-cia-brushed-gold-one-handle-tub-filler-includes-hand-shower,Hand Shower Heads,2397.20,80.00,0.0334,THS Freight & Oversize,General profile
NAVI-NPE-240S2-NG/LP,navien-high-efficiency-condensing-tankless-water-heater-max-input-199-900-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-240s2,Tankless Water Heaters - Gas,2385.00,73.00,0.0306,THS Freight & Oversize,General profile
NORI-EZ111DVLP,ez111-lp-whole-home-tankless-water-heater,Tankless Water Heaters - Gas,2384.28,111.27,0.0467,THS Freight & Oversize,THS Standard - no free shipping
NAVI-NPE-180A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-150-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-180a2,Tankless Water Heaters - Gas,2325.00,73.00,0.0314,THS Freight & Oversize,General profile
TRAC-FGP-CS-125-150,1-1-4-x-150-ft-reel-tracpipe-counterstrike-pipe,Flexible Gas Pipe,2275.24,78.00,0.0343,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-SR10I,rheem-180-000-btu-h-ikonic-super-high-efficiency-condensing-tankless-natural-gas-or-propane-water-heater-with-recirculation-pump-for-indoor-installation,Tankless Water Heaters - Gas,2250.00,86.00,0.0382,THS Freight & Oversize,THS Standard - no free shipping
NHSF-1200-WYE,12-x-12-x-12-nh-x-nh-x-nh-gray-cast-iron-dwv-straight-45d-wye,No Hub Fittings,2174.37,112.00,0.0515,THS Freight & Oversize,THS Standard - no free shipping
NAVI-NPE-210S2-NG/LP,navien-high-efficiency-condensing-tankless-water-heater-max-input-150-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-210s2,Tankless Water Heaters - Gas,2167.50,73.00,0.0337,THS Freight & Oversize,General profile
GVLF-7061-500.400-PNTD,5-x-4-tee-reducing-painted-gr-x-gr-x-gr,Gruvlok Fittings,2118.16,16.75,0.0079,THS Standard - no free shipping,General profile
RHEE-RTGH-S11I,rheem-199-900-btu-h-ikonic-super-high-efficiency-condensing-tankless-natural-gas-or-propane-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,2047.50,77.60,0.0379,THS Freight & Oversize,THS Standard - no free shipping
ZOEL-915-0005,915-simplex-grinder-package-system-with-an-bn801-with-alarm-basin-18-x-30-1-2-1-hp-1-1-4-npt-115-v,Sewage Pumps,2024.89,125.35,0.0619,THS Standard - no free shipping,THS Freight & Oversize
RHEE-RTGH-SR84I,rheem-157-000-btu-h-ikonic-super-high-efficiency-condensing-tankless-natural-gas-or-propane-water-heater-with-recirculation-pump-for-indoor-installation,Tankless Water Heaters - Gas,1995.00,86.00,0.0431,THS Freight & Oversize,THS Standard - no free shipping
GROH-23.49100A,single-handle-freestanding-tub-faucet-with-1-75-gpm-hand-shower-in-grohe-chrome,Single-Hole Faucets,1891.61,80.00,0.0423,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-S10I,rheem-180-000-btu-h-ikonic-super-high-efficiency-condensing-tankless-natural-gas-or-propane-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1852.50,77.60,0.0419,THS Freight & Oversize,THS Standard - no free shipping
RHEE-EGSP20-277V-6KW,rheem-20-gallon-6-kw-277-v-point-of-use-commercial-electric-water-heater,Point of Use Heaters,1724.77,76.00,0.0441,THS Freight & Oversize,THS Standard - no free shipping
FUJI-AUUH24LUAS,auuh24luas-24-000-btu-h-single-zone-ceiling-cassette-airstage-mini-split-head-unit,Fujitsu Clearance Sale,1722.23,53.00,0.0308,THS Standard - no free shipping,General profile
GROH-32.653003,single-handle-freestanding-tub-faucet-with-1-75-gpm-hand-shower-in-grohe-chrome-groh-32-653003,Single-Hole Faucets,1702.51,80.00,0.0470,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-S84I,rheem-157-000-btu-h-ikonic-super-high-efficiency-condensing-tankless-natural-gas-or-propane-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1672.50,77.60,0.0464,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-95DVLN-3,rheem-199-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1664.16,52.90,0.0318,THS Freight & Oversize,General profile
RHEE-RTGH-95DVLP-3,rheem-199-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1664.16,52.90,0.0318,THS Freight & Oversize,General profile
S&DT-FUJI-ASUH09LMAS,scratched-or-dented-all-sales-are-final-asuh09lmas-9-000-btu-h-single-zone-wall-unit-airstage-mini-split-head-unit,Fujitsu Clearance Sale,1576.50,29.00,0.0184,THS Standard - no free shipping,General profile
RHEE-PROE30-1-RH95-POU,rheem-30-gallon-2-kw-120-v-professional-classic-point-of-use-electric-water-heater,Point of Use Heaters,1568.87,91.00,0.0580,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-84DVLN-2,rheem-157-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1552.92,84.00,0.0541,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-68DVLN-2,rheem-120-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1516.38,82.00,0.0541,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-68DVLN-3,rheem-120-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation-rhee-rtgh-68dvln-3,Tankless Water Heaters - Gas,1487.18,52.90,0.0356,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-68DVLP-3,rheem-120-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1487.18,52.90,0.0356,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-90DVLN-3,rheem-180-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1477.85,52.90,0.0358,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-90DVLP-3,rheem-180-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1477.85,52.90,0.0358,THS Freight & Oversize,THS Standard - no free shipping
MOEN-TS32100BN,moen-weymouth-brushed-nickel-posi-temp-r-with-diverter-tub-shower-valve-only,Diverter Valves,1446.18,80.00,0.0553,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-84DVLN-3,rheem-157-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation-rhee-rtgh-84dvln-3,Tankless Water Heaters - Gas,1442.70,52.90,0.0367,THS Freight & Oversize,THS Standard - no free shipping
RHEE-RTGH-84DVLP-3,rheem-157-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1442.70,52.90,0.0367,THS Freight & Oversize,THS Standard - no free shipping
FLEX-WWT-80,80-gallon-water-well-tank-1-1-4-fip-connections,Expansion Tanks (Water Well),1371.15,99.00,0.0722,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1680010,mr-pex-2-x-100-white-potable-pex-a-tubing,Non-Barrier Tubing,1322.61,13.14,0.0099,THS Freight & Oversize,General profile
RHEE-RTEX-36,rheem-36-kw-240-v-professional-classic-tankless-electric-water-heater,Tankless Water Heaters - Electric,1308.59,22.70,0.0173,THS Standard - no free shipping,General profile
GVLF-7788-500-PNTD,5-flange-adapter-painted-gr-x-flange,Gruvlok Fittings,1222.07,14.24,0.0117,THS Standard - no free shipping,General profile
NAVA-NRRD,recovery-unit,Refrigeration Tools,1169.20,35.70,0.0305,THS Standard - no free shipping,General profile
BLAN-525012,cerana-33-apron-single-bowl-farmhouse-sink-white,Apron-Front & Farmhouse Sinks,1149.36,85.00,0.0740,THS Freight & Oversize,THS Standard - no free shipping
NHSF-1000-WYE,10-x-10-x-10-nh-x-nh-x-nh-gray-cast-iron-dwv-sanitary-straight-45d-wye,No Hub Fittings,1104.05,73.00,0.0661,THS Freight & Oversize,THS Standard - no free shipping
FUJI-AOUG12LZAS1,aoug12lzas1-airstage-outdoor-unit-12-000-btu-h-33-1-seer-single-zone-cooliing-range-14-to-115-heating-range-5-to-75,Fujitsu Clearance Sale,984.63,29.00,0.0295,THS Standard - no free shipping,General profile
FUJI-AOUH09LMAH1,aouh09lmah1-airstage-extra-low-heating-outdoor-unit-9-000-btu-h-16-3-seer-single-zone-cooliing-range-5-to-115-heating-range-15-to-75,Fujitsu Clearance Sale,961.89,22.00,0.0229,THS Standard - no free shipping,General profile
BURN-100212-02,5-mpo-flex-oil-vent-10-ft-lg-double-wall-insul-316ti-fields,US Boiler Parts,866.40,6.00,0.0069,THS Freight & Oversize,General profile
CTSF-BF006,6-sweat-copper-coated-4-bolt-flange-adapter-150-lb,Copper Sweat Fittings,814.18,25.20,0.0310,THS Standard - no free shipping,General profile
ZOEL-912-0010,912-simplex-sewage-package-system-with-an-m266-18-x-30-basin-2-discharge-2-npt-top,Sewage Pumps,784.38,125.35,0.1598,THS Standard - no free shipping,THS Freight & Oversize
ZOEL-912-0082,912-simplex-sewage-package-system-with-an-m264-basin-18-x-30-2-npt-side-115-v,Sewage Pumps,783.43,125.35,0.1600,THS Standard - no free shipping,THS Freight & Oversize
FLEX-SXHT-90,44-gallon-expansion-tank-1-1-4-fip-connections,Expansion Tanks (Water Heating),749.47,72.00,0.0961,THS Freight & Oversize,THS Standard - no free shipping
MILW-2950-20,m18-jobsite-radio-charger-w-packout-compatibility,Radios & Speakers,708.40,22.00,0.0311,THS Standard - no free shipping,General profile
BRIZ-65067LFPCECO,brizo-allaria-single-handle-lavatory-faucet-chrome,Single-Hole Faucets,686.76,22.00,0.0320,THS Standard - no free shipping,General profile
RHEE-RTGH-68XLN-2,rheem-120-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-outdoor-installation,Tankless Water Heaters - Gas,643.49,82.00,0.1274,THS Freight & Oversize,THS Standard - no free shipping
LIBE-404CV/A,1-3-hp-residential-drain-pump-short-profile-1-1-2-vent-inlet-and-discharge-1-1-2-check-valve-and-standard-alm-2-alarm,Drain & Condensate Pumps,642.19,20.50,0.0319,THS Standard - no free shipping,General profile
HDPE-600,6-x-20-hdpe-geothermal-pipe-160-psi-sdr-17-cenfuse,HDPE & Poly Pipe,626.00,0.22,0.0004,THS Freight & Oversize,General profile
GROH-35.027000,grohe-eurocube-starlight-chrome-tub-shower-trim-sets-wall-mount,Tub-Shower Trim Sets,618.88,9.63,0.0156,THS Freight & Oversize,General profile
FLOR-6034-1-WHT,florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-60-x-34-x-5-3-4,Shower Bases & Walls,605.91,90.00,0.1485,THS Freight & Oversize,THS Standard - no free shipping
FLOR-6032-1-WHT,florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-60-x-32-x-4-3-4,Shower Bases & Walls,599.49,82.00,0.1368,THS Freight & Oversize,THS Standard - no free shipping
MUST-4260M,e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-60-x-42-x-5-1-2,Shower Bases & Walls,595.10,99.70,0.1675,THS Freight & Oversize,THS Standard - no free shipping
FLOR-5434-1-WHT,florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-54-x-34-x-5-3-4,Shower Bases & Walls,593.09,80.00,0.1349,THS Freight & Oversize,THS Standard - no free shipping
DELT-T14467-SS,delta-ara-monitor-14-series-h2okinetic-tub-shower-trim-stainless,Tub-Shower Trim Sets,577.80,4.59,0.0079,THS Freight & Oversize,General profile
GROH-38.996000,2-x-4-in-wall-carrier-and-tank-for-toilet,Toilet Repair Parts & Accessories,564.21,0.63,0.0011,THS Standard - no free shipping,General profile
HONE-PC3F2699IUF00/U,medium-3-speed-circulation-pump,Fixed Speed Circulators,549.25,18.50,0.0337,THS Standard - no free shipping,General profile
FLOR-4242-1-WHT,florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-42-x-42-x-5-3-4,Shower Bases & Walls,548.19,74.00,0.1350,THS Freight & Oversize,THS Standard - no free shipping
MOEN-T2193BN,moen-align-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Tub-Shower Trim Sets,534.08,3.66,0.0069,THS Freight & Oversize,General profile
MOEN-T2693EPBL,moen-voss-matte-black-posi-temp-r-tub-shower,Tub-Shower Trim Sets,521.81,80.00,0.1533,THS Freight & Oversize,THS Standard - no free shipping
MOEN-T693,moen-voss-2-handle-deck-mount-high-arc-roman-tub-faucet-trim-kit-in-chrome-valve-not-included,Roman Tub Valves,519.62,6.79,0.0131,THS Freight & Oversize,General profile
MOEN-T2263EPBG,moen-cia-brushed-gold-posi-temp-r-tub-shower,Tub-Shower Trim Sets,512.49,80.00,0.1561,THS Freight & Oversize,THS Standard - no free shipping
LIBE-CSP-237,1-3-hp-submersible-crawl-space-sump-pump-includes-basin-and-hose-kit-10-cord,Sump Pumps,492.19,23.00,0.0467,THS Freight & Oversize,THS Standard - no free shipping
MOEN-TS2713EP,moen-90-degree-posi-temp-single-handle-1-spray-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Tub-Shower Trim Sets,477.53,5.80,0.0121,THS Freight & Oversize,General profile
MUEL-01220500C,3-4-x-50-x-1-2-insulation-uv-line-set,Coated Line Sets,474.21,15.24,0.0321,THS Standard - no free shipping,General profile
PERF-CI155391461525,1-1-4-ips-anodel-riser-sdr10-w-cpl,Gas Fittings & Risers,452.36,15.00,0.0332,THS Standard - no free shipping,General profile
GERB-D205012SS,melrose-wall-mount-pot-filler-2-2gpm-stainless-steel,Pot Fillers,440.64,6.54,0.0148,THS Standard - no free shipping,General profile
CTSF-WRG1004,4-roll-grooved-copper-coated-4-bolt-flange-adapter-150-125-lb,Copper Sweat Fittings,434.55,13.80,0.0318,THS Standard - no free shipping,General profile
MOEN-T2193NHBL,moen-align-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-matte-black-shower-head-and-valve-not-included,Tub-Shower Trim Sets,425.78,3.20,0.0075,THS Freight & Oversize,General profile
MOEN-T6906,moen-voss-wall-mount-2-handle-low-arc-lavatory-faucet-trim-kit-in-chrome-valve-sold-separately,Wall-Mount Faucets,418.61,5.07,0.0121,THS Standard - no free shipping,General profile
MUST-3260M,e-l-mustee-sons-durabase-shower-base-white-1-piece-rectangle-single-threshold-60-x-32-x-5-1-2,Shower Bases & Walls,413.22,76.00,0.1839,THS Freight & Oversize,THS Standard - no free shipping
DELT-T14459-BL,delta-trinsic-monitor-14-series-h2okinetic-tub-shower-trim-matte-black,Tub-Shower Trim Sets,410.40,3.25,0.0079,THS Freight & Oversize,General profile
DELT-T14467,delta-ara-monitor-14-series-h2okinetic-tub-shower-trim-chrome,Tub-Shower Trim Sets,410.40,4.57,0.0111,THS Freight & Oversize,General profile
MUST-3660M,e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-60-x-36-x-5-1-2,Shower Bases & Walls,407.31,85.50,0.2099,THS Freight & Oversize,THS Standard - no free shipping
ELKA-LK810HA08T4,elkay-8-centerset-with-exposed-deck-faucet-with-8-high-arc-spout-4-wristblade-handles-chrome,Widespread Faucets,407.21,6.20,0.0152,THS Standard - no free shipping,General profile
MUST-3060R-WHT,e-l-mustee-sons-shower-base-white-1-piece-standard-threshold-rectangle-60-x-30-x-5-1-2,Shower Bases & Walls,399.69,55.00,0.1376,THS Freight & Oversize,THS Standard - no free shipping
FLOR-MSR-3624-3,florestone-wedge-lok-mop-service-sink-white-single-bowl-sinks-36-x-24-x-10-with-3-drain,Floor-Mount Mop and Service Sinks,382.20,72.00,0.1884,THS Freight & Oversize,THS Standard - no free shipping
MOEN-S176EPBL,moen-align-1-spray-eco-performance-7-single-tub-wall-mount-fixed-shower-head-in-matte-black,Rain Heads,380.62,2.96,0.0078,THS Freight & Oversize,General profile
MUST-3460M,e-l-mustee-sons-durabase-shower-base-white-1-piece-single-threshold-rectangle-60-x-34-x-5-1-2,Shower Bases & Walls,375.80,80.70,0.2147,THS Freight & Oversize,THS Standard - no free shipping
MUEL-01020500C,5-8-x-50-x-1-2-insulation-uv-line-set,Coated Line Sets,374.25,12.58,0.0336,THS Standard - no free shipping,General profile
MOEN-UT2843EPBN,moen-glyde-m-core-2-series-eco-performance-1-handle-tub-and-shower-trim-kit-in-brushed-nickel-valve-sold-separately,Tub-Shower Trim Sets,370.62,80.00,0.2159,THS Freight & Oversize,THS Standard - no free shipping
MUEL-00410500C,1-4-x-1-x-50-uv-suction-line-only,Coated Line Sets,351.86,10.85,0.0308,THS Standard - no free shipping,General profile
MUST-27F,e-l-mustee-sons-utilatwin-laundry-utility-sink-white-double-bowl-sinks-thermoplastic-tub-steel-leg-40-x-24-x-34,Laundry and Utility Sinks,349.92,80.00,0.2286,THS Freight & Oversize,THS Standard - no free shipping
HONE-L4006E1067/U,aquastat-breaks-on-rise-130-270f-range-250f-factory-stop-less-well,Aquastats & Wells,306.81,5.00,0.0163,THS Standard - no free shipping,General profile
BRIZ-HL680-BN,brizo-siderna-roman-tub-faucet-lever-handle-kit-brushed-nickel,Roman Tub Valves,303.12,80.00,0.2639,THS Freight & Oversize,THS Standard - no free shipping
CTSF-WRG1003,3-roll-grooved-copper-coated-4-bolt-flange-adapter-150-125-lb,Copper Sweat Fittings,298.41,9.50,0.0318,THS Standard - no free shipping,General profile
MOEN-T2193EP,moen-align-single-handle-posi-temp-eco-performance-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Tub-Shower Trim Sets,293.95,3.66,0.0125,THS Freight & Oversize,General profile
MOEN-T2813EP,moen-rizon-1-handle-1-spray-posi-temp-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Tub-Shower Trim Sets,293.95,3.40,0.0116,THS Freight & Oversize,General profile
TACO-0015-MSF3-1IFC,0015-3-speed-cast-iron-integral-flow-check-flanged-rotated-115v-60-1,Fixed Speed Circulators,291.39,8.00,0.0275,THS Standard - no free shipping,General profile
HDPE-400,4-x-20-hdpe-geothermal-pipe-160-psi-sdr-17-cenfuse,HDPE & Poly Pipe,289.00,0.22,0.0008,THS Freight & Oversize,General profile
TACO-007-F5,007-series-cast-iron-flanged-115v-60-1,Fixed Speed Circulators,287.13,8.00,0.0279,THS Standard - no free shipping,General profile
T&SB-B-0665-BSTR,service-sink-faucet-wall-mount-8-centers-built-in-stops-vacuum-breaker-rough,Metering Faucets,281.08,7.25,0.0258,THS Standard - no free shipping,General profile
GERB-HE-28-530,logan-square-1-28gpf-tank-12-rough-in-white,Toilet Tanks Only,272.82,37.00,0.1356,THS Freight & Oversize,THS Standard - no free shipping
LIBE-257,1-3-hp-submersiblesump-pump-cast-iron-vmf-vertical-magnetic-float-115v-10-cord,Sump Pumps,270.94,21.00,0.0775,THS Freight & Oversize,THS Standard - no free shipping
DELT-T14459,delta-trinsic-monitor-14-series-h2okinetic-tub-shower-trim-chrome,Tub-Shower Trim Sets,269.91,80.00,0.2964,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1681010,mr-pex-2-x-20-white-potable-pex-a-tubing,Non-Barrier Tubing,264.52,13.14,0.0497,THS Freight & Oversize,THS Standard - no free shipping
DELT-T17438,delta-lahara-monitor-17-series-tub-shower-trim-chrome,Tub-Shower Trim Sets,260.25,6.41,0.0246,THS Freight & Oversize,General profile
DELT-T17464,delta-ashlyn-monitor-17-series-tub-shower-trim-chrome,Tub-Shower Trim Sets,260.25,4.11,0.0158,THS Freight & Oversize,General profile
DELT-RP54870SS,delta-renovation-kit-600-series-tub-shower-stainless,Tub & Shower Repair Parts,254.07,1.19,0.0047,THS Freight & Oversize,General profile
MOEN-T2153EPORB,moen-brantford-single-handle-1-spray-posi-temp-tub-and-shower-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately,Tub-Shower Trim Sets,249.28,3.96,0.0159,THS Freight & Oversize,General profile
MOUN-BDWOF-ST/IW,ez-click-bath-tub-drain-with-overflow-drain-tube-not-included-ice-white,Tub Drains,244.73,80.00,0.3269,THS Freight & Oversize,THS Standard - no free shipping
LIBE-LCU-N220ST,neutralizing-condensate-pump-230v-automatic-with-safety-switch-20-max-head-with-20-tubing-kit,Drain & Condensate Pumps,240.94,20.50,0.0851,THS Freight & Oversize,THS Standard - no free shipping
LIBE-LCU-N20ST,neutralizing-condensate-pump-115v-auto-w-safety-switch-20-max-head-with-20-tubing-kit,Drain & Condensate Pumps,238.12,20.50,0.0861,THS Freight & Oversize,THS Standard - no free shipping
HLNK-20254,heatlink-2-x-20-black-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,235.77,13.14,0.0557,THS Freight & Oversize,THS Standard - no free shipping
SUNT-SUS-10,10-baseboard-heater-complete-700-series-3-4-element,Baseboard Heaters,233.25,25.00,0.1072,THS Freight & Oversize,THS Standard - no free shipping
MILW-48-22-8201,ultimate-jobsite-backpack,Storage Bags & Buckets,228.21,6.82,0.0299,THS Standard - no free shipping,General profile
MOEN-T2133EPBN,moen-eva-1-handle-posi-temp-tub-and-shower-trim-kit-with-eco-performance-showerhead-in-brushed-nickel-valve-sold-separately,Tub-Shower Trim Sets,226.56,3.30,0.0146,THS Freight & Oversize,General profile
MOEN-T2743BN,moen-glyde-1-spray-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Tub-Shower Trim Sets,226.56,3.60,0.0159,THS Freight & Oversize,General profile
MOEN-UTL172EP,moen-legend-m-core-3-series-1-handle-eco-performance-tub-and-shower-trim-kit-in-chrome-valve-sold-separately,Tub-Shower Trim Sets,214.05,80.00,0.3737,THS Freight & Oversize,THS Standard - no free shipping
MUST-12C,e-l-mustee-sons-utilitub-laundry-utility-sink-white-single-bowl-sinks-thermoplastic-tub-steel-leg-18-x-23-1-2-x-33,Laundry and Utility Sinks,209.02,14.00,0.0670,THS Freight & Oversize,THS Standard - no free shipping
MILW-48-22-7224,24-aluminum-pipe-wrench,Wrenches,207.00,6.65,0.0321,THS Standard - no free shipping,General profile
COPT-038-REF,3-8-x-50-copper-tube-refrigeration-tubing-soft,Refrigeration Tubing - Soft,204.54,6.70,0.0328,THS Standard - no free shipping,General profile
MOEN-T2473EPBL,moen-genta-lx-1-handle-posi-temp-eco-performance-tub-and-shower-faucet-trim-kit-in-matte-black-valve-not-included,Tub-Shower Trim Sets,197.69,80.00,0.4047,THS Freight & Oversize,THS Standard - no free shipping
CTSF-BF002,2-sweat-copper-coated-4-bolt-flange-adapter-150-lb,Copper Sweat Fittings,185.67,5.90,0.0318,THS Standard - no free shipping,General profile
OS&B-TRB02Q-LB,clicker-tub-drain-trim-kit-with-brass-round-slide-on-luxe-bronze,Tub Drains,182.94,80.00,0.4373,THS Freight & Oversize,THS Standard - no free shipping
DELT-T144339-PP,delta-modern-monitor-14-series-tub-shower-trim-chrome,Tub-Shower Trim Sets,179.25,80.00,0.4463,THS Freight & Oversize,THS Standard - no free shipping
MOEN-T2221,moen-greenfield-chrome-posi-temp-r-tub-shower-valve-only,Pressure Balance Valve Trims,172.53,80.00,0.4637,THS Freight & Oversize,THS Standard - no free shipping
CPPF-200-UMA,2-copper-press-fittings-union-pxm-p-x-mpt,Press Fittings - Copper (CTS),170.32,5.31,0.0312,THS Standard - no free shipping,General profile
GEBE-151.508.00.1,polypropylene-tee-bath-waste-and-overflow-rough-in-unit-for-17-to-24-bathtub-with-33-stainless-steel-cable,Tub Drains,165.00,80.00,0.4848,THS Freight & Oversize,THS Standard - no free shipping
MOEN-7423,moen-chateau-single-handle-standard-kitchen-faucet-in-chrome,Standard Kitchen Faucets,164.91,4.26,0.0258,THS Standard - no free shipping,General profile
MOEN-6150,moen-gibson-4-in-centerset-2-handle-high-arc-bathroom-faucet-with-pop-up-assembly-in-chrome,Centerset Faucets,162.57,5.40,0.0332,THS Standard - no free shipping,General profile
MOEN-8957,moen-m-bition-4-in-centerset-2-handle-vandal-resistant-bar-faucet-with-1-2-in-ips-connections-1-5-gpm-lever-handles-in-chrome,Standard Prep/Bar Faucets,162.25,5.00,0.0308,THS Standard - no free shipping,General profile
