prioridade,sku,titulo,marca,categoria,preco_usd,peso_atual_lb_INCORRETO,peso_real_lb_PREENCHER
1,IPSC-87000,"IPS 20″ ID x 22″ OD Pan, Aluminum Water Heater Pan, 1″ x 1-1/2″ PVC Drain Connection",IPS Corporation,Water Heater Pans,21.41,120.0,
1,IPSC-87001,"IPS 20″ ID x 22″ OD Pan, Aluminum Water Heater Pan, 1″ x 1-1/2″ No Drain Connection",IPS Corporation,Water Heater Pans,21.41,120.0,
1,BRPN-125-5,"Legend Valve 311-128 1-1/4"" x 5"" Red Brass Pipe Nipple",Legend Valve,Brass Nipples,25.82,91.0,
1,MOEN-T90331BN,Moen T90331BN Tub/Shower Drain Covers in Brushed Nickel,Moen,Shower Drains,131.55,80.0,
1,MOEN-T2663EP,Moen T2663EP Vichy Single-Handle Eco-Performance Posi-Temp Tub and Shower Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Tub-Shower Trim Sets,97.60,80.0,
1,MOEN-T2903EP,Moen T2903EP Gibson Single-Handle Posi-Temp Tub and Shower Faucet Trim Kit in Chrome (Valve Not Included),Moen,Tub-Shower Trim Sets,97.60,80.0,
1,MOEN-140690,Moen Tub drain rough-in kit 140690,Moen,Tub Drains,21.78,80.0,
1,MOUN-BDWOF-ST/IW,Mountain Plumbing Products BDWOF-ST/IW EZ-Click™ Bath Tub Drain with Overflow (drain tube not included) - Ice White,Mountain Plumbing Products,Tub Drains,244.73,80.0,
1,OS&B-TRB02Q-LB,OS&B TRB02Q-LB Clicker Tub Drain Trim Kit with Brass Round Slide On - Luxe Bronze,OS&B,Tub Drains,182.94,80.0,
1,OS&B-TR02Q-W,OS&B TR02Q-W Clicker Tub Drain Trim Kit - White,OS&B,Tub Drains,79.50,80.0,
1,RHEE-SP20946,"Rheem SP20946 208 V, 5 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,126.98,76.0,
1,RHEE-SP20947,"Rheem SP20947 208 V, 6 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,126.98,76.0,
1,RHEE-SP20971,"Rheem SP20971 208 V, 6 kW, Conversion Kit Assembly for ELD 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,126.98,76.0,
1,RHEE-SP20945,"Rheem SP20945 208 V, 4.5 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,126.02,76.0,
1,RHEE-SP20950,"Rheem SP20950 240 V, 4.5 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,125.69,76.0,
1,RHEE-SP20943,"Rheem SP20943 208 V, 3 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,122.61,76.0,
1,RHEE-SP20967,"Rheem SP20967 208 V, 3 kW, Conversion Kit Assembly for ELD 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,122.61,76.0,
1,RHEE-SP20948,"Rheem SP20948 240 V, 3 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,119.11,76.0,
1,RHEE-SP20972,"Rheem SP20972 240 V, 3 kW, Conversion Kit Assembly for ELD 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,114.02,76.0,
1,RHEE-SP20984,"Rheem SP20984 480 V, 4.5 kW, Conversion Kit Assembly for ELD 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,109.97,76.0,
1,RHEE-SP20958,"Rheem SP20958 480 V, 3 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,108.30,76.0,
1,RHEE-SP20962,"Rheem SP20962 480 V, 6 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,107.69,76.0,
1,RHEE-SP20952,"Rheem SP20952 240 V, 6 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,107.44,76.0,
1,RHEE-SP20949,"Rheem SP20949 240 V, 4 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,107.32,76.0,
1,RHEE-SP20951,"Rheem SP20951 240 V, 5 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,105.56,76.0,
1,RHEE-SP20959,"Rheem SP20959 480 V, 4 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,105.56,76.0,
1,RHEE-SP20961,"Rheem SP20961 480 V, 5 kW, Conversion Kit Assembly for ELD/ELDS 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,105.56,76.0,
1,RHEE-SP20976,"Rheem SP20976 240 V, 6 kW, Conversion Kit Assembly for ELD 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,99.57,76.0,
1,RHEE-SP20975,"Rheem SP20975 240 V, 5 kW, Conversion Kit Assembly for ELD 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,96.15,76.0,
1,RHEE-SP20985,"Rheem SP20985 480 V, 5 kW, Conversion Kit Assembly for ELD 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,96.15,76.0,
1,RHEE-SP20983,"Rheem SP20983 480 V, 4 kW, Conversion Kit Assembly for ELD 55 Gallon Electric Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,92.45,76.0,
1,RHEE-RTGH-SX,Rheem Outdoor Conversion Kit for IKONIC Heaters,Rheem Manufacturing,Water Heater Vent Kits,57.86,76.0,
1,RHEE-SP12575B,"Rheem SP12575B 3/4"" NPT x 3/4"" NPT, 7-1/4"" L, 2"" Sensor, 105000 BTU/Hr, 150 PSI, Temperature and Pressure Relief Valve for Water Heater",Rheem Manufacturing,T&P Valves,56.82,76.0,
1,RHEE-SP10869QL,"Rheem 0.316"" x 19.27"", 1"" NPSM, 208 to 240 V, 4500/6000 W, Threaded Mount, Stainless Steel, Resistored/Screw-In, Water Heater Heating Element",Rheem Manufacturing,Elements & Electric Conversion Kits,53.64,76.0,
1,RHEE-SP10870NL,"Rheem 0.316"" x 19.28"", 480 V, 5000 W, 46.1 Ohm, Stainless Steel, Screw-In, Foldback, Threaded Mount, Electric Heating Element for Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,53.11,76.0,
1,RHEE-SP10869ML,"Rheem 0.32"" x 15.56"", 1"" Nominal, 1-9/32"" NPSM, 1-1/2"" Hex Head, 208/240 V, 3380/4500 W, 12.8 Ohm Cold Resistance, Stainless Steel/Incoloy Outer",Rheem Manufacturing,Elements & Electric Conversion Kits,52.30,76.0,
1,RHEE-SP10870LL,"Rheem SP10870LL 16-1/4"", 480 V, 4000 W, Stainless Steel, Resistored, Single, Low Density, Water Heater Heating Element",Rheem Manufacturing,Elements & Electric Conversion Kits,41.74,76.0,
1,RHEE-SP10867LL,"Rheem SP10867LL 16-1/4"", Stainless Steel, Screw-In, Water Heater Resistored Heating Element",Rheem Manufacturing,Elements & Electric Conversion Kits,39.06,76.0,
1,RHEE-SP10552ML,"Rheem 0.26"" x 13.81"", 208/240 V, 3380/4500 W, 12.8 Ohm, Copper, Screw-In, Foldback, Threaded Mount, Electric Heating Element for Water Heater",Rheem Manufacturing,Elements & Electric Conversion Kits,29.16,76.0,
1,WATC-38190-BZ,Watco 38190-BZ Push Pull Tub Drain Kit Rubbed Bronze,Watco Mfg,Tub Drains,72.36,80.0,
2,BRIZ-T70476-PNLHP,Brizo T70476-PNLHP Invari® Two-Handle Wall Mount Tub Filler Less Handles Polished Nickel,Brizo,Wall-Mount Tub Faucets,833.19,80.0,
2,DELT-T4767-BLFL,Delta T4767-BLFL Ara® Single Handle Floor Mount Tub Filler Trim with Handshower Matte Black,Delta,Freestanding Tub Faucets,2834.19,80.0,
2,DELT-T4759-CZFL,Delta T4759-CZFL Trinsic® Single Handle Floor Mount Tub Filler Trim with Handshower Champagne Bronze,Delta,Freestanding Tub Faucets,2347.20,80.0,
2,DELT-T4759-SSFL,Delta T4759-SSFL Trinsic® Single Handle Floor Mount Tub Filler Trim with Handshower Stainless,Delta,Freestanding Tub Faucets,2025.00,80.0,
2,DELT-T4759-FL,Delta T4759-FL Trinsic® Single Handle Floor Mount Tub Filler Trim with Handshower Chrome,Delta,Freestanding Tub Faucets,1447.20,80.0,
2,DELT-T4759-CZ,Delta T4759-CZ Trinsic® Roman Tub with Handshower Trim Champagne Bronze,Delta,Deck-Mount Tub Faucets,899.10,80.0,
2,DELT-T4759,Delta T4759 Trinsic® Roman Tub with Handshower Trim Chrome,Delta,Deck-Mount Tub Faucets,641.70,80.0,
2,DELT-T14467-SS,Delta T14467-SS Ara® Monitor® 14 Series H2OKinetic® Tub & Shower Trim Stainless,Delta,Tub-Shower Trim Sets,577.80,80.0,
2,DELT-T4738,Delta T4738 Lahara® Roman Tub with Handshower Trim Chrome,Delta,Deck-Mount Tub Faucets,566.19,80.0,
2,DELT-T2751,Delta T2751 Dryden™ Roman Tub Trim Chrome,Delta,Deck-Mount Tub Faucets,565.20,80.0,
2,DELT-T2759-BL,Delta T2759-BL Trinsic® Roman Tub Trim Matte Black,Delta,Deck-Mount Tub Faucets,551.70,80.0,
2,GROH-23.49100A,Single-Handle Freestanding Tub Faucet with 1.75 GPM Hand Shower in GROHE CHROME 2349100A,Grohe,Single-Hole Faucets,1891.61,80.0,
2,GROH-32.653003,Single-Handle Freestanding Tub Faucet with 1.75 GPM Hand Shower in GROHE CHROME 32653003,Grohe,Single-Hole Faucets,1702.51,80.0,
2,GROH-117982,Grohe 117982 3-Hole 2-Handle Deck Mount Roman Tub Faucet in GROHE CHROME,Grohe,Deck-Mount Tub Faucets,856.57,80.0,
2,GROH-35.027000,"Grohe 35027000 - Eurocube® StarLight Chrome, Tub/Shower Trim Sets - Wall Mount",Grohe,Tub-Shower Trim Sets,618.88,80.0,
2,MOEN-S93005BL,Moen S93005BL Arris Matte black one-handle tub filler includes hand shower,Moen,Deck-Mount Tub Faucets,2892.63,80.0,
2,MOEN-615BL,Moen 615BL Cia Matte black one-handle tub filler includes hand shower,Moen,Deck-Mount Tub Faucets,2636.79,80.0,
2,MOEN-615BG,Moen 615BG Cia Brushed gold one-handle tub filler includes hand shower,Moen,Hand Shower Heads,2397.20,80.0,
2,MOEN-TS984BL,Moen TS984BL Doux 2-Handle Deck Mount Roman Tub Faucet Trim Kit with Hand shower in Matte Black (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,1458.81,80.0,
2,MOEN-TS32100BN,Moen TS32100BN Weymouth Brushed nickel Posi-Temp(R) with diverter tub/shower valve only,Moen,Diverter Valves,1446.18,80.0,
2,MOEN-T394BN,Moen T394BN Align 2-Handle Deck Mount Roman Tub Faucet Trim Kit with Hand shower in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,1388.30,80.0,
2,MOEN-TS93003,Moen TS93003 Arris 2-Handle Deck-Mount High-Arc Roman Tub Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,854.60,80.0,
2,MOEN-T394,Moen T394 Align 2-Handle Deck Mount Roman Tub Faucet Trim Kit with Hand shower in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,843.29,80.0,
2,MOEN-T393BN,Moen T393BN Align 2-Handle Deck Mount Roman Tub Faucet Trim Kit in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,756.62,80.0,
2,MOEN-T653BN,Moen T653BN Wynford 2-Handle Deck-Mount High-Arc Roman Tub Faucet with Lever Handles in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,756.62,80.0,
2,MOEN-WT6221,Moen WT6221 Cia Chrome one-handle tub filler,Moen,Deck-Mount Tub Faucets,722.33,80.0,
2,MOEN-T393,Moen T393 Align 2-Handle Deck Mount Roman Tub Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,541.53,80.0,
2,MOEN-T935,Moen T935 Rizon 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,541.53,80.0,
2,MOEN-T2193BN,Moen T2193BN Align Single-Handle Posi-Temp Tub and Shower Faucet Trim Kit in Brushed Nickel (Valve Sold Separately),Moen,Tub-Shower Trim Sets,534.08,80.0,
2,MOEN-T2693EPBL,Moen T2693EPBL Voss Matte black Posi-Temp(R) tub/shower,Moen,Tub-Shower Trim Sets,521.81,80.0,
2,MOEN-T693,Moen T693 Voss 2-Handle Deck-Mount High-Arc Roman Tub Faucet Trim Kit in Chrome (Valve Not Included),Moen,Roman Tub Valves,519.62,80.0,
2,MOEN-T2263EPBG,Moen T2263EPBG Cia Brushed gold Posi-Temp(R) tub/shower,Moen,Tub-Shower Trim Sets,512.49,80.0,
2,NORI-EZ2FVK-1,"Noritz EZ2FVK-1 2"" x 25' Flex Vent Kit Requires EZ2-CK",Noritz,Water Heater Vent Kits,812.18,76.0,
2,RHEE-SP20907B,"Rheem SP20907B 6"" Common Air Intake Header Kit for 3 Units",Rheem Manufacturing,Water Heater Vent Kits,1758.32,76.0,
2,RHEE-SP20906A,"Rheem SP20906A 6"" Common Direct Vent Header Kit for 2 Units",Rheem Manufacturing,Water Heater Vent Kits,1665.01,76.0,
2,RHEE-SP20906C,"Rheem SP20906C 6"" Common Direct Vent Header Kit for 4 Units",Rheem Manufacturing,Water Heater Vent Kits,1489.11,76.0,
2,RHEE-SP20907A,"Rheem SP20907A 6"" Common Air Intake Header Kit for 2 Units",Rheem Manufacturing,Water Heater Vent Kits,1274.67,76.0,
2,RHEE-SP20906B,"Rheem SP20906B 6"" Common Direct Vent Header Kit for 3 Units",Rheem Manufacturing,Water Heater Vent Kits,1274.46,76.0,
2,RHEE-SP20907C,"Rheem SP20907C 6"" Common Air Intake Header Kit for 4 Units",Rheem Manufacturing,Water Heater Vent Kits,1255.47,76.0,
2,RHEE-SP13416,"Rheem SP13416 High Performance, Blower Assembly for Water Heater",Rheem Manufacturing,Fan & Blower Assemblies,816.09,76.0,
2,BURN-MPO-IQ84B-TB,"US Boiler (Burnham) MPO-IQ Series, MPO-IQ84B-TB, Oil Fired, Chimney Vented Cast Iron Boiler",US Boiler,US Boiler Clearance Sale,2163.15,140.0,
3,BRIZ-HX70475-BL,Brizo HX70475-BL Jason Wu for Brizo™ Wall Mount Tub Filler Cross Handles Matte Black,Brizo,Wall-Mount Tub Faucets,358.75,80.0,
3,BRIZ-HL680-BN,Brizo HL680-BN Siderna® Roman Tub Faucet Lever Handle Kit Brushed Nickel,Brizo,Roman Tub Valves,303.12,80.0,
3,DELT-T2759-SS,Delta T2759-SS Trinsic® Roman Tub Trim Stainless,Delta,Deck-Mount Tub Faucets,485.19,80.0,
3,DELT-T4705,Delta T4705 Classic Roman Tub with Handshower Trim Chrome,Delta,Deck-Mount Tub Faucets,461.70,80.0,
3,DELT-T14459-BL,Delta T14459-BL Trinsic® Monitor® 14 Series H2OKinetic® Tub & Shower Trim Matte Black,Delta,Tub-Shower Trim Sets,410.40,80.0,
3,DELT-T14467,Delta T14467 Ara® Monitor® 14 Series H2OKinetic® Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,410.40,80.0,
3,DELT-T2759,Delta T2759 Trinsic® Roman Tub Trim Chrome,Delta,Deck-Mount Tub Faucets,410.40,80.0,
3,DELT-T5722-SS,Delta T5722-SS Classic Garden Tub Trim Stainless,Delta,Deck-Mount Tub Faucets,404.19,80.0,
3,DELT-T2705,Delta T2705 Classic Roman Tub Trim Chrome,Delta,Deck-Mount Tub Faucets,271.83,80.0,
3,DELT-T14459,Delta T14459 Trinsic® Monitor® 14 Series H2OKinetic® Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,269.91,80.0,
3,DELT-T17438,Delta T17438 Lahara® Monitor® 17 Series Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,260.25,80.0,
3,DELT-T17464,Delta T17464 Ashlyn® Monitor® 17 Series Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,260.25,80.0,
3,DELT-T144339-PP,Delta T144339-PP Modern Monitor 14 Series Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,179.25,80.0,
3,DELT-T13420,Delta T13420 Classic Monitor® 13 Series Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,148.03,80.0,
3,MUST-27F,"E. L Mustee & Sons E.L. Mustee & Sons - UTILATWIN® (Laundry/Utility Sink) White, Double Bowl Sinks Thermoplastic (Tub), Steel (Leg) - 40"" x 24"" x 34""",E. L Mustee & Sons,Laundry and Utility Sinks,349.92,80.0,
3,MUST-12C,"E. L Mustee & Sons E.L. Mustee & Sons - UTILITUB® (Laundry/Utility Sink) White, Single Bowl Sinks Thermoplastic (Tub), Steel (Leg) - 18"" x 23-1/2"" x",E. L Mustee & Sons,Laundry and Utility Sinks,209.02,80.0,
3,GERB-D511030TC,Gerber D511030TC Amalfi 1H Tub & Shower Trim Kit w/ Diverter on Spout & Treysta Cartridge 1.75gpm Chrome,Gerber,Tub-Shower Trim Sets,161.19,80.0,
3,GERB-D500122BNTC,Gerber D500122BNTC Antioch 1H Tub & Shower Trim Kit w/ Diverter on Spout & Treysta Cartridge 1.75gpm Brushed Nickel,Gerber,Tub-Shower Trim Sets,142.56,80.0,
