sku,titulo,marca,categoria,preco_usd,peso_atual_lb,peso_fornecedor_lb,razao,frete_atual_usd,frete_novo_usd,delta_usd,densidade_lb_ft3
BURN-X-PV4P-T02,"US Boiler (Burnham) X-PV Series - 94,000 BTU Input - Cast Iron Sectional Power Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2,000'",US Boiler,Cast Iron Gas Boilers,5865.28,2.19,294.0,134.25,279,529,250,
S&DT-BURN-202EN-GO,"US Boiler (Burnham) Scratched or Dented, Series 2 Gas Boiler 38,000 Elct Ign",US Boiler,Cast Iron Gas Boilers,1648.08,2.19,202.0,92.24,279,529,250,
BURN-ASPN-110A-6L00M,"US Boiler (Burnham) ASPN-110A-6L00M Aspen - 110,000 BTU Input - Fire Tube Boiler, 96% efficient, No Pump Included - Elevation Range 0-10,100'",US Boiler,Condensing Boilers,3150.0,80.0,154.0,1.93,349,529,180,
BURN-ASPN-155A-6L00M,"US Boiler (Burnham) ASPN-155A-6L00M Aspen - 155,000 BTU Input - Fire Tube Boiler, 95% efficient, No Pump Included - Elevation Range 0-10,100'",US Boiler,Condensing Boilers,8036.53,80.0,160.0,2.0,349,529,180,
BURN-ASPN-270A-6L00M,"US Boiler (Burnham) ASPN-270A-6L00M Aspen - 270,000 BTU Input - Fire Tube Boiler, 95% efficient, No Pump Included - Elevation Range 0-10,100'",US Boiler,Condensing Boilers,11648.2,80.0,185.0,2.31,349,529,180,
BURN-ASPN-320A-6L00,"US Boiler (Burnham) ASPN-320A-6L00 Aspen - 320,000 BTU Input - Fire Tube Boiler, 95% efficient, No Pump Included - Elevation Range 0-10,100'",US Boiler,Condensing Boilers,14573.18,80.0,200.0,2.5,349,529,180,
AMST-3053.000.020,American Standard 3053000.020 Cadet® 3 FloWise® Skirted Chair Height Round Front Bowl With Seat White,American Standard,Toilet Bowls Only,453.56,40.0,73.8,1.84,279,349,70,16.9
AMST-3053.120.020,American Standard 3053120.020 Studio® Skirted Chair Height Round Front Bowl With Seat White,American Standard,Toilet Bowls Only,496.83,40.0,73.4,1.84,279,349,70,16.8
AMST-3075.000.020,American Standard 3075000.020 Cadet® 3 FloWise® Skirted Chair Height Elongated Bowl With Seat White,American Standard,Toilet Bowls Only,483.51,40.0,77.4,1.94,279,349,70,16.5
AMST-3075.120.020,American Standard 3075120.020 Studio® Skirted Chair Height Elongated Bowl With Seat White,American Standard,Toilet Bowls Only,467.7,40.0,77.4,1.94,279,349,70,16.5
AMST-3195A.101.020,American Standard 3195A101.020 Champion® PRO Chair Height Elongated Bowl White,American Standard,Toilet Bowls Only,274.63,40.0,70.05,1.75,279,349,70,13.6
AMST-3447.101.020,American Standard 3447101.020 Glenwall® VorMax® Back Outlet Elongated Wall-Hung EverClean® Bowl White,American Standard,Toilet Bowls Only,313.74,40.0,77.9,1.95,279,349,70,16.4
AMST-6400.001.020,American Standard 6400001.020 Stallbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Urinal White,American Standard,Urinals,749.82,1.0,112.0,112.0,279,349,70,12.0
AMST-6515.001.020,American Standard 6515001.020 Washbrook 0.125 -1.0 gpf (0.47 - 3.8 Lpf) Back Spud Urinal White,American Standard,Urinals,382.81,1.0,71.0,71.0,279,349,70,10.5
AMST-6561.017.020,American Standard 6561017.020 Trimbrook® 1.0 gpf/3.8 Lpf Top Spud Siphon Jet Urinal White,American Standard,Urinals,410.28,1.0,73.0,73.0,279,349,70,13.4
AMST-6590.001.020,American Standard 6590001.020 Washbrook® 0.125 - 1.0 gpf (0.47 - 3.8 Lpf) Top Spud Urinal White,American Standard,Urinals,306.25,1.0,71.0,71.0,279,349,70,10.5
AMST-6601.012.020,American Standard 6601012.020 Lynbrook® 1.0 gpf/3.8 Lpf Top Spud Blowout Urinal White,American Standard,Urinals,455.22,1.0,75.0,75.0,279,349,70,12.0
AMST-7695.008.020,American Standard 7695008.020 Akron® Wall-Hung Cast Iron Service Sink With 8-inch Faucet Holes and Rim Guard White,American Standard,Wall-Mount Sinks,1073.55,1.0,109.0,109.0,279,349,70,14.7
AMST-9512.999.020,American Standard 9512999.020 Wall-Hung Clinic Service Sink White,American Standard,Wall-Mount Sinks,1101.86,1.0,73.6,73.6,279,349,70,10.0
DURA-2125010000,Duravit 2125010000 Starck 3 1.28 GPF Single Flush Elongated Toilet Bowl in White,Duravit,Toilet Bowls Only,360.75,40.0,85.76,2.14,279,349,70,16.6
DURA-2157010005,"Duravit 2157010005 DuraStyle 1.32/0.92 GPF Dual Flush Elongated One Piece Toilet in White, Top Push Button Flush - Seat Sold Separately",Duravit,One-Piece Toilets,819.0,40.0,121.254,3.03,279,349,70,13.0
DURA-2160010000,Duravit 2160010000 DuraStyle 1.32/0.92 GPF Dual Flush Elongated Toilet Bowl in White,Duravit,Toilet Bowls Only,336.38,40.0,91.933,2.3,279,349,70,19.5
DURA-2222090092,"Duravit Happy D.2 1.6/0.8 GPF Dual Flush Rimless ADA Compliant Compact Elongated Wall Mounted Toilet in White - Seat, Actuator, and In-Wall Tank and",Duravit,Wall-Mount Toilets,916.5,40.0,125.6,3.14,279,349,70,41.6
DXVF-D20102000.415,"DXV D20102000.415 Hillside® 30"" Apron Kitchen Sink with Center Drain in CANVAS WHITE",DXV,Apron-Front & Farmhouse Sinks,1855.2,39.6,97.0,2.45,279,349,70,18.6
DXVF-D23005C000.415,DXV D23005C000.415 Fitzgerald® Chair Height Elongated Toilet Bowl with Seat in CANVAS WHITE,DXV,Toilet Bowls Only,547.2,49.5,96.1,1.94,279,349,70,17.3
DXVF-D23226A000.415,DXV D23226A000.415 Equility® Chair Height Elongated Toilet Bowl with Seat in CANVAS WHITE,DXV,Toilet Bowls Only,640.8,47.8,80.9,1.69,279,349,70,15.0
DXVF-D29030CS416-415,DXV D29030CS416-415 AT200LS Dual Flush Elongated SpaLet Bidet Toilet in CANVAS WHITE,DXV,Toilet-Bidet Combinations,7447.2,43.1,110.2,2.56,279,349,70,10.9
MUST-760T-30WHT,"E. L Mustee & Sons E.L. Mustee & Sons - DURAWALL® (Wall & Door Components) White, Shower Bases & Walls - 5-Piece, Rectangular (60"" x 30"" x 73-1/4"")",E. L Mustee & Sons,Shower Bases & Walls,1066.77,60.5,95.5,1.58,279,349,70,
MUST-760T-34WHT,"E. L Mustee & Sons E.L. Mustee & Sons - DURAWALL® (Wall & Door Components) White, Shower Bases & Walls - 5-Piece, Rectangular, Tile Pattern (60"" x",E. L Mustee & Sons,Shower Bases & Walls,1283.24,60.5,100.0,1.65,279,349,70,10936.7
ELKA-EZSTL8LC,Elkay EZSTL8LC Versatile Wall Mount Bi-level ADA Cooler Non-filtered Refrigerated Light Gray Granite,Elkay,Coolers,1706.68,2.0,83.0,41.5,279,349,70,10.4
ELKA-LZS8WSLK,Elkay LZS8WSLK ezH2O Bottle Filling Station with Single ADA Cooler Filtered Refrigerated Light Gray,Elkay,Bottle Fillers & Fountains,2636.87,2.0,85.0,42.5,279,349,70,8.5
ELKA-LZSTL8WSLK,Elkay LZSTL8WSLK ezH2O Bottle Filling Station & Versatile Bi-Level ADA Cooler Filtered Refrigerated Light Gray,Elkay,Bottle Fillers & Fountains,3676.8,2.0,104.0,52.0,279,349,70,7.6
GVLF-7060-1000-GALV,"Gruvlok 10"" Tee - Galvanized - GR x GR x GR",Gruvlok,Gruvlok Fittings,7814.1,0.5,72.0,144.0,279,349,70,
GVLF-7060-1000-PNTD,"Gruvlok 10"" Tee - Painted - GR x GR x GR",Gruvlok,Gruvlok Fittings,6251.7,0.52,74.469,143.21,279,349,70,
GVLF-768G-600-PNTD,"Gruvlok 6"" Wye Strainer - Painted - GR x GR",Gruvlok,Gruvlok Fittings,9686.2,3.0,72.4,24.13,279,349,70,
IBCT-BTI55,IBC 034-009 56.5 Gal 444 SS Indirect Water Maker with Aquastat,IBC,Water Makers,2126.84,70.0,91.5,1.31,279,349,70,
IBCT-BTI65-MAX,IBC 034-011 64.5 Gal 444 SS Indirect Water Maker with Aquastat,IBC,Water Makers,2481.15,70.0,97.5,1.39,279,349,70,
IBCT-DTI-119-MAX,"IBC 119 Gallon 444 SS Indirect Water Heater with Aquastat with 1-1/2"" inlets",IBC,Water Makers,5277.77,70.0,145.0,2.07,279,349,70,
IBCT-DTI-55,IBC DTI-55 56.5 Gallon 444 SS Indirect Water Heater with Aquastat,IBC,Water Makers,2318.46,70.0,91.5,1.31,279,349,70,
IBCT-DTI-65,IBC DTI-65 64.5 Gallon 444 SS Indirect Water Heater with Aquastat,IBC,Water Makers,2829.15,70.0,97.5,1.39,279,349,70,
IBCT-DTI-80,IBC DTI-80 79.9 Gallon 444 SS Indirect Water Heater with Aquastat,IBC,Water Makers,3384.14,70.0,118.0,1.69,279,349,70,
IBCT-DTI-80-MAX,"IBC DTI-80MAX 79.9 Gallon 444 SS Indirect Water Heater with Aquastat with 1-1/2"" inlets",IBC,Water Makers,4580.86,70.0,118.0,1.69,279,349,70,
LIBE-LSG202M,"Liberty Pumps LSG202M 2 HP, Grinder Pump, 1 PH, 208-230V, 25' Cord, 1-1/4"" Discharge, Manual",Liberty Pumps,Sewage Pumps,2445.95,61.0,84.0,1.38,279,349,70,174.8
LIBE-LSG203M,"Liberty Pumps LSG203M 2 HP, Grinder Pump, 3 PH, 208/230V, 25' Cord, 1-1/4"" Discharge, Manual",Liberty Pumps,Sewage Pumps,2576.25,61.0,84.0,1.38,279,349,70,
LIBE-P382XPRG101,"Liberty Pumps P382XPRG101 1 HP, Simplex Sewage Package, 1 PH, 115V, 2"" Discharge, 10' Stack, 10' Cord",Liberty Pumps,Sewage Pumps,2083.12,61.0,87.0,1.43,279,349,70,13322.1
TOTO-CST644CEFGT20-01,"Toto USA CST644CEFGT20#01 - Carolina® II, Washlet®, Cotton, 1-Piece Elongated Toilet - 1.28 GPF",Toto,One-Piece Toilets,990.6,40.0,97.7,2.44,279,349,70,11.2
TOTO-CT447CFG-01,"TOTO® RP Wall-Hung Contemporary D-Shape Dual Flush 1.28 and 0.9 GPF Toilet with CEFIONTECT®, Cotton White - CT447CFG#01",Toto,Wall-Mount Toilets,801.06,40.0,76.0,1.9,279,349,70,24.1
TOTO-CT474CUFG-01,"TOTO® Vespin® II Universal Height Elongated Skirted Toilet Bowl with CEFIONTECT, Cotton White - CT474CUFG#01",Toto,Toilet Bowls Only,614.64,49.6,75.2,1.52,279,349,70,11.2
DELT-H79,Delta Metal Lever Handle Kit Tub & Shower Chrome,Delta,Tub & Shower Repair Parts,38.88,80.0,0.55,0.01,349,279,-70,117.3
DELT-RP54870SS,Delta RP54870SS Renovation Kit 600 Series Tub & Shower Stainless,Delta,Tub & Shower Repair Parts,254.07,80.0,1.186,0.01,349,279,-70,
DELT-T13420,Delta T13420 Classic Monitor® 13 Series Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,148.03,80.0,2.61,0.03,349,279,-70,7.0
DELT-T14459-BL,Delta T14459-BL Trinsic® Monitor® 14 Series H2OKinetic® Tub & Shower Trim Matte Black,Delta,Tub-Shower Trim Sets,410.4,80.0,3.25,0.04,349,279,-70,21.5
DELT-T14467,Delta T14467 Ara® Monitor® 14 Series H2OKinetic® Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,410.4,80.0,4.57,0.06,349,279,-70,26.0
DELT-T14467-SS,Delta T14467-SS Ara® Monitor® 14 Series H2OKinetic® Tub & Shower Trim Stainless,Delta,Tub-Shower Trim Sets,577.8,80.0,4.59,0.06,349,279,-70,26.1
DELT-T17438,Delta T17438 Lahara® Monitor® 17 Series Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,260.25,80.0,3.18,0.04,349,279,-70,6.2
DELT-T17464,Delta T17464 Ashlyn® Monitor® 17 Series Tub & Shower Trim Chrome,Delta,Tub-Shower Trim Sets,260.25,80.0,3.7,0.05,349,279,-70,11.2
DELT-T2705,Delta T2705 Classic Roman Tub Trim Chrome,Delta,Deck-Mount Tub Faucets,271.83,80.0,2.331,0.03,349,279,-70,4.0
DELT-T2751,Delta T2751 Dryden™ Roman Tub Trim Chrome,Delta,Deck-Mount Tub Faucets,565.2,80.0,5.468,0.07,349,279,-70,10.0
DELT-T2759,Delta T2759 Trinsic® Roman Tub Trim Chrome,Delta,Deck-Mount Tub Faucets,410.4,80.0,5.85,0.07,349,279,-70,4.6
DELT-T2759-BL,Delta T2759-BL Trinsic® Roman Tub Trim Matte Black,Delta,Deck-Mount Tub Faucets,551.7,80.0,5.388,0.07,349,279,-70,4.2
DELT-T2759-SS,Delta T2759-SS Trinsic® Roman Tub Trim Stainless,Delta,Deck-Mount Tub Faucets,485.19,80.0,5.95,0.07,349,279,-70,4.7
DELT-T4738,Delta T4738 Lahara® Roman Tub with Handshower Trim Chrome,Delta,Deck-Mount Tub Faucets,566.19,80.0,7.3,0.09,349,279,-70,13.1
DELT-T4759,Delta T4759 Trinsic® Roman Tub with Handshower Trim Chrome,Delta,Deck-Mount Tub Faucets,641.7,80.0,7.88,0.1,349,279,-70,2.9
DELT-T4759-CZ,Delta T4759-CZ Trinsic® Roman Tub with Handshower Trim Champagne Bronze,Delta,Deck-Mount Tub Faucets,899.1,80.0,6.4,0.08,349,279,-70,2.4
DELT-T4759-CZFL,Delta T4759-CZFL Trinsic® Single Handle Floor Mount Tub Filler Trim with Handshower Champagne Bronze,Delta,Freestanding Tub Faucets,2347.2,80.0,16.9,0.21,349,279,-70,6.2
DELT-T4759-FL,Delta T4759-FL Trinsic® Single Handle Floor Mount Tub Filler Trim with Handshower Chrome,Delta,Freestanding Tub Faucets,1447.2,80.0,16.9,0.21,349,279,-70,6.2
DELT-T4759-SSFL,Delta T4759-SSFL Trinsic® Single Handle Floor Mount Tub Filler Trim with Handshower Stainless,Delta,Freestanding Tub Faucets,2025.0,80.0,16.9,0.21,349,279,-70,6.2
DELT-T5722-SS,Delta T5722-SS Classic Garden Tub Trim Stainless,Delta,Deck-Mount Tub Faucets,404.19,80.0,4.2,0.05,349,279,-70,11.0
MUST-12C,"E. L Mustee & Sons E.L. Mustee & Sons - UTILITUB® (Laundry/Utility Sink) White, Single Bowl Sinks Thermoplastic (Tub), Steel (Leg) - 18"" x 23-1/2"" x",E. L Mustee & Sons,Laundry and Utility Sinks,209.02,80.0,14.0,0.17,349,279,-70,6720.0
MUST-3060R-WHT,"E. L Mustee & Sons 3060R E.L. Mustee & Sons - Shower Base - White, 1-Piece, Standard Threshold, Rectangle (60"" x 30"" x 5-1/2"")",E. L Mustee & Sons,Shower Bases & Walls,399.69,71.2,55.0,0.77,349,279,-70,13577.1
MUST-T6030L,"E. L Mustee & Sons 60"" x 30"" x 15-3/4"", 11-3/4"" Water Depth, Semi-Gloss White, Molded Fiberglass, 2"" Left Hand Drain, Rectangle in Outside, 1-Piece",E. L Mustee & Sons,Alcove Tubs,380.85,78.0,70.0,0.9,349,279,-70,5760.0
GROH-35.027000,"Grohe 35027000 - Eurocube® StarLight Chrome, Tub/Shower Trim Sets - Wall Mount",Grohe,Tub-Shower Trim Sets,618.88,80.0,6.402,0.08,349,279,-70,8.3
MOEN-140690,Moen Tub drain rough-in kit 140690,Moen,Tub Drains,21.78,80.0,0.75,0.01,349,279,-70,7.2
MOEN-4792,Moen 4792 M-Pact 2-Handle 3-Hole Roman Tub Adjustable Rough-In Valve - 1/2 in. CC Connection,Moen,Roman Tub Valves,158.88,80.0,3.99,0.05,349,279,-70,17.5
MOEN-4793,Moen 4793 M-Pact 2-Handle 3-Hole Roman Tub Adjustable Rough-In Valve - 1/2 in. CPVC PEX Connection,Moen,Deck-Mount Tub Faucets,179.94,80.0,5.32,0.07,349,279,-70,18.2
MOEN-4794,Moen 4794 M-Pact 2-Handle 3-Hole Roman Tub Adjustable Rough-In Valve - 1/2 in. Crimp Ring PEX Connection,Moen,Deck-Mount Tub Faucets,171.56,80.0,4.93,0.06,349,279,-70,16.9
MOEN-4798,Moen 4798 M-Pact 2-Handle 3-Hole Roman Tub 10 in. Center Rough-In Valve - 1/2 in. Wirsbo PEX Connection,Moen,Deck-Mount Tub Faucets,152.61,80.0,3.48,0.04,349,279,-70,11.9
MOEN-9792,Moen 9792 M-Pact 2-Handle 4-Hole Roman Tub Adjustable Rough-In Valve with Shower Diverter - 1/2 in. CC Connection,Moen,Deck-Mount Tub Faucets,358.02,80.0,5.28,0.07,349,279,-70,23.2
MOEN-9793,Moen 9793 M-Pact 2-Handle 4-Hole Roman Tub Adjustable Rough-In Valve with Shower Diverter - 1/2 in. PEX/CPVC Connection,Moen,Deck-Mount Tub Faucets,366.41,80.0,6.9,0.09,349,279,-70,23.6
MOEN-S176EPBL,"Moen S176EPBL Align 1-Spray Eco-Performance 7"" Single Tub Wall Mount Fixed Shower Head in Matte Black",Moen,Rain Heads,380.62,80.0,2.9,0.04,349,279,-70,12.2
MOEN-T2133EPBN,Moen T2133EPBN Eva 1-Handle Posi-Temp Tub and Shower Trim Kit with Eco-Performance Showerhead in Brushed Nickel (Valve Sold Separately),Moen,Tub-Shower Trim Sets,226.56,80.0,3.3,0.04,349,279,-70,20.7
MOEN-T2153EPORB,Moen T2153EPORB Brantford Single-Handle 1-Spray Posi-Temp Tub and Shower Faucet Trim Kit in Oil Rubbed Bronze (Valve Sold Separately),Moen,Tub-Shower Trim Sets,249.28,80.0,3.96,0.05,349,279,-70,24.9
MOEN-T2193BN,Moen T2193BN Align Single-Handle Posi-Temp Tub and Shower Faucet Trim Kit in Brushed Nickel (Valve Sold Separately),Moen,Tub-Shower Trim Sets,534.08,80.0,3.66,0.05,349,279,-70,22.8
MOEN-T2193EP,Moen T2193EP Align Single-Handle Posi-Temp Eco-Performance Tub and Shower Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Tub-Shower Trim Sets,293.95,80.0,3.66,0.05,349,279,-70,22.6
MOEN-T2193NHBL,Moen T2193NHBL Align Single-Handle Posi-Temp Tub and Shower Faucet Trim Kit in Matte Black (Shower Head and Valve Not Included),Moen,Tub-Shower Trim Sets,425.78,80.0,3.2,0.04,349,279,-70,20.1
MOEN-T2693NH,Moen T2693NH Voss Posi-Temp Tub and Shower Trim Kit Less Showerhead in Chrome (Valve not included),Moen,Tub-Shower Trim Sets,155.64,80.0,16.12,0.2,349,279,-70,66.8
MOEN-T2743BN,Moen T2743BN Glyde 1-Spray Single-Handle Posi-Temp Tub and Shower Faucet Trim Kit in Brushed Nickel (Valve Sold Separately),Moen,Tub-Shower Trim Sets,226.56,80.0,3.6,0.04,349,279,-70,13.3
MOEN-T2813EP,Moen T2813EP Rizon 1-Handle 1-Spray Posi-Temp Tub and Shower Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Tub-Shower Trim Sets,293.95,80.0,3.4,0.04,349,279,-70,21.4
MOEN-T2903EP,Moen T2903EP Gibson Single-Handle Posi-Temp Tub and Shower Faucet Trim Kit in Chrome (Valve Not Included),Moen,Tub-Shower Trim Sets,97.6,80.0,3.5,0.04,349,279,-70,22.0
MOEN-T373BN,Moen T373BN Glyde 2-Handle High-Arc Roman Tub Faucet in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,444.4,80.0,6.05,0.08,349,279,-70,25.4
MOEN-T393,Moen T393 Align 2-Handle Deck Mount Roman Tub Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,541.53,80.0,5.72,0.07,349,279,-70,13.2
MOEN-T393BN,Moen T393BN Align 2-Handle Deck Mount Roman Tub Faucet Trim Kit in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,756.62,80.0,6.38,0.08,349,279,-70,14.7
MOEN-T394,Moen T394 Align 2-Handle Deck Mount Roman Tub Faucet Trim Kit with Hand shower in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,843.29,80.0,7.15,0.09,349,279,-70,16.1
MOEN-T394BN,Moen T394BN Align 2-Handle Deck Mount Roman Tub Faucet Trim Kit with Hand shower in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,1388.3,80.0,6.5,0.08,349,279,-70,12.9
MOEN-T4943ORB,Moen Brantford 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Oil Rubbed Bronze (Valve Sold Separately) T4943ORB,Moen,Deck-Mount Tub Faucets,321.78,80.0,4.6,0.06,349,279,-70,20.2
MOEN-T653BN,Moen T653BN Wynford 2-Handle Deck-Mount High-Arc Roman Tub Faucet with Lever Handles in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,756.62,80.0,7.0,0.09,349,279,-70,16.1
MOEN-T693,Moen T693 Voss 2-Handle Deck-Mount High-Arc Roman Tub Faucet Trim Kit in Chrome (Valve Not Included),Moen,Roman Tub Valves,519.62,80.0,6.79,0.08,349,279,-70,15.7
MOEN-T933,Moen T933 Brantford 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,297.03,80.0,4.8,0.06,349,279,-70,21.1
MOEN-T933BN,Moen T933BN Brantford 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,444.4,80.0,5.13,0.06,349,279,-70,22.5
MOEN-T933ORB,Moen Brantford 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Oil Rubbed Bronze (Valve Sold Separately) T933ORB,Moen,Deck-Mount Tub Faucets,488.91,80.0,5.3,0.07,349,279,-70,23.2
MOEN-T935,Moen T935 Rizon 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,541.53,80.0,6.9,0.09,349,279,-70,15.9
MOEN-T943,Moen T943 Eva 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,297.03,80.0,5.93,0.07,349,279,-70,13.7
MOEN-T943BN,Moen T943BN Eva 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Brushed Nickel (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,444.4,80.0,6.06,0.08,349,279,-70,14.0
MOEN-T943ORB,Moen T943ORB Eva 2-Handle Deck-Mount Roman Tub Faucet Trim Kit in Oil Rubbed Bronze (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,488.91,80.0,6.1,0.08,349,279,-70,14.1
MOEN-T961,Moen T961 Gibson 2-Handle Deck-Mount Roman Tub Faucet in Chrome,Moen,Deck-Mount Tub Faucets,290.72,80.0,5.47,0.07,349,279,-70,17.1
MOEN-T990,Moen T990 Chateau 2-Handle Low Arc Roman Tub Faucet Trim in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,280.31,80.0,4.0,0.05,349,279,-70,28.7
MOEN-TS2713EP,Moen TS2713EP 90 Degree Posi-Temp Single-Handle 1-Spray Tub and Shower Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Tub-Shower Trim Sets,477.53,80.0,5.8,0.07,349,279,-70,24.0
MOEN-TS93003,Moen TS93003 Arris 2-Handle Deck-Mount High-Arc Roman Tub Faucet Trim Kit in Chrome (Valve Sold Separately),Moen,Deck-Mount Tub Faucets,854.6,80.0,5.0,0.06,349,279,-70,10.7
RHEE-PROG40-30N-RH62-MH-DV,"Rheem® PROG40-30N-RH62-MH-DV 40 gallon 30,000 Btu/h Professional Classic® Direct Vent for Manufactured Housing Natural Gas or Propane Water Heater",Rheem Manufacturing,Manufactured Housing Heaters,2378.88,125.0,12.0,0.1,349,279,-70,974.6
RHEE-RTGH-68DVLN-3,"Rheem® 120,000 Btu/h RTGH Series Super High Efficiency Condensing Tankless Natural Gas Water Heater for Indoor Installation RTGH-68DVLN-3",Rheem Manufacturing,Tankless Water Heaters - Gas,1487.18,82.0,52.9,0.65,349,279,-70,
