ID,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
7715213607015,UPDATE,"{""value"":22.188,""unit"":""in""}","{""value"":10.125,""unit"":""in""}","{""value"":18,""unit"":""in""}"
7715213869159,UPDATE,"{""value"":22.186,""unit"":""in""}","{""value"":10.125,""unit"":""in""}","{""value"":18,""unit"":""in""}"
7715214032999,UPDATE,"{""value"":18.938,""unit"":""in""}","{""value"":10.375,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715214098535,UPDATE,"{""value"":18.938,""unit"":""in""}","{""value"":10.375,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715214262375,UPDATE,"{""value"":18.938,""unit"":""in""}","{""value"":10.375,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715214327911,UPDATE,"{""value"":18.938,""unit"":""in""}","{""value"":10.375,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715214426215,UPDATE,"{""value"":18.938,""unit"":""in""}","{""value"":10.375,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715214491751,UPDATE,"{""value"":18.938,""unit"":""in""}","{""value"":10.375,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715214655591,UPDATE,"{""value"":18.938,""unit"":""in""}","{""value"":10.375,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715214753895,UPDATE,"{""value"":18.938,""unit"":""in""}","{""value"":10.375,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715214852199,UPDATE,"{""value"":19.313,""unit"":""in""}","{""value"":9.25,""unit"":""in""}","{""value"":16,""unit"":""in""}"
7715214917735,UPDATE,"{""value"":19.313,""unit"":""in""}","{""value"":9.25,""unit"":""in""}","{""value"":16,""unit"":""in""}"
7715215016039,UPDATE,"{""value"":20.375,""unit"":""in""}","{""value"":14.625,""unit"":""in""}","{""value"":15.188,""unit"":""in""}"
7715215048807,UPDATE,"{""value"":18.438,""unit"":""in""}","{""value"":10.25,""unit"":""in""}","{""value"":16.063,""unit"":""in""}"
7715215114343,UPDATE,"{""value"":20.25,""unit"":""in""}","{""value"":10.625,""unit"":""in""}","{""value"":16,""unit"":""in""}"
7715215179879,UPDATE,"{""value"":20.25,""unit"":""in""}","{""value"":10.625,""unit"":""in""}","{""value"":16,""unit"":""in""}"
7715215212647,UPDATE,"{""value"":20.25,""unit"":""in""}","{""value"":10.625,""unit"":""in""}","{""value"":16,""unit"":""in""}"
7715215376487,UPDATE,"{""value"":19.313,""unit"":""in""}","{""value"":10.062,""unit"":""in""}","{""value"":19.063,""unit"":""in""}"
7715215409255,UPDATE,"{""value"":19.313,""unit"":""in""}","{""value"":10.062,""unit"":""in""}","{""value"":19.37,""unit"":""in""}"
7715215474791,UPDATE,"{""value"":19.313,""unit"":""in""}","{""value"":10.062,""unit"":""in""}","{""value"":19.37,""unit"":""in""}"
7715215573095,UPDATE,"{""value"":19.125,""unit"":""in""}","{""value"":9.563,""unit"":""in""}","{""value"":15.938,""unit"":""in""}"
7715215868007,UPDATE,"{""value"":18.313,""unit"":""in""}","{""value"":9.938,""unit"":""in""}","{""value"":16.688,""unit"":""in""}"
7715215966311,UPDATE,"{""value"":18,""unit"":""in""}","{""value"":15,""unit"":""in""}","{""value"":2.5,""unit"":""in""}"
7715216031847,UPDATE,"{""value"":16.692,""unit"":""in""}","{""value"":14.448,""unit"":""in""}","{""value"":2.125,""unit"":""in""}"
7715216130151,UPDATE,"{""value"":14.891,""unit"":""in""}","{""value"":2.875,""unit"":""in""}","{""value"":20.188,""unit"":""in""}"
7715216228455,UPDATE,"{""value"":17.688,""unit"":""in""}","{""value"":14.25,""unit"":""in""}","{""value"":2.75,""unit"":""in""}"
7715216326759,UPDATE,"{""value"":14.188,""unit"":""in""}","{""value"":2.563,""unit"":""in""}","{""value"":20.875,""unit"":""in""}"
7715216392295,UPDATE,"{""value"":14.25,""unit"":""in""}","{""value"":20.125,""unit"":""in""}","{""value"":2.375,""unit"":""in""}"
7715216490599,UPDATE,"{""value"":22.25,""unit"":""in""}","{""value"":14.625,""unit"":""in""}","{""value"":2.375,""unit"":""in""}"
7715216556135,UPDATE,"{""value"":14.438,""unit"":""in""}","{""value"":2.563,""unit"":""in""}","{""value"":19.563,""unit"":""in""}"
7715216719975,UPDATE,"{""value"":44.563,""unit"":""in""}","{""value"":19.125,""unit"":""in""}","{""value"":18.875,""unit"":""in""}"
7715216752743,UPDATE,"{""value"":31.375,""unit"":""in""}","{""value"":21.875,""unit"":""in""}","{""value"":17,""unit"":""in""}"
7715216949351,UPDATE,"{""value"":23.375,""unit"":""in""}","{""value"":14.5,""unit"":""in""}","{""value"":15.75,""unit"":""in""}"
7715217014887,UPDATE,"{""value"":29.75,""unit"":""in""}","{""value"":19.688,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715217080423,UPDATE,"{""value"":21.813,""unit"":""in""}","{""value"":13.563,""unit"":""in""}","{""value"":13.313,""unit"":""in""}"
7715217145959,UPDATE,"{""value"":31.375,""unit"":""in""}","{""value"":21.875,""unit"":""in""}","{""value"":17,""unit"":""in""}"
7715217277031,UPDATE,"{""value"":32.375,""unit"":""in""}","{""value"":16.875,""unit"":""in""}","{""value"":19.813,""unit"":""in""}"
7715217342567,UPDATE,"{""value"":25.188,""unit"":""in""}","{""value"":22.563,""unit"":""in""}","{""value"":22.563,""unit"":""in""}"
7715217408103,UPDATE,"{""value"":30.188,""unit"":""in""}","{""value"":30.188,""unit"":""in""}","{""value"":18,""unit"":""in""}"
7715218161767,UPDATE,"{""value"":29.375,""unit"":""in""}","{""value"":6.875,""unit"":""in""}","{""value"":9.625,""unit"":""in""}"
7715218358375,UPDATE,"{""value"":26.562,""unit"":""in""}","{""value"":22.25,""unit"":""in""}","{""value"":23.562,""unit"":""in""}"
7715218915431,UPDATE,"{""value"":23.188,""unit"":""in""}","{""value"":20.063,""unit"":""in""}","{""value"":27.375,""unit"":""in""}"
7715219046503,UPDATE,"{""value"":23.813,""unit"":""in""}","{""value"":9.688,""unit"":""in""}","{""value"":23.563,""unit"":""in""}"
7715221864551,UPDATE,"{""value"":10.551,""unit"":""in""}","{""value"":7.126,""unit"":""in""}","{""value"":6.378,""unit"":""in""}"
7715246276711,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.75,""unit"":""in""}","{""value"":20.875,""unit"":""in""}"
7715246309479,UPDATE,"{""value"":14.625,""unit"":""in""}","{""value"":2.375,""unit"":""in""}","{""value"":20.375,""unit"":""in""}"
7715246342247,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.563,""unit"":""in""}","{""value"":20.875,""unit"":""in""}"
7715246375015,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.75,""unit"":""in""}","{""value"":20.875,""unit"":""in""}"
7715246407783,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":1.75,""unit"":""in""}","{""value"":19.875,""unit"":""in""}"
7715246440551,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.563,""unit"":""in""}","{""value"":20.875,""unit"":""in""}"
7715246473319,UPDATE,"{""value"":14.625,""unit"":""in""}","{""value"":2.125,""unit"":""in""}","{""value"":20.375,""unit"":""in""}"
7715246506087,UPDATE,"{""value"":14.625,""unit"":""in""}","{""value"":2.125,""unit"":""in""}","{""value"":20.375,""unit"":""in""}"
7715246538855,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.25,""unit"":""in""}","{""value"":22.875,""unit"":""in""}"
7715246571623,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.563,""unit"":""in""}","{""value"":18.875,""unit"":""in""}"
7715246604391,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.25,""unit"":""in""}","{""value"":19.875,""unit"":""in""}"
7715246637159,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.25,""unit"":""in""}","{""value"":18.625,""unit"":""in""}"
7715246669927,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":1.75,""unit"":""in""}","{""value"":17.975,""unit"":""in""}"
7715246702695,UPDATE,"{""value"":14.625,""unit"":""in""}","{""value"":2.125,""unit"":""in""}","{""value"":20.375,""unit"":""in""}"
7715246735463,UPDATE,"{""value"":15.25,""unit"":""in""}","{""value"":2.25,""unit"":""in""}","{""value"":19.875,""unit"":""in""}"
7715246768231,UPDATE,"{""value"":14.75,""unit"":""in""}","{""value"":2.75,""unit"":""in""}","{""value"":22.875,""unit"":""in""}"
7715260072039,UPDATE,"{""value"":5.06,""unit"":""in""}","{""value"":2.13,""unit"":""in""}","{""value"":9.5,""unit"":""in""}"
7715260104807,UPDATE,"{""value"":10.5,""unit"":""in""}","{""value"":2.41,""unit"":""in""}","{""value"":15.69,""unit"":""in""}"
7715260137575,UPDATE,"{""value"":10.5,""unit"":""in""}","{""value"":2.41,""unit"":""in""}","{""value"":15.69,""unit"":""in""}"
7715260760167,UPDATE,"{""value"":10.88,""unit"":""in""}","{""value"":2.63,""unit"":""in""}","{""value"":15.88,""unit"":""in""}"
7715260989543,UPDATE,"{""value"":10.5,""unit"":""in""}","{""value"":2.41,""unit"":""in""}","{""value"":15.66,""unit"":""in""}"
7715261120615,UPDATE,"{""value"":6.69,""unit"":""in""}","{""value"":3.31,""unit"":""in""}","{""value"":7.56,""unit"":""in""}"
7715261415527,UPDATE,"{""value"":7.34,""unit"":""in""}","{""value"":11.25,""unit"":""in""}","{""value"":7.84,""unit"":""in""}"
7715261546599,UPDATE,"{""value"":7,""unit"":""in""}","{""value"":9.75,""unit"":""in""}","{""value"":5.75,""unit"":""in""}"
7715261808743,UPDATE,"{""value"":7,""unit"":""in""}","{""value"":9.75,""unit"":""in""}","{""value"":5.75,""unit"":""in""}"
7715261841511,UPDATE,"{""value"":2.56,""unit"":""in""}","{""value"":3.88,""unit"":""in""}","{""value"":3.69,""unit"":""in""}"
7715261874279,UPDATE,"{""value"":3.56,""unit"":""in""}","{""value"":19.81,""unit"":""in""}","{""value"":1.81,""unit"":""in""}"
7715261972583,UPDATE,"{""value"":3.56,""unit"":""in""}","{""value"":25.81,""unit"":""in""}","{""value"":1.81,""unit"":""in""}"
7715262103655,UPDATE,"{""value"":2.25,""unit"":""in""}","{""value"":4.31,""unit"":""in""}","{""value"":1,""unit"":""in""}"
7715262201959,UPDATE,"{""value"":3.78,""unit"":""in""}","{""value"":1.31,""unit"":""in""}","{""value"":5.81,""unit"":""in""}"
7715262267495,UPDATE,"{""value"":3.69,""unit"":""in""}","{""value"":6.94,""unit"":""in""}","{""value"":1.88,""unit"":""in""}"
7715262300263,UPDATE,"{""value"":1.25,""unit"":""in""}","{""value"":3.13,""unit"":""in""}","{""value"":3.13,""unit"":""in""}"
7715262333031,UPDATE,"{""value"":1.25,""unit"":""in""}","{""value"":3.22,""unit"":""in""}","{""value"":3.22,""unit"":""in""}"
7715262365799,UPDATE,"{""value"":8,""unit"":""in""}","{""value"":8,""unit"":""in""}","{""value"":3.75,""unit"":""in""}"
7715262398567,UPDATE,"{""value"":2.38,""unit"":""in""}","{""value"":11.81,""unit"":""in""}","{""value"":11.81,""unit"":""in""}"
7715262431335,UPDATE,"{""value"":3.75,""unit"":""in""}","{""value"":6,""unit"":""in""}","{""value"":6,""unit"":""in""}"
7715262464103,UPDATE,"{""value"":4.94,""unit"":""in""}","{""value"":7.38,""unit"":""in""}","{""value"":32,""unit"":""in""}"
7715262496871,UPDATE,"{""value"":3.13,""unit"":""in""}","{""value"":5.44,""unit"":""in""}","{""value"":32.25,""unit"":""in""}"
7715262595175,UPDATE,"{""value"":2.25,""unit"":""in""}","{""value"":4.38,""unit"":""in""}","{""value"":2.75,""unit"":""in""}"
7715262627943,UPDATE,"{""value"":2.25,""unit"":""in""}","{""value"":3.88,""unit"":""in""}","{""value"":1.94,""unit"":""in""}"
7715262660711,UPDATE,"{""value"":1.5,""unit"":""in""}","{""value"":4.25,""unit"":""in""}","{""value"":3,""unit"":""in""}"
7715262759015,UPDATE,"{""value"":4,""unit"":""in""}","{""value"":4,""unit"":""in""}","{""value"":3,""unit"":""in""}"
7715262791783,UPDATE,"{""value"":3.88,""unit"":""in""}","{""value"":3.88,""unit"":""in""}","{""value"":4.25,""unit"":""in""}"
7715262824551,UPDATE,"{""value"":4.25,""unit"":""in""}","{""value"":7,""unit"":""in""}","{""value"":4.94,""unit"":""in""}"
7715262857319,UPDATE,"{""value"":1.25,""unit"":""in""}","{""value"":3,""unit"":""in""}","{""value"":6.5,""unit"":""in""}"
7715262890087,UPDATE,"{""value"":2.75,""unit"":""in""}","{""value"":4,""unit"":""in""}","{""value"":4,""unit"":""in""}"
7715262922855,UPDATE,"{""value"":2.75,""unit"":""in""}","{""value"":4,""unit"":""in""}","{""value"":4,""unit"":""in""}"
7715262955623,UPDATE,"{""value"":2.75,""unit"":""in""}","{""value"":4,""unit"":""in""}","{""value"":4,""unit"":""in""}"
7715262988391,UPDATE,"{""value"":2.75,""unit"":""in""}","{""value"":4,""unit"":""in""}","{""value"":4,""unit"":""in""}"
7715263021159,UPDATE,"{""value"":2.75,""unit"":""in""}","{""value"":3.38,""unit"":""in""}","{""value"":3.38,""unit"":""in""}"
7715263086695,UPDATE,"{""value"":3.25,""unit"":""in""}","{""value"":9.75,""unit"":""in""}","{""value"":14.69,""unit"":""in""}"
7715263119463,UPDATE,"{""value"":3.25,""unit"":""in""}","{""value"":9.75,""unit"":""in""}","{""value"":19.25,""unit"":""in""}"
7715263152231,UPDATE,"{""value"":2.25,""unit"":""in""}","{""value"":3.5,""unit"":""in""}","{""value"":2,""unit"":""in""}"
7715263184999,UPDATE,"{""value"":2.38,""unit"":""in""}","{""value"":10.25,""unit"":""in""}","{""value"":2.75,""unit"":""in""}"
7715263217767,UPDATE,"{""value"":6.5,""unit"":""in""}","{""value"":3.81,""unit"":""in""}","{""value"":8,""unit"":""in""}"
7715263250535,UPDATE,"{""value"":6.5,""unit"":""in""}","{""value"":3.81,""unit"":""in""}","{""value"":8,""unit"":""in""}"
7715263283303,UPDATE,"{""value"":5.69,""unit"":""in""}","{""value"":11,""unit"":""in""}","{""value"":2.38,""unit"":""in""}"
7715263316071,UPDATE,"{""value"":4.81,""unit"":""in""}","{""value"":4.06,""unit"":""in""}","{""value"":5.44,""unit"":""in""}"
7715263348839,UPDATE,"{""value"":2.25,""unit"":""in""}","{""value"":3.5,""unit"":""in""}","{""value"":4.19,""unit"":""in""}"
7715263381607,UPDATE,"{""value"":5.63,""unit"":""in""}","{""value"":6.5,""unit"":""in""}","{""value"":2.19,""unit"":""in""}"
7715263414375,UPDATE,"{""value"":1.19,""unit"":""in""}","{""value"":1.19,""unit"":""in""}","{""value"":6,""unit"":""in""}"
7715263447143,UPDATE,"{""value"":3.38,""unit"":""in""}","{""value"":3.44,""unit"":""in""}","{""value"":8.88,""unit"":""in""}"
7715263479911,UPDATE,"{""value"":1,""unit"":""in""}","{""value"":1,""unit"":""in""}","{""value"":86.63,""unit"":""in""}"
7715263512679,UPDATE,"{""value"":1.25,""unit"":""in""}","{""value"":2.5,""unit"":""in""}","{""value"":2.5,""unit"":""in""}"
7715263610983,UPDATE,"{""value"":1.31,""unit"":""in""}","{""value"":1.31,""unit"":""in""}","{""value"":3.97,""unit"":""in""}"
7715263643751,UPDATE,"{""value"":2.72,""unit"":""in""}","{""value"":2.72,""unit"":""in""}","{""value"":7.06,""unit"":""in""}"
7715263676519,UPDATE,"{""value"":2.72,""unit"":""in""}","{""value"":2.72,""unit"":""in""}","{""value"":7.06,""unit"":""in""}"
7715263709287,UPDATE,"{""value"":2.72,""unit"":""in""}","{""value"":2.72,""unit"":""in""}","{""value"":7.06,""unit"":""in""}"
7715264233575,UPDATE,"{""value"":1.25,""unit"":""in""}","{""value"":1.25,""unit"":""in""}","{""value"":9,""unit"":""in""}"
7715264462951,UPDATE,"{""value"":1.25,""unit"":""in""}","{""value"":1.25,""unit"":""in""}","{""value"":9,""unit"":""in""}"
7715264528487,UPDATE,"{""value"":2,""unit"":""in""}","{""value"":2,""unit"":""in""}","{""value"":7.13,""unit"":""in""}"
7715264626791,UPDATE,"{""value"":7,""unit"":""in""}","{""value"":2.5,""unit"":""in""}","{""value"":2.5,""unit"":""in""}"
7715264888935,UPDATE,"{""value"":7,""unit"":""in""}","{""value"":2.5,""unit"":""in""}","{""value"":2.5,""unit"":""in""}"
7715264921703,UPDATE,"{""value"":7,""unit"":""in""}","{""value"":2.5,""unit"":""in""}","{""value"":2.5,""unit"":""in""}"
