handle,fonte,medida_1,medida_2,medida_3,motivo
e-l-mustee-sons-utilitub-bigtub-drop-in-sink-white-single-bowl-sinksmolded-polypropylene-body-steel-leg-40-x-24-x-34,L/W/H,40.0,24.0,34.0,"caixa daria 22.8 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-utilitub-co-polypure-drop-in-sink-white-single-bowl-sinks-23-x-25-x-33,L/W/H,23.0,25.0,33.0,"caixa daria 13.7 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-utilitub-laundry-utility-sink-white-single-bowl-sinks-thermoplastic-tub-steel-leg-18-x-23-1-2-x-33,L/W/H,18.0,23.0,33.0,"caixa daria 10.1 ft3, acima do degrau de 10 ft3"
elkay-ezh2o-bottle-filling-station-versatile-bi-level-ada-cooler-filtered-refrigerated-stainless,L/W/H,36.75,19.0,39.06,"caixa daria 19.3 ft3, acima do degrau de 10 ft3"
exhibit-6636-ifs-acrylic-alcove-right-hand-drain-bathtub-in-white,L/W/H,65.88,36.0,18.0,"caixa daria 29.9 ft3, acima do degrau de 10 ft3"
grohsafe-3-0-pressure-balance-valve-with-integrated-diverter,L/W/H,95.0,123.0,177.0,medida acima de 120 in - suspeita de mm rotulado como polegada
hand-shower-3-sprays-1-75-gpm-in-grohe-chrome,L/W/H,130.0,62.0,241.0,medida acima de 120 in - suspeita de mm rotulado como polegada
kds-3060-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-no-seat,L/W/H,59.75,30.0,82.25,"caixa daria 96.3 ft3, acima do degrau de 10 ft3"
kds-3060-afr-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,L/W/H,59.75,30.0,82.25,"caixa daria 96.3 ft3, acima do degrau de 10 ft3"
kds-3448-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-left-seat,L/W/H,47.88,33.62,82.25,"caixa daria 86.6 ft3, acima do degrau de 10 ft3"
kds-3448-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-right-seat,L/W/H,47.88,33.62,82.25,"caixa daria 86.6 ft3, acima do degrau de 10 ft3"
kds-3460-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,L/W/H,59.75,33.5,80.12,"caixa daria 104.2 ft3, acima do degrau de 10 ft3"
kds-3460-afr-acrylx-alcove-left-hand-drain-four-piece-shower-in-white-right-seat,L/W/H,59.75,33.5,82.12,"caixa daria 106.7 ft3, acima do degrau de 10 ft3"
kds-3460-afr-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,L/W/H,59.75,33.5,82.12,"caixa daria 106.7 ft3, acima do degrau de 10 ft3"
kds-3636-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-no-seat,L/W/H,35.88,36.0,79.5,"caixa daria 67.9 ft3, acima do degrau de 10 ft3"
kdts-3060-afr-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,L/W/H,59.88,30.12,79.62,"caixa daria 93.9 ft3, acima do degrau de 10 ft3"
kdts-3260-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,L/W/H,59.88,32.0,79.25,"caixa daria 98.9 ft3, acima do degrau de 10 ft3"
kdts-3260-acrylx-alcove-right-hand-drain-four-piece-tub-shower-in-white,L/W/H,59.88,32.0,79.25,"caixa daria 98.9 ft3, acima do degrau de 10 ft3"
kdts-3260-afr-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,L/W/H,59.88,32.0,81.75,"caixa daria 102.0 ft3, acima do degrau de 10 ft3"
kdts-3260-afr-acrylx-alcove-right-hand-drain-four-piece-tub-shower-in-white,L/W/H,59.88,32.0,81.75,"caixa daria 102.0 ft3, acima do degrau de 10 ft3"
kona-5430-porcelain-enamel-left-hand-alcove-bathtub,L/W/H,60.0,30.0,14.0,"caixa daria 18.4 ft3, acima do degrau de 10 ft3"
kona-5430-porcelain-enamel-right-hand-alcove-bathtub,L/W/H,60.0,30.0,14.0,"caixa daria 18.4 ft3, acima do degrau de 10 ft3"
navien-high-efficiency-condensing-heating-boiler-max-htg-input-301-000-btu-h-indoor-wall-hung-residential-commercial-nfb-301c,Dimensions,25.1,32.8,22.3,"caixa daria 13.3 ft3, acima do degrau de 10 ft3"
navien-high-efficiency-condensing-heating-boiler-max-htg-input-399-000-btu-h-indoor-wall-hung-residential-commercial-nfb-399c,Dimensions,25.1,32.8,22.3,"caixa daria 13.3 ft3, acima do degrau de 10 ft3"
rubix-6030-afr-acrylic-alcove-right-hand-drain-bathtub-in-white,L/W/H,59.75,30.0,20.38,"caixa daria 25.6 ft3, acima do degrau de 10 ft3"
scratched-or-dented-all-sales-are-final-sst3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,L/W/H,48.0,36.0,75.0,"caixa daria 84.7 ft3, acima do degrau de 10 ft3"
shower-head-6-1-2-3-sprays-1-75gpm-in-matte-black,L/W/H,82.3,165.9,165.9,medida acima de 120 in - suspeita de mm rotulado como polegada
single-handle-pull-down-kitchen-faucet-dual-spray-1-75-gpm-in-grohe-chrome,L/W/H,224.0,160.0,400.0,medida acima de 120 in - suspeita de mm rotulado como polegada
single-handle-pull-down-kitchen-faucet-triple-spray-1-75-gpm-in-grohe-chrome,L/W/H,264.0,160.0,401.0,medida acima de 120 in - suspeita de mm rotulado como polegada
single-handle-pull-down-kitchen-faucet-triple-spray-1-75-gpm-in-matte-black,L/W/H,264.0,160.0,401.0,medida acima de 120 in - suspeita de mm rotulado como polegada
single-handle-pull-out-kitchen-faucet-dual-spray-1-75-gpm,L/W/H,249.0,111.0,348.0,medida acima de 120 in - suspeita de mm rotulado como polegada
ss3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,L/W/H,48.0,36.0,72.0,"caixa daria 81.4 ft3, acima do degrau de 10 ft3"
ss3648-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-right-seat,L/W/H,48.0,36.0,75.0,"caixa daria 84.7 ft3, acima do degrau de 10 ft3"
ss3660-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,L/W/H,60.0,36.0,75.0,"caixa daria 105.0 ft3, acima do degrau de 10 ft3"
ss3660-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-left-seat,L/W/H,60.0,36.0,77.38,"caixa daria 108.2 ft3, acima do degrau de 10 ft3"
ss3660-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-right-seat,L/W/H,60.0,36.0,77.38,"caixa daria 108.2 ft3, acima do degrau de 10 ft3"
sst36-36-x-36-acrylx-alcove-center-drain-one-piece-shower-in-white-no-seat,L/W/H,36.0,36.0,72.0,"caixa daria 61.8 ft3, acima do degrau de 10 ft3"
sst3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,L/W/H,48.0,36.0,75.0,"caixa daria 84.7 ft3, acima do degrau de 10 ft3"
sst3660-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,L/W/H,60.0,36.0,72.0,"caixa daria 100.9 ft3, acima do degrau de 10 ft3"
sst42-42-x-34-acrylx-alcove-center-drain-one-piece-shower-in-white-no-seat,L/W/H,42.0,34.0,75.0,"caixa daria 70.6 ft3, acima do degrau de 10 ft3"
toto-eco-guinevere-elongated-1-28-gpf-universal-height-skirted-toilet-with-cefiontect-and-softclose-seat-cotton-white-ms974224cefg-01,L/W/H,28.25,18.0,28.0,"caixa daria 10.5 ft3, acima do degrau de 10 ft3"
toto-nexus-one-piece-elongated-1-28-gpf-universal-height-toilet-with-ss124-softclose-seat-washlet-ready-ebony-ms642124cef-51,L/W/H,28.56,17.5,27.0,"caixa daria 10.0 ft3, acima do degrau de 10 ft3"
tsea-plus-60-x-32-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,L/W/H,59.75,32.0,78.0,"caixa daria 97.2 ft3, acima do degrau de 10 ft3"
tsea-plus-60-x-32-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,L/W/H,59.75,32.0,78.0,"caixa daria 97.2 ft3, acima do degrau de 10 ft3"
tsea63-60-x-34-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,L/W/H,60.0,34.0,77.75,"caixa daria 103.0 ft3, acima do degrau de 10 ft3"
tsea63-60-x-34-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,L/W/H,60.0,34.0,77.75,"caixa daria 103.0 ft3, acima do degrau de 10 ft3"
tstea-plus-60-x-32-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,L/W/H,59.75,32.0,78.0,"caixa daria 97.2 ft3, acima do degrau de 10 ft3"
tstea-plus-60-x-32-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,L/W/H,59.75,32.0,78.0,"caixa daria 97.2 ft3, acima do degrau de 10 ft3"
tstea62-60-x-31-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,L/W/H,60.0,31.0,72.0,"caixa daria 87.6 ft3, acima do degrau de 10 ft3"
tstea62-60-x-31-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,L/W/H,60.0,31.0,72.0,"caixa daria 87.6 ft3, acima do degrau de 10 ft3"
tstea63-60-x-34-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,L/W/H,60.0,34.0,72.0,"caixa daria 95.6 ft3, acima do degrau de 10 ft3"
tstea63-60-x-34-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,L/W/H,60.0,34.0,72.0,"caixa daria 95.6 ft3, acima do degrau de 10 ft3"
vo6042-5-ft-acrylx-alcove-center-drain-bathtub-in-white,L/W/H,59.75,42.0,18.25,"caixa daria 31.8 ft3, acima do degrau de 10 ft3"
wall-plate-in-grohe-stainless-steel-brushed,L/W/H,10.0,156.0,197.0,medida acima de 120 in - suspeita de mm rotulado como polegada
wall-union,L/W/H,90.0,50.0,64.0,"caixa daria 182.7 ft3, acima do degrau de 10 ft3"
