sku,variant_id,titulo,preco_usd,peso_real_lb,peso_dimensional_lb,peso_efetivo_lb,lambda,perfil_ANTES,perfil_DEPOIS,motivo
SIOU-695-D432F,44351391826023,"Sioux Chief 695-D432F Trap Primer Distributor with four 1/2"" FIP connections",53.18,0.84,10.02,10.02,0.1884,General profile,THS Standard - no free shipping,reprova por volume
DELT-BT13210,44350552735847,Delta BT13210 Foundations® Monitor® 13 Series Shower Trim Chrome,80.93,2.04,4.32,4.32,0.0534,General profile,THS Standard - no free shipping,reprova por volume
AMST-0643.001.020,44350235607143,American Standard 0643001.020 Studio® Drop-In Sink With Center Hole Only White,292.94,17.0,25.83,25.83,0.0882,General profile,THS Standard - no free shipping,reprova por peso
GROH-40.688001,44350728077415,"Grohe 40688001 18"" Towel Bar in GROHE CHROME",59.23,2.23,,2.23,0.0376,General profile,THS Standard - no free shipping,reprova por peso
CHER-270067,44350487298151,Cherne® 270067 6 in. Test-Ball® Plug,162.33,1.91,12.43,12.43,0.0766,General profile,THS Standard - no free shipping,reprova por volume
MPEX-1660010,44351001591911,"MrPEX Systems 1660010 1-1/4"" x 100' White Potable PEX-a Tubing",566.7,13.14,41.83,41.83,0.0738,General profile,THS Standard - no free shipping,reprova por volume
TACO-110-252F,44353379467367,"Taco Comfort Solutions Freedom Flange Set - Cast Iron, 2 bolt, 1"" NPT; Fits - All ""00"" (not 0012). 110-113, 2400-10/20/45/50, HEC-2, 007e, VT2218",36.13,3.0,,3.0,0.083,General profile,THS Standard - no free shipping,reprova por peso
AMST-4188A.054.020,44350251434087,American Standard 4188A054.020 Cadet® PRO 1.6 gpf/6.0 Lpf 12-Inch Rough Lined Tank White,218.87,31.2,,31.2,0.1426,General profile,THS Standard - no free shipping,reprova por peso
DAYT-D-12521-4,44350517739623,"Dayton D125214 Stainless Steel 25"" x 21-1/4"" x 6-9/16"" 4-Hole Single Bowl Drop-in Sink",306.0,9.7,37.65,37.65,0.123,General profile,THS Standard - no free shipping,reprova por volume
DURA-07065000092,44350672928871,"Duravit 07065000092 D-Code 19 5/8"" Rectangular Wall Mounted Sink in White with Single Faucet Hole and with Overflow",209.62,1.0,11.15,11.15,0.0532,General profile,THS Standard - no free shipping,reprova por volume
WATT-0856810,44353489535079,"Watts 0856810 3/4"" Lead Free Flow Measurement Valve, Solder Connections",303.64,16.0,,16.0,0.0527,General profile,THS Standard - no free shipping,reprova por peso
SIOU-696-RG1010WF,44351394676839,Sioux Chief 696RG1010WF OxBox Ice Maker Box with Mini-Rester PEX F1960 Fire Rated,87.86,1.18,21.07,21.07,0.2398,General profile,THS Standard - no free shipping,reprova por volume
MILW-2357-20,44350913216615,Milwaukee Tools 2357-20 M18™ Flood Light/Charger w/ PACKOUT™ Compatibility,284.3,11.42,,11.42,0.0402,General profile,THS Standard - no free shipping,reprova por peso
MUST-12K,44350687117415,"E. L Mustee & Sons E.L. Mustee & Sons - (Drop-In Sink) White, Single Bowl SinksPolypropylene - 18"" x 23-1/2"" x 33""",92.14,14.0,44.75,44.75,0.4857,General profile,THS Standard - no free shipping,reprova por peso
CTRO-ISEL0687,44350394007655,"Centrotherm 6"" - 87 Degree Elbow PolyPro SW",111.89,1.35,4.56,4.56,0.0408,General profile,THS Standard - no free shipping,reprova por volume
RECT-97003,44351290409063,"RectorSeal Clean Check 97003 Extendable Backwater Valve, Installs Descretely, Plumbing, 3""",206.16,6.0,7.28,7.28,0.0353,General profile,THS Standard - no free shipping,reprova por volume
TOTO-LT532.8-01,44353395523687,"Toto USA LT532.8#01 - Promenade® (8"" on Center Faucet Holes) Cotton, Drop-In Sinks - Durable Vitreous China - 24"" x 19""",429.78,40.0,41.34,41.34,0.0962,General profile,THS Standard - no free shipping,reprova por peso
SIOU-660-SB,44351390875751,"Sioux Chief 660-SB 1/2"" Male Sweat Mini-Rester ASSE-AA",15.27,0.24,2.05,2.05,0.1343,General profile,THS Standard - no free shipping,reprova por volume
FLUI-12IM72,44350698487911,"Fluidmaster 12IM72 1/4"" x 1/4"" x 72"" COMP x COMP - Ice Maker Supply - No-Burst",21.93,0.41,5.84,5.84,0.2663,General profile,THS Standard - no free shipping,reprova por volume
RBRN-POMM,44351359844455,"Robern K-POMM Magnifying, Pull-Out, Bathroom Mirror",386.1,1.0,14.74,14.74,0.0382,General profile,THS Standard - no free shipping,reprova por volume
DXVF-D20110000.415,44350686068839,DXV D20110000.415 POP® Petite Rectangular Sink in CANVAS WHITE,452.4,19.2,,19.2,0.0424,General profile,THS Standard - no free shipping,reprova por peso
CTRO-ISLPT0202,44350394728551,"Centrotherm 2"" Low Profile Wall Termination",78.86,1.95,4.1,4.1,0.052,General profile,THS Standard - no free shipping,reprova por volume
SIOU-645WG4,44351388516455,"Sioux Chief 645WG4 1"" PEX F1960 Coupling Brass",21.0,0.05,1.0,1.0,0.0476,General profile,THS Standard - no free shipping,reprova por volume
SIOU-863-335SQ,44351403950183,"Sioux Chief 863-335SQ 3"" Solvent Weld Square Above-Grade Floor Drain 5-7/8"" Top Stainle Stainless Steel Steel Finish",113.93,1.98,6.98,6.98,0.0613,General profile,THS Standard - no free shipping,reprova por volume
TOTO-THU102,44353398341735,"Toto USA THU102 - 2"" Tank to Bowl Gasket for Rowan 1.6/1 GPF Elongated Toilet",21.69,0.28,0.77,0.77,0.0355,General profile,THS Standard - no free shipping,reprova por volume
ZURN-EZ1-PV2,44353499594855,"Zurn EZ1-PV2 EZ1 PVC Floor Drain, 5"" Round Nickel Bronze Strainer, with 2"" x 3"" Bottom Outlet",76.48,4.38,,4.38,0.0573,General profile,THS Standard - no free shipping,reprova por peso
TOTO-UT447E-01,44353399947367,Toto UT447E#01 COMMERCIAL WASHOUT URINAL W/ TOP SPUD--COTTON,333.06,60.0,,60.0,0.1801,General profile,THS Standard - no free shipping,reprova por peso
MPEX-1670010,44351001657447,"MrPEX Systems 1670010 1-1/2"" x 100' White Potable PEX-a Tubing",772.86,13.14,95.4,95.4,0.1234,General profile,THS Standard - no free shipping,reprova por volume
HOLD-TRW6,44350816944231,"HoldRite® TRW6 TestRite® 6"" Test Wedge",131.09,3.2,5.2,5.2,0.0397,General profile,THS Standard - no free shipping,reprova por volume
DAYT-DXUH3118,44350519967847,"Dayton DXUH3118 Stainless Steel 31-3/4"" x 18-1/4"" x 8"" Equal Double Bowl Undermount Sink",910.5,16.0,70.45,70.45,0.0774,General profile,THS Standard - no free shipping,reprova por volume
MUST-17WK,44350687215719,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Wall",143.97,26.67,,26.67,0.1852,General profile,THS Standard - no free shipping,reprova por peso
AMST-8725.024.477,44350260183143,American Standard 8725024.477 Studio® S 24-Inch Vanity Dark Grey,1246.65,1.0,100.18,100.18,0.0804,General profile,THS Standard - no free shipping,reprova por volume
TOTO-THU343,44353398505575,"Toto USA THU343 - 2"" x 4"", HDPE, PVC, Outlet Drain Kit for DuoFit/Dual-Max 1.6/0.9 GPF In-Wall Toilet Tank System",64.23,0.63,2.81,2.81,0.0437,General profile,THS Standard - no free shipping,reprova por volume
OATE-43538,44351224676455,Oatey® 43538 4 in. ABS Closet Flange Replacement,32.55,0.65,1.17,1.17,0.0359,General profile,THS Standard - no free shipping,reprova por volume
GERB-29-847,44350711431271,Gerber G0029847 Logan Square Pedestal White,117.19,27.0,,27.0,0.2304,General profile,THS Standard - no free shipping,reprova por peso
AMST-0610.000.020,44350232854631,American Standard 0610000.020 Boulevard® Under Counter Sink White,306.25,27.0,,27.0,0.0882,General profile,THS Standard - no free shipping,reprova por peso
ELKA-ELUH-1511,44350690459751,"Elkay ELUH1511 Asana Stainless Steel 18"" x 14"" x 6"" Single Bowl Undermount Bathroom Sink",846.04,10.0,29.72,29.72,0.0351,General profile,THS Standard - no free shipping,reprova por volume
AMST-6581.001.020,44350256414823,American Standard 6581001.020 Maybrook® 0.125 - 1.0 gpf (0.47 - 3.8 Lpf) Top Spud Urinal White,208.89,35.0,,35.0,0.1676,General profile,THS Standard - no free shipping,reprova por peso
SIOU-250-11A,44351374950503,"Sioux Chief 250-11A 1-1/2"" ABS Turbovent with Adapter",23.54,0.33,2.0,2.0,0.085,General profile,THS Standard - no free shipping,reprova por volume
SIOU-842-2LNR,44351402606695,"Sioux Chief 842-2LNR 2"" Top Only with Round Grate 4-1/2"" Nickel Bronze Finish",52.03,1.21,5.16,5.16,0.0992,General profile,THS Standard - no free shipping,reprova por volume
DURA-0305490017,44350672306279,"Duravit 0305490017 Starck 3 20 7/8"" Rectangular Undermount Sink in White with Overflow",331.5,1.0,21.82,21.82,0.0658,General profile,THS Standard - no free shipping,reprova por volume
TOTO-THU441.10J-A,44353398669415,Toto USA THU441.10J-A - Drain Valve Assembly for CST754SF 1.6 GPF Elongated Toilet,23.43,0.63,1.29,1.29,0.0551,General profile,THS Standard - no free shipping,reprova por volume
SUNT-SUS-9,44353373962343,"Suntemp SUS-9 9' Baseboard Heater Complete - 700 Series - 3/4"" Element",209.92,22.5,,22.5,0.1072,General profile,THS Standard - no free shipping,reprova por peso
BRAS-1-36AC,44350356160615,"BrassCraft 1-36A C 3/8"" x 36"" Sink Supply",26.1,0.32,5.95,5.95,0.228,General profile,THS Standard - no free shipping,reprova por volume
RBRN-RC1626D4FB1,44351359909991,"Robern K-RC1626D4FB1 16"" x 4"" x 26"", Satin, Anodized Aluminum, Flat/Beveled Mirror, Surface/Recessed Mount, 1-Door, Bathroom Medicine Cabinet",681.35,20.0,26.29,26.29,0.0386,General profile,THS Standard - no free shipping,reprova por volume
CTRO-ISVL066,44350395449447,"Centrotherm 6"" x 72"" - PolyPro Single Wall Vent Pipe",325.83,8.5,28.46,28.46,0.0873,General profile,THS Standard - no free shipping,reprova por volume
MILW-48-22-8410,44350927863911,Milwaukee Tools 48-22-8410 PACKOUT™ Dolly,182.9,10.9,,10.9,0.0596,General profile,THS Standard - no free shipping,reprova por peso
SIOU-672WV0444,44351391039591,"Sioux Chief 672WV0444 1"" Male Sweat Manifold 12 Port 1/2"" Male Sweat",126.19,2.0,15.49,15.49,0.1228,General profile,THS Standard - no free shipping,reprova por volume
MILW-48-22-2718,44350922915943,Milwaukee Tools 48-22-2718 8 Piece Screwdriver Kit w/ Square,56.95,1.99,,1.99,0.0349,General profile,THS Standard - no free shipping,reprova por peso
SIOU-869-2P,44351404703847,"Sioux Chief 869-2P 2"" PVC Backwater Valve",33.26,0.7,7.6,7.6,0.2285,General profile,THS Standard - no free shipping,reprova por volume
HOLD-706,44350811766887,HoldRite PEXRITE Pop Up,4.84,0.14,0.2,0.2,0.0413,General profile,THS Standard - no free shipping,reprova por volume
GROH-13.366000,44350720376935,Diverter Tub Spout in GROHE CHROME 13366000,75.25,1.36,10.73,10.73,0.1426,General profile,THS Standard - no free shipping,reprova por volume
SIOU-822-3PNR,44351400542311,"Sioux Chief 822-3PNR 3"" Round Grate Floor Drain 5-7/8"" Nickel Bronze PVC",80.73,1.98,11.36,11.36,0.1407,General profile,THS Standard - no free shipping,reprova por volume
SIOU-821-200PSQ,44351397888103,"Sioux Chief 821-200PSQ PVC 2"" Shower Drain Matte Stainless Steel Square Grate 4-1/2""",68.23,1.96,7.25,7.25,0.1063,General profile,THS Standard - no free shipping,reprova por volume
AMST-0039.000.020,44350231052391,American Standard 0039000.020 Edgemere® Pedestal Leg White,113.18,1.0,27.09,27.09,0.2394,General profile,THS Standard - no free shipping,reprova por volume
ELKA-EZSDWSVRLK,44350690689127,Elkay EZSDWSVRLK ezH2O Bottle Filling Station with Single ADA Vandal-Resistant Cooler Non-Filtered Non-Refrigerated Light Gray,2374.37,2.0,123.88,123.88,0.0522,General profile,THS Standard - no free shipping,reprova por volume
SIOU-660-TSX88,44351390941287,Sioux Chief Stub Out MINI-Rester 660-TSX88,41.28,0.73,14.78,14.78,0.358,General profile,THS Standard - no free shipping,reprova por volume
SIOU-660-GTR0B,44351390744679,"Sioux Chief 660-GTR0B 1/4"" Female Compression Mini-Rester",29.58,0.28,2.05,2.05,0.0693,General profile,THS Standard - no free shipping,reprova por volume
SIOU-660-G2B,44351390679143,"Sioux Chief 660-G2B 1/2"" MIP MINI-Rester",15.69,0.26,2.05,2.05,0.1307,General profile,THS Standard - no free shipping,reprova por volume
BRAS-OCR09X-C,44350360551527,"BrassCraft OCR09X C 1/2"" x 1/4"" Angle Stop - Comp x Comp, Chrome",28.74,0.22,4.19,4.19,0.1458,General profile,THS Standard - no free shipping,reprova por volume
AMST-0491.019.020,44350232395879,American Standard 0491019.020 Rondalyn® Drop-In Sink With 4-Inch Centerset White,87.38,22.8,25.81,25.81,0.2954,General profile,THS Standard - no free shipping,reprova por peso
MOEN-67430,44350976655463,Moen Chateau Single-Handle Standard Kitchen Faucet with Side Sprayer in Chrome 67430,180.3,4.24,42.92,42.92,0.238,General profile,THS Standard - no free shipping,reprova por volume
AMST-9960.403.020,44350261854311,American Standard 9960403.020 Mezzo® Semi-Countertop Sink With 4-Inch Centerset White,252.99,45.0,,45.0,0.1779,General profile,THS Standard - no free shipping,reprova por peso
GERB-D481116,44350715232359,"Gerber D481116 13"" S Shaped Showerarm w/ Escutcheon Chrome",71.28,1.64,29.46,29.46,0.4133,General profile,THS Standard - no free shipping,reprova por volume
TOTO-UT445U-01,44353399914599,"Toto USA UT445U#01 - Cotton White, High-Efficiency, Full Size, Washout Flush Action 3/4"" IPS GPF 0.125",356.46,66.0,,66.0,0.1852,General profile,THS Standard - no free shipping,reprova por peso
GERB-12-518,44350709760103,"Gerber G0012518 Maxwell Ped Top 25.2""X20.5"" 8""CC White",148.12,40.0,,40.0,0.2701,General profile,THS Standard - no free shipping,reprova por peso
SIOU-821-200ASQ,44351397724263,"Sioux Chief 821-200ASQ ABS 2"" Shower Drain Matte Stainless Steel Square Grate 4-1/2""",68.23,1.96,7.25,7.25,0.1063,General profile,THS Standard - no free shipping,reprova por volume
ELKA-LR-3722-3,44350691541095,"Elkay LR37223 Lustertone Classic Stainless Steel 37"" x 22"" x 7-5/8"" 3-Hole Equal Double Bowl Drop-in Sink",1608.38,24.0,89.12,89.12,0.0554,General profile,THS Standard - no free shipping,reprova por volume
MOEN-TL2368EP,44350992580711,Moen TL2368EP Chateau Single-Handle 1-Spray Shower Faucet Trim Kit in Chrome (Valve Sold Separately),87.12,3.32,,3.32,0.0381,General profile,THS Standard - no free shipping,reprova por peso
SIOU-632WG222M,44351385763943,"Sioux Chief 632WG222M 1/2"" PEX F1960 MIP Adapter Elbow Brass",15.23,0.25,1.6,1.6,0.1051,General profile,THS Standard - no free shipping,reprova por volume
AMST-0355.034.020,44350231642215,American Standard 0355034.020 Lucerne Wall-Hung Sink With 4-Inch Centerset and Extra Right-Hand Hole White,134.82,43.9,44.19,44.19,0.3278,General profile,THS Standard - no free shipping,reprova por peso
MOEN-28974,44350970101863,Moen Tool 28974 Box,450.0,0.52,17.57,17.57,0.039,General profile,THS Standard - no free shipping,reprova por volume
AMST-6550.001.020,44350256283751,American Standard 6550001.020 Allbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Siphon Jet Urinal White,203.9,32.2,38.4,38.4,0.1883,General profile,THS Standard - no free shipping,reprova por peso
TOTO-TSU01W.12R,44353399455847,"Toto TSU01W.12R 12"" Unifit Trapway Rough-In - for CT474, MS614, MS644",114.56,2.84,6.91,6.91,0.0603,General profile,THS Standard - no free shipping,reprova por volume
DAYT-DSE-23322-3,44350519771239,"Dayton DSE233223 Stainless Steel 33"" x 22"" x 8-1/16"" 3-Hole Equal Double Bowl Drop-in Sink",712.5,18.25,65.47,65.47,0.0919,General profile,THS Standard - no free shipping,reprova por volume
MOEN-62300,44350974034023,Moen 62300 M-Pact Posi-Temp Tub and Shower Valve,119.93,1.58,12.69,12.69,0.1058,General profile,THS Standard - no free shipping,reprova por volume
SIOU-660-GTC0,44351390711911,"Sioux Chief 660-GTC0 1/4"" Compression Mini-Rester",31.12,0.59,2.75,2.75,0.0884,General profile,THS Standard - no free shipping,reprova por volume
SIOU-653-BS,44351390384231,"Sioux Chief 653-BS 3/4"" Male Sweat Hydra-Rester ASSE-B",33.83,0.84,3.75,3.75,0.1108,General profile,THS Standard - no free shipping,reprova por volume
SIOU-842-2PNQ,44351402639463,"Sioux Chief 842-2PNQ 2"" Solvent Weld Complete Adjustable Floor Drain with Square Grate 5-7/8"" Nickel Bronze Finish PVC Body",92.4,1.21,14.78,14.78,0.16,General profile,THS Standard - no free shipping,reprova por volume
ZURN-CO2450-PV3,44353499529319,"Zurn CO2450-PV3 CO2450 Adjustable Floor Cleanout, Nickel Top, 3"" PVC",97.69,4.0,,4.0,0.0409,General profile,THS Standard - no free shipping,reprova por peso
BRAS-G2CR14X-C,44350359076967,"BrassCraft G2CR14X C 1/2"" x 1/4"" Straight Stop - Comp x Comp, Chrome",12.2,0.27,4.19,4.19,0.3434,General profile,THS Standard - no free shipping,reprova por volume
ELKA-ELUHAD-1316-50,44350690558055,"Elkay ELUHAD131650 Lustertone Classic Stainless Steel 16"" x 18-1/2"" x 4-7/8"" Single Bowl Undermount ADA Sink",636.39,10.4,28.14,28.14,0.0442,General profile,THS Standard - no free shipping,reprova por volume
SIOU-888-GAM,44351410765927,"Sioux Chief 888-GAM 3"" Inside Fit ABS Push-Tite Closet Flange with Plastic Ring & 4"" Tailpiece",31.44,0.7,7.88,7.88,0.2506,General profile,THS Standard - no free shipping,reprova por volume
DIAB-DHS6000,44350610014311,"Diablo DHS6000 6"" Bi-Metal Hole Saw",51.24,0.49,1.85,1.85,0.0361,General profile,THS Standard - no free shipping,reprova por volume
ELKA-DLR-2522-10-PD-1,44350690230375,"Elkay DLR252210PD1 Lustertone Classic Stainless Steel 25"" x 22"" x 10-3/8"" 1-Hole Single Bowl Drop-in Sink with Perfect Drain",1246.85,1.0,81.21,81.21,0.0651,General profile,THS Standard - no free shipping,reprova por volume
FLUI-12IM84,44350698520679,"Fluidmaster 12IM84 1/4"" x 1/4"" x 84"" COMP x COMP - Ice Maker Supply - No-Burst",26.04,0.45,5.84,5.84,0.2243,General profile,THS Standard - no free shipping,reprova por volume
MILW-48-22-6312,44350925635687,"Milwaukee Tools 48-22-6312 12"" Comfort Grip Straight-Jaw Pliers",31.93,5.28,,5.28,0.1654,General profile,THS Standard - no free shipping,reprova por peso
GERB-D481136BN,44350716903527,"Gerber D481136BN 6"" Showerarm w/ Escutcheon Brushed Nickel",30.78,0.5,10.94,10.94,0.3554,General profile,THS Standard - no free shipping,reprova por volume
MOEN-62385,44350974328935,Moen 62385 M-Pact Posi-Temp Tub and Shower Rough In Valve with PEX Connections and Stops,145.8,1.48,12.69,12.69,0.087,General profile,THS Standard - no free shipping,reprova por volume
SIOU-654-CS,44351390449767,"Sioux Chief 654-CS 1"" Male Sweat Hydra-Rester ASSE-C",82.12,1.06,4.67,4.67,0.0569,General profile,THS Standard - no free shipping,reprova por volume
CTRO-ISVL063,44350395416679,"Centrotherm 6"" x 36"" - PolyPro Single Wall Vent Pipe",227.67,4.5,14.38,14.38,0.0632,General profile,THS Standard - no free shipping,reprova por volume
MILW-49-22-4175,44350939562087,Milwaukee Tools 49-22-4175 15 Piece HOLE DOZER™ General-Purpose Hole Saw Kit,238.44,15.5,,15.5,0.065,General profile,THS Standard - no free shipping,reprova por peso
SIOU-630X348,44351385600103,"Sioux Chief 630X348 3/4"" x 4"" x 8"" F1870 Stub Out Elbow",19.82,0.43,6.98,6.98,0.3522,General profile,THS Standard - no free shipping,reprova por volume
VEGA-15107,44353438974055,"Viega 15107 1/2"", Plastic, Bend Support for Pipe/Slab",5.24,0.14,0.56,0.56,0.1069,General profile,THS Standard - no free shipping,reprova por volume
ELKA-EDFP217RAC,44350690361447,Elkay EDFP217RAC Soft Sides Bi-Level Reverse Fountain Non-Filtered Non-Refrigerated Stainless,3310.95,2.0,133.55,133.55,0.0403,General profile,THS Standard - no free shipping,reprova por volume
TOTO-TSU03W.12R,44353399554151,"Toto TSU03W.12R 12"" Unifit Rough-In - for 934, 964 and 974 One-Piece Toilets",114.56,0.63,7.03,7.03,0.0614,General profile,THS Standard - no free shipping,reprova por volume
AMST-0496.221.020,44350232494183,American Standard 0496221.020 Ovalyn Medium Under Counter Sink White,89.04,22.94,22.99,22.99,0.2582,General profile,THS Standard - no free shipping,reprova por peso
MILW-48-22-8201,44350926946407,Milwaukee Tools 48-22-8201 Ultimate Jobsite Backpack,228.21,6.82,25.66,25.66,0.1124,General profile,THS Standard - no free shipping,reprova por volume
SIOU-645WG3,44351388450919,"Sioux Chief 645WG3 3/4"" PEX Coupling (Expansion(F1960)) Brass",10.98,0.05,0.7,0.7,0.0638,General profile,THS Standard - no free shipping,reprova por volume
GERB-G00GS507,44350718410855,Gerber G00GS507 Treysta Tub & Shower Valve- Horizontal Inputs WITHOUT Stops- Cold Expansion Pex,68.04,4.8,,4.8,0.0705,General profile,THS Standard - no free shipping,reprova por peso
SIOU-638WG208,44351386189927,"Sioux Chief 638WG208 1/2"" x 8"" PEX F1960 Stub Out",11.98,0.26,3.72,3.72,0.3105,General profile,THS Standard - no free shipping,reprova por volume
AMST-0321.026.020,44350231281767,"American Standard 0321026.020 Declyn® Wall-Hung Sink With 4-Inch Centerset, Wall Hanger Included White",93.21,38.0,,38.0,0.4077,General profile,THS Standard - no free shipping,reprova por peso
TACO-110-253F,44353379565671,"Taco Comfort Solutions 110-253F Freedom Flange Set - Cast Iron, 2 bolt, 1-1/4"" NPT; Fits - All ""00"" (not 0012). 110-113, 2400-10/20/45/50, HEC-2, 007e",36.13,3.0,,3.0,0.083,General profile,THS Standard - no free shipping,reprova por peso
BRAS-KTCR1900DVX-R,44350360191079,"BrassCraft KTCR1900DVX R 1/2"" x 3/8"" x 1/4"" Straight Stop - Comp, Rough Brass",62.73,0.41,3.87,3.87,0.0617,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T182EP,44350985470055,Moen T182EP Chateau Chrome Posi-Temp(R) shower only,41.36,1.0,1.57,1.57,0.038,General profile,THS Standard - no free shipping,reprova por volume
SIOU-660-GTR1B,44351390810215,"Sioux Chief 660-GTR1B 3/8"" Female Compression Mini-Rester",29.58,0.45,2.05,2.05,0.0693,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T2472NH,44350987731047,Moen T2472NH Genta LX Single-Handle Shower Only Faucet Trim Kit in Chrome (Shower Head and Valve Not Included),59.01,1.0,2.05,2.05,0.0347,General profile,THS Standard - no free shipping,reprova por volume
AMST-0614.000.020,44350232920167,American Standard 0614000.020 Studio® Under Counter Sink White,247.17,25.8,,25.8,0.1044,General profile,THS Standard - no free shipping,reprova por peso
RBRN-RC2026D4FB1,44351360204903,"Robern K-RC2026D4FB1 20"" x 4"" x 26"", Satin, Anodized Aluminum, Flat/Beveled Mirror, Surface/Recessed Mount, 1-Door, Bathroom Medicine Cabinet",821.55,25.0,32.13,32.13,0.0391,General profile,THS Standard - no free shipping,reprova por volume
CHER-271713,44350503682151,Cherne® 271713 3 in. Clean-Seal® Plug,62.04,0.8,12.43,12.43,0.2004,General profile,THS Standard - no free shipping,reprova por volume
SUNT-SUS-4,44353373601895,"Suntemp SUS-4 4' Baseboard Heater Complete - 700 Series - 3/4"" Element",93.3,10.0,,10.0,0.1072,General profile,THS Standard - no free shipping,reprova por peso
BRAS-R1700DVX-R,44350360846439,"BrassCraft R1700DVX R 1/2"" x 3/8"" x 1/4"" Dual Angle Stop - FIP x Comp x Comp, Rough Brass",53.67,0.4,3.87,3.87,0.0721,General profile,THS Standard - no free shipping,reprova por volume
DELT-79956-BL,44350547132519,Delta 79956-BL Pivotal® Tissue Holder with Shelf Matte Black,208.17,9.46,,9.46,0.0454,General profile,THS Standard - no free shipping,reprova por peso
BRAS-CT2-664XP,44350358650983,"BrassCraft CT2-664X P 3/8"" x 3/8"" x 1/4"" Tee - Comp, Rough Brass",11.69,0.2,1.28,1.28,0.1095,General profile,THS Standard - no free shipping,reprova por volume
ELKA-LRAD-3722-65-4,44350691934311,"Elkay LRAD3722654 Lustertone Classic Stainless Steel 37"" x 22"" x 6-1/2"" 4-Hole Equal Double Bowl Drop-in ADA Sink",1565.41,1.0,89.12,89.12,0.0569,General profile,THS Standard - no free shipping,reprova por volume
SIOU-630X468,44351385698407,"Sioux Chief 630X468 1"" x 6"" x 8"" PEX F1870 Stub Out Elbow",27.66,0.64,8.0,8.0,0.2892,General profile,THS Standard - no free shipping,reprova por volume
SIOU-852-3LNR,44351403130983,"Sioux Chief 852-3LNR Adjustable Floor Cleanout 3"" MIP ABS 5"" Nickel Bronze Round Cover",81.63,2.38,6.98,6.98,0.0855,General profile,THS Standard - no free shipping,reprova por volume
WOOD-X34-2,44353498021991,Woodford X34-2 Model X34 Yard Hydrant 2 Feet,173.41,14.4,,14.4,0.083,General profile,THS Standard - no free shipping,reprova por peso
CTRO-ISVL061,44350395351143,"Centrotherm 6"" x 12"" - PolyPro Single Wall Vent Pipe",117.6,1.85,5.62,5.62,0.0478,General profile,THS Standard - no free shipping,reprova por volume
