sku,handle,categoria,preco,peso_lb,lambda,perfil_atual,nota
MIDE-HB-A160CMDM30GN8-B2,midea-m-thermal-split-air-to-water-heat-pump-indoor-unit,Heat Pumps,6835.32,2.19,0.0003,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-600-LH,6-x-20-copper-tube-l-hard,Type L Hard,6587.20,10.2,0.0015,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-SL20-160G3-NG,sl-series-160-000-btu-input-fire-tube-boiler-96-efficient-no-pump-included-elevation-range-0-12-000,Condensing Boilers,6252.00,80.0,0.0128,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
GVLF-7060-1000-PNTD,10-tee-painted-gr-x-gr-x-gr,Gruvlok Fittings,6251.70,74.47,0.0119,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
WILK-3-375AST,3-375ast-reduced-pressure-principle-backflow-preventer,Backflow Preventers,6159.73,119.0,0.0193,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-PROP-G50-76P-RH-HE-EC3,rheem-50-gallon-76-000-btu-h-professional-prestige-maximus-propane-water-heater,Residential Tank Heaters - Gas,5786.61,150.0,0.0259,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-PROP-G50-76U-RH-HE-EC3,rheem-50-gallon-76-000-btu-h-professional-prestige-maximus-natural-gas-water-heater,Residential Tank Heaters - Gas,5716.02,150.0,0.0262,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-DTI-119-MAX,119-gallon-444-ss-indirect-water-heater-with-aquastat-with-1-1-2-inlets,Water Makers,5277.77,145.0,0.0275,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
BURN-ALTAC-200-1G00,alta-200-000-btu-input-water-tube-boiler-95-efficient-includes-grundfos-pump-elevation-range-0-10-000,Combination Heating & DHW Boilers,5270.68,141.0,0.0268,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-PROP-G50-50P-RH-HE-EC3,rheem-50-gallon-50-000-btu-h-professional-prestige-maximus-propane-water-heater,Residential Tank Heaters - Gas,5017.18,150.0,0.0299,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NFC-250/200H,navien-high-efficiency-condensing-combi-boiler-max-htg-input-199-900-btu-h-max-dhw-input-210-000-btu-h-indoor-wall-hung-residential-commercial-nfc-250-200h,Combination Heating & DHW Boilers,4957.50,141.0,0.0284,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-SL14-115G3-NG,sl-series-115-000-btu-input-fire-tube-boiler-96-efficient-no-pump-included-elevation-range-0-12-000,Condensing Boilers,4948.64,80.0,0.0162,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-SL10-85G3-NG,sl-series-85-000-btu-input-fire-tube-boiler-96-efficient-no-pump-included-elevation-range-0-12-000,Condensing Boilers,4900.17,80.0,0.0163,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
BURN-ALTA-180-1G00,alta-180-000-btu-input-water-tube-boiler-95-efficient-includes-grundfos-pump-elevation-range-0-10-000,Condensing Boilers,4846.52,132.0,0.0272,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-PROP-G40-50U-RH-HE-EC3,rheem-40-gallon-50-000-btu-h-professional-prestige-maximus-natural-gas-water-heater,Residential Tank Heaters - Gas,4786.01,150.0,0.0313,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NFC-250/175H,navien-high-efficiency-condensing-combi-boiler-max-htg-input-175-000-btu-h-max-dhw-input-210-000-btu-h-indoor-wall-hung-residential-commercial-nfc-250-175h,Combination Heating & DHW Boilers,4725.00,141.0,0.0298,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
BURN-ALTA-150-1G00,alta-150-000-btu-input-water-tube-boiler-95-efficient-includes-grundfos-pump-elevation-range-0-10-000,Condensing Boilers,4673.34,132.0,0.0282,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-DTI-80-MAX,79-9-gallon-444-ss-indirect-water-heater-with-aquastat-with-1-1-2-inlets,Water Makers,4580.86,118.0,0.0258,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-CX199,cx-combi-boiler-10-1-turn-down-199-000-btu,Combination Heating & DHW Boilers,4479.99,90.0,0.0201,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-VX-199,vx-series-199-000-btu-input-fire-tube-boiler-95-efficient-no-pump-included-elevation-range-0-10-000,Condensing Boilers,4380.42,80.0,0.0183,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
BURN-ALTA-120B-1G00,alta-120mbh-boiler-nat-gas-0-10k-alt,Condensing Boilers,4305.64,80.0,0.0186,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-ELD52-FTB-208,rheem-52-gallon-6-kw-208-v-light-duty-commercial-electric-water-heater-with-fused-terminal-block,Commercial Tank Heaters - Electric,4281.72,125.0,0.0292,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-CX150,cx-combi-boiler-10-1-turn-down-150-000-btu,Combination Heating & DHW Boilers,4205.04,90.0,0.0214,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-VX-150,vx-series-150-000-btu-input-fire-tube-boiler-95-efficient-no-pump-included-elevation-range-0-10-000,Condensing Boilers,4105.47,80.0,0.0195,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NFB-200H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-200-000-btu-h-indoor-wall-hung-residential-commercial-nfb-200h,Condensing Boilers,4095.00,121.0,0.0295,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-418-ACR,4-1-8-x-20-copper-tube-l-hard-acr-oxy-med,Type L Hard ACR-OXY-MED,4040.00,5.38,0.0013,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NCB-240/110H,navien-high-efficiency-condensing-combi-boiler-max-htg-input-110-000-btu-h-max-dhw-input-199-900-btu-h-indoor-wall-hung-residential-ncb-240-110h,Combination Heating & DHW Boilers,4027.50,96.0,0.0238,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NCB-240/110H-RAL,navien-high-efficiency-condensing-combi-boiler-max-htg-input-110-000-btu-h-max-dhw-input-199-900-btu-h-indoor-wall-hung-residential-ncb-240-110h-navi-ncb-240-110h-ral,Combination Heating & DHW Boilers,4027.50,96.0,0.0238,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-ELD40-FTB-208,rheem-40-gallon-6-kw-208-v-light-duty-commercial-electric-water-heater-with-fused-terminal-block,Commercial Tank Heaters - Electric,3828.81,105.0,0.0274,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NFB-175H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-175-000-btu-h-indoor-wall-hung-residential-commercial-nfb-175h,Condensing Boilers,3810.00,121.0,0.0318,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-VX-110,vx-series-110-000-btu-input-fire-tube-boiler-95-efficient-no-pump-included-elevation-range-0-10-000,Condensing Boilers,3778.52,80.0,0.0212,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-SFC199-1,sfc-combi-199-000-btu-input-combination-boiler-95-efficient-no-pump-included-elevation-range-0-10-000,Combination Heating & DHW Boilers,3722.16,90.0,0.0242,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-SFC160-1,sfc-combi-160-000-btu-input-combination-boiler-95-efficient-no-pump-included-elevation-range-0-10-000,Combination Heating & DHW Boilers,3629.68,90.0,0.0248,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-400-LH,4-x-20-copper-tube-l-hard,Type L Hard,3588.20,107.6,0.0300,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NPF700-100H5CH,14-100k-btu-condensing-hydro-furnace-horizontal-unit,Hydro Furnaces,3570.00,2.19,0.0006,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NPF700-100U5CH,14-100k-btu-condensing-hydro-furnace-upflow-unit,Hydro Furnaces,3570.00,2.19,0.0006,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
S&DT-ADVT-9-2-36-24L,16-x-20-bowl-18-gauge-204-stainless-steel-sink,Scratched or Dented Products - Great Deals,3546.00,118.5,0.0334,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NHB-150H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-150-000-btu-h-indoor-wall-hung-residential-commercial-nhb-150,Condensing Boilers,3540.00,80.0,0.0226,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-EGSP30-277V-6KW,rheem-30-gallon-6-kw-277-v-point-of-use-commercial-electric-water-heater,Point of Use Heaters,3536.33,115.0,0.0325,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-SFC125-1,sfc-combi-125-000-btu-input-combination-boiler-95-efficient-no-pump-included-elevation-range-0-10-000,Combination Heating & DHW Boilers,3523.47,90.0,0.0255,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-ELD30-FTB-208,rheem-30-gallon-6-kw-208-v-light-duty-commercial-electric-water-heater-with-fused-terminal-block,Commercial Tank Heaters - Electric,3469.83,100.0,0.0288,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRCB199DVNG,199-000-btu-h-natural-gas-combination-boiler-for-whole-home-heating-dhw,Water & Space Heating Units (Combi),3375.00,85.0,0.0252,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-600-10LH,6-x-10-copper-tube-l-hard,Type L Hard,3293.60,10.2,0.0031,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NHB-110,navien-high-efficiency-condensing-heating-boiler-max-htg-input-110-000-btu-h-indoor-wall-hung-residential-commercial-nhb-110,Condensing Boilers,3277.50,80.0,0.0244,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NHB-110H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-110-000-btu-h-indoor-wall-hung-residential-commercial,Condensing Boilers,3277.50,80.0,0.0244,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRCB180DVLP,180-000-btu-h-propane-combination-boiler-for-whole-home-heating-dhw,Water & Space Heating Units (Combi),3202.50,85.0,0.0265,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRCB180DVNG,180-000-btu-h-natural-gas-combination-boiler-for-whole-home-heating-dhw,Water & Space Heating Units (Combi),3202.50,85.0,0.0265,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-400-MH,4-x-20-copper-tube-m-hard,Type M Hard,3194.00,93.2,0.0292,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NHB-80,navien-high-efficiency-condensing-heating-boiler-max-htg-input-80-000-btu-h-indoor-wall-hung-residential-commercial-nhb-80,Condensing Boilers,3030.00,73.0,0.0241,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NHB-80H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-80-000-btu-h-indoor-wall-hung,Condensing Boilers,3030.00,80.0,0.0264,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NPF700-060U3BH,9-000-60-000-btu-condensing-hydro-furnace-upflow-unit,Hydro Furnaces,2940.00,2.19,0.0007,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NPE-240A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-199-900-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-240a2,Tankless Water Heaters - Gas,2910.00,77.0,0.0265,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-S93005BL,moen-arris-matte-black-one-handle-tub-filler-includes-hand-shower,Deck-Mount Tub Faucets,2892.63,80.0,0.0277,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRCP111DVNG,199900-natural-gas-tankless-gas-water-heater-with-recirculation-pump,Tankless Water Heaters - Gas,2847.63,85.0,0.0298,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T4767-BLFL,delta-ara-single-handle-floor-mount-tub-filler-trim-with-handshower-matte-black,Freestanding Tub Faucets,2834.19,80.0,0.0282,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NHB-55,navien-high-efficiency-condensing-heating-boiler-max-htg-input-55-000-btu-h-indoor-wall-hung-residential-commercial-nhb-55,Condensing Boilers,2767.50,73.0,0.0264,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NHB-55H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-55-000-btu-h-indoor-wall-hung-residential-commercial,Condensing Boilers,2767.50,80.0,0.0289,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRC111DVNG,199900-natural-gas-tankless-gas-water-heater-nori-nrc111dvng,Tankless Water Heaters - Gas,2668.34,74.0,0.0277,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-615BL,moen-cia-matte-black-one-handle-tub-filler-includes-hand-shower,Deck-Mount Tub Faucets,2636.79,80.0,0.0303,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NPE-210A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-180-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-210a2,Tankless Water Heaters - Gas,2617.50,77.0,0.0294,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRCP98DVNG,180000-natural-gas-tankless-gas-water-heater-with-recirculation-pump,Tankless Water Heaters - Gas,2615.14,85.0,0.0325,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRCR92DVNG,165000-natural-gas-tankless-gas-water-heater,Tankless Water Heaters - Gas,2598.59,70.0,0.0269,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
LIBE-LSG203M,2-hp-grinder-pump-3-ph-208-230v-25-cord-1-1-4-discharge-manual,Sewage Pumps,2576.25,84.0,0.0326,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-EZ111DV-GQ-NG/LP-PRO,ez111-pro-field-convertible-gas-whole-home-tankless-water-heater,Tankless Water Heaters - Gas,2490.32,70.0,0.0281,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-EZ111DVNG,ez111-natural-gas-whole-home-tankless-water-heater,Tankless Water Heaters - Gas,2490.32,74.0,0.0297,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-300-KH,3-x-20-copper-tube-k-hard,Type K Hard,2478.80,80.0,0.0323,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRCR92DVLP,165000-propane-tankless-gas-water-heater,Tankless Water Heaters - Gas,2419.02,70.0,0.0289,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MOEN-615BG,moen-cia-brushed-gold-one-handle-tub-filler-includes-hand-shower,Hand Shower Heads,2397.20,80.0,0.0334,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NPE-240S2-NG/LP,navien-high-efficiency-condensing-tankless-water-heater-max-input-199-900-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-240s2,Tankless Water Heaters - Gas,2385.00,73.0,0.0306,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-PROG40-30N-RH62-MH-DV,rheem-40-gallon-30-000-btu-h-professional-classic-direct-vent-for-manufactured-housing-natural-gas-or-propane-water-heater,Manufactured Housing Heaters,2378.88,12.0,0.0050,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NR98DVCLP,199900-propane-tankless-gas-water-heater,Tankless Water Heaters - Gas,2358.80,55.0,0.0233,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NR98DVCNG,199900-natural-gas-tankless-gas-water-heater,Tankless Water Heaters - Gas,2358.80,70.0,0.0297,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NR98SVLP,199900-propane-tankless-gas-water-heater-sv,Tankless Water Heaters - Gas,2358.80,55.0,0.0233,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NR98SVNG,199900-natural-gas-tankless-gas-water-heater-sv,Tankless Water Heaters - Gas,2358.80,55.0,0.0233,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T4759-CZFL,delta-trinsic-single-handle-floor-mount-tub-filler-trim-with-handshower-champagne-bronze,Freestanding Tub Faucets,2347.20,16.9,0.0144,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NPE-180A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-150-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-180a2,Tankless Water Heaters - Gas,2325.00,73.0,0.0314,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-400-DWV,4-x-20-copper-tube-dwv,DWV,2247.60,2.87,0.0013,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-EZ98DVNG,ez98-natural-gas-whole-home-tankless-water-heater,Tankless Water Heaters - Gas,2219.62,70.0,0.0315,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NHSP-1200,12-x-10-nh-x-nh-gray-cast-iron-soil-pipe-6-per-bundle,No Hub Pipe,2219.10,32.5,0.0146,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
TRAC-FGP-CS-100-180,1-x-180-ft-reel-tracpipe-counterstrike-pipe,Flexible Gas Pipe,2181.03,70.0,0.0321,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-NPE-210S2-NG/LP,navien-high-efficiency-condensing-tankless-water-heater-max-input-150-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-210s2,Tankless Water Heaters - Gas,2167.50,73.0,0.0337,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-300-LH,3-x-20-copper-tube-l-hard,Type L Hard,2166.80,66.6,0.0307,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
TRAC-FGP-CS-750-250,3-4-x-250-ft-reel-tracpipe-counterstrike-pipe,Flexible Gas Pipe,2118.90,70.0,0.0330,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
GVLF-7061-500.400-PNTD,5-x-4-tee-reducing-painted-gr-x-gr-x-gr,Gruvlok Fittings,2118.16,16.75,0.0079,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRC711DVLP,157000-propane-tankless-gas-water-heater,Tankless Water Heaters - Gas,2115.01,66.0,0.0312,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NORI-NRC711DVNG,157000-natural-gas-tankless-gas-water-heater,Tankless Water Heaters - Gas,2115.01,66.0,0.0312,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
SCHI-4070-001-05,schier-4070-001-05-great-basin-50-gpm-grease-interceptor,Grease Traps & Interceptors,2081.48,22.0,0.0106,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
DELT-T4759-SSFL,delta-trinsic-single-handle-floor-mount-tub-filler-trim-with-handshower-stainless,Freestanding Tub Faucets,2025.00,16.9,0.0167,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-DTI-40,39-9-gallon-444-ss-indirect-water-heater-with-aquastat,Water Makers,1996.66,66.2,0.0332,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
HEAF-HF-30,30-gal-indirect-tank-with-top-connections,Water Makers,1975.76,65.0,0.0329,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
BLIP-1000-A53B-PE,10-x-21-black-steel-pipe-a53-type-e-grade-b-erw-plain-end-0-365-w-import,Plain End A53,1898.19,0.94,0.0005,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-DTI-30,26-8-gallon-444-ss-indirect-water-heater-with-aquastat,Water Makers,1843.92,50.7,0.0275,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-250-KH,2-1-2-x-20-copper-tube-k-hard,Type K Hard,1795.80,58.6,0.0326,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-400-10LH,4-x-10-copper-tube-l-hard,Type L Hard,1794.10,53.8,0.0300,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MPEX-1220160,mr-pex-1-2-x-1600-red-o2-barrier-pex-a-tubing,Barrier Tubing,1738.01,29.2,0.0168,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-300-MH,3-x-20-copper-tube-m-hard,Type M Hard,1733.20,53.6,0.0309,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
ELKA-MLP200,in-wall-carrier-for-bi-level-on-wall-bottle-fillers-coolers-fountains,Bottle Fillers & Fountains,1722.24,32.9,0.0191,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
FUJI-AUUH24LUAS,auuh24luas-24-000-btu-h-single-zone-ceiling-cassette-airstage-mini-split-head-unit,Fujitsu Clearance Sale,1722.23,53.0,0.0308,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MPEX-1230110,mr-pex-5-8-x-1100-red-o2-barrier-pex-a-tubing,Barrier Tubing,1717.49,29.2,0.0170,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-RTGH-95DVLN-3,rheem-199-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1664.16,52.9,0.0318,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-RTGH-95DVLP-3,rheem-199-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,Tankless Water Heaters - Gas,1664.16,52.9,0.0318,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
TRAC-FGP-CS-500-250,1-2-x-250-ft-reel-tracpipe-counterstrike-pipe,Flexible Gas Pipe,1633.74,52.0,0.0318,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
NAVI-30028683A,npe-2-series-parts-kit,"Racks, Stands & Prefab Manifolds",1618.77,50.0,0.0309,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
S&DT-FUJI-ASUH09LMAS,scratched-or-dented-all-sales-are-final-asuh09lmas-9-000-btu-h-single-zone-wall-unit-airstage-mini-split-head-unit,Fujitsu Clearance Sale,1576.50,29.0,0.0184,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
MPEX-1230100,mr-pex-5-8-x-1000-red-o2-barrier-pex-a-tubing,Barrier Tubing,1565.91,29.2,0.0186,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
ELKA-LRAD-3322-65-PD-1,elkay-lustertone-classic-stainless-steel-33-x-22-x-6-1-2-1-hole-equal-double-bowl-drop-in-ada-sink-with-perfect-drain,Drop-In Sinks,1563.93,41.8,0.0267,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
COPT-258-ACR,2-5-8-x-20-copper-tube-l-hard-acr-oxy-med,Type L Hard ACR-OXY-MED,1542.80,2.48,0.0016,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
