sku,handle,vendor,price,tag,perfil
DELT-T2759-BL,delta-trinsic-roman-tub-trim-matte-black,Delta,551.7,True,THS Freight & Oversize
MOEN-T393,moen-align-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,541.53,True,THS Freight & Oversize
MOEN-T935,moen-rizon-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,541.53,True,THS Freight & Oversize
MOEN-T2193BN,moen-align-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Moen,534.08,True,THS Freight & Oversize
MOEN-T693,moen-voss-2-handle-deck-mount-high-arc-roman-tub-faucet-trim-kit-in-chrome-valve-not-included,Moen,519.62,True,THS Freight & Oversize
LIBE-441,battery-back-up-sump-pump,Liberty Pumps,512.82,True,THS Standard - no free shipping
MOEN-T933ORB,moen-brantford-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately-moen-t933orb,Moen,488.91,True,THS Freight & Oversize
MOEN-T943ORB,moen-eva-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately,Moen,488.91,True,THS Freight & Oversize
DELT-T2759-SS,delta-trinsic-roman-tub-trim-stainless,Delta,485.19,True,THS Freight & Oversize
NHSP-500,5-x-10-nh-x-nh-gray-cast-iron-soil-pipe-24-per-bundle,Tyler Pipe Company,483.9,True,THS Freight & Oversize
MOEN-TS2713EP,moen-90-degree-posi-temp-single-handle-1-spray-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,477.53,True,THS Freight & Oversize
MOEN-T373BN,moen-glyde-2-handle-high-arc-roman-tub-faucet-in-brushed-nickel-valve-sold-separately,Moen,444.4,True,THS Freight & Oversize
MOEN-T933BN,moen-brantford-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Moen,444.4,True,THS Freight & Oversize
MOEN-T943BN,moen-eva-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Moen,444.4,True,THS Freight & Oversize
GERB-D205012SS,melrose-wall-mount-pot-filler-2-2gpm-stainless-steel,Gerber,440.64,True,THS Standard - no free shipping
MOEN-T2193NHBL,moen-align-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-matte-black-shower-head-and-valve-not-included,Moen,425.78,True,THS Freight & Oversize
MOEN-T6906,moen-voss-wall-mount-2-handle-low-arc-lavatory-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,418.61,True,THS Standard - no free shipping
DELT-T14459-BL,delta-trinsic-monitor-14-series-h2okinetic-tub-shower-trim-matte-black,Delta,410.4,True,THS Freight & Oversize
DELT-T14467,delta-ara-monitor-14-series-h2okinetic-tub-shower-trim-chrome,Delta,410.4,True,THS Freight & Oversize
ELKA-LK810HA08T4,elkay-8-centerset-with-exposed-deck-faucet-with-8-high-arc-spout-4-wristblade-handles-chrome,Elkay,407.21,True,THS Standard - no free shipping
DELT-T5722-SS,delta-classic-garden-tub-trim-stainless,Delta,404.19,True,THS Freight & Oversize
LIBE-331,1-2-hp-portable-water-transfer-pump-115v-garden-hose-connect,Liberty Pumps,395.62,True,THS Standard - no free shipping
MOEN-S176EPBL,moen-align-1-spray-eco-performance-7-single-tub-wall-mount-fixed-shower-head-in-matte-black,Moen,380.62,True,THS Freight & Oversize
ASFC-8354.112.002,top-brace-wall-mount-service-sink-faucet-with-6-inch-vacuum-breaker-spout-and-offset-shanks-chrome,American Standard,376.8,True,THS Standard - no free shipping
MOEN-9793,moen-m-pact-2-handle-4-hole-roman-tub-adjustable-rough-in-valve-with-shower-diverter-1-2-in-pex-cpvc-connection,Moen,366.41,True,THS Freight & Oversize
MOEN-9792,moen-m-pact-2-handle-4-hole-roman-tub-adjustable-rough-in-valve-with-shower-diverter-1-2-in-cc-connection,Moen,358.02,True,THS Freight & Oversize
TOTO-TMU1NNC-12,toto-usa-urinal-flush-valve-1-1-6-gpf,Toto,355.17,True,THS Standard - no free shipping
TOTO-TMT1LN32-CP,toto-toilet-1-28-gpf-manual-commercial-flush-valve-polished-chrome-tmt1ln32-cp,Toto,350.49,True,THS Standard - no free shipping
TOTO-TMT1NNC-32,toto-usa-toilet-flush-valve-1-1-6-gpf,Toto,350.49,True,THS Standard - no free shipping
SIOU-672XV4L-11313,1-male-sweat-x-female-sweat-manifold-4-port-with-valves-1-2-f1807,Sioux Chief,341.4,True,THS Standard - no free shipping
NHSP-400,4-x-10-nh-x-nh-gray-cast-iron-soil-pipe-30-per-bundle,Tyler Pipe Company,336.3,True,THS Freight & Oversize
CTRO-ISVL066,6-x-72-polypro-single-wall-vent-pipe,Centrotherm,325.83,True,THS Standard - no free shipping
MOEN-T4943ORB,moen-brantford-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately,Moen,321.78,True,THS Freight & Oversize
CHER-271063,cherne-6-in-long-test-ball-plug,Cherne,318.94,True,THS Standard - no free shipping
ASFC-8354.112.004,top-brace-wall-mount-service-sink-faucet-with-6-inch-vacuum-breaker-spout-and-offset-shanks-rough-chrome,American Standard,317.49,True,THS Standard - no free shipping
HONE-L4006E1067/U,aquastat-breaks-on-rise-130-270f-range-250f-factory-stop-less-well,Resideo,306.81,True,THS Standard - no free shipping
SIOU-869-6P,6-pvc-hub-backwater-valve,Sioux Chief,301.12,True,THS Standard - no free shipping
ABSP-600-20,6-x-20-abs-foam-core-pipe-sch40,Charlotte Pipe,300.0,True,THS Freight & Oversize
ELKA-LK60,elkay-drain-fitting-center-outlet-for-triple-bowl-sinks-with-aligned-drains,Elkay,297.09,True,THS Standard - no free shipping
MOEN-T933,moen-brantford-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,297.03,True,THS Freight & Oversize
MOEN-T943,moen-eva-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,297.03,True,THS Freight & Oversize
MOEN-T2193EP,moen-align-single-handle-posi-temp-eco-performance-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,293.95,True,THS Freight & Oversize
MOEN-T2813EP,moen-rizon-1-handle-1-spray-posi-temp-tub-and-shower-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,293.95,True,THS Freight & Oversize
MOEN-T961,moen-gibson-2-handle-deck-mount-roman-tub-faucet-in-chrome,Moen,290.72,True,THS Freight & Oversize
MOEN-T990,moen-chateau-2-handle-low-arc-roman-tub-faucet-trim-in-chrome-valve-sold-separately,Moen,280.31,True,THS Freight & Oversize
DELT-T2705,delta-classic-roman-tub-trim-chrome,Delta,271.83,True,THS Freight & Oversize
DAYT-D-11515-2,dayton-stainless-steel-15-x-15-x-5-3-16-2-hole-single-bowl-drop-in-bar-sink-with-2-drain-opening,Dayton,261.0,True,THS Standard - no free shipping
DELT-T17438,delta-lahara-monitor-17-series-tub-shower-trim-chrome,Delta,260.25,True,THS Freight & Oversize
DELT-T17464,delta-ashlyn-monitor-17-series-tub-shower-trim-chrome,Delta,260.25,True,THS Freight & Oversize
NHSP-300,3-x-10-nh-x-nh-gray-cast-iron-soil-pipe-48-per-bundle,Tyler Pipe Company,259.2,True,THS Freight & Oversize
TOTO-TMT1LN-CP,toto-toilet-1-28-gpf-manual-commercial-flush-valve-only-polished-chrome-tmt1ln-cp,Toto,255.47,True,THS Standard - no free shipping
MOEN-T2153EPORB,moen-brantford-single-handle-1-spray-posi-temp-tub-and-shower-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately,Moen,249.28,True,THS Freight & Oversize
MILW-48-22-8201,ultimate-jobsite-backpack,Milwaukee Tools,228.21,True,THS Standard - no free shipping
CTRO-ISVL063,6-x-36-polypro-single-wall-vent-pipe,Centrotherm,227.67,True,THS Standard - no free shipping
RECT-87001,pro-fit-87001-flaring-kit-quick-flaring-hvac-5-bits-1-4-3-4,RectorSeal,226.75,True,THS Standard - no free shipping
MOEN-T2133EPBN,moen-eva-1-handle-posi-temp-tub-and-shower-trim-kit-with-eco-performance-showerhead-in-brushed-nickel-valve-sold-separately,Moen,226.56,True,THS Freight & Oversize
MOEN-T2743BN,moen-glyde-1-spray-single-handle-posi-temp-tub-and-shower-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Moen,226.56,True,THS Freight & Oversize
MILW-48-22-7224,24-aluminum-pipe-wrench,Milwaukee Tools,207.0,True,THS Standard - no free shipping
CTRO-ISVL082,8-x-24-polypro-single-wall-vent-pipe,Centrotherm,191.9,True,THS Standard - no free shipping
NHSP-200,2-x-10-nh-x-nh-gray-cast-iron-soil-pipe-64-per-bundle,Tyler Pipe Company,187.3,True,THS Freight & Oversize
NHSP-150,1-1-2-x-10-nh-x-nh-gray-cast-iron-soil-pipe-54-per-bundle,Tyler Pipe Company,187.1,True,THS Freight & Oversize
MOEN-4793,moen-m-pact-2-handle-3-hole-roman-tub-adjustable-rough-in-valve-1-2-in-cpvc-pex-connection,Moen,179.94,True,THS Freight & Oversize
LIBE-ALM-2,alarm-indoor-wide-angle-float-115v-20-cord,Liberty Pumps,173.44,True,THS Freight & Oversize
MOEN-4794,moen-m-pact-2-handle-3-hole-roman-tub-adjustable-rough-in-valve-1-2-in-crimp-ring-pex-connection,Moen,171.56,True,THS Freight & Oversize
MOEN-7423,moen-chateau-single-handle-standard-kitchen-faucet-in-chrome,Moen,164.91,True,THS Standard - no free shipping
MOEN-6150,moen-gibson-4-in-centerset-2-handle-high-arc-bathroom-faucet-with-pop-up-assembly-in-chrome,Moen,162.57,True,THS Standard - no free shipping
CHER-270067,cherne-6-in-test-ball-plug,Cherne,162.33,True,THS Standard - no free shipping
DELT-RP50841,delta-universal-single-setting-raincan-shower-head-chrome-delt-rp50841,Delta,159.03,True,THS Standard - no free shipping
MOEN-4792,moen-m-pact-2-handle-3-hole-roman-tub-adjustable-rough-in-valve-1-2-in-cc-connection,Moen,158.88,True,THS Freight & Oversize
MOEN-L64625,moen-chateau-chrome-one-handle-bathroom-faucet,Moen,158.81,True,THS Standard - no free shipping
GROH-26.465000,stick-hand-shower-1-spray-1-75-gpm-in-grohe-chrome,Grohe,157.95,True,THS Standard - no free shipping
MOEN-L64621,moen-chateau-4-in-centerset-single-handle-low-arc-bathroom-faucet-with-metal-plastic-drain-assembly-in-chrome-1-2-ips,Moen,157.22,True,THS Standard - no free shipping
HGRO-26277001,hansgrohe-vernis-blend-showerhead-200-1-jet-1-75-gpm-in-chrome,Hansgrohe,156.6,True,THS Standard - no free shipping
HGRO-26281001,hansgrohe-vernis-blend-showerhead-230-1-jet-2-5-gpm-in-chrome,Hansgrohe,156.6,True,THS Standard - no free shipping
ROHL-16295APC,59-metal-shower-hose-in-polished-chrome,Rohl,154.05,True,THS Standard - no free shipping
MOEN-4798,moen-m-pact-2-handle-3-hole-roman-tub-10-in-center-rough-in-valve-1-2-in-wirsbo-pex-connection,Moen,152.61,True,THS Freight & Oversize
DELT-100-DST,delta-100-series-single-handle-kitchen-faucet-chrome,Delta,152.12,True,THS Standard - no free shipping
ABSP-600-10,6-x-10-abs-foam-core-pipe-sch40,Charlotte Pipe,150.0,True,THS Freight & Oversize
CHER-271047,cherne-4-in-long-test-ball-plug,Cherne,148.84,True,THS Standard - no free shipping
DELT-B510LF,delta-foundations-single-handle-centerset-bathroom-faucet-chrome-delt-b510lf,Delta,148.03,True,THS Standard - no free shipping
DELT-T13420,delta-classic-monitor-13-series-tub-shower-trim-chrome,Delta,148.03,True,THS Freight & Oversize
MOEN-7425,moen-chateau-low-arc-single-handle-standard-kitchen-faucet-in-chrome,Moen,146.32,True,THS Standard - no free shipping
HGRO-28274820,hansgrohe-isiflex-handshower-hose-80-in-brushed-nickel,Hansgrohe,144.0,True,THS Standard - no free shipping
MOEN-67425,moen-chateau-single-handle-kitchen-faucet-without-sprayer-low-arc-spout-in-chrome-finish,Moen,143.41,True,THS Standard - no free shipping
TOTO-TS221X-CP,toto-connelly-three-way-diverter-trim-with-off-polished-chrome-ts221x-cp,Toto,139.43,True,THS Standard - no free shipping
MLWV-UPBA-480BH-34,3-4-press-x-hose-low-lead-brass-full-port-ball-valve-200-psi,Milwaukee Valve,137.46,True,THS Standard - no free shipping
MOEN-L64601,moen-chateau-single-hole-single-handle-bathroom-faucet-in-chrome,Moen,127.94,True,THS Standard - no free shipping
SIOU-672WV0444,1-male-sweat-manifold-12-port-1-2-male-sweat,Sioux Chief,126.19,True,THS Standard - no free shipping
CHER-271039,cherne-3-in-long-test-ball-plug,Cherne,125.31,True,THS Standard - no free shipping
DELT-50560-CZ,delta-universal-wall-elbow-for-handshower-champagne-bronze,Delta,124.86,True,THS Standard - no free shipping
DONN-YB5108BN,moen-voss-pivoting-double-post-toilet-paper-holder-in-brushed-nickel,Moen,123.75,True,THS Standard - no free shipping
DELT-50560-SS-PR,delta-universal-wall-elbow-for-handshower-lumicoat-stainless,Delta,121.43,True,THS Standard - no free shipping
DELT-B501LF,delta-foundations-single-handle-centerset-bathroom-faucet-chrome,Delta,119.07,True,THS Standard - no free shipping
MLWV-UPBA-480B-114,1-1-4-low-lead-bronze-full-port-press-ball-valve,Milwaukee Valve,116.55,True,THS Standard - no free shipping
GROH-28.629000,wall-union-with-hand-shower-holder-in-grohe-chrome,Grohe,112.5,True,THS Standard - no free shipping
DELT-RP62283,delta-universal-single-setting-raincan-shower-head-chrome-delt-rp62283,Delta,110.81,True,THS Standard - no free shipping
BRIZ-RP49645NK,brizo-essential-handshower-hose-and-gaskets-luxe-nickel,Brizo,110.55,True,THS Standard - no free shipping
DONN-YB5408CH,moen-kingsley-pivoting-double-post-toilet-paper-holder-in-chrome,Moen,109.88,True,THS Standard - no free shipping
HGRO-28274000,hansgrohe-isiflex-handshower-hose-80-in-chrome,Hansgrohe,108.9,True,THS Standard - no free shipping
MOEN-4903,moen-chateau-2-handle-high-arc-bar-faucet-in-chrome,Moen,108.14,True,THS Standard - no free shipping
DELT-50570-BL,delta-universal-square-wall-elbow-for-handshower-matte-black,Delta,107.53,True,THS Standard - no free shipping
ABSP-400-20,4-x-20-abs-foam-core-pipe-sch40,Charlotte Pipe,106.4,True,THS Freight & Oversize
MOEN-178755,moen-shower-escutcheon-chrome,Moen,106.31,True,THS Standard - no free shipping
MILW-48-53-2685,5-piece-small-cable-head-attachment-kit-w-rust-guard-plating,Milwaukee Tools,105.18,True,THS Standard - no free shipping
SIOU-696R2313MF,oxbox-washing-machine-box-firerated-w-arrester-mip,Sioux Chief,104.93,True,THS Standard - no free shipping
DELT-2131LF,delta-classic-two-handle-laundry-faucet-chrome,Delta,101.73,True,THS Standard - no free shipping
DELT-50570-SS-PR,delta-universal-square-wall-elbow-for-handshower-lumicoat-stainless,Delta,101.18,True,THS Standard - no free shipping
CHER-271020,cherne-2-in-long-test-ball-plug,Cherne,100.44,True,THS Standard - no free shipping
SIOU-832-4HNQ,4-finishline-top-only-with-square-grate-5-7-8-nickel-bronze-finish,Sioux Chief,98.67,True,THS Standard - no free shipping
SIOU-842-2PNQ,2-solvent-weld-complete-adjustable-floor-drain-with-square-grate-5-7-8-nickel-bronze-finish-pvc-body,Sioux Chief,92.4,True,THS Standard - no free shipping
SIOU-863-335SR,3-solvent-weld-round-above-grade-floor-drain-5-1-2-top-stainle-stainless-steel-steel-finish,Sioux Chief,92.4,True,THS Standard - no free shipping
GERB-D481116BN,13-s-shaped-showerarm-w-escutcheon-brushed-nickel,Gerber,92.34,True,THS Standard - no free shipping
SMIT-36-NH,36-round-metal-water-heater-pan-no-hole,Smitty Pan Mfg. Co.,89.8,True,THS Standard - no free shipping
SMIT-31-WM-NH,washing-machine-pan-no-hole-square,Smitty Pan Mfg. Co.,89.47,True,THS Standard - no free shipping
SIOU-696-RG1010WF,oxbox-ice-maker-box-with-mini-rester-pex-f1960-fire-rated,Sioux Chief,87.86,True,THS Standard - no free shipping
DELT-RP46870,delta-shower-arm-16-chrome,Delta,87.3,True,THS Standard - no free shipping
VEGA-15056,1-1-4-x-1-union-x-fpt-nickel-plated-brass-ball-valve,Viega,86.7,True,THS Standard - no free shipping
SIOU-696-RG1010XF,oxbox-ice-maker-box-with-mini-rester-pex-f1807-fire-rated,Sioux Chief,85.17,True,THS Standard - no free shipping
DELT-50560,delta-universal-wall-elbow-for-handshower-chrome,Delta,84.36,True,THS Standard - no free shipping
GERB-D606425BN,8-wall-mount-tub-spout-with-diverter-brushed-nickel,Gerber,83.43,True,THS Standard - no free shipping
MOEN-74998,moen-chateau-4-in-centerset-2-handle-utility-faucet-in-chrome,Moen,82.83,True,THS Standard - no free shipping
MOEN-6313BN,moen-single-function-showerhead-in-brushed-nickel,Moen,82.74,True,THS Standard - no free shipping
DONN-8736,moen-home-care-stainless-36-concealed-screw-grab-bar,Moen,81.53,True,THS Standard - no free shipping
BRIZ-RP74751PN,brizo-essential-7-linear-round-wall-mount-shower-arm-and-flange-polished-nickel,Brizo,80.53,True,THS Standard - no free shipping
HOLD-TRPVCNH4A,holdrite-testrite-4-pvc-no-hub-test-cleanout-tee-with-plug,HoldRite,79.23,True,THS Standard - no free shipping
CHER-271721,cherne-4-in-clean-seal-plug,Cherne,71.88,True,THS Standard - no free shipping
GERB-D481116,13-s-shaped-showerarm-w-escutcheon-chrome,Gerber,71.28,True,THS Standard - no free shipping
GROH-27.575002,100-hand-shower-4-sprays-2-5-gpm-in-grohe-chrome,Grohe,71.11,True,THS Standard - no free shipping
SIOU-672X1240,1-male-sweat-manifold-4-port-1-2-f1960-siou-672x1240,Sioux Chief,70.52,True,THS Standard - no free shipping
DELT-50570,delta-universal-square-wall-elbow-for-handshower-chrome,Delta,70.3,True,THS Standard - no free shipping
ABSP-300-20,3-x-20-abs-foam-core-pipe-sch40,Charlotte Pipe,70.0,True,THS Freight & Oversize
MOEN-CL155748BN,moen-brushed-nickel-handheld-shower-hose,Moen,67.86,True,THS Standard - no free shipping
HOLD-TRABS4A,holdrite-testrite-4-abs-dwv-test-cleanout-tee-with-plug,HoldRite,67.71,True,THS Standard - no free shipping
MISS-PC-32,3-cast-iron-xh-plastic-steel-to-3-cast-iron-plastic-steel-shielded-rubber-transition-coupling-0803759,Mission Rubber Company,67.53,True,THS Standard - no free shipping
BRIZ-RP74751PC,brizo-essential-7-linear-round-wall-mount-shower-arm-and-flange-chrome,Brizo,67.36,True,THS Standard - no free shipping
SIOU-832-4HNR,4-finishline-top-only-with-round-grate-5-1-2-nickel-bronze-finish,Sioux Chief,66.38,True,THS Standard - no free shipping
MOEN-T62152EP,moen-brantford-1-handle-eco-shower-trim-kit-in-chrome,Moen,66.18,True,THS Standard - no free shipping
MLWV-UPBA-480B-100,1-low-lead-bronze-full-port-press-ball-valve,Milwaukee Valve,65.75,True,THS Standard - no free shipping
CHER-270040,cherne-4-in-test-ball-plug,Cherne,65.05,True,THS Standard - no free shipping
GERB-D606425,8-wall-mount-tub-spout-with-diverter-chrome,Gerber,63.18,True,THS Standard - no free shipping
HOLD-TRT2-3,holdrite-testrite-spanner-ring-tool-2-and-3,HoldRite,62.67,True,THS Standard - no free shipping
GERB-D481027BN,15-right-angle-showerarm-w-escutcheon-brushed-nickel,Gerber,62.37,True,THS Standard - no free shipping
CHER-271713,cherne-3-in-clean-seal-plug,Cherne,62.04,True,THS Standard - no free shipping
SMIT-30-LD-NH,30-round-metal-water-heater-pan-light-duty-no-hole,Smitty Pan Mfg. Co.,62.04,True,THS Standard - no free shipping
DONN-8724,moen-home-care-24-in-x-1-1-4-in-concealed-screw-grab-bar-with-securemount-in-stainless-steel,Moen,61.65,True,THS Standard - no free shipping
DELT-U495D-60-PK,delta-universal-60-80-handshower-hose-chrome,Delta,60.68,True,THS Standard - no free shipping
DONN-8718,moen-home-care-stainless-18-concealed-screw-grab-bar,Moen,59.78,True,THS Standard - no free shipping
SMIT-28-ST,28-round-metal-water-heater-pan-side-drain-hole,Smitty Pan Mfg. Co.,57.18,True,THS Standard - no free shipping
GERB-D606225BN,5-1-2-wall-mount-tub-spout-with-diverter-brushed-nickel,Gerber,56.7,True,THS Standard - no free shipping
MILW-48-89-2801,21-piece-thunderbolt-black-oxide-drill-bit-set,Milwaukee Tools,56.43,True,THS Standard - no free shipping
MOEN-A725,moen-drop-ell-in-chrome,Moen,56.25,True,THS Standard - no free shipping
DONN-8912,moen-home-care-12-in-x-1-1-2-in-concealed-screw-grab-bar-with-securemount-in-stainless-steel,Moen,55.12,True,THS Standard - no free shipping
MLWV-BA-475B-100,1-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,Milwaukee Valve,54.48,True,THS Standard - no free shipping
ABSP-400-10,4-x-10-abs-foam-core-pipe-sch40,Charlotte Pipe,53.2,True,THS Freight & Oversize
HGRO-27411003,hansgrohe-showerarm-standard-6-in-chrome,Hansgrohe,53.1,True,THS Standard - no free shipping
DELT-U4980-PK,delta-universal-wall-supply-elbow-for-handshower-chrome,Delta,52.95,True,THS Standard - no free shipping
MILW-48-22-7412,12-adjustable-wrench,Milwaukee Tools,51.42,True,THS Standard - no free shipping
MLWV-BA-100-A34,3-4-fip-x-fip-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-stainless-steel-ball,Milwaukee Valve,49.2,True,THS Standard - no free shipping
MLWV-UPBA-480B-34,3-4-low-lead-bronze-full-port-press-ball-valve,Milwaukee Valve,48.81,True,THS Standard - no free shipping
GERB-D495002BN,1-1-4-metal-pop-up-drain-assembly-with-lift-brushed-nickel,Gerber,48.6,True,THS Standard - no free shipping
MOEN-226651,moen-12-in-shower-arm-in-chrome,Moen,48.07,True,THS Standard - no free shipping
GERB-D481027,15-right-angle-showerarm-w-escutcheon-chrome,Gerber,47.79,True,THS Standard - no free shipping
WATC-617-PP-ABS-CP,push-pull-half-kit-with-drain-tee-abs-chrome,Watco Mfg,47.7,True,THS Standard - no free shipping
DELT-72020-AR,delta-kitchen-air-gap-arctic-stainless,Delta,47.56,True,THS Standard - no free shipping
MOEN-CL155748,moen-chrome-handheld-shower-hose,Moen,46.79,True,THS Standard - no free shipping
ELKA-LK-350,elkay-extra-long-sink-screwdriver,Elkay,45.18,True,THS Standard - no free shipping
WATC-601-PP-ABS-CP,1-1-2-abs-push-pull-bath-waste-and-overflow-half-kit-chrome,Watco Mfg,44.91,True,THS Standard - no free shipping
MILW-49-56-0734,3-hole-dozer-with-carbide-teeth-hole-saw,Milwaukee Tools,42.33,True,THS Standard - no free shipping
SIOU-660-TSX88,stub-out-mini-rester-siou-660-tsx88,Sioux Chief,41.28,True,THS Standard - no free shipping
