sku,title,ven,price,lb,free,motivo,pid
MILW-0970-20,Milwaukee Tools 0970-20 M18 FUEL™ 2.5 Gallon Wet/Dry Vacuum w/ PACKOUT™ Compatibility,Milwaukee Tools,283.94,4.8,False,gallon a 4.8 lb,gid://shopify/Product/7715533455463
COPT-075-ACR,"Mueller Streamline AC04020 3/4"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,237.4,0.36,False,20 ft a 0.36 lb,gid://shopify/Product/7715644833895
POLY-075-250/300,"Centennial Plastics FL472500075-300 3/4"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,234.0,0.2,True,300 ft a 0.2 lb,gid://shopify/Product/7715279700071
IPSC-12494,"Weld-On 12494 735 Wet ëN Fast PVC Solvent Cement, Blue, Low VOC, High Strength, Medium Bodied, Extremely Fast Setting, 1 Gallon (128 Fl. Oz.)",Weld-On,224.02,1.21,True,gallon a 1.21 lb,gid://shopify/Product/7716840439911
MDPE-1002239,"Centennial Plastics GASM0110075-250 3/4"" x 250' Gas Pipe - MDPE 2708 - SDR 11 CenGas",Centennial Plastics,222.5,0.12,True,250 ft a 0.12 lb,gid://shopify/Product/7715279503463
MILW-0960-20,Milwaukee Tools 0960-20 M12 FUEL™ 1.6 Gallon Wet/Dry Vacuum,Milwaukee Tools,218.22,4.6,False,gallon a 4.6 lb,gid://shopify/Product/7715533422695
POLY-125-250/100,"Centennial Plastics FL472000125-100 1-1/4"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,217.0,0.42,True,100 ft a 0.42 lb,gid://shopify/Product/7715279831143
RHEE-SP14339B,Rheem SP14339B Natural Gas Control Valve for RHGPRO75F/42V75F 75 Gallon Residential Water Heater and Flammable Vapor Ignition Resistant Parts,Rheem Manufacturing,199.68,2.0,True,gallon a 2.0 lb,gid://shopify/Product/7715760734311
AMTR-389732,Amtrol 389732 6.7 Gallon EX-60 Extrol Expansion Tank,Amtrol,195.17,2.0,True,gallon a 2.0 lb,gid://shopify/Product/7715225960551
COPT-058-ACR,"Mueller Streamline AC03020 5/8"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,177.4,0.28,False,20 ft a 0.28 lb,gid://shopify/Product/7715644702823
PASC-50750,"Pasco 50750 7/8"" x 50' Code DW Drain Hose",Pasco,151.5,0.37,True,50 ft a 0.37 lb,gid://shopify/Product/7715716005991
OATE-31118,Oatey® 31118 Gallon PVC Heavy Duty Gray Cement,Oatey,138.27,1.21,True,gallon a 1.21 lb,gid://shopify/Product/7715681763431
IPSC-14020,"Weld-On 14020 782 PVC Plumbing Solvent Cement, Gray, Low VOC, High Strength, Heavy Bodied, Medium Setting, 1 Gallon (128 Fl. Oz.)",Weld-On,133.45,1.21,True,gallon a 1.21 lb,gid://shopify/Product/7716840996967
POLY-100-250/100,"Centennial Plastics FL472500100-100 1"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,126.0,0.24,True,100 ft a 0.24 lb,gid://shopify/Product/7715279732839
OATE-31135,Oatey® 31135 Gallon PVC All Weather Clear Cement,Oatey,112.11,1.21,True,gallon a 1.21 lb,gid://shopify/Product/7715681861735
OATE-30887,Oatey® 30887 Gallon PVC Medium Body Gray Cement,Oatey,109.26,1.95,True,gallon a 1.95 lb,gid://shopify/Product/7715680780391
IPSC-14024,"Weld-On 14024 Plumbing PVC/CPVC Primer, Purple, Low VOC, Fast Acting, 1 Gallon (128 Fl. Oz.)",Weld-On,107.04,1.1,True,gallon a 1.1 lb,gid://shopify/Product/7716841062503
IPSC-14010,"Weld-On 14010 781 PVC Plumbing Solvent Cement, Gray, Low VOC, High Strength, Medium Bodied, Fast Setting, 1 Gallon (128 Fl. Oz.)",Weld-On,101.13,1.21,True,gallon a 1.21 lb,gid://shopify/Product/7716840865895
SHAR-UXLBV35,SharkBite UXLBV35 1-1/4'' SharkBite Quarter Turn Ball Valve - (PTC x PTC),SharkBite,93.99,0.33,True,quart a 0.33 lb,gid://shopify/Product/7715770368103
CALA-HGT15,Calefactio HGT-15 2.1 Gallon Expansion Tank Hydronic Heating,CALEFACTIO,80.05,4.8,False,gallon a 4.8 lb,gid://shopify/Product/7715270819943
MILW-48-22-4267,Milwaukee Tools 48-22-4267 3 Piece Close Quarters Tubing Cutter Set,Milwaukee Tools,78.95,0.4,True,quart a 0.4 lb,gid://shopify/Product/7715544858727
POLY-075-250/100,"Centennial Plastics FL472500075-100 3/4"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,78.0,0.2,True,100 ft a 0.2 lb,gid://shopify/Product/7715279667303
ZILM-ZHT8,Zilmet ZHT8-15 2.1 Gallon Expansion Tank Same as TK300-15,Zilmet,76.68,4.8,False,gallon a 4.8 lb,gid://shopify/Product/7716844404839
ELKA-LKPDQSRT,"Elkay LKPDQSRT Quartz Perfect Drain 3-1/2"" Removable Polymer Basket Strainer and Rubber Stopper Ricotta",Elkay,74.09,0.89,True,quart a 0.89 lb,gid://shopify/Product/7715409887335
CPVP-075-20-SCH80,"Charlotte Pipe 3/4"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,73.0,0.3,False,20 ft a 0.3 lb,gid://shopify/Product/7715309748327
HERC-15811,Hercules® 15811 32 oz. Megaloc® Thread Sealant,Hercules,66.07,0.84,True,quart a 0.84 lb,gid://shopify/Product/7715466215527
CHEM-CEMENT,Charlotte Pipe AW-00001-0030C ChemDrain One Step Cement Quart 13013,Charlotte Pipe,56.74,0.52,True,quart a 0.52 lb,gid://shopify/Product/7715304276071
CPVP-050-20-SCH80,"Charlotte Pipe 1/2"" x 20' CPVC Pipe - Corzan SCH80",Charlotte Pipe,53.4,0.22,False,20 ft a 0.22 lb,gid://shopify/Product/7715309682791
CAMC-22873,"Camco Contractor's Hose - Heavy-Duty 50', 5/8"" (E/F/S) (CARD) LLC 22873",CAMCO MANUFACTURING INC.,52.45,0.52,True,50 ft a 0.52 lb,gid://shopify/Product/7715276587111
SHAR-UR22223,"SharkBite UR22223 1"" SharkBite Max Quarter Turn Ball Valve - (PTC x PTC)",SharkBite,50.31,0.33,True,quart a 0.33 lb,gid://shopify/Product/7715768828007
MILW-48-22-4262,"Milwaukee Tools 48-22-4262 1"" Close Quarters Tubing Cutter",Milwaukee Tools,44.47,0.3,True,quart a 0.3 lb,gid://shopify/Product/7715544760423
ZURN-59517007,"Zurn 59517007® AquaSpec XL Long Stem Quarter-Turn Ceramic Disc Cartridge, Cold",Zurn,42.36,0.52,True,quart a 0.52 lb,gid://shopify/Product/7716845355111
ZURN-59517008,"Zurn 59517008 AquaSpec® XL Long Stem Quarter-Turn Ceramic Disc Cartridge, Hot",Zurn,42.36,0.52,True,quart a 0.52 lb,gid://shopify/Product/7716845387879
MILL-71028,Mill Rose 71028 32 oz ARCTIC ARMOR SPRAY GEL,Mill Rose,41.34,0.18,True,quart a 0.18 lb,gid://shopify/Product/7715532079207
IPSC-14016,"Weld-On 14016 782 PVC Plumbing Solvent Cement, Clear, Low VOC, High Strength, Heavy Bodied, Medium Setting, 1 Quart (32 Fl. Oz.)",Weld-On,40.66,1.21,True,quart a 1.21 lb,gid://shopify/Product/7716840931431
IPSC-14021,"Weld-On 14021 782 PVC Plumbing Solvent Cement, Gray, Low VOC, High Strength, Heavy Bodied, Medium Setting, 1 Quart (32 Fl. Oz.)",Weld-On,40.66,1.21,True,quart a 1.21 lb,gid://shopify/Product/7716841029735
IPSC-12495,"Weld-On 12495 735 Wet ëN Fast PVC Solvent Cement, Blue, Low VOC, High Strength, Medium Bodied, Extremely Fast Setting, 1 Quart (32 Fl. Oz.)",Weld-On,39.3,1.21,False,quart a 1.21 lb,gid://shopify/Product/7716840472679
MILW-48-22-4261,"Milwaukee Tools 48-22-4261 3/4"" Close Quarters Tubing Cutter",Milwaukee Tools,36.86,0.26,True,quart a 0.26 lb,gid://shopify/Product/7715544727655
ABSP-200-20,"Charlotte Pipe ABS 03200 0800 2"" x 20' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,36.8,0.34,False,20 ft a 0.34 lb,gid://shopify/Product/7715299131495
SHAR-UR22185,"SharkBite UR22185 3/4"" SharkBite Max Quarter Turn Ball Valve - (PTC x PTC)",SharkBite,36.6,0.33,True,quart a 0.33 lb,gid://shopify/Product/7715768729703
IPSC-14001,"Weld-On 14001 780 PVC Plumbing Solvent Cement, Clear, Low VOC, High Strength, Regular Bodied, Fast Setting, 1 Quart (32 Fl. Oz.)",Weld-On,35.95,1.21,False,quart a 1.21 lb,gid://shopify/Product/7716840603751
IPSC-14025,"Weld-On 14025 Plumbing PVC/CPVC Primer, Purple, Low VOC, Fast Acting, 1 Quart (32 Fl. Oz.)",Weld-On,35.56,1.1,False,quart a 1.1 lb,gid://shopify/Product/7716841128039
IPSC-14030,"Weld-On Plumbing PVC/CPVC Primer, Clear, Low VOC, Fast Acting, 1 Quart (32 Fl. Oz.)",Weld-On,35.56,1.1,False,quart a 1.1 lb,gid://shopify/Product/7716841291879
IPSC-10050,"Weld-On 10050 182 Roof Flashing Cement, Dark, 1 Gallon (128 Oz.)",Weld-On,33.62,1.21,False,gallon a 1.21 lb,gid://shopify/Product/7716839981159
MILW-48-22-4260,"Milwaukee Tools 48-22-4260 1/2"" Close Quarters Tubing Cutter",Milwaukee Tools,33.12,0.19,True,quart a 0.19 lb,gid://shopify/Product/7715544694887
ZURN-59517005,"Zurn 59517005 AquaSpec® XL Short Stem Quarter-Turn Ceramic Disc Cartridge, Cold",Zurn,32.04,0.52,True,quart a 0.52 lb,gid://shopify/Product/7716845289575
IPSC-14006,"Weld-On 14006 781 PVC Plumbing Solvent Cement, Clear, Low VOC, High Strength, Medium Bodied, Fast Setting, 1 Quart (32 Fl. Oz.)",Weld-On,31.83,1.21,False,quart a 1.21 lb,gid://shopify/Product/7716840734823
IPSC-14011,"Weld-On 14011 781 PVC Plumbing Solvent Cement, Gray, Low VOC, High Strength, Medium Bodied, Fast Setting, 1 Quart (32 Fl. Oz.)",Weld-On,29.85,1.21,False,quart a 1.21 lb,gid://shopify/Product/7716840898663
SHAR-UR22222,"SharkBite UR22222 1/2"" SharkBite Max Quarter Turn Ball Valve - (PTC x PTC)",SharkBite,29.28,0.33,True,quart a 0.33 lb,gid://shopify/Product/7715768795239
OATE-31275,Oatey® 31275 12 in. Gallon Can Roller Applicator,Oatey,27.51,0.25,True,gallon a 0.25 lb,gid://shopify/Product/7715681927271
ABSP-150-20,"Charlotte Pipe ABS 03112 0800 1-1/2"" x 20' - ABS Foam Core Pipe - SCH40",Charlotte Pipe,27.0,0.26,False,20 ft a 0.26 lb,gid://shopify/Product/7715298967655
VEGA-68431,"Viega 68431 1-1/4"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,26.47,0.05,False,10 ft a 0.05 lb,gid://shopify/Product/7716821368935
VEGA-68432,"Viega 68432 1-1/2"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,26.13,0.05,False,10 ft a 0.05 lb,gid://shopify/Product/7716821401703
VEGA-11500,"Viega 11500 3/4"" x 20' Red Stripe on Black O2 Barrier PEX Tubing",Viega,23.8,0.1,False,20 ft a 0.1 lb,gid://shopify/Product/7716788633703
VEGA-68430,"Viega 68430 1"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,22.18,0.05,False,10 ft a 0.05 lb,gid://shopify/Product/7716821336167
SIOU-963-HTL-FE32,Sioux Chief 963-HTL-FE32 FlowEasy Liquid Drain Cleaner 1 Quart Bottle,Sioux Chief,21.33,0.33,True,quart a 0.33 lb,gid://shopify/Product/7715790749799
VEGA-68435,"Viega 68435 3/4"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,19.89,0.05,False,10 ft a 0.05 lb,gid://shopify/Product/7716821467239
META-PT28-078-100,"C&S PT28-078-100 3/4"" x 100' Galv Plumbers Tape - 28 Gaug",C&S Manufacturing,19.63,0.67,False,100 ft a 0.67 lb,gid://shopify/Product/7715266723943
OATE-30901,Oatey® 30901 Gallon Replacement Wide Mouth Can,Oatey,18.96,0.08,True,gallon a 0.08 lb,gid://shopify/Product/7715681140839
MILW-48-22-4266,Milwaukee Tools 48-22-4266 2 Piece Close Quarters Cutter Replacement Blades,Milwaukee Tools,18.51,0.03,True,quart a 0.03 lb,gid://shopify/Product/7715544825959
SIOU-554-100W,"Sioux Chief 554-100W 3/4"" x 100' Woven Hanger Strap",Sioux Chief,16.02,0.91,False,100 ft a 0.91 lb,gid://shopify/Product/7715774857319
SIOU-554-100,"Sioux Chief 554-100 3/4"" x 100' Plastic Hanger Strap",Sioux Chief,15.36,1.5,False,100 ft a 1.5 lb,gid://shopify/Product/7715774824551
VEGA-68434,"Viega 68434 1/2"", 10' L, Galvanized, 24 Gauge Steel, Pipe Support for PureFlow PEX Pipe (5 per Pack)",Viega,14.75,0.05,False,10 ft a 0.05 lb,gid://shopify/Product/7716821434471
HGRI-512-0300-EG,"nVent Caddy 5120300EG 512 nVent CADDY EZ Riser for Close Quarters, 3"" Pipe, 80 DN, 3.5"" (89 mm) OD",nVent Caddy,12.23,1.35,False,quart a 1.35 lb,gid://shopify/Product/7715676487783
CPVP-075-10-V,"Charlotte Pipe CTS 12007-10 3/4"" x 10' FlowGuard Gold CPVC Pipe",Charlotte Pipe,11.6,0.14,False,10 ft a 0.14 lb,gid://shopify/Product/7715309715559
HGRI-512-0250-EG,"nVent Caddy 5120250EG 512 nVent CADDY EZ Riser for Close Quarters, 2 1/2"" Pipe, 65 DN, 2.875"" (76 mm) OD",nVent Caddy,11.45,1.02,False,quart a 1.02 lb,gid://shopify/Product/7715676455015
HGRI-512-0200-EG,"nVent Caddy 5120200EG 512 nVent CADDY EZ Riser for Close Quarters, 2"" Pipe, 50 DN, 2.375"" (60 mm) OD",nVent Caddy,10.7,0.89,False,quart a 0.89 lb,gid://shopify/Product/7715676422247
HGRI-512-0150-EG,"nVent Caddy 5120150EG 512 nVent CADDY EZ Riser for Close Quarters, 1 1/2"" Pipe, 40 DN, 1.9"" (48 mm) OD",nVent Caddy,10.21,0.62,False,quart a 0.62 lb,gid://shopify/Product/7715676389479
HGRI-512-0125-EG,"nVent Caddy 5120125EG 512 nVent CADDY EZ Riser for Close Quarters, 1 1/4"" Pipe, 32 DN, 1.66"" (43 mm) OD",nVent Caddy,9.69,0.57,False,quart a 0.57 lb,gid://shopify/Product/7715676356711
VEGA-33240,"Viega 33240 1/2"" x 20' Blue PureFlow PEX Tubing",Viega,8.6,0.05,False,20 ft a 0.05 lb,gid://shopify/Product/7716803477607
HGRI-512-0100-EG,"nVent Caddy 5120100EG 512 nVent CADDY EZ Riser for Close Quarters, 1"" Pipe, 25 DN, 1.315"" (34 mm) OD",nVent Caddy,7.98,0.51,False,quart a 0.51 lb,gid://shopify/Product/7715676323943
DIVE-BS-32,DiversiTech BS-32 All Purpose 1 Quart Sprayer,DiversiTech,7.38,0.26,False,quart a 0.26 lb,gid://shopify/Product/7715397075047
CPVP-050-10-V,"Charlotte Pipe CTS 12005-10 1/2"" x 10' FlowGuard Gold CPVC Pipe",Charlotte Pipe,7.0,0.08,False,10 ft a 0.08 lb,gid://shopify/Product/7715309650023
SIOU-554-25W,"Sioux Chief 554-25W 3/4"" x 25' Woven Hanger Strap",Sioux Chief,4.59,0.25,False,25 ft a 0.25 lb,gid://shopify/Product/7715774922855
PASC-1716,"Pasco 1716 3/4"" x 60' UL Electrical Tape",Pasco,2.07,0.33,False,60 ft a 0.33 lb,gid://shopify/Product/7715697950823
PASC-4432,Pasco 4432 Flint 5-Pack is 5 Each Packed by 5,Pasco,0.93,0.01,False,quart a 0.01 lb,gid://shopify/Product/7715712532583
