sku,ven,price,lb_loja,teto_lb,folga_x,title
LEGE-460-613NL,Legend Valve,2.34,0.06,0.08,1.3,"Legend Valve 460-613NL 1/2"" PEX Press Adapter (Crimp(F1807) x FTG Sweat) - Brass"
MPEX-4115050,MrPEX Systems,2.27,0.06,0.08,1.3,"MrPEX Systems 4115050 1/2"" PEX Coupling (Crimp(F1807)) - Brass"
MPEX-4640750,MrPEX Systems,2.28,0.05,0.08,1.5,"MrPEX Systems 4640750 3/4"" PEX Plug (Expansion(F1960)) - Composite"
MPEX-4665050,MrPEX Systems,2.28,0.05,0.08,1.5,"MrPEX Systems 4665050 1/2"" PEX 90° Elbow (Expansion(F1960)) - Composite"
GAPN-018-CLS,Mueller Streamline,2.37,0.05,0.08,1.6,"Mueller Streamline 560-001 1/8"" x Close - Galvanized Nipple"
SIOU-551-2PK2,Sioux Chief,2.31,0.05,0.08,1.6,"Sioux Chief 551-2PK2 1/2"" CTS with nail 10/bag Tube Talon"
LEGE-460-504NL,Legend Valve,2.56,0.06,0.09,1.4,"Legend Valve 460-504NL 3/4"" PEX Coupling (Crimp(F1807)) - Brass"
LEGE-460-623NL,Legend Valve,2.7,0.06,0.09,1.5,"Legend Valve 460-623NL 1/2"" PEX Sweat Adapter (Crimp(F1807) x Sweat) - Brass"
MPEX-4617575,MrPEX Systems,2.59,0.05,0.09,1.7,"MrPEX Systems 4617575 3/4"" PEX Coupling (Expansion(F1960)) - Composite"
COPF-018-CAP-C,Mueller Streamline,2.59,0.05,0.09,1.7,"Mueller Streamline W 07002 1/8"" Copper Sweat Fittings - Cap C"
GAPN-025-CLS,Mueller Streamline,2.54,0.05,0.09,1.7,"Mueller Streamline 561-001 1/4"" x Close - Galvanized Nipple"
GAPN-038-CLS,Mueller Streamline,2.76,0.05,0.09,1.9,"Mueller Streamline 562-001 3/8"" x Close - Galvanized Nipple"
PASC-2878,Pasco,2.7,0.05,0.09,1.8,"Pasco 2878 2"" CWT Chrome Split-One Floor & Ceiling"
SIOU-643XG3,Sioux Chief,2.79,0.06,0.09,1.6,"Sioux Chief 643XG3 3/4"" PEX F1807 Brass Male Sweat Adapter"
HLNK-EX18022,HeatLink,3.1,0.05,0.1,2.1,"HeatLink EX18022 3/4"" PEX 90° Elbow (Expansion(F1960)) - Composite"
LEGE-460-003NL,Legend Valve,2.83,0.06,0.1,1.6,"Legend Valve 460-003NL 1/2"" PEX 90° Elbow (Crimp(F1807)) - Brass"
MPEX-4617550,MrPEX Systems,2.96,0.05,0.1,2.0,"MrPEX Systems 4617550 3/4"" x 1/2"" PEX Reducing Coupling (Expansion(F1960)) - Composite"
MPEX-4641000,MrPEX Systems,2.96,0.05,0.1,2.0,"MrPEX Systems 4641000 1"" PEX Plug (Expansion(F1960)) - Composite"
MPEX-4695055,MrPEX Systems,2.85,0.05,0.1,1.9,"MrPEX Systems 4695055 1/2"" PEX Tee (Expansion(F1960)) - Composite"
COPF-038.025-FLB-C,Mueller Streamline,3.06,0.05,0.1,2.1,"Mueller Streamline W 01712 3/8"" x 1/4"" Copper Sweat Fittings - Flush Bushing Ftg x C"
GAPN-025-2,Mueller Streamline,2.97,0.07,0.1,1.4,"Mueller Streamline 561-020 1/4"" x 2"" - Galvanized Nipple"
SIOU-558-2PK2,Sioux Chief,2.83,0.05,0.1,1.9,"Sioux Chief 558-2PK2 1/2"" Tube Insulator (5/Bag)"
SIOU-642XG3,Sioux Chief,3.03,0.06,0.1,1.7,"Sioux Chief 642XG3 3/4"" PEX 90 Deg Ell F1807 No-Lead"
SIOU-644XG3,Sioux Chief,2.91,0.06,0.1,1.6,"Sioux Chief 644XG3 3/4"" PEX Sweat Adapter (Crimp(F1807) x FTG Sweat) Brass"
SIOU-645X2G,Sioux Chief,2.83,0.06,0.1,1.6,"Sioux Chief 645X2G 1/2"" PEX x 1/2"" PB"
VEGA-49904,Viega,2.83,0.05,0.1,1.9,"Viega 49904 1"" PEX PureFlow Press Press Sleeve - Viega"
HLNK-EX15028,HeatLink,3.3,0.05,0.11,2.2,"HeatLink EX15028 1"" PEX Plug (Expansion(F1960)) - Composite"
HLNK-EX16225,HeatLink,3.31,0.05,0.11,2.2,"HeatLink EX16225 3/4"" x 3/4"" x 1/2"" PEX Reducing Tee (Expansion(F1960)) - Composite"
MILW-48-32-4310,Milwaukee Tools,3.39,0.09,0.11,1.3,Milwaukee Tools 48-32-4310 SHOCKWAVE™ PH2/SL #10 Impact Duty Double Ended Bit
MILW-48-32-4313,Milwaukee Tools,3.39,0.09,0.11,1.3,Milwaukee Tools 48-32-4313 SHOCKWAVE™ T20/T25 Impact Duty Double Ended Bit
MPEX-4667550,MrPEX Systems,3.21,0.05,0.11,2.2,"MrPEX Systems 4667550 3/4"" x 1/2"" PEX 90° Elbow (Expansion(F1960)) - Composite"
MPEX-4667575,MrPEX Systems,3.36,0.05,0.11,2.3,"MrPEX Systems 4667575 3/4"" PEX 90° Elbow (Expansion(F1960)) - Composite"
COPF-DWV-125-TCAP-C,Mueller Streamline,3.25,0.05,0.11,2.2,"Mueller Streamline W 07637 1-1/4"" Copper Fittings - DWV - Test Cap C"
GAPN-018-2,Mueller Streamline,3.29,0.05,0.11,2.2,"Mueller Streamline 560-020 1/8"" x 2"" - Galvanized Nipple"
SIOU-550-2111,Sioux Chief,3.21,0.06,0.11,1.8,"Sioux Chief 550-2111 1/2"" - 2"" Touchdown Clamp"
SIOU-645X3G,Sioux Chief,3.38,0.06,0.11,1.9,"Sioux Chief 645X3G 3/4"" PEX x 3/4"" PB"
HLNK-EX19028,HeatLink,3.66,0.05,0.12,2.5,"HeatLink EX19028 1"" PEX Coupling (Expansion(F1960)) - Composite"
BRPN-018-4,Legend Valve,3.65,0.08,0.12,1.5,"Legend Valve 311-006 1/8"" x 4"" Red Brass Pipe Nipple"
LEGE-460-754NL,Legend Valve,3.66,0.06,0.12,2.1,"Legend Valve 460-754NL 1/2"" PEX Male Adapter (Crimp(F1807) x MIP) - Brass"
MILL-70796,Mill Rose,3.53,0.05,0.12,2.4,"Mill Rose 70796 PTFE TAPE,RED WATER, 1/2""X260"""
SIOU-645XG4,Sioux Chief,3.65,0.08,0.12,1.5,"Sioux Chief 645XG4 1"" PEX F1807 Coupling Brass"
CPVC-100-FA-V,Charlotte Pipe,3.75,0.11,0.13,1.1,"Charlotte Pipe 1"" - CPVC Adapter (Female) - Slip x FIP CTS-02206B-1000"
DIAB-DSP2050,Diablo,3.96,0.11,0.13,1.2,"Diablo DSP2050 1/2"" x 6"" Spade Bit for Wood"
HLNK-EX16222,HeatLink,3.96,0.05,0.13,2.7,"HeatLink EX16222 3/4"" PEX Tee (Expansion(F1960)) - Composite"
HLNK-EX16252,HeatLink,3.88,0.05,0.13,2.6,"HeatLink EX16252 3/4"" x 1/2"" x 3/4"" PEX Reducing Tee (Expansion(F1960)) - Composite"
HLNK-EX16255,HeatLink,3.75,0.05,0.13,2.5,"HeatLink EX16255 3/4"" x 1/2"" x 1/2"" PEX Reducing Tee (Expansion(F1960)) - Composite"
LEGE-460-153NL,Legend Valve,3.71,0.06,0.13,2.1,"Legend Valve 460-153NL 1/2"" PEX Tee (Crimp(F1807)) - Brass"
MPEX-4611010,MrPEX Systems,4.0,0.05,0.13,2.7,"MrPEX Systems 4611010 1"" PEX Coupling (Expansion(F1960)) - Composite"
COPF-038.025-FTR-C,Mueller Streamline,3.92,0.05,0.13,2.6,"Mueller Streamline W 01312 3/8"" x 1/4"" Copper Sweat Fittings - Fitting Reducer Ftg x C"
COPF-050.038-FLB-C,Mueller Streamline,3.87,0.05,0.13,2.6,"Mueller Streamline W 01715 1/2"" x 3/8"" Copper Sweat Fittings - Flush Bushing Ftg x C"
GAPN-025-3,Mueller Streamline,3.88,0.1,0.13,1.3,"Mueller Streamline 561-030 1/4"" x 3"" - Galvanized Nipple"
SIOU-550-2121,Sioux Chief,3.72,0.06,0.13,2.1,"Sioux Chief 550-2121 1/2"" CTS to 2"" IPS Universal Strut Clamp"
SIOU-641PX442,Sioux Chief,3.94,0.05,0.13,2.7,"Sioux Chief 641PX442 1"" x 1"" x 1/2"" PEX F2159 Reducing Tee Composite"
SIOU-642PX4,Sioux Chief,3.74,0.05,0.13,2.5,"Sioux Chief 642PX4 1"" PEX F2159 90° Elbow Composite"
DIAB-DSP2070,Diablo,4.21,0.11,0.14,1.3,"Diablo DSP2070 5/8"" x 6"" Spade Bit for Wood"
DIAB-DSP2090,Diablo,4.3,0.11,0.14,1.3,"Diablo DSP2090 3/4"" x 6"" Spade Bit for Wood"
HLNK-EX19225,HeatLink,4.04,0.05,0.14,2.7,"HeatLink EX19225 3/4"" x 1/2"" PEX Reducing Coupling (Expansion(F1960)) - Composite"
HLNK-EX24250,HeatLink,4.11,0.05,0.14,2.8,"HeatLink EX24250 2"" PEX Expansion Ring - HeatLink"
LEGE-460-136NL,Legend Valve,4.16,0.06,0.14,2.3,"Legend Valve 460-136NL 1/2"" PEX 90° Elbow (Crimp(F1807)) - Brass"
MPEX-4602000,MrPEX Systems,4.06,0.05,0.14,2.7,"MrPEX Systems 4602000 2"" PEX Expansion Ring -"
MPEX-4611075,MrPEX Systems,4.29,0.05,0.14,2.9,"MrPEX Systems 4611075 1"" x 3/4"" PEX Reducing Coupling (Expansion(F1960)) - Composite"
MPEX-4695057,MrPEX Systems,4.04,0.05,0.14,2.7,"MrPEX Systems 4695057 1/2"" x 1/2"" x 3/4"" PEX Reducing Tee (Expansion(F1960)) - Composite"
HGRI-SLICK375,nVent Caddy,4.2,0.12,0.14,1.2,"nVent CADDY SLICK375 Slick Nut, Polyamide, Spring Steel, 3/8"" Hole, Threaded"
SIOU-646XG3,Sioux Chief,4.17,0.06,0.14,2.3,"Sioux Chief 646XG3 3/4"" PEX F1807 X 3/4"" MIP Brass"
DIAB-DSP2110,Diablo,4.53,0.11,0.15,1.4,"Diablo DSP2110 7/8"" x 6"" Spade Bit for Wood"
HARV-53125,Harvey,4.35,0.13,0.15,1.1,Harvey™ 53125 1/4 in. X 3 1/2 in. Brass Toilet Flange Bolt Set with Brass Bolts
HLNK-EX27105NL,HeatLink,4.49,0.05,0.15,3.0,"HeatLink EX27105NL 1/2"" PEX Sweat Adapter (Expansion(F1960) x FTG Sweat) - Brass"
HLNK-EX27205NL,HeatLink,4.59,0.05,0.15,3.1,"HeatLink EX27205NL 1/2"" PEX Sweat Adapter (Expansion(F1960) x Sweat) - Brass"
LEGE-460-004NL,Legend Valve,4.5,0.06,0.15,2.5,"Legend Valve 460-004NL 3/4"" PEX 90° Elbow (Crimp(F1807)) - Brass"
MPEX-4697555,MrPEX Systems,4.57,0.05,0.15,3.1,"MrPEX Systems 4697555 3/4"" x 1/2"" x 1/2"" PEX Reducing Tee (Expansion(F1960)) - Composite"
MPEX-4697557,MrPEX Systems,4.41,0.05,0.15,3.0,"MrPEX Systems 4697557 3/4"" x 1/2"" x 3/4"" PEX Reducing Tee (Expansion(F1960)) - Composite"
MPEX-4697575,MrPEX Systems,4.41,0.05,0.15,3.0,"MrPEX Systems 4697575 3/4"" x 3/4"" x 1/2"" PEX Reducing Tee (Expansion(F1960)) - Composite"
GAPN-018-3,Mueller Streamline,4.33,0.06,0.15,2.4,"Mueller Streamline 560-030 1/8"" x 3"" - Galvanized Nipple"
SIOU-641XG333,Sioux Chief,4.4,0.06,0.15,2.5,"Sioux Chief 641XG333 3/4"" PEX F1807 Tee No-Lead"
SIOU-696-C3,Sioux Chief,4.46,0.1,0.15,1.5,"Sioux Chief Brass 696-C3 3/4"" Hose Cap with Gasket"
DIAB-DSP2130,Diablo,4.63,0.11,0.16,1.4,"Diablo DSP2130 1"" x 6"" Spade Bit for Wood"
HOLD-706,HoldRite,4.84,0.14,0.16,1.2,HoldRite PEXRITE Pop Up
MILW-48-22-8900,Milwaukee Tools,4.86,0.05,0.16,3.3,Milwaukee Tools 48-22-8900 Cut Level 1 Nitrile Dipped Gloves - S
HGRI-SOSR100,nVent Caddy,4.83,0.05,0.16,3.3,"nVent Caddy SOSR100 SOSR Stand Off Two Hole Strap for CPVC Pipe, 1"" Pipe, 25 DN"
SIOU-644X43,Sioux Chief,4.8,0.06,0.16,2.7,"Sioux Chief 644X43 1"" Female Sweat x 3/4"" PEX F1807 Connector Barb Copper"
VEGA-46342,Viega,4.71,0.06,0.16,2.6,"Viega 46342 3/4"" x 1/2"" PEX Male Adapter (Crimp(F1807) x MIP) - PureFlow® Crimp (Brass)"
LEGE-460-505NL,Legend Valve,5.15,0.06,0.17,2.9,"Legend Valve 460-505NL 1"" PEX Coupling (Crimp(F1807)) - Brass"
PASC-1852-T,Pasco,5.04,0.15,0.17,1.1,"Pasco 1852-T 1-1/2"" C/S Clean Out Plug Tapped - Brass"
SAMM-8013925,Sammy Screws,4.98,0.07,0.17,2.4,"Sammy Screws 8013925 Sammys® 1/2"" Vertical Threaded Rod Anchor - GST 2 with a 2"" Long Anch"
LEGE-460-705NL,Legend Valve,5.42,0.06,0.18,3.0,"Legend Valve 460-705NL 1/2"" PEX Female Adapter (Crimp(F1807) x FIP) - Brass"
MPEX-4697577,MrPEX Systems,5.21,0.05,0.18,3.5,"MrPEX Systems 4697577 3/4"" PEX Tee (Expansion(F1960)) - Composite"
COPF-018-90EL-C,Mueller Streamline,5.29,0.05,0.18,3.6,"Mueller Streamline W 02003 1/8"" Copper Sweat Fittings - 90 Degree Elbow C x C"
ADGL-NITEXP-12L,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves General Work Touch Screen Ready Gloves Seahawks Green - Large
ADGL-NITEXP-12M,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves General Work Touch Screen Ready Gloves Seahawks Green - Medium
ADGL-NITEXP-12S,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves General Work Touch Screen Ready Gloves Seahawks Green - Small
ADGL-NITEXP-12XL,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves General Work Touch Screen Ready Gloves Seahawks Green - Extra Large
ADGL-NITEXP-12XXL,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves General Work Touch Screen Ready Gloves Seahawks Green - XXL
ADGL-NITEXP-200BK-L,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves Nitrile Work Glove Black Coat - Large
ADGL-NITEXP-200BR-L,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves NITEX P200BR L Nitrile Work Glove Brown Coat - Large
ADGL-NITEXP-200BR-M,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves NITEX P-200BR M Nitrile Work Glove Brown Coat - Medium
ADGL-NITEXP-200BR-XL,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves NITEX P-200BR-xl Nitrile Work Glove Brown Coat - XL
ADGL-NITEXP-200BR-XXL,Advanced Gloves,5.66,0.05,0.19,3.8,Advanced Gloves NITEX P-200BFR-XXL Nitrile Work Glove Brown Coat - XXL
DIAB-DDEPHV25-S3,Diablo,5.67,0.09,0.19,2.1,"Diablo DDEPHV25-S3 2-3/8"" Double-Ended Phillips Drive Bit Set (3-Piece)"
HLNK-24241,HeatLink,5.66,0.06,0.19,3.2,"HeatLink 24241 1-1/2"" PEX Press Sleeve V-Sleeve - HeatLink"
HLNK-EX19282,HeatLink,5.55,0.05,0.19,3.7,"HeatLink EX19282 1"" x 3/4"" PEX Reducing Coupling (Expansion(F1960)) - Brass"
LEGE-460-154NL,Legend Valve,5.78,0.06,0.19,3.2,"Legend Valve 460-154NL 3/4"" PEX Tee (Crimp(F1807)) - Brass"
PASC-2883,Pasco,5.5,0.1,0.19,1.9,"Pasco 2883 1"" IPS F&C Plate Pasco"
INSL-58CT,Armacell,5.94,0.05,0.2,4.0,"Armacell 6IL048058 5/8"" x 1/2"" wall, Elastomeric Pipe Insulation with a flexible lap seal "
FLAR-050.038-UNI,BrassCraft,5.79,0.13,0.2,1.5,"BrassCraft 42-8-6 1/2"" x 3/8"" Black Iron Union"
LEGE-460-212NL,Legend Valve,6.04,0.06,0.2,3.4,"Legend Valve 460-212NL 3/4"" x 3/4"" x 1/2"" PEX Reducing Tee (Crimp(F1807)) - Brass"
COPF-100-CPL/RS-C,Mueller Streamline,5.94,0.1,0.2,2.0,"Mueller Streamline W 01047 1"" Copper Sweat Fittings - Coupling - Rolled Stop C x C"
PRIE-C-134KT-803,"PRIER Products, Inc.",5.87,0.15,0.2,1.3,PRIER Products C-134KT-803 Stem Packing Replacement Kit for C-134/144 and P-164
VEGA-49905,Viega,5.93,0.17,0.2,1.2,"Viega 49905 1-1/4"" PEX PureFlow Press Press Sleeve - Viega"
VEGA-90541,Viega,5.9,0.17,0.2,1.2,"Viega 90541 3/4"" PEX Male Adapter (Crimp(F1807) x MIP) - PureFlow® Press (Brass)"
VEGA-97540,Viega,5.82,0.17,0.2,1.2,"Viega 97540 3/4"" PEX Sweat Adapter (Proflow Press x FTG Sweat) - PureFlow® Press (Brass)"
HERC-40601,Hercules,6.27,0.18,0.21,1.2,Hercules® 40601 2 oz. 300 Degree Plumbers Grease
MPEX-4661010,MrPEX Systems,6.09,0.05,0.21,4.1,"MrPEX Systems 4661010 1"" PEX 90° Elbow (Expansion(F1960)) - Composite"
HGRI-L110000EG,nVent Caddy,6.17,0.12,0.21,1.7,"nVent Caddy L110000EG 1-1 Hole Angle Bracket, Steel, EG, 2"" x 1.875"" (50.8 mm x 47.6 mm)"
VEGA-49607,Viega,6.21,0.17,0.21,1.2,"Viega 49607 2"" PEX PureFlow Press Sleeve - Viega"
VEGA-91520,Viega,6.29,0.17,0.21,1.2,"Viega 91520 1/2"" PEX Female Adapter (Press x FIP) - PureFlow® Press (Brass)"
VEGA-93520,Viega,6.17,0.17,0.21,1.2,"Viega 1/2"" PEX 90° Elbow (Press) - PureFlow® Press (Brass) 93520"
INSL-78CT,Armacell,6.66,0.05,0.22,4.5,"Armacell 6IL048078 7/8"" x 1/2"" wall, Elastomeric Pipe Insulation with a flexible lap seal "
CMPF-050-NUT-CP,BrassCraft,6.58,0.09,0.22,2.5,"BrassCraft 61-8 C 1/2"" O.D. Compression Nut, Chrome Plated"
HLNK-EX16822,HeatLink,6.42,0.05,0.22,4.3,"HeatLink EX16822 1"" x 3/4"" x 3/4"" PEX Reducing Tee (Expansion(F1960)) - Composite"
HLNK-EX18028,HeatLink,6.51,0.05,0.22,4.4,"HeatLink EX18028 1"" PEX 90° Elbow (Expansion(F1960)) - Composite"
HLNK-EX27505NL,HeatLink,6.42,0.05,0.22,4.3,"HeatLink EX27505NL 1/2"" PEX Male Adapter (Expansion(F1960) x MIP) - Brass"
LEGE-460-211NL,Legend Valve,6.4,0.06,0.22,3.6,"Legend Valve 460-211NL 3/4"" x 1/2"" x 3/4"" PEX Reducing Tee (Crimp(F1807)) - Brass"
COPF-075.038-FTR-C,Mueller Streamline,6.57,0.05,0.22,4.4,"Mueller Streamline W 01327 3/4"" x 3/8"" Copper Sweat Fittings - Fitting Reducer Ftg x C"
OATE-30140,Oatey,6.46,0.18,0.22,1.2,Oatey® 30140 1.7 oz. H-20® 95 Water Soluble Tinning Flux
PASC-1337-C,Pasco,6.46,0.09,0.22,2.4,"Pasco 1337-C 1-1/2"" x 1-1/4""Chrome Brass Slip Joint N"
SIOU-645WG2,Sioux Chief,6.42,0.05,0.22,4.3,"Sioux Chief 645WG2 1/2"" PEX F1960 Coupling Brass"
VEGA-93040,Viega,6.42,0.17,0.22,1.3,"Viega 93040 3/4"" PEX Coupling (Press) - PureFlow® Press (Brass)"
CMPF-025-90MA-NL,BrassCraft,6.86,0.07,0.23,3.3,"BrassCraft 69-4-4X 1/4"" Compression Elbow - 90° Compression x MIP"
DIAB-DPHV2-S3,Diablo,6.69,0.09,0.23,2.5,"Diablo DPHV2-S3 2"" Assorted Phillips Drive Bits (3-Piece)"
DIAB-DSP2140,Diablo,6.82,0.11,0.23,2.1,"Diablo DSP2140 1-1/8"" x 6"" Spade Bit for Wood"
HLNK-EX16885,HeatLink,6.71,0.05,0.23,4.5,"HeatLink EX16885 1"" x 1"" x 1/2"" PEX Reducing Tee (Expansion(F1960)) - Composite"
HERC-15605,Hercules,6.76,0.05,0.23,4.6,Hercules® 15605 2 oz. Real Tuff™ PTFE Thread Sealant
LEGE-302-433,Legend Valve,6.68,0.11,0.23,2.0,"Legend Valve 302-433 1/2"" - CPVC x MIP, Stainless Steel MNPT x CPVC Transition Fittings"
LEGE-302-443,Legend Valve,6.68,0.11,0.23,2.0,"Legend Valve 302-443 1/2"" - CPVC x FIP, Stainless Steel FNPT x CPVC Transition Fittings"
OATE-39012,Oatey,6.81,0.1,0.23,2.3,Oatey® 39012 1-1/2 in. NPT Black ABS In-Line Air Admittance Vent
PASC-2893,Pasco,6.68,0.05,0.23,4.5,"Pasco 2893 1"" CWT Floor & Ceiling Plate"
SIOU-646XG43,Sioux Chief,6.96,0.06,0.23,3.9,"Sioux Chief 646XG43 3/4"" PEX F1807 X 1"" MIP Brass"
VEGA-90542,Viega,6.76,0.17,0.23,1.3,"Viega 90542 3/4"" x 1/2"" PEX Male Adapter (Crimp(F1807) x MIP) - PureFlow® Press (Brass)"
VEGA-97525,Viega,6.96,0.17,0.23,1.4,"Viega 97525 1/2"" x 3/4"" PEX Sweat Adapter (Proflow Press x FTG Sweat) - PureFlow® Press (B"
HLNK-EX16888,HeatLink,7.26,0.05,0.24,4.9,"HeatLink EX16888 1"" PEX Tee (Expansion(F1960)) - Composite"
GAPN-025-6,Mueller Streamline,7.1,0.21,0.24,1.1,"Mueller Streamline 561-060 1/4"" x 6"" - Galvanized Nipple"
PASC-1450-W,Pasco,7.04,0.18,0.24,1.3,"Pasco 1450-W 3/4"" Solder Well for 1450"
PRIE-C-144KT-806,"PRIER Products, Inc.",7.05,0.15,0.24,1.6,PRIER Products C-144KT-806 Vacuum Breaker Assembly For C-144/P-164
VEGA-93000,Viega,7.21,0.17,0.24,1.4,"Viega 93000 3/8"" PEX Coupling (Press) - PureFlow® Press (Brass)"
VEGA-97535,Viega,7.14,0.17,0.24,1.4,"Viega 97535 3/4"" x 1/2"" PEX Sweat Adapter (Proflow Press x FTG Sweat) - PureFlow® Press (B"
CMPF-038.025-FA-NL,BrassCraft,7.44,0.06,0.25,4.2,"BrassCraft 66-6-4X 3/8"" x 1/4"" Compression Female Adapter"
DIAB-DSP2170,Diablo,7.56,0.11,0.25,2.3,"Diablo DSP2170 1-1/2"" x 6"" Spade Bit for Wood"
HLNK-EX16882,HeatLink,7.3,0.05,0.25,4.9,"HeatLink EX16882 1"" x 1"" x 3/4"" PEX Reducing Tee (Expansion(F1960)) - Composite"
LEGE-460-126NL,Legend Valve,7.44,0.06,0.25,4.2,"Legend Valve 460-126NL 1/2"" PEX 90° Elbow (Crimp(F1807)) - Brass"
VEGA-93005,Viega,7.41,0.05,0.25,5.0,"Viega 93005 1/2"" x 3/8"" PEX Reducing Coupling (Press) - PureFlow® Press (Brass)"
VEGA-97820,Viega,7.51,0.17,0.25,1.5,"Viega 97820 1/2"" PEX Poly Adapter (Crimp x Poly) - PureFlow® Press (Brass)"
VEGA-99620,Viega,7.35,0.17,0.25,1.5,"Viega 99620 1/2"" PEX PureFlow Press Press Adapter (Press x ProPress) - PureFlow® Press (Br"
INSL-118CT,Armacell,7.62,0.05,0.26,5.1,"Armacell 6IL048118 1-1/8"" x 1/2"" wall, Elastomeric Pipe Insulation with a flexible lap sea"
CMPF-058.050-FA-NL,BrassCraft,7.85,0.14,0.26,1.9,"BrassCraft 66-10-8X 5/8"" x 1/2"" Compression Female Adapter"
DIAB-DSP2150,Diablo,7.81,0.11,0.26,2.4,"Diablo DSP2150 1-1/4"" x 6"" Spade Bit for Wood"
DIAB-DSP2160,Diablo,7.68,0.11,0.26,2.4,"Diablo DSP2160 1-3/8"" x 6"" Spade Bit for Wood"
HLNK-EX16828,HeatLink,7.59,0.05,0.26,5.1,"HeatLink EX16828 1"" x 3/4"" x 1"" PEX Reducing Tee (Expansion(F1960)) - Composite"
HERC-90260,Hercules,7.83,0.2,0.26,1.3,Hercules® 90260 2 in. Johni-Rings® for Urinals
LEGE-460-706NL,Legend Valve,7.73,0.06,0.26,4.3,"Legend Valve 460-706NL 1/2"" x 3/4"" PEX Female Adapter (Crimp(F1807) x FIP) - Brass"
MILW-48-22-3152,Milwaukee Tools,7.73,0.1,0.26,2.6,Milwaukee Tools 48-22-3152 INKZALL™ 2IN1 Deep Reach Ultra Fine Point Black Jobsite Marker
MPEX-4691011,MrPEX Systems,7.77,0.05,0.26,5.2,"MrPEX Systems 4691011 1"" PEX Tee (Expansion(F1960)) - Composite"
MPEX-4691077,MrPEX Systems,7.77,0.05,0.26,5.2,"MrPEX Systems 4691077 1"" x 3/4"" x 3/4"" PEX Reducing Tee (Expansion(F1960)) - Composite"
