sku,pid,vid,status,preco,peso_lb,peso_dim_lb,peso_efetivo_lb,lam,fonte_dim,titulo
MUST-17FK,7715406020711,44350687182951,ACTIVE,143.97,28.83,0.0,28.83,0.20025,cube,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Floor"
GERB-29-847,7715422306407,44350711431271,ACTIVE,117.19,27,,27,0.2304,,Gerber G0029847 Logan Square Pedestal White
MUST-17WK,7715406053479,44350687215719,ACTIVE,143.97,26.67,0.0,26.67,0.18525,cube,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Wall"
GERB-29-842,7715422273639,44350711398503,ACTIVE,58.12,26,0.0,26,0.44735,cube,Gerber G0029842 Maxwell Pedestal White
MUST-360.100,7715406512231,44350687674471,ACTIVE,301.55,25,8.7,25,0.0829,cube_ft3,"E. L Mustee & Sons 360.100 12"" x 60"", White, Molded Fiberglass, Entry Ramp for S"
MILW-48-22-8428,7715547611239,44350928191591,ACTIVE,426.36,24,,24,0.05629,,Milwaukee Tools 48-22-8428 PACKOUT™ Rolling Tool Chest
SUNT-SUS-9,7716730306663,44353373962343,ACTIVE,209.92,22.5,,22.5,0.10718,,"Suntemp SUS-9 9' Baseboard Heater Complete - 700 Series - 3/4"" Element"
SUNT-SUS-8,7716730241127,44353373896807,ACTIVE,186.6,20.0,,20.0,0.10718,,"Suntemp SUS-8 8' Baseboard Heater Complete - 700 Series - 3/4"" Element"
TACO-0014-SF1,7716733714535,44353377665127,DRAFT,0.0,18.5,,18.5,,,"Taco Comfort Solutions 0014-SF1 0014 Series - Stainless Steel, Flanged, Rotated,"
SUNT-SUS-7,7716730175591,44353373831271,ACTIVE,163.27,17.5,,17.5,0.10718,,"Suntemp SUS-7 7' Baseboard Heater Complete - 700 Series - 3/4"" Element"
MILW-49-22-4175,7715555999847,44350939562087,ACTIVE,238.44,15.5,,15.5,0.06501,,Milwaukee Tools 49-22-4175 15 Piece HOLE DOZER™ General-Purpose Hole Saw Kit
WOOD-X34-2,7716843978855,44353498021991,ACTIVE,173.41,14.4,,14.4,0.08304,,Woodford X34-2 Model X34 Yard Hydrant 2 Feet
BRAS-KTCR19B16AX-C,7715255550055,44350360256615,ACTIVE,24.69,0.52,14.0,14.04,0.56846,cube,"BrassCraft 1/2"" x 3/8"" x 7/8"" Sink Supply Kit - Comp x Comp, Chrome KTCR19B16AX "
BRAS-KTCR19B20AX-C,7715255582823,44350360289383,ACTIVE,25.01,0.54,14.0,14.04,0.56119,cube,"BrassCraft 1/2"" x 3/8"" x 7/8"" Sink Supply Kit - Comp x Comp, Chrome KTCR19B20AX "
MUST-12K,7715405955175,44350687117415,ACTIVE,92.14,14,0.0,14,0.15194,cube,"E. L Mustee & Sons E.L. Mustee & Sons - (Drop-In Sink) White, Single Bowl SinksP"
BRAS-CSSC21-36,7715253223527,44350356455527,ACTIVE,28.76,0.32,13.7,13.69,0.47617,cube,"BrassCraft CSSC21-36 3/4"" x 3/4"" Gas Supply - 36"", FIP x MIP"
SUNT-SUS-5,7716730011751,44353373667431,ACTIVE,116.62,12.5,,12.5,0.10719,,"Suntemp SUS-5 5' Baseboard Heater Complete - 700 Series - 3/4"" Element"
DAYT-DW1023322-4,7715347136615,44350519836775,ACTIVE,243.01,12.4,,12.4,0.05103,,"Dayton DW10233224 Stainless Steel 33"" x 22"" x 6-9/16"" 4-Hole Equal Double Bowl D"
WOOD-X34-1,7716843946087,44353497989223,ACTIVE,159.34,12.2,,12.2,0.07657,,Woodford X34-1 Model X34 Yard Hydrant 1 Foot
MILW-48-22-8315,7715546628199,44350927110247,ACTIVE,194.79,11,12.1,12.11,0.06216,cube_ft3,"Milwaukee Tools 48-22-8315 15"" PACKOUT™ Tote"
BRPN-025-2.5,7715496132711,44350843584615,ACTIVE,3.36,0.08,11.9,11.9,3.54117,cube_ft3,"Legend Valve 311-023 1/4"" x 2-1/2"" Red Brass Pipe Nipple"
SIOU-963-HTL-FE32,7715790749799,44351412404327,ACTIVE,21.33,0.33,11.6,11.6,0.54395,cube_ft3,Sioux Chief 963-HTL-FE32 FlowEasy Liquid Drain Cleaner 1 Quart Bottle
BRPN-050-CLS,7715497312359,44350844665959,ACTIVE,3.27,0.06,11.6,11.59,3.54397,cube_ft3,"Legend Valve 311-060 1/2"" x Close Red Brass Pipe Nipple"
BRPN-018-3.5,7715495903335,44350843355239,ACTIVE,3.25,0.06,11.5,11.49,3.53633,cube_ft3,"Legend Valve 311-005 1/8"" x 3-1/2"" Red Brass Pipe Nipple"
MILW-2357-20,7715534274663,44350913216615,ACTIVE,284.3,11.42,,11.42,0.04017,,Milwaukee Tools 2357-20 M18™ Flood Light/Charger w/ PACKOUT™ Compatibility
SIOU-822-2PNR,7715784786023,44351400509543,ACTIVE,80.73,1.98,11.4,11.36,0.14067,cube_ft3,"Sioux Chief 822-2PNR 2"" Round Grate Floor Drain 5-7/8"" Nickel Bronze PVC"
SIOU-822-3PNR,7715784818791,44351400542311,ACTIVE,80.73,1.98,11.4,11.36,0.14067,cube_ft3,"Sioux Chief 822-3PNR 3"" Round Grate Floor Drain 5-7/8"" Nickel Bronze PVC"
SIOU-842-4LNR,7715786522727,44351402704999,ACTIVE,84.31,2.06,11.4,11.36,0.13471,cube_ft3,"Sioux Chief 842-4LNR 4"" Top Only with Round Grate 5-1/2"" Nickel Bronze Finish"
SIOU-852-4LNR,7715786948711,44351403196519,ACTIVE,115.73,2.49,11.4,11.36,0.09814,cube_ft3,"Sioux Chief 852-4LNR Adjustable Floor Cleanout 4"" MIP ABS 6"" Nickel Bronze Round"
SSTN-050-2,7715515334759,44350881103975,ACTIVE,6.52,0.05,11.1,11.1,1.70287,cube_ft3,"Legend Valve 304-062 1/2"" x 2"" - 304 Stainless Steel Pipe Nipple, Schedule 40 - "
WILK-AG-4,7716847911015,44353502019687,DRAFT,0.0,11.1,,11.1,,,"Zurn Wilkins AG-4 3/4"" - 1"" Fitting compatible with Model 975LX/975XL2"
SSTN-075-1.5,7715515695207,44350881464423,ACTIVE,6.48,0.1,11.0,11.03,1.70245,cube_ft3,"Legend Valve 304-081 3/4"" X 1-1/2"" - 304 Stainless Steel Pipe Nipple, Schedule 4"
BRPN-025-2,7715496099943,44350843551847,ACTIVE,3.1,0.06,11.0,10.98,3.54182,cube_ft3,"Legend Valve 311-022 1/4"" x 2"" Red Brass Pipe Nipple"
GERB-D481136,7715425222759,44350715363431,ACTIVE,22.68,0.5,10.9,10.94,0.48236,cube_ft3,"Gerber D481136 6"" Showerarm w/ Escutcheon Chrome"
GERB-D481136BB,7715425288295,44350716870759,ACTIVE,30.78,0.5,10.9,10.94,0.35542,cube_ft3,"Gerber D481136BB 6"" Showerarm w/ Escutcheon Brushed Bronze"
GERB-D481136BN,7715425321063,44350716903527,ACTIVE,30.78,0.5,10.9,10.94,0.35542,cube_ft3,"Gerber D481136BN 6"" Showerarm w/ Escutcheon Brushed Nickel"
COPF-075-90EL-C,7715629695079,44351072338023,ACTIVE,4.43,0.1,10.7,10.74,2.42515,cube_ft3,"Mueller Streamline W 01634 3/4"" Copper Sweat Fittings - 90 Degree Elbow C x C"
SIOU-550-2121,7715774234727,44351378554983,ACTIVE,3.72,0.06,10.7,10.7,2.87699,cube_ft3,"Sioux Chief 550-2121 1/2"" CTS to 2"" IPS Universal Strut Clamp"
BRPN-018-3,7715495870567,44350843322471,ACTIVE,3.01,0.06,10.6,10.64,3.53455,cube_ft3,"Legend Valve 311-004 1/8"" x 3"" Red Brass Pipe Nipple"
COPF-050-ST45-C,7715628548199,44351071027303,ACTIVE,4.29,0.03,10.5,10.51,2.44895,cube_ft3,"Mueller Streamline W 03326 1/2"" Copper Sweat Fittings - 45 Degree Street Elbow F"
ABSF-200-PLG-A,7715289071719,44350401904743,ACTIVE,2.11,0.06,10.4,10.38,4.9214,cube_ft3,"Charlotte Pipe ABS-00106-0800 2"" ABS DWV Cleanout Plug - MPT"
SSTN-075-CLS,7715516186727,44350882119783,ACTIVE,6.09,0.1,10.4,10.36,1.70103,cube_ft3,"Legend Valve 304-080 3/4"" X CLOSE - 304 Stainless Steel Pipe Nipple, Schedule 40"
BRPN-038-1.5,7715496394855,44350843846759,ACTIVE,2.91,0.06,10.3,10.28,3.53298,cube_ft3,"Legend Valve 311-041 3/8"" x 1-1/2"" Red Brass Pipe Nipple"
SIOU-842-2LNQ,7715786391655,44351402573927,ACTIVE,66.38,1.7,10.3,10.26,0.15458,cube_ft3,"Sioux Chief 842-2LNQ 2"" Top Only with Square Grate 4-1/2"" Nickel Bronze Finish"
SIOU-638X218E,7715777675367,44351386222695,ACTIVE,12.78,0.26,10.1,10.09,0.78919,cube_ft3,"Sioux Chief 638X218E 1/2"" x 18"" PEX F1807 Stub Out Bullet with Nail Flange"
COPF-050-MA-C,7715628417127,44351070863463,ACTIVE,4.12,0.06,10.0,10.03,2.43443,cube_ft3,"Mueller Streamline W 01131 1/2"" Copper Sweat Fittings - Male Adapter C x MPT"
SIOU-630WG2138,7715776856167,44351384617063,ACTIVE,19.0,0.26,10.0,10.02,0.52723,cube_ft3,"Sioux Chief 630WG2138 1/2"" x 13"" x 8"" PEX F1960 Stub Out Elbow"
SIOU-630WG4612,7715777052775,44351385305191,ACTIVE,46.74,0.26,10.0,10.02,0.21432,cube_ft3,"Sioux Chief 630WG4612 1"" x 6"" x 12"" PEX F1960 Stub Out Elbow"
SIOU-630WG4612E,7715777085543,44351385337959,ACTIVE,48.36,0.26,10.0,10.02,0.20714,cube_ft3,"Sioux Chief 630WG4612E 1"" x 6"" x 12"" PEX F1960 Stub Out Elbow with Nail Flange"
SIOU-630WGD288E,7715777118311,44351385370727,ACTIVE,30.45,0.65,10.0,10.02,0.32898,cube_ft3,"Sioux Chief 630WGD288E 1/2"" x 8"" x 8"" PEX F1960 Stub Out Elbow with Nail Flange"
SIOU-630XD288,7715777413223,44351385731175,ACTIVE,26.51,0.55,10.0,10.02,0.37787,cube_ft3,"Sioux Chief 630XD288 1/2"" x 8"" x 12"" PEX F1870 Double Stub Out Elbow"
SIOU-632X222,7715777478759,44351385796711,ACTIVE,2.67,0.05,10.0,10.02,3.75278,cube_ft3,"Sioux Chief 632X222 1/2"" PEX F1807 90° Elbow Copper"
SIOU-695-01,7715781148775,44351391694951,ACTIVE,81.82,1.26,10.0,10.02,0.12243,cube_ft3,Sioux Chief 695-01 Prime Perfect Trap Primer 0 to 8 Traps
SIOU-695-D432F,7715781214311,44351391826023,ACTIVE,53.18,0.84,10.0,10.02,0.18837,cube_ft3,"Sioux Chief 695-D432F Trap Primer Distributor with four 1/2"" FIP connections"
SIOU-851-36T,7715786817639,44351403065447,ACTIVE,230.53,0.38,10.0,10.02,0.04345,cube_ft3,"Sioux Chief 851-36T 6"" ABS Cleanout with Top"
SUNT-SUS-4,7716729946215,44353373601895,ACTIVE,93.3,10.0,,10.0,0.10718,,"Suntemp SUS-4 4' Baseboard Heater Complete - 700 Series - 3/4"" Element"
COPF-075-CPL/LS-C,7715629924455,44351075024999,ACTIVE,3.94,0.06,10.0,9.97,2.5305,cube_ft3,"Mueller Streamline W 01905 3/4"" Copper Sweat Fittings - Repair Coupling - No Sto"
CTRO-ISVL062,7715284123751,44350395383911,ACTIVE,144.36,3.2,10.0,9.95,0.06894,cube_ft3,"Centrotherm 6"" x 24"" - PolyPro Single Wall Vent Pipe"
BRPN-018-2.5,7715495837799,44350843289703,ACTIVE,2.79,0.05,9.8,9.85,3.52899,cube_ft3,"Legend Valve 311-003 1/8"" x 2-1/2"" Red Brass Pipe Nipple"
MILW-48-22-2881,7715543810151,44350922948711,ACTIVE,33.67,9.84,2.5,9.84,0.29225,cube_ft3,Milwaukee Tools 48-22-2881 13in1 Cushion Grip Screwdriver with Schrader Bit
ABSF-150-MA-A,7715286581351,44350398627943,ACTIVE,2.0,0.06,9.8,9.78,4.88751,cube_ft3,"Charlotte Pipe ABS-00109-0800 1-1/2"" ABS DWV Male Adapter - H x MPT"
BRPN-025-1.5,7715496067175,44350843519079,ACTIVE,2.75,0.04,9.7,9.7,3.52833,cube_ft3,"Legend Valve 311-021 1/4"" x 1-1/2"" Red Brass Pipe Nipple"
BRAS-CSSC21-24,7715253190759,44350356422759,ACTIVE,24.21,0.32,9.6,9.57,0.39543,cube,"BrassCraft CSSC21-24 3/4"" x 3/4"" Gas Supply - 24"", FIP x MIP"
COPF-050.025-FTR-C,7715629072487,44351071617127,ACTIVE,3.68,0.02,9.5,9.49,2.57991,cube_ft3,"Mueller Streamline W 01317 1/2"" x 1/4"" Copper Sweat Fittings - Fitting Reducer F"
COPF-050.025-CPL-C,7715628908647,44351071420519,ACTIVE,3.57,0.03,9.3,9.26,2.59254,cube_ft3,"Mueller Streamline W 01025 1/2"" x 1/4"" Copper Sweat Fittings - Coupling C x C"
BURN-107039-02,7716784963687,44353434910823,ACTIVE,262.05,9.0,,9.0,0.03434,,"US Boiler (Burnham) 107039-02 3"" PVC Vent Set with CPVC Starter, PVC Termination"
COPF-050-45EL-C,7715627499623,44351069716583,ACTIVE,3.62,0.03,8.8,8.78,2.4252,cube_ft3,"Mueller Streamline W 03026 1/2"" Copper Sweat Fittings - 45 Degree Elbow C x C"
BRAS-CSSB21-36,7715253157991,44350356389991,ACTIVE,53.88,0.32,8.7,8.75,0.16235,cube,"BrassCraft CSSB21-36 3/4"" x 3/4"" Gas Supply - 36"", FIP x MIP"
BRAS-CSSD54-36,7715253387367,44350356619367,ACTIVE,23.87,0.32,8.7,8.75,0.36645,cube,"BrassCraft CSSD54-36 1/2"" x 1/2"" Gas Supply - 36"", FIP x MIP"
BRPN-018-2,7715495805031,44350843256935,ACTIVE,2.46,0.04,8.7,8.7,3.53645,cube_ft3,"Legend Valve 311-002 1/8"" x 2"" Red Brass Pipe Nipple"
BRPN-038-CLS,7715496755303,44350844207207,ACTIVE,2.46,0.04,8.7,8.69,3.5319,cube_ft3,"Legend Valve 311-040 3/8"" x Close Red Brass Pipe Nipple"
COPF-050.038-FTR-C,7715629367399,44351071977575,ACTIVE,3.33,0.02,8.5,8.54,2.5651,cube_ft3,"Mueller Streamline W 01315 1/2"" x 3/8"" Copper Sweat Fittings - Fitting Reducer F"
BRPN-025-CLS,7715496362087,44350843813991,ACTIVE,2.37,0.02,8.4,8.38,3.53751,cube_ft3,"Legend Valve 311-020 1/4"" x Close Red Brass Pipe Nipple"
COPF-DWV-150-TCAP-C,7715642179687,44351107858535,ACTIVE,3.25,0.01,8.3,8.33,2.56398,cube_ft3,"Mueller Streamline W 07638 1-1/2"" Copper Fittings - DWV - Test Cap C"
COPF-050-TEE-C,7715628613735,44351071092839,ACTIVE,3.38,0.06,8.2,8.18,2.42123,cube_ft3,"Mueller Streamline W 04006 1/2"" Copper Sweat Fittings - Tee C x C x C"
BRPN-018-1.5,7715495772263,44350843224167,ACTIVE,2.28,0.02,8.1,8.09,3.54902,cube_ft3,"Legend Valve 311-001 1/8"" x 1-1/2"" Red Brass Pipe Nipple"
SIOU-630X468,7715777380455,44351385698407,ACTIVE,27.66,0.64,8.0,8.0,0.28922,cube_ft3,"Sioux Chief 630X468 1"" x 6"" x 8"" PEX F1870 Stub Out Elbow"
ABSF-150-PLG-A,7715286646887,44350398693479,ACTIVE,1.94,0.05,7.9,7.89,4.06848,cube_ft3,"Charlotte Pipe ABS-00106-0600 1-1/2"" ABS DWV Cleanout Plug - MPT"
SIOU-888-GAM,7715790127207,44351410765927,ACTIVE,31.44,0.7,7.9,7.88,0.25069,cube_ft3,"Sioux Chief 888-GAM 3"" Inside Fit ABS Push-Tite Closet Flange with Plastic Ring "
SIOU-888-GPM,7715790192743,44351410929767,ACTIVE,31.44,0.91,7.9,7.88,0.25069,cube_ft3,"Sioux Chief 888-GPM 3"" Inside Fit PVC Push-Tite Closet Flange with Plastic Ring "
SIOU-240-456212C16,7715772039271,44351374753895,ACTIVE,31.45,0.16,7.8,7.84,0.24923,cube_ft3,"Sioux Chief 240-456212C16 1-1/2"" x 12"" Slip Joint Ext T/P Chrome 20Ga"
COPF-038.025-CPL-C,7715627335783,44351069519975,ACTIVE,2.85,0.02,7.8,7.77,2.72537,cube_ft3,"Mueller Streamline W 01019 3/8"" x 1/4"" Copper Sweat Fittings - Coupling C x C"
COPF-200-2HSTR-C,7715636969575,44351096324199,ACTIVE,3.07,0.06,7.8,7.77,2.53006,cube_ft3,"Mueller Streamline A 02708 2"" Copper Sweat Fittings - Two Hole Strap"
SSTN-050-CLS,7715515662439,44350881431655,ACTIVE,4.51,0.05,7.7,7.68,1.7035,cube_ft3,"Legend Valve 304-060 1/2"" x Close - 304 Stainless Steel Pipe Nipple, Schedule 40"
SIOU-869-2A,7715787964519,44351404671079,ACTIVE,33.26,0.63,7.6,7.6,0.22841,cube_ft3,"Sioux Chief 869-2A 2"" ABS Backwater Valve"
SIOU-869-2P,7715787997287,44351404703847,ACTIVE,33.26,0.7,7.6,7.6,0.22841,cube_ft3,"Sioux Chief 869-2P 2"" PVC Backwater Valve"
COPF-050.038-CPL-C,7715629203559,44351071780967,ACTIVE,2.96,0.02,7.6,7.59,2.56403,cube_ft3,"Mueller Streamline W 01023 1/2"" x 3/8"" Copper Sweat Fittings - Coupling C x C"
SIOU-963-HTL-FE20,7715790717031,44351412371559,ACTIVE,14.7,0.1,7.3,7.33,0.49896,cube_ft3,Sioux Chief 963-HTL-FE20 FlowEasy Liquid Drain Cleaner 20oz Bottle
COPF-050-ST90-C,7715628580967,44351071060071,ACTIVE,2.91,0.05,7.3,7.32,2.51581,cube_ft3,"Mueller Streamline W 01652 1/2"" Copper Sweat Fittings - 90 Degree Street Elbow F"
COPF-075-CPL/DS-C,7715629891687,44351074992231,ACTIVE,3.0,0.06,7.3,7.29,2.43039,cube_ft3,"Mueller Streamline W 10146 3/4"" Copper Sweat Fittings - Coupling - Dimple Stop C"
COPF-075-CPL/RS-C,7715629957223,44351075057767,ACTIVE,2.98,0.06,7.3,7.29,2.4467,cube_ft3,"Mueller Streamline W 01034 3/4"" Copper Sweat Fittings - Coupling - Rolled Stop C"
RECT-97003,7715724525671,44351290409063,ACTIVE,206.16,6,7.3,7.28,0.03531,cube_ft3,"RectorSeal Clean Check 97003 Extendable Backwater Valve, Installs Descretely, Pl"
SIOU-821-200ANR,7715783704679,44351397691495,ACTIVE,54.41,1.55,7.2,7.25,0.13316,cube_ft3,"Sioux Chief 821-200ANR ABS 2"" Shower Drain Nickel Bronze Round Grate 4-7/16"""
SIOU-821-200ASQ,7715783737447,44351397724263,ACTIVE,68.23,1.96,7.2,7.25,0.10619,cube_ft3,"Sioux Chief 821-200ASQ ABS 2"" Shower Drain Matte Stainless Steel Square Grate 4-"
SIOU-821-200PSQ,7715783901287,44351397888103,ACTIVE,68.23,1.96,7.2,7.25,0.10619,cube_ft3,"Sioux Chief 821-200PSQ PVC 2"" Shower Drain Matte Stainless Steel Square Grate 4-"
SIOU-875-4P,7715788292199,44351405457511,ACTIVE,8.64,0.24,7.2,7.25,0.83856,cube_ft3,"Sioux Chief 875-4P 4"" Clean-Out Adapter with plug"
BRPN-018-CLS,7715496034407,44350843486311,ACTIVE,2.03,0.01,7.2,7.17,3.53353,cube_ft3,"Legend Valve 311-000 1/8"" x Close Red Brass Pipe Nipple"
SIOU-630WG348,7715776987239,44351384780903,ACTIVE,26.74,0.26,7.0,6.98,0.26109,cube_ft3,"Sioux Chief 630WG348 3/4"" x 5"" x 8"" F1960 Stub Out Elbow"
SIOU-630X348,7715777314919,44351385600103,ACTIVE,19.82,0.43,7.0,6.98,0.35225,cube_ft3,"Sioux Chief 630X348 3/4"" x 4"" x 8"" F1870 Stub Out Elbow"
SIOU-633-G3TM11,7715777577063,44351386124391,ACTIVE,35.25,0.73,7.0,6.98,0.19806,cube_ft3,"Sioux Chief 633-G3TM11 11"" Water Heater Connector for Expansion Tank"
SIOU-643X3,7715778429031,44351387959399,ACTIVE,1.84,0.05,7.0,6.98,3.79368,cube_ft3,"Sioux Chief 643X3 3/4"" PEX Sweat Adapter (Crimp(F1807) x Sweat) Copper"
SIOU-643X4,7715778461799,44351387992167,ACTIVE,4.16,0.11,7.0,6.98,1.67857,cube_ft3,"Sioux Chief 643X4 1"" PEX F1807 Female Sweat Adapter Copper"
SIOU-644X4,7715778658407,44351388188775,ACTIVE,4.83,0.11,7.0,6.98,1.44547,cube_ft3,"Sioux Chief 644X4 1"" PEX F1807 Male Sweat Adapter Copper"
SIOU-821-2AQRB,7715783999591,44351398936679,ACTIVE,82.88,0.88,7.0,6.98,0.08424,cube_ft3,"Sioux Chief 821-2AQRB ABS 2"" Shower Drain, Oil Rubbed Bronze Square Grate"
SIOU-852-3LNR,7715786883175,44351403130983,ACTIVE,81.63,2.38,7.0,6.98,0.08553,cube_ft3,"Sioux Chief 852-3LNR Adjustable Floor Cleanout 3"" MIP ABS 5"" Nickel Bronze Round"
SIOU-863-335SQ,7715787243623,44351403950183,ACTIVE,113.93,1.98,7.0,6.98,0.06128,cube_ft3,"Sioux Chief 863-335SQ 3"" Solvent Weld Square Above-Grade Floor Drain 5-7/8"" Top "
COPF-038-CAP-C,7715627008103,44351069159527,ACTIVE,2.59,0.05,7.0,6.96,2.68889,cube_ft3,"Mueller Streamline W 07006 3/8"" Copper Sweat Fittings - Cap C"
COPF-150-2HSTR-C,7715635298407,44351091834983,ACTIVE,2.78,0.05,6.9,6.93,2.49438,cube_ft3,"Mueller Streamline A 02675 1-1/2"" Copper Sweat Fittings - Two Hole Strap"
COPF-075-CAP-C,7715629858919,44351074959463,ACTIVE,2.67,0.04,6.5,6.52,2.44117,cube_ft3,"Mueller Streamline W 07009 3/4"" Copper Sweat Fittings - Cap C"
SAMM-8007957,7715764797543,44351362007143,ACTIVE,2.56,0.05,6.1,6.1,2.38192,cube_ft3,"Sammy Screws 8007957 Sammys® 3/8"" Vertical Threaded Rod Anchor - GST 10 with a 1"
SAMM-8008957,7715764863079,44351362072679,ACTIVE,2.56,0.06,6.1,6.1,2.38192,cube_ft3,"Sammy Screws 8008957 Sammys® 3/8"" Vertical Threaded Rod Anchor - GST 20 with a 2"
GERB-41-818-76,7715422634087,44350711791719,ACTIVE,130.03,6,,6,0.04614,,Gerber G004181876 Classics Trip Lever 20 Gauge Drain for Standard Tub with Retai
TACO-006-BC4,7716734238823,44353378189415,DRAFT,0.0,6.0,,6.0,,,"Taco Comfort Solutions 006-BC4 006 Series - Bronze, 1/2"" Sweat, 115V/60/1"
