Handle,Command,Title,Body HTML,Vendor,Type,Tags,Status,Published,SEO Description,Variant Command,Variant SKU,Variant Price,Variant Barcode,Variant Weight,Variant Weight Unit,Variant Inventory Tracker,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Variant Country of Origin
resideo-198799z-u-outdoor-or-supply-sensor-for-aq475-aq675-and-aq775,NEW,"Resideo 198799Z/U Outdoor or Supply Sensor for AQ475, AQ675 and AQ775","<p>Outdoor or supply temperature sensor for AQ475, AQ675 or AQ775 controls.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 198799Z/U</li><li><strong>Fits:</strong> AQ475, AQ675, AQ775</li><li><strong>UPC:</strong> 085267203760</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Aquastats &amp; Wells</li></ul>",Resideo,Aquastats & Wells,"Resideo, Aquastats & Wells, map-import-2609",Draft,FALSE,"Outdoor or supply temperature sensor for AQ475, AQ675 or AQ775 controls.",MERGE,HONE-198799Z/U,59.30,085267203760,0.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-203329b-u-replacement-front-terminal-board-for-f50f-electronic-air-cleaner,NEW,Resideo 203329B/U Replacement Front Terminal Board for F50F Electronic Air Cleaner,"<p>Replacement front terminal board for F50F electronic air cleaners in 16 x 25 and 20 x 25 sizes.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 203329B/U</li><li><strong>Fits:</strong> F50F</li><li><strong>Air Cleaner Size:</strong> 16 x 25, 20 x 25</li><li><strong>UPC:</strong> 085267019392</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Air Cleaners &amp; Filters</li></ul>",Resideo,Air Cleaners & Filters,"Resideo, Air Cleaners & Filters, map-import-2609",Draft,FALSE,Replacement front terminal board for F50F electronic air cleaners in 16 x 25 and 20 x 25 sizes.,MERGE,HONE-203329B/U,62.24,085267019392,0.4,lb,shopify,deny,TRUE,TRUE,MX
resideo-203365a-u-240v-conversion-kit-for-f50f-electronic-air-cleaner,NEW,Resideo 203365A/U 240V Conversion Kit for F50F Electronic Air Cleaner,"<p>240V conversion kit for electronic air cleaners, compatible with the F50F.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 203365A/U</li><li><strong>Voltage:</strong> 240V</li><li><strong>Fits:</strong> F50F</li><li><strong>UPC:</strong> 085267135092</li><li><strong>Country of Origin:</strong> CN</li><li><strong>Category:</strong> Air Cleaners &amp; Filters</li></ul>",Resideo,Air Cleaners & Filters,"Resideo, Air Cleaners & Filters, map-import-2609",Draft,FALSE,"240V conversion kit for electronic air cleaners, compatible with the F50F.",MERGE,HONE-203365A/U,81.31,085267135092,1.1,lb,shopify,deny,TRUE,TRUE,CN
resideo-203372-u-replacement-prefilter-for-f50a-f50e-electronic-air-cleaners-20-x-25-and-20-x-12-5,NEW,"Resideo 203372/U Replacement Prefilter for F50A, F50E Electronic Air Cleaners, 20 x 25 and 20 x 12.5","<p>Replacement prefilter for F50A and F50E electronic air cleaners in 20 x 25 and 20 x 12.5 sizes, priced individually. Sold in multiples of 2.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 203372/U</li><li><strong>Fits:</strong> F50A, F50E</li><li><strong>Air Cleaner Size:</strong> 20 x 25, 20 x 12.5</li><li><strong>UPC:</strong> 085267135115</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Air Cleaners &amp; Filters</li></ul>",Resideo,Air Cleaners & Filters,"Resideo, Air Cleaners & Filters, map-import-2609, revisar-cadastro",Draft,FALSE,"Replacement prefilter for F50A and F50E electronic air cleaners in 20 x 25 and 20 x 12.5 sizes, priced individually. Sold in multiples of 2.",MERGE,HONE-203372/U,51.39,085267135115,0.2,lb,shopify,deny,TRUE,TRUE,US
resideo-203373-u-replacement-prefilter-for-f50a-f50e-electronic-air-cleaners-20-x-20,NEW,"Resideo 203373/U Replacement Prefilter for F50A, F50E Electronic Air Cleaners, 20 x 20","<p>Replacement prefilter for F50A and F50E electronic air cleaners in 20 x 20 size, priced individually. Sold in multiples of 2.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 203373/U</li><li><strong>Fits:</strong> F50A, F50E</li><li><strong>Air Cleaner Size:</strong> 20 x 20</li><li><strong>UPC:</strong> 085267135122</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Air Cleaners &amp; Filters</li></ul>",Resideo,Air Cleaners & Filters,"Resideo, Air Cleaners & Filters, map-import-2609, revisar-cadastro",Draft,FALSE,"Replacement prefilter for F50A and F50E electronic air cleaners in 20 x 20 size, priced individually. Sold in multiples of 2.",MERGE,HONE-203373/U,51.39,085267135122,0.2,lb,shopify,deny,TRUE,TRUE,US
resideo-209989-u-replacement-prefilter-for-f50f-and-f300-electronic-air-cleaners-16-x-20,NEW,"Resideo 209989/U Replacement Prefilter for F50F and F300 Electronic Air Cleaners, 16 x 20","<p>Replacement prefilter for F50F and F300 electronic air cleaners in 16 x 20 size.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 209989/U</li><li><strong>Fits:</strong> F50F, F300</li><li><strong>Air Cleaner Size:</strong> 16 x 20</li><li><strong>UPC:</strong> 085267189576</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Air Cleaners &amp; Filters</li></ul>",Resideo,Air Cleaners & Filters,"Resideo, Air Cleaners & Filters, map-import-2609, revisar-cadastro",Draft,FALSE,Replacement prefilter for F50F and F300 electronic air cleaners in 16 x 20 size.,MERGE,HONE-209989/U,51.39,085267189576,0.2,lb,shopify,deny,TRUE,TRUE,MX
resideo-272704b-u-valve-bag-assembly-3-4-in-union-adapter,NEW,"Resideo 272704B/U Valve Bag Assembly, 3/4 in Union Adapter",<p>Bag assembly for valves containing a 3/4 in union adapter.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272704B/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Contents:</strong> Union adapter</li><li><strong>UPC:</strong> 085267835220</li><li><strong>Country of Origin:</strong> HU</li><li><strong>Category:</strong> Zone Valve Parts</li></ul>,Resideo,Zone Valve Parts,"Resideo, Zone Valve Parts, map-import-2609, revisar-cadastro",Draft,FALSE,Bag assembly for valves containing a 3/4 in union adapter.,MERGE,HONE-272704B/U,31.27,085267835220,0.3,lb,shopify,deny,TRUE,TRUE,HU
resideo-272708a-u-valve-adapter-1-2-in-inverted-flare-to-1-2-in-sweat,NEW,"Resideo 272708A/U Valve Adapter, 1/2 in Inverted Flare to 1/2 in Sweat",<p>Adapter for valves from 1/2 in inverted flare to 1/2 in sweat.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272708A/U</li><li><strong>Inlet:</strong> 1/2 in inverted flare</li><li><strong>Outlet:</strong> 1/2 in sweat</li><li><strong>UPC:</strong> 085267123006</li><li><strong>Country of Origin:</strong> TW</li><li><strong>Category:</strong> Zone Valve Parts</li></ul>,Resideo,Zone Valve Parts,"Resideo, Zone Valve Parts, map-import-2609",Draft,FALSE,Adapter for valves from 1/2 in inverted flare to 1/2 in sweat.,MERGE,HONE-272708A/U,24.11,085267123006,0.2,lb,shopify,deny,TRUE,TRUE,TW
resideo-272708b-u-valve-adapter-1-2-in-inverted-flare-to-3-4-in-sweat,NEW,"Resideo 272708B/U Valve Adapter, 1/2 in Inverted Flare to 3/4 in Sweat",<p>Adapter for valves from 1/2 in inverted flare to 3/4 in sweat.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272708B/U</li><li><strong>Inlet:</strong> 1/2 in inverted flare</li><li><strong>Outlet:</strong> 3/4 in sweat</li><li><strong>UPC:</strong> 085267123013</li><li><strong>Country of Origin:</strong> TW</li><li><strong>Category:</strong> Zone Valve Parts</li></ul>,Resideo,Zone Valve Parts,"Resideo, Zone Valve Parts, map-import-2609",Draft,FALSE,Adapter for valves from 1/2 in inverted flare to 3/4 in sweat.,MERGE,HONE-272708B/U,26.99,085267123013,0.3,lb,shopify,deny,TRUE,TRUE,TW
resideo-272708c-u-valve-adapter-1-2-in-inverted-flare-to-1-in-sweat,NEW,"Resideo 272708C/U Valve Adapter, 1/2 in Inverted Flare to 1 in Sweat",<p>Adapter for valves from 1/2 in inverted flare to 1 in sweat.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272708C/U</li><li><strong>Inlet:</strong> 1/2 in inverted flare</li><li><strong>Outlet:</strong> 1 in sweat</li><li><strong>UPC:</strong> 085267123020</li><li><strong>Country of Origin:</strong> CA</li><li><strong>Category:</strong> Zone Valve Parts</li></ul>,Resideo,Zone Valve Parts,"Resideo, Zone Valve Parts, map-import-2609",Draft,FALSE,Adapter for valves from 1/2 in inverted flare to 1 in sweat.,MERGE,HONE-272708C/U,29.13,085267123020,0.4,lb,shopify,deny,TRUE,TRUE,CA
resideo-272748ab-u-zone-valve-motor-24-v,NEW,"Resideo 272748AB/U Zone Valve Motor, 24 V",<p>24 V replacement motor for zone valves.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272748AB/U</li><li><strong>Voltage:</strong> 24 V</li><li><strong>UPC:</strong> 085267123150</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Zone Valve Parts</li></ul>,Resideo,Zone Valve Parts,"Resideo, Zone Valve Parts, map-import-2609, revisar-cadastro",Draft,FALSE,24 V replacement motor for zone valves.,MERGE,HONE-272748AB/U,49.13,085267123150,0.5,lb,shopify,deny,TRUE,TRUE,MX
resideo-272748abp-u-zone-valve-motor-24-v-60-hz-trade-class-a,NEW,"Resideo 272748ABP/U Zone Valve Motor, 24 V 60 Hz, Trade Class A","<p>24 V, 60 Hz replacement motor for zone valves, Trade Class A.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272748ABP/U</li><li><strong>Voltage:</strong> 24 V</li><li><strong>Frequency:</strong> 60 Hz</li><li><strong>UPC:</strong> 085267123167</li><li><strong>Country of Origin:</strong> HU</li><li><strong>Category:</strong> Zone Valve Parts</li></ul>",Resideo,Zone Valve Parts,"Resideo, Zone Valve Parts, map-import-2609, revisar-cadastro",Draft,FALSE,"24 V, 60 Hz replacement motor for zone valves, Trade Class A.",MERGE,HONE-272748ABP/U,71.87,085267123167,0.5,lb,shopify,deny,TRUE,TRUE,HU
resideo-272804a-u-locking-cover-and-range-stop-assembly-for-t498a-b,NEW,Resideo 272804A/U Locking Cover and Range Stop Assembly for T498A/B,"<p>Locking cover and range stop assembly for T498A and T498B thermostats manufactured after date code 9345, for setting minimum and maximum temperatures on electric heat thermostats.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272804A/U</li><li><strong>Fits:</strong> T498A and T498B made after date code 9345</li><li><strong>Function:</strong> Min/max temperature settings</li><li><strong>UPC:</strong> 085267818148</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>",Resideo,Thermostat Accessories,"Resideo, Thermostat Accessories, map-import-2609, revisar-cadastro",Draft,FALSE,"Locking cover and range stop assembly for T498A and T498B thermostats manufactured after date code 9345, for setting minimum and maximum temperatures on electric heat thermostats.",MERGE,HONE-272804A/U,21.97,085267818148,0.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-272840-u-union-gaskets-for-1-2-in-d05-ds05-pack-of-2,NEW,"Resideo 272840/U Union Gaskets for 1/2 in D05/DS05, Pack of 2","<p>Union gaskets for 1/2 in D05/DS05, package of 2.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272840/U</li><li><strong>Size:</strong> 1/2 in</li><li><strong>Fits:</strong> D05/DS05</li><li><strong>Quantity:</strong> 2 per package</li><li><strong>UPC:</strong> 085267813457</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Pressure Reducing Valves</li></ul>",Resideo,Pressure Reducing Valves,"Resideo, Pressure Reducing Valves, map-import-2609",Draft,FALSE,"Union gaskets for 1/2 in D05/DS05, package of 2.",MERGE,HONE-272840/U,8.77,085267813457,0.1,lb,shopify,deny,TRUE,TRUE,US
resideo-272841-u-union-gaskets-for-3-4-in-d05-ds05-pack-of-2,NEW,"Resideo 272841/U Union Gaskets for 3/4 in D05/DS05, Pack of 2","<p>Union gaskets for 3/4 in D05/DS05, package of 2.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272841/U</li><li><strong>Size:</strong> 3/4 in</li><li><strong>Fits:</strong> D05/DS05</li><li><strong>Quantity:</strong> 2 per package</li><li><strong>UPC:</strong> 085267813464</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Pressure Reducing Valves</li></ul>",Resideo,Pressure Reducing Valves,"Resideo, Pressure Reducing Valves, map-import-2609",Draft,FALSE,"Union gaskets for 3/4 in D05/DS05, package of 2.",MERGE,HONE-272841/U,6.64,085267813464,0.1,lb,shopify,deny,TRUE,TRUE,US
resideo-272842-u-union-gaskets-for-1-in-d05-ds05-pack-of-2,NEW,"Resideo 272842/U Union Gaskets for 1 in D05/DS05, Pack of 2","<p>Union gaskets for 1 in D05/DS05, package of 2.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272842/U</li><li><strong>Size:</strong> 1 in</li><li><strong>Fits:</strong> D05/DS05</li><li><strong>Quantity:</strong> 2 per package</li><li><strong>UPC:</strong> 085267813471</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Pressure Reducing Valves</li></ul>",Resideo,Pressure Reducing Valves,"Resideo, Pressure Reducing Valves, map-import-2609",Draft,FALSE,"Union gaskets for 1 in D05/DS05, package of 2.",MERGE,HONE-272842/U,12.10,085267813471,0.1,lb,shopify,deny,TRUE,TRUE,US
resideo-272843-u-1-1-4-in-union-gasket,NEW,Resideo 272843/U 1 1/4 in Union Gasket,<p>1 1/4 in union gasket.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 272843/U</li><li><strong>Size:</strong> 1 1/4 in</li><li><strong>UPC:</strong> 194159003491</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Pressure Reducing Valves</li></ul>,Resideo,Pressure Reducing Valves,"Resideo, Pressure Reducing Valves, map-import-2609",Draft,FALSE,1 1/4 in union gasket.,MERGE,HONE-272843/U,13.64,194159003491,0.3,lb,shopify,deny,TRUE,TRUE,US
