Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,titulo
3-8-black-iron-union,UPDATE,UPDATE,BLIF-038-UNI,0.32,lb,521-702,0.96,0.32,3.0,"Mueller Streamline 521-702 3/8"" Black Iron Union"
1-4-black-iron-tee,UPDATE,UPDATE,BLIF-025-TEE,0.143,lb,520-601,0.42,0.143,2.94,"Mueller Streamline 520-601 1/4"" Black Iron Tee"
1-4-galvanized-tee,UPDATE,UPDATE,GAIF-025-TEE-G,0.143,lb,510-601,0.42,0.143,2.94,"Mueller Streamline 510-601 1/4"" - Galvanized Tee"
3-8-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-038-ST90,0.15,lb,520-302,0.44,0.15,2.93,"Mueller Streamline 520-302 3/8"" Black Iron Elbow - 90° (Street)"
3-8-galvanized-street-elbow-90,UPDATE,UPDATE,GAIF-038-ST90-G,0.15,lb,510-302,0.44,0.15,2.93,"Mueller Streamline 510-302 3/8"" - Galvanized Street Elbow - 90°"
1-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-025-90EL,0.11,lb,520-001,0.32,0.11,2.91,"Mueller Streamline 520-001 1/4"" Black Iron Elbow - 90°"
1-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-025-90EL-G,0.11,lb,510-001,0.32,0.11,2.91,"Mueller Streamline 510-001 1/4"" - Galvanized Elbow - 90°"
1-2-black-iron-plug,UPDATE,UPDATE,BLIF-050-PLG,0.084,lb,521-803,0.24,0.084,2.86,"Mueller Streamline 521-803 1/2"" Black Iron Plug"
3-8-x-7-black-iron-nipple,UPDATE,UPDATE,BLPN-038-7,0.329,lb,582-070,0.94,0.329,2.86,"Mueller Streamline 582-070 3/8"" x 7"" - Black Iron Nipple"
1-2-galvanized-plug,UPDATE,UPDATE,GAIF-050-PLG-G,0.084,lb,511-803,0.24,0.084,2.86,"Mueller Streamline 511-803 1/2"" - Galvanized Plug"
1-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-100.075-BSH,0.167,lb,521-954,0.47,0.167,2.81,"Mueller Streamline 521-954 1"" x 3/4"" Black Iron Bushing"
1-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-100.075-BSH-G,0.167,lb,511-954,0.47,0.167,2.81,"Mueller Streamline 511-954 1"" x 3/4"" - Galvanized Bushing - MPT x FPT"
1-8-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-018-CLS,0.018,lb,560-001,0.05,0.018,2.78,"Mueller Streamline 560-001 1/8"" x Close - Galvanized Nipple"
3-4-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-075-ST45,0.284,lb,520-504,0.78,0.284,2.75,"Mueller Streamline 520-504 3/4"" Black Iron Elbow - 45° (Street)"
3-4-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-075-ST45-G,0.284,lb,510-504,0.78,0.284,2.75,"Mueller Streamline 510-504 3/4"" - Galvanized Street Elbow - 45°"
1-2-x-1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-050.018-CPL,0.143,lb,521-330,0.39,0.143,2.73,"Mueller Streamline 521-330 1/2"" x 1/8"" Black Iron Coupling"
3-8-black-iron-coupling,UPDATE,UPDATE,BLIF-038-CPL,0.137,lb,521-202,0.37,0.137,2.7,"Mueller Streamline 521-202 3/8"" Black Iron Coupling"
1-1-2-x-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-150.050-BSH,0.375,lb,521-973,0.93,0.375,2.48,"Mueller Streamline 521-973 1-1/2"" x 1/2"" Black Iron Bushing"
1-1-2-x-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-150.050-BSH-G,0.375,lb,511-973,0.93,0.375,2.48,"Mueller Streamline 511-973 1-1/2"" x 1/2"" - Galvanized Bushing - MPT x FPT"
3-galvanized-union,UPDATE,UPDATE,GAIF-300-UNI-G,6.067,lb,511-710,15.02,6.067,2.48,"Mueller Streamline 511-710 3"" - Galvanized Union"
1-2-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-050-ST45,0.194,lb,520-503,0.48,0.194,2.47,"Mueller Streamline 520-503 1/2"" Black Iron Elbow - 45° (Street)"
1-2-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-050-ST45-G,0.194,lb,510-503,0.48,0.194,2.47,"Mueller Streamline 510-503 1/2"" - Galvanized Street Elbow - 45°"
1-1-2-x-1-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-150.125-BSH,0.318,lb,521-976,0.77,0.318,2.42,"Mueller Streamline 521-976 1-1/2"" x 1-1/4"" Black Iron Bushing"
1-1-2-x-1-1-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-150.125-BSH-G,0.318,lb,511-976,0.77,0.318,2.42,"Mueller Streamline 511-976 1-1/2"" x 1-1/4"" - Galvanized Bushing - MPT x FPT"
1-x-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-100.050-BSH,0.209,lb,521-953,0.5,0.209,2.39,"Mueller Streamline 521-953 1"" x 1/2"" Black Iron Bushing"
1-1-4-x-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-125.050-BSH,0.293,lb,521-963,0.7,0.293,2.39,"Mueller Streamline 521-963 1-1/4"" x 1/2"" Black Iron Bushing"
1-x-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-100.050-BSH-G,0.209,lb,511-953,0.5,0.209,2.39,"Mueller Streamline 511-953 1"" x 1/2"" - Galvanized Bushing - MPT x FPT"
1-1-4-x-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-125.050-BSH-G,0.293,lb,511-963,0.7,0.293,2.39,"Mueller Streamline 511-963 1-1/4"" x 1/2"" - Galvanized Bushing - MPT x FPT"
1-1-2-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-150.075-BSH,0.397,lb,521-974,0.93,0.397,2.34,"Mueller Streamline 521-974 1-1/2"" x 3/4"" Black Iron Bushing"
1-1-2-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-150.075-BSH-G,0.397,lb,511-974,0.93,0.397,2.34,"Mueller Streamline 511-974 1-1/2"" x 3/4"" - Galvanized Bushing - MPT x FPT"
2-x-1-2-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.050-BSH-G,0.5,lb,511-983,1.16,0.5,2.32,"Mueller Streamline 511-983 2"" x 1/2"" - Galvanized Bushing - MPT x FPT"
2-1-2-galvanized-union,UPDATE,UPDATE,GAIF-250-UNI-G,4.567,lb,511-709,10.57,4.567,2.31,"Mueller Streamline 511-709 2-1/2"" - Galvanized Union"
1-2-x-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-050.025-CPL,0.139,lb,521-331,0.32,0.139,2.3,"Mueller Streamline 521-331 1/2"" x 1/4"" Black Iron Coupling"
1-1-4-x-1-black-iron-bushing,UPDATE,UPDATE,BLIF-125.100-BSH,0.287,lb,521-965,0.64,0.287,2.23,"Mueller Streamline 521-965 1-1/4"" x 1"" Black Iron Bushing"
1-1-4-x-1-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-125.100-BSH-G,0.287,lb,511-965,0.64,0.287,2.23,"Mueller Streamline 511-965 1-1/4"" x 1"" - Galvanized Bushing - MPT x FPT"
3-4-galvanized-cross,UPDATE,UPDATE,GAIF-075-CRS-G,0.599,lb,511-004,1.31,0.599,2.19,"Mueller Streamline 511-004 3/4"" - Galvanized Cross"
1-2-black-iron-floor-flange,UPDATE,UPDATE,BLIF-050-FFLG,0.631,lb,521-603,1.36,0.631,2.16,"Mueller Streamline 521-603 1/2"" Black Iron Floor Flange"
1-2-black-iron-union,UPDATE,UPDATE,BLIF-050-UNI,0.425,lb,521-703,0.92,0.425,2.16,"Mueller Streamline 521-703 1/2"" Black Iron Union"
1-2-galvanized-floor-flange,UPDATE,UPDATE,GAIF-050-FFLG-G,0.631,lb,511-603,1.36,0.631,2.16,"Mueller Streamline 511-603 1/2"" - Galvanized Floor Flange"
1-2-galvanized-union,UPDATE,UPDATE,GAIF-050-UNI-G,0.425,lb,511-703,0.92,0.425,2.16,"Mueller Streamline 511-703 1/2"" - Galvanized Union"
3-8-x-1-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-038-1.5,0.071,lb,582-015,0.15,0.071,2.11,"Mueller Streamline 582-015 3/8"" x 1-1/2"" - Black Iron Nipple"
3-8-black-iron-elbow-90,UPDATE,UPDATE,BLIF-038-90EL,0.155,lb,520-002,0.32,0.155,2.06,"Mueller Streamline 520-002 3/8"" Black Iron Elbow - 90°"
1-2-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-050-ST90,0.221,lb,520-303,0.45,0.221,2.04,"Mueller Streamline 520-303 1/2"" Black Iron Elbow - 90° (Street)"
1-x-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-100.025-CPL,0.323,lb,521-351,0.66,0.323,2.04,"Mueller Streamline 521-351 1"" x 1/4"" Black Iron Coupling"
1-2-galvanized-street-elbow-90-gaif-050-st90-g,UPDATE,UPDATE,GAIF-050-ST90-G,0.221,lb,510-303,0.45,0.221,2.04,"Mueller Streamline 510-303 1/2"" - Galvanized Street Elbow - 90°"
1-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-100-ST45,0.478,lb,520-505,0.96,0.478,2.01,"Mueller Streamline 520-505 1"" Black Iron Elbow - 45° (Street)"
1-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-100-ST45-G,0.478,lb,510-505,0.96,0.478,2.01,"Mueller Streamline 510-505 1"" - Galvanized Street Elbow - 45°"
3-4-black-iron-floor-flange,UPDATE,UPDATE,BLIF-075-FFLG,0.761,lb,521-604,1.52,0.761,2.0,"Mueller Streamline 521-604 3/4"" Black Iron Floor Flange"
3-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-300-ST45,4.494,lb,520-510,8.99,4.494,2.0,"Mueller Streamline 520-510 3"" Black Iron Elbow - 45° (Street)"
3-4-galvanized-floor-flange,UPDATE,UPDATE,GAIF-075-FFLG-G,0.761,lb,511-604,1.52,0.761,2.0,"Mueller Streamline 511-604 3/4"" - Galvanized Floor Flange"
1-2-x-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-050.075-TEE,0.397,lb,520-334,0.77,0.397,1.94,"Mueller Streamline 520-334 1/2"" x 1/2"" x 3/4"" Black Iron Tee"
1-2-x-1-2-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-050.075-TEE-G,0.397,lb,510-334,0.77,0.397,1.94,"Mueller Streamline 510-334 1/2"" x 1/2"" x 3/4"" - Galvanized Tee"
1-2-black-iron-cap,UPDATE,UPDATE,BLIF-050-CAP,0.115,lb,521-403,0.22,0.115,1.91,"Mueller Streamline 521-403 1/2"" Black Iron Cap"
1-2-x-3-8-black-iron-coupling,UPDATE,UPDATE,BLIF-050.038-CPL,0.157,lb,521-332,0.3,0.157,1.91,"Mueller Streamline 521-332 1/2"" x 3/8"" Black Iron Coupling"
1-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-100.050-CPL,0.304,lb,521-353,0.58,0.304,1.91,"Mueller Streamline 521-353 1"" x 1/2"" Black Iron Coupling"
1-1-4-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-125-ST45,0.753,lb,520-506,1.44,0.753,1.91,"Mueller Streamline 520-506 1-1/4"" Black Iron Elbow - 45° (Street)"
1-2-galvanized-cap,UPDATE,UPDATE,GAIF-050-CAP-G,0.115,lb,511-403,0.22,0.115,1.91,"Mueller Streamline 511-403 1/2"" - Galvanized Cap"
1-2-x-3-8-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-050.038-CPL-G,0.157,lb,511-332,0.3,0.157,1.91,"Mueller Streamline 511-332 1/2"" x 3/8"" - Galvanized Reducing Coupling"
1-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-100.050-CPL-G,0.304,lb,511-353,0.58,0.304,1.91,"Mueller Streamline 511-353 1"" x 1/2"" - Galvanized Reducing Coupling"
1-1-4-black-iron-floor-flange,UPDATE,UPDATE,BLIF-125-FFLG,1.006,lb,521-606,1.9,1.006,1.89,"Mueller Streamline 521-606 1-1/4"" Black Iron Floor Flange"
1-1-4-galvanized-floor-flange,UPDATE,UPDATE,GAIF-125-FFLG-G,1.006,lb,511-606,1.9,1.006,1.89,"Mueller Streamline 511-606 1-1/4"" - Galvanized Floor Flange"
2-x-2-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-200.050-TEE-G,1.57,lb,510-783,2.97,1.57,1.89,"Mueller Streamline 510-783 2"" x 2"" x 1/2"" - Galvanized Tee"
3-8-black-iron-tee,UPDATE,UPDATE,BLIF-038-TEE,0.224,lb,520-602,0.42,0.224,1.88,"Mueller Streamline 520-602 3/8"" Black Iron Tee"
3-galvanized-street-elbow-90,UPDATE,UPDATE,GAIF-300-ST90-G,5.357,lb,510-310,10.06,5.357,1.88,"Mueller Streamline 510-310 3"" - Galvanized Street Elbow - 90°"
1-1-4-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-125.075-BSH,0.342,lb,521-964,0.64,0.342,1.87,"Mueller Streamline 521-964 1-1/4"" x 3/4"" Black Iron Bushing"
1-1-4-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-125.075-BSH-G,0.342,lb,511-964,0.64,0.342,1.87,"Mueller Streamline 511-964 1-1/4"" x 3/4"" - Galvanized Bushing - MPT x FPT"
1-1-2-x-1-black-iron-bushing,UPDATE,UPDATE,BLIF-150.100-BSH,0.454,lb,521-975,0.84,0.454,1.85,"Mueller Streamline 521-975 1-1/2"" x 1"" Black Iron Bushing"
1-1-2-x-1-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-150.100-BSH-G,0.454,lb,511-975,0.84,0.454,1.85,"Mueller Streamline 511-975 1-1/2"" x 1"" - Galvanized Bushing - MPT x FPT"
3-4-black-iron-cap,UPDATE,UPDATE,BLIF-075-CAP,0.174,lb,521-404,0.32,0.174,1.84,"Mueller Streamline 521-404 3/4"" Black Iron Cap"
3-4-galvanized-cap,UPDATE,UPDATE,GAIF-075-CAP-G,0.174,lb,511-404,0.32,0.174,1.84,"Mueller Streamline 511-404 3/4"" - Galvanized Cap"
3-4-x-1-4-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-075.025-CPL-G,0.221,lb,511-341,0.39,0.221,1.76,"Mueller Streamline 511-341 3/4"" x 1/4"" - Galvanized Reducing Coupling"
1-1-4-x-1-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-125.100.050-TEE,0.742,lb,520-653,1.29,0.742,1.74,"Mueller Streamline 520-653 1-1/4"" x 1"" x 1/2"" Black Iron Tee"
1-1-4-x-1-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-125.100.050-TEE-G,0.742,lb,510-653,1.29,0.742,1.74,"Mueller Streamline 510-653 1-1/4"" x 1"" x 1/2"" - Galvanized Tee"
3-4-black-iron-union,UPDATE,UPDATE,BLIF-075-UNI,0.621,lb,521-704,1.06,0.621,1.71,"Mueller Streamline 521-704 3/4"" Black Iron Union"
1-1-2-black-iron-floor-flange,UPDATE,UPDATE,BLIF-150-FFLG,1.389,lb,521-607,2.38,1.389,1.71,"Mueller Streamline 521-607 1-1/2"" Black Iron Floor Flange"
2-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-200.075-BSH,0.631,lb,521-984,1.08,0.631,1.71,"Mueller Streamline 521-984 2"" x 3/4"" Black Iron Bushing"
2-1-2-black-iron-cap,UPDATE,UPDATE,BLIF-250-CAP,1.547,lb,521-409,2.64,1.547,1.71,"Mueller Streamline 521-409 2-1/2"" Black Iron Cap"
3-4-galvanized-union,UPDATE,UPDATE,GAIF-075-UNI-G,0.621,lb,511-704,1.06,0.621,1.71,"Mueller Streamline 511-704 3/4"" - Galvanized Union"
1-1-2-galvanized-floor-flange,UPDATE,UPDATE,GAIF-150-FFLG-G,1.389,lb,511-607,2.38,1.389,1.71,"Mueller Streamline 511-607 1-1/2"" - Galvanized Floor Flange"
2-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-200.075-BSH-G,0.631,lb,511-984,1.08,0.631,1.71,"Mueller Streamline 511-984 2"" x 3/4"" - Galvanized Bushing - MPT x FPT"
2-1-2-galvanized-cap,UPDATE,UPDATE,GAIF-250-CAP-G,1.547,lb,511-409,2.64,1.547,1.71,"Mueller Streamline 511-409 2-1/2"" - Galvanized Cap"
3-4-x-1-2-x-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-075.050.050-TEE,0.401,lb,520-433,0.68,0.401,1.7,"Mueller Streamline 520-433 3/4"" x 1/2"" x 1/2"" Black Iron Tee"
1-2-galvanized-coupling,UPDATE,UPDATE,GAIF-050-CPL-G,0.176,lb,511-203,0.3,0.176,1.7,"Mueller Streamline 511-203 1/2"" - Galvanized Coupling"
3-4-x-1-2-x-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-075.050.050-TEE-G,0.401,lb,510-433,0.68,0.401,1.7,"Mueller Streamline 510-433 3/4"" x 1/2"" x 1/2"" - Galvanized Tee"
1-1-4-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-125.050-CPL,0.549,lb,521-363,0.92,0.549,1.68,"Mueller Streamline 521-363 1-1/4"" x 1/2"" Black Iron Coupling"
1-1-4-x-1-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-125.050-CPL-G,0.549,lb,511-363,0.92,0.549,1.68,"Mueller Streamline 511-363 1-1/4"" x 1/2"" - Galvanized Reducing Coupling"
1-1-4-x-3-4-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-125.075.075-TEE,0.801,lb,520-644,1.33,0.801,1.66,"Mueller Streamline 520-644 1-1/4"" x 3/4"" x 3/4"" Black Iron Tee"
1-1-4-x-3-4-x-3-4-galvanized-tee,UPDATE,UPDATE,GAIF-125.075.075-TEE-G,0.801,lb,510-644,1.33,0.801,1.66,"Mueller Streamline 510-644 1-1/4"" x 3/4"" x 3/4"" - Galvanized Tee"
1-2-x-3-8-black-iron-elbow-90,UPDATE,UPDATE,BLIF-050.038-90EL,0.224,lb,520-132,0.37,0.224,1.65,"Mueller Streamline 520-132 1/2"" x 3/8"" Black Iron Elbow - 90°"
1-black-iron-floor-flange,UPDATE,UPDATE,BLIF-100-FFLG,1.012,lb,521-605,1.67,1.012,1.65,"Mueller Streamline 521-605 1"" Black Iron Floor Flange"
3-black-iron-coupling,UPDATE,UPDATE,BLIF-300-CPL,3.263,lb,521-210,5.37,3.263,1.65,"Mueller Streamline 521-210 3"" Black Iron Coupling"
1-galvanized-floor-flange,UPDATE,UPDATE,GAIF-100-FFLG-G,1.012,lb,511-605,1.67,1.012,1.65,"Mueller Streamline 511-605 1"" - Galvanized Floor Flange"
1-1-2-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-150-ST45-G,1.055,lb,510-507,1.74,1.055,1.65,"Mueller Streamline 510-507 1-1/2"" - Galvanized Street Elbow - 45°"
3-galvanized-coupling,UPDATE,UPDATE,GAIF-300-CPL-G,3.263,lb,511-210,5.37,3.263,1.65,"Mueller Streamline 511-210 3"" - Galvanized Coupling"
1-4-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-025-CLS,0.031,lb,561-001,0.05,0.031,1.61,"Mueller Streamline 561-001 1/4"" x Close - Galvanized Nipple"
3-galvanized-elbow-90,UPDATE,UPDATE,GAIF-300-90EL-G,4.872,lb,510-010,7.73,4.872,1.59,"Mueller Streamline 510-010 3"" - Galvanized Elbow - 90°"
3-4-x-1-2-black-iron-coupling,UPDATE,UPDATE,BLIF-075.050-CPL,0.223,lb,521-343,0.35,0.223,1.57,"Mueller Streamline 521-343 3/4"" x 1/2"" Black Iron Coupling"
