sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
BOSC-BMS500-AAS018-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),2343.55,7.0,334.8,78.98,1-1-2-ton-ductless-mini-split-single-zone-outdoor-heat-pump-regular-performance-r454b-18-000-btu-r454b-208-230v,44350355243111,7715252404327
BOSC-BMS500-AAS012-1CSXHD,Bosch,Outdoor Units (Compressor/Condenser),2288.16,7.0,326.9,77.11,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-max-performance-r454b-12-000-btu-r454b-208-230v,44350354686055,7715252306023
JOMA-600-211,Jomar,Flanged Ball Valves,2287.39,1.8,1270.8,77.09,4-flanged-full-port-2-piece-flanged-connection-class-150-carbon-steel-stainless-steel-ball-and-stem,44350835130471,7715488956519
RZNR-UDXC-100,Reznor,Unit Heaters,2245.8,2.19,1025.5,75.68,105-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339135079,7715752149095
RZNR-UWS-44/62,Reznor,Hydronic Unit Heaters,2224.05,2.19,1015.5,74.95,62-000-btu-uws-hot-water-suspended-unit-heater,44351339429991,7715752444007
DURA-611000001501300,Duravit,Toilet Seats,2179.12,5.0,435.8,73.44,duravit-sensowash-slim-elongated-bidet-toilet-seat-in-white-with-remote-concealed-connections,44350684954727,7715403792487
GVLF-485-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,2163.06,0.34,6361.9,72.9,2-union-316-stainless-steel-press,44353404895335,7716760158311
MILW-3154-20,Milwaukee Tools,Camera System,2141.12,0.73,2933.0,72.16,m12-75-drain-camera-w-packout-compatibility,44350916264039,7715537322087
BOSC-BMS500-AAS009-1CSXHD,Bosch,Outdoor Units (Compressor/Condenser),2126.85,7.0,303.8,71.67,3-4-ton-ductless-mini-split-single-zone-outdoor-heat-pump-max-performance-r454b-9-000-btu-r454b-208-230v,44350354554983,7715252174951
DURA-0454120024,Duravit,Wall-Mount Sinks,2110.88,1.0,2110.9,71.14,duravit-vero-47-1-4-rectangular-wall-mounted-sink-in-white-with-two-sets-of-single-faucet-holes-and-with-overflow,44350672666727,7715400974439
TEKM-654,tekmar Control Systems,Snow Melt Controls,2106.0,2.19,961.6,70.97,tekmar-snow-melt-control-654,44353385168999,7716740595815
GVLF-AE7721-3-200,Gruvlok,Gruvlok Fittings,2081.53,2.0,1040.8,70.15,2-grvd-bfv-e-grade-disc-epoxy-coated,44350753439847,7715451732071
GVLF-A7061SS-300.200-304,Gruvlok,Gruvlok Fittings,2075.73,5.07,409.4,69.95,3-x-2-tee-304-stainless-steel-gr-x-gr-x-gr,44350751965287,7715450486887
GROH-23.792001,Grohe,Tub-Shower Trim Sets,2075.37,1.0,2075.4,69.94,single-handle-freestanding-tub-faucet-with-1-75-gpm-hand-shower-in-grohe-chrome-groh-23-792001,44350722015335,7715429417063
GVLF-A7061SS-300.250-304,Gruvlok,Gruvlok Fittings,1999.08,5.4,370.2,67.37,3-x-2-1-2-tee-304-stainless-steel-gr-x-gr-x-gr,44350751998055,7715450519655
COPF-600.200-TEE-C,Mueller Streamline,Copper Sweat Fittings,1991.7,0.39,5106.9,67.12,6-x-6-x-2-copper-sweat-fittings-tee-c-x-c-x-c,44351106351207,7715641491559
NORT-NSCWHC,NorthStar,Water Softeners,1988.65,1.94,1025.1,67.02,2-in-1-softener-whole-home-filteration-with-wifi-31-000gr-point-of-entry-cabinet-model,44351199805543,7715671900263
RZNR-UDXC-75,Reznor,Unit Heaters,1963.14,2.19,896.4,66.16,75-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339298919,7715752312935
MILW-3697-27,Milwaukee Tools,Combo Kits (M18),1939.21,0.73,2656.5,65.35,m18-fuel-7-tool-combo-kit,44350916788327,7715537846375
BOSC-BMS500-AAU018-1AHCXD,Bosch,Wall Mount Head Units,1881.07,2.0,940.5,63.39,1-1-2-ton-ductless-mini-split-indoor-universal-cassette-unit-18-000-btu-r454b-208-230v,44350355439719,7715252600935
GVLF-7012-400-E-GALV,Gruvlok,Gruvlok Fittings,1871.57,0.52,3599.2,63.07,4-flange-galvanized-epdm-green,44350737809511,7715442655335
ELKA-LFGR33221,Elkay,Drop-In Sinks,1869.15,1.0,1869.2,62.99,elkay-lustertone-classic-stainless-steel-33-x-22-x-10-1-hole-60-40-double-bowl-drop-in-sink,44350690787431,7715409330279
