Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,preco,lambda_antes,lambda_depois,titulo
3-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-300-CLS,1.66,lb,570-001,0.51,1.66,0.31,22.48,0.0227,0.0738,"Mueller Streamline 570-001 3"" x Close - Galvanized Nipple"
2-1-2-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-250-3,1.451,lb,569-030,0.51,1.451,0.35,19.47,0.0262,0.0745,"Mueller Streamline 569-030 2-1/2"" x 3"" - Galvanized Nipple"
3-8-copper-fittings-cleaned-bagged-45-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-038-ST45,0.027,lb,W 03321R,0.01,0.027,0.37,15.21,0.0007,0.0018,"Mueller Streamline W 03321R 3/8"" Copper Fittings - Cleaned & Bagged - 45 Degree Street Elbow Ftg x C"
2-1-2-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-250.200-CPL-G,2.26,lb,511-398,0.84,2.26,0.37,38.61,0.0218,0.0585,"Mueller Streamline 511-398 2-1/2"" x 2"" - Galvanized Reducing Coupling"
3-4-x-1-2-copper-fittings-cleaned-bagged-coupling-c-x-c,UPDATE,UPDATE,CFCB-075.050-CPL,0.079,lb,W 01036R,0.03,0.079,0.38,6.72,0.0045,0.0118,"Mueller Streamline W 01036R 3/4"" x 1/2"" Copper Fittings - Cleaned & Bagged - Coupling C x C"
1-1-4-carbon-steel-press-fittings-mechanical-union-p-x-p,UPDATE,UPDATE,CRBN-125-UNI,2.119,lb,CP11205,0.9,2.119,0.42,209.16,0.0043,0.0101,"Mueller Streamline CP11205 1-1/4"" Carbon Steel Press Fittings - Mechanical - Union P x P"
2-1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-250-CLS,1.208,lb,569-001,0.51,1.208,0.42,18.77,0.0272,0.0644,"Mueller Streamline 569-001 2-1/2"" x Close - Galvanized Nipple"
2-carbon-steel-press-fittings-mechanical-tee-p-x-p-x-p,UPDATE,UPDATE,CRBN-200-TEE,2.002,lb,CP40102,0.9,2.002,0.45,176.2,0.0051,0.0114,"Mueller Streamline CP40102 2"" Carbon Steel Press Fittings - Mechanical - Tee P x P x P"
3-4-x-3-4-x-1-copper-press-fittings-tee-p-x-p-x-p,UPDATE,UPDATE,CPPF-075.100-TEE,0.765,lb,PF 04065,0.35,0.765,0.46,42.62,0.0082,0.018,"Mueller Streamline PF 04065 3/4"" x 3/4"" x 1"" Copper Press Fittings - Tee P x P x P"
3-copper-fittings-dwv-coupling-c-x-c,UPDATE,UPDATE,COPF-DWV-300-CPL-C,0.468,lb,W 07092,0.22,0.468,0.47,33.84,0.0065,0.0138,"Mueller Streamline W 07092 3"" Copper Fittings - DWV - Coupling C x C"
1-2-x-1-4-copper-sweat-fittings-fitting-female-adapter-ftg-x-fpt,UPDATE,UPDATE,COPF-050.025-FTGFA-C,0.105,lb,A 01480NL,0.05,0.105,0.48,22.71,0.0022,0.0046,"Mueller Streamline A 01480NL 1/2"" x 1/4"" Copper Sweat Fittings - Fitting Female Adapter Ftg x FPT"
2-copper-fittings-dwv-22-1-2-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-200-22EL-C,0.486,lb,A 07098,0.24,0.486,0.49,72.38,0.0033,0.0067,"Mueller Streamline A 07098 2"" Copper Fittings - DWV - 22-1/2 Degree Elbow C x C"
1-x-1-x-1-1-8-black-iron-tee,UPDATE,UPDATE,BLIF-100.125-TEE,1.025,lb,520-556,0.51,1.025,0.5,13.77,0.037,0.0744,"Mueller Streamline 520-556 1"" x 1"" x 1-1/8"" Black Iron Tee"
1-1-2-copper-fittings-dwv-wye-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-150-WYE-C,0.941,lb,A 07037,0.47,0.941,0.5,131.06,0.0036,0.0072,"Mueller Streamline A 07037 1-1/2"" Copper Fittings - DWV - Wye C x C x C"
2-x-2-x-1-1-2-x-1-1-2-copper-fittings-dwv-double-wye-c-x-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200.150-DBLY-C,1.2,lb,A 07081,0.6,1.2,0.5,237.13,0.0025,0.0051,"Mueller Streamline A 07081 2"" x 2"" x 1-1/2"" x 1-1/2"" Copper Fittings - DWV - Double Wye C x C x C x C"
5-8-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-058-TEE,0.116,lb,W 04017R,0.06,0.116,0.52,26.79,0.0022,0.0043,"Mueller Streamline W 04017R 5/8"" Copper Fittings - Cleaned & Bagged - Tee C x C x C"
3-x-2-1-2-x-2-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-300.250.250-TEE-C,4.516,lb,W 40158,2.35,4.516,0.52,289.88,0.0081,0.0156,"Mueller Streamline W 40158 3"" x 2-1/2"" x 2-1/2"" Copper Sweat Fittings - Tee C x C x C"
1-1-2-copper-fittings-dwv-female-adapter-c-x-fpt,UPDATE,UPDATE,COPF-DWV-150-FA-C,0.479,lb,W 07221,0.25,0.479,0.52,24.46,0.0102,0.0196,"Mueller Streamline W 07221 1-1/2"" Copper Fittings - DWV - Female Adapter C x FPT"
1-1-4-x-8-galvanized-nipple,UPDATE,UPDATE,GAPN-125-8,1.519,lb,566-080,0.79,1.519,0.52,12.45,0.0635,0.122,"Mueller Streamline 566-080 1-1/4"" x 8"" - Galvanized Nipple"
3-4-x-1-2-copper-fittings-cleaned-bagged-fitting-reducer-ftg-x-c,UPDATE,UPDATE,CFCB-075.050-FTR,0.057,lb,W 01326R,0.03,0.057,0.53,6.84,0.0044,0.0083,"Mueller Streamline W 01326R 3/4"" x 1/2"" Copper Fittings - Cleaned & Bagged - Fitting Reducer Ftg x C"
2-1-2-x-2-1-2-x-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.050-TEE-C,2.048,lb,W 40129,1.08,2.048,0.53,167.75,0.0064,0.0122,"Mueller Streamline W 40129 2-1/2"" x 2-1/2"" x 1/2"" Copper Sweat Fittings - Tee C x C x C"
2-carbon-steel-press-fittings-gas-90-degree-elbow-p-x-p,UPDATE,UPDATE,CRBN-200-90EL-G,1.756,lb,CP02072G,0.95,1.756,0.54,120.89,0.0079,0.0145,"Mueller Streamline CP02072G 2"" Carbon Steel Press Fittings - Gas - 90 Degree Elbow P x P"
1-2-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-050-2,0.143,lb,583-020,0.08,0.143,0.56,1.46,0.0548,0.0979,"Mueller Streamline 583-020 1/2"" x 2"" - Black Iron Nipple"
1-2-copper-fittings-cleaned-bagged-45-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-050-45EL,0.036,lb,W 03026R,0.02,0.036,0.56,4.77,0.0042,0.0075,"Mueller Streamline W 03026R 1/2"" Copper Fittings - Cleaned & Bagged - 45 Degree Elbow C x C"
5-8-copper-fittings-cleaned-bagged-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-058-ST90,0.09,lb,W 02330R,0.05,0.09,0.56,15.48,0.0032,0.0058,"Mueller Streamline W 02330R 5/8"" Copper Fittings - Cleaned & Bagged - 90 Degree Street Elbow Ftg x C"
1-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.100-TEE,0.753,lb,520-793,0.43,0.753,0.57,7.43,0.0579,0.1013,"Mueller Streamline 520-793 1"" x 1/2"" x 1"" Black Iron Tee"
1-2-copper-fittings-cleaned-bagged-45-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-050-ST45,0.035,lb,W 03326R,0.02,0.035,0.57,5.66,0.0035,0.0062,"Mueller Streamline W 03326R 1/2"" Copper Fittings - Cleaned & Bagged - 45 Degree Street Elbow Ftg x C"
1-1-2-copper-fittings-dwv-22-1-2-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-150-22EL-C,0.265,lb,W 07060,0.15,0.265,0.57,67.5,0.0022,0.0039,"Mueller Streamline W 07060 1-1/2"" Copper Fittings - DWV - 22-1/2 Degree Elbow C x C"
2-x-2-x-3-4-carbon-steel-press-fittings-gas-tee-p-x-p-x-p,UPDATE,UPDATE,CRBN-200.075-TEE-G,1.656,lb,CP40106G,0.95,1.656,0.57,202.08,0.0047,0.0082,"Mueller Streamline CP40106G 2"" x 2"" x 3/4"" Carbon Steel Press Fittings - Gas - Tee P x P x P"
1-x-1-2-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-100.050.100-TEE-G,0.753,lb,510-793,0.43,0.753,0.57,9.68,0.0444,0.0778,"Mueller Streamline 510-793 1"" x 1/2"" x 1"" - Galvanized Tee"
1-4-copper-sweat-fittings-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-025-90EL-C,0.017,lb,W 02009,0.01,0.017,0.59,5.56,0.0018,0.0031,"Mueller Streamline W 02009 1/4"" Copper Sweat Fittings - 90 Degree Elbow C x C"
1-4-copper-sweat-fittings-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-025-ST90-C,0.017,lb,W 02312,0.01,0.017,0.59,9.73,0.001,0.0017,"Mueller Streamline W 02312 1/4"" Copper Sweat Fittings - 90 Degree Street Elbow Ftg x C"
3-copper-fittings-dwv-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-DWV-300-ST90-C,1.703,lb,W 07413,1.01,1.703,0.59,124.64,0.0081,0.0137,"Mueller Streamline W 07413 3"" Copper Fittings - DWV - 90 Degree Street Elbow Ftg x C"
3-4-x-3-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-075.100-TEE,0.713,lb,520-445,0.43,0.713,0.6,7.43,0.0579,0.096,"Mueller Streamline 520-445 3/4"" x 3/4"" x 1"" Black Iron Tee"
3-copper-fittings-dwv-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-300-90EL-C,1.658,lb,W 07404,0.99,1.658,0.6,81.0,0.0122,0.0205,"Mueller Streamline W 07404 3"" Copper Fittings - DWV - 90 Degree Elbow C x C"
3-8-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-038-MA-C,0.066,lb,W 01125,0.04,0.066,0.61,9.3,0.0043,0.0071,"Mueller Streamline W 01125 3/8"" Copper Sweat Fittings - Male Adapter C x MPT"
2-1-2-x-2-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.200.075-TEE-C,2.059,lb,W 40135,1.26,2.059,0.61,225.6,0.0056,0.0091,"Mueller Streamline W 40135 2-1/2"" x 2"" x 3/4"" Copper Sweat Fittings - Tee C x C x C"
4-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-400-MA-C,3.711,lb,W 01150,2.26,3.711,0.61,287.99,0.0078,0.0129,"Mueller Streamline W 01150 4"" Copper Sweat Fittings - Male Adapter C x MPT"
1-2-copper-fittings-cleaned-bagged-90-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-050-90EL,0.048,lb,W 02022R,0.03,0.048,0.62,2.64,0.0114,0.0182,"Mueller Streamline W 02022R 1/2"" Copper Fittings - Cleaned & Bagged - 90 Degree Elbow C x C"
3-4-copper-fittings-cleaned-bagged-90-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-075-90EL,0.112,lb,W 02034R,0.07,0.112,0.62,5.83,0.012,0.0192,"Mueller Streamline W 02034R 3/4"" Copper Fittings - Cleaned & Bagged - 90 Degree Elbow C x C"
3-4-copper-sweat-fittings-p-trap-suction-line-c-x-c,UPDATE,UPDATE,COPF-075-PTR-C,0.626,lb,W 61000,0.39,0.626,0.62,63.39,0.0062,0.0099,"Mueller Streamline W 61000 3/4"" Copper Sweat Fittings - P-Trap - Suction Line C x C"
2-1-2-x-2-x-1-1-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.200.125-TEE-C,2.116,lb,W 40133,1.34,2.116,0.63,225.6,0.0059,0.0094,"Mueller Streamline W 40133 2-1/2"" x 2"" x 1-1/4"" Copper Sweat Fittings - Tee C x C x C"
2-copper-fittings-dwv-repair-coupling-no-stop-c-x-c,UPDATE,UPDATE,COPF-DWV-200-CPL/LS-C,0.19,lb,W 07909,0.12,0.19,0.63,17.07,0.007,0.0111,"Mueller Streamline W 07909 2"" Copper Fittings - DWV - Repair Coupling - No Stop C x C"
1-2-copper-fittings-cleaned-bagged-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-050-ST90,0.047,lb,W 02326R,0.03,0.047,0.64,3.84,0.0078,0.0122,"Mueller Streamline W 02326R 1/2"" Copper Fittings - Cleaned & Bagged - 90 Degree Street Elbow Ftg x C"
3-4-x-3-4-x-1-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-075.100-TEE,0.22,lb,W 04065R,0.14,0.22,0.64,34.44,0.0041,0.0064,"Mueller Streamline W 04065R 3/4"" x 3/4"" x 1"" Copper Fittings - Cleaned & Bagged - Tee C x C x C"
2-1-2-x-2-x-1-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.200.100-TEE-C,2.1,lb,W 40134,1.36,2.1,0.65,225.6,0.006,0.0093,"Mueller Streamline W 40134 2-1/2"" x 2"" x 1"" Copper Sweat Fittings - Tee C x C x C"
3-4-copper-fittings-cleaned-bagged-45-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-075-ST45,0.091,lb,W 03334R,0.06,0.091,0.66,8.16,0.0074,0.0112,"Mueller Streamline W 03334R 3/4"" Copper Fittings - Cleaned & Bagged - 45 Degree Street Elbow Ftg x C"
3-4-copper-press-fittings-drop-ear-90-degree-elbow-p-x-fpt,UPDATE,UPDATE,CPPF-075-DE90,0.441,lb,PF 02581,0.29,0.441,0.66,49.59,0.0058,0.0089,"Mueller Streamline PF 02581 3/4"" Copper Press Fittings - Drop Ear 90 Degree Elbow P x FPT"
3-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-075-90EL,0.36,lb,520-004,0.24,0.36,0.67,2.17,0.1106,0.1659,"Mueller Streamline 520-004 3/4"" Black Iron Elbow - 90°"
4-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-400-CLS,2.372,lb,591-001,1.6,2.372,0.67,29.23,0.0547,0.0811,"Mueller Streamline 591-001 4"" x Close - Black Iron Nipple"
3-4-copper-fittings-cleaned-bagged-45-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-075-45EL,0.09,lb,W 03034R,0.06,0.09,0.67,8.08,0.0074,0.0111,"Mueller Streamline W 03034R 3/4"" Copper Fittings - Cleaned & Bagged - 45 Degree Elbow C x C"
3-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-075-90EL-G,0.36,lb,510-004,0.24,0.36,0.67,2.44,0.0984,0.1475,"Mueller Streamline 510-004 3/4"" - Galvanized Elbow - 90°"
1-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-100-CLS,0.209,lb,565-001,0.14,0.209,0.67,2.85,0.0491,0.0733,"Mueller Streamline 565-001 1"" x Close - Galvanized Nipple"
2-copper-fittings-dwv-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-200-90EL-C,0.705,lb,W 07403,0.48,0.705,0.68,43.24,0.0111,0.0163,"Mueller Streamline W 07403 2"" Copper Fittings - DWV - 90 Degree Elbow C x C"
2-copper-fittings-dwv-wye-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200-WYE-C,1.26,lb,A 07077,0.86,1.26,0.68,138.36,0.0062,0.0091,"Mueller Streamline A 07077 2"" Copper Fittings - DWV - Wye C x C x C"
1-2-x-1-4-copper-fittings-cleaned-bagged-coupling-c-x-c,UPDATE,UPDATE,CFCB-050.025-CPL,0.029,lb,W 01025R,0.02,0.029,0.69,4.7,0.0043,0.0062,"Mueller Streamline W 01025R 1/2"" x 1/4"" Copper Fittings - Cleaned & Bagged - Coupling C x C"
1-2-x-3-8-copper-fittings-cleaned-bagged-coupling-c-x-c,UPDATE,UPDATE,CFCB-050.038-CPL,0.029,lb,W 01023R,0.02,0.029,0.69,3.9,0.0051,0.0074,"Mueller Streamline W 01023R 1/2"" x 3/8"" Copper Fittings - Cleaned & Bagged - Coupling C x C"
3-4-copper-fittings-cleaned-bagged-coupling-dimple-stop-c-x-c,UPDATE,UPDATE,CFCB-075-CPL/DS,0.058,lb,W 01034R,0.04,0.058,0.69,3.94,0.0102,0.0147,"Mueller Streamline W 01034R 3/4"" Copper Fittings - Cleaned & Bagged - Coupling - Dimple Stop C x C"
1-2-x-3-8-copper-sweat-fittings-coupling-c-x-c,UPDATE,UPDATE,COPF-050.038-CPL-C,0.029,lb,W 01023,0.02,0.029,0.69,2.96,0.0068,0.0098,"Mueller Streamline W 01023 1/2"" x 3/8"" Copper Sweat Fittings - Coupling C x C"
1-1-4-x-1-copper-sweat-fittings-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-125.100-90EL-C,0.333,lb,W 02056,0.23,0.333,0.69,50.66,0.0045,0.0066,"Mueller Streamline W 02056 1-1/4"" x 1"" Copper Sweat Fittings - 90 Degree Elbow C x C"
1-1-2-x-1-1-2-x-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-150.050-TEE-C,0.421,lb,W 04088,0.29,0.421,0.69,37.28,0.0078,0.0113,"Mueller Streamline W 04088 1-1/2"" x 1-1/2"" x 1/2"" Copper Sweat Fittings - Tee C x C x C"
2-1-2-x-2-1-2-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.075-TEE-C,1.827,lb,W 40128,1.26,1.827,0.69,163.94,0.0077,0.0111,"Mueller Streamline W 40128 2-1/2"" x 2-1/2"" x 3/4"" Copper Sweat Fittings - Tee C x C x C"
2-x-1-1-2-x-1-1-2-copper-fittings-dwv-sanitary-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200.150.150-SANT-C,0.874,lb,W 07524,0.6,0.874,0.69,82.71,0.0073,0.0106,"Mueller Streamline W 07524 2"" x 1-1/2"" x 1-1/2"" Copper Fittings - DWV - Sanitary Tee C x C x C"
3-8-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-038-TEE,0.043,lb,W 04001R,0.03,0.043,0.7,11.71,0.0026,0.0037,"Mueller Streamline W 04001R 3/8"" Copper Fittings - Cleaned & Bagged - Tee C x C x C"
3-4-copper-fittings-cleaned-bagged-cap-c,UPDATE,UPDATE,CFCB-075-CAP,0.043,lb,W 07009R,0.03,0.043,0.7,3.53,0.0085,0.0122,"Mueller Streamline W 07009R 3/4"" Copper Fittings - Cleaned & Bagged - Cap C"
3-4-copper-fittings-cleaned-bagged-repair-coupling-no-stop-c-x-c,UPDATE,UPDATE,CFCB-075-CPL/LS,0.057,lb,W 01905R,0.04,0.057,0.7,5.19,0.0077,0.011,"Mueller Streamline W 01905R 3/4"" Copper Fittings - Cleaned & Bagged - Repair Coupling - No Stop C x C"
3-4-copper-fittings-cleaned-bagged-90-degree-long-turn-elbow-c-x-c,UPDATE,UPDATE,CFCB-075-LT90,0.129,lb,W 02734R,0.09,0.129,0.7,14.65,0.0061,0.0088,"Mueller Streamline W 02734R 3/4"" Copper Fittings - Cleaned & Bagged - 90 Degree Long Turn Elbow C x C"
1-2-x-3-8-copper-sweat-fittings-female-adapter-c-x-fpt,UPDATE,UPDATE,COPF-050.038-FA-C,0.071,lb,W 01232,0.05,0.071,0.7,9.77,0.0051,0.0073,"Mueller Streamline W 01232 1/2"" x 3/8"" Copper Sweat Fittings - Female Adapter C x FPT"
1-1-2-x-1-1-2-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-150.075-TEE-C,0.472,lb,W 04087,0.33,0.472,0.7,37.28,0.0089,0.0127,"Mueller Streamline W 04087 1-1/2"" x 1-1/2"" x 3/4"" Copper Sweat Fittings - Tee C x C x C"
1-1-2-copper-fittings-dwv-trap-adapter-c-x-sj,UPDATE,UPDATE,COPF-DWV-150-FTA-C,0.328,lb,A 11356,0.23,0.328,0.7,33.42,0.0069,0.0098,"Mueller Streamline A 11356 1-1/2"" Copper Fittings - DWV - Trap Adapter C x SJ"
2-x-2-x-1-1-2-copper-fittings-dwv-wye-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200.150-WYE-C,1.146,lb,A 07078,0.8,1.146,0.7,139.56,0.0057,0.0082,"Mueller Streamline A 07078 2"" x 2"" x 1-1/2"" Copper Fittings - DWV - Wye C x C x C"
1-x-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.075-TEE,0.606,lb,520-534,0.43,0.606,0.71,8.65,0.0497,0.0701,"Mueller Streamline 520-534 1"" x 1/2"" x 3/4"" Black Iron Tee"
1-8-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-018-2,0.042,lb,580-020,0.03,0.042,0.71,2.33,0.0129,0.018,"Mueller Streamline 580-020 1/8"" x 2"" - Black Iron Nipple"
3-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-300-3,1.896,lb,590-030,1.34,1.896,0.71,21.5,0.0623,0.0882,"Mueller Streamline 590-030 3"" x 3"" - Black Iron Nipple"
1-1-4-x-1-2-x-1-1-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-125.050.125-TEE-C,0.574,lb,W 04083,0.41,0.574,0.71,46.11,0.0089,0.0124,"Mueller Streamline W 04083 1-1/4"" x 1/2"" x 1-1/4"" Copper Sweat Fittings - Tee C x C x C"
3-x-2-copper-fittings-dwv-coupling-c-x-c,UPDATE,UPDATE,COPF-DWV-300.200-CPL-C,0.523,lb,W 07094,0.37,0.523,0.71,68.86,0.0054,0.0076,"Mueller Streamline W 07094 3"" x 2"" Copper Fittings - DWV - Coupling C x C"
1-1-4-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-125-12,2.277,lb,566-120,1.62,2.277,0.71,17.88,0.0906,0.1273,"Mueller Streamline 566-120 1-1/4"" x 12"" - Galvanized Nipple"
1-copper-fittings-cleaned-bagged-male-adapter-c-x-mpt,UPDATE,UPDATE,CFCB-100-MA,0.236,lb,W 01163R,0.17,0.236,0.72,23.29,0.0073,0.0101,"Mueller Streamline W 01163R 1"" Copper Fittings - Cleaned & Bagged - Male Adapter C x MPT"
1-1-4-x-3-4-copper-fittings-cleaned-bagged-fitting-reducer-ftg-x-c,UPDATE,UPDATE,CFCB-125.075-FTR,0.167,lb,W 01345R,0.12,0.167,0.72,18.5,0.0065,0.009,"Mueller Streamline W 01345R 1-1/4"" x 3/4"" Copper Fittings - Cleaned & Bagged - Fitting Reducer Ftg x C"
1-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-100-MA-C,0.236,lb,W 01163,0.17,0.236,0.72,17.67,0.0096,0.0134,"Mueller Streamline W 01163 1"" Copper Sweat Fittings - Male Adapter C x MPT"
1-1-4-x-3-4-copper-sweat-fittings-fitting-reducer-ftg-x-c,UPDATE,UPDATE,COPF-125.075-FTR-C,0.167,lb,W 01345,0.12,0.167,0.72,14.04,0.0085,0.0119,"Mueller Streamline W 01345 1-1/4"" x 3/4"" Copper Sweat Fittings - Fitting Reducer Ftg x C"
2-1-2-x-2-1-2-x-1-1-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.125-TEE-C,1.874,lb,W 40126,1.34,1.874,0.72,167.75,0.008,0.0112,"Mueller Streamline W 40126 2-1/2"" x 2-1/2"" x 1-1/4"" Copper Sweat Fittings - Tee C x C x C"
1-1-2-carbon-steel-press-fittings-gas-90-degree-elbow-p-x-p,UPDATE,UPDATE,CRBN-150-90EL-G,1.322,lb,CP02063G,0.95,1.322,0.72,81.28,0.0117,0.0163,"Mueller Streamline CP02063G 1-1/2"" Carbon Steel Press Fittings - Gas - 90 Degree Elbow P x P"
1-x-3-4-x-3-4-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-100.075.075-TEE,0.301,lb,W 04056R,0.22,0.301,0.73,37.79,0.0058,0.008,"Mueller Streamline W 04056R 1"" x 3/4"" x 3/4"" Copper Fittings - Cleaned & Bagged - Tee C x C x C"
1-x-3-4-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-100.075.075-TEE-C,0.301,lb,W 04056,0.22,0.301,0.73,28.68,0.0077,0.0105,"Mueller Streamline W 04056 1"" x 3/4"" x 3/4"" Copper Sweat Fittings - Tee C x C x C"
1-1-2-copper-fittings-dwv-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-DWV-150-ST90-C,0.383,lb,W 07411,0.28,0.383,0.73,29.54,0.0095,0.013,"Mueller Streamline W 07411 1-1/2"" Copper Fittings - DWV - 90 Degree Street Elbow Ftg x C"
