Handle,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
assembled-water-heater-stand-21w-x-21d-x-18h-18ga-650-rating,UPDATE,"{""value"": 21.0, ""unit"": ""in""}","{""value"": 21.0, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}"
unassembled-water-heater-stand-24w-x-24d-x-18h-16ga-1300-rating,UPDATE,"{""value"": 24.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}"
assembled-water-heater-stand-24w-x-24d-x-18h-16ga-1300-rating,UPDATE,"{""value"": 24.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}"
dayton-stainless-steel-15-x-15-x-5-3-16-2-hole-single-bowl-drop-in-bar-sink-with-2-drain-opening,UPDATE,"{""value"": 15.0, ""unit"": ""in""}","{""value"": 15.0, ""unit"": ""in""}","{""value"": 5.1875, ""unit"": ""in""}"
dayton-stainless-steel-17-x-19-x-6-1-8-3-hole-single-bowl-drop-in-bar-sink,UPDATE,"{""value"": 17.0, ""unit"": ""in""}","{""value"": 19.0, ""unit"": ""in""}","{""value"": 6.1875, ""unit"": ""in""}"
dayton-stainless-steel-25-x-21-1-4-x-6-9-16-4-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 21.25, ""unit"": ""in""}","{""value"": 6.5626, ""unit"": ""in""}"
dayton-stainless-steel-25-x-22-x-6-9-16-3-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 6.5625, ""unit"": ""in""}"
dayton-stainless-steel-25-x-22-x-6-9-16-4-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 6.5625, ""unit"": ""in""}"
dayton-stainless-steel-25-x-19-x-6-5-16-1-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 19.0, ""unit"": ""in""}","{""value"": 6.3125, ""unit"": ""in""}"
dayton-stainless-steel-33-x-19-x-6-7-16-3-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 19.0, ""unit"": ""in""}","{""value"": 6.4375, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 6.5625, ""unit"": ""in""}"
dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink,UPDATE,"{""value"": 30.5, ""unit"": ""in""}","{""value"": 18.25, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-7-1-16-4-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 7.0625, ""unit"": ""in""}"
dayton-stainless-steel-20-x-20-x-10-1-8-1-hole-single-bowl-drop-in-laundry-sink,UPDATE,"{""value"": 20.0, ""unit"": ""in""}","{""value"": 20.0, ""unit"": ""in""}","{""value"": 10.125, ""unit"": ""in""}"
dayton-stainless-steel-25-x-22-x-8-1-16-3-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 8.0625, ""unit"": ""in""}"
dayton-stainless-steel-25-x-22-x-8-1-16-4-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 8.0625, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-8-1-16-1-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 8.0625, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-8-1-16-3-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 8.0625, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-8-1-16-4-hole-equal-double-bowl-drop-in-sink,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 8.0625, ""unit"": ""in""}"
dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink-10-pack,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 6.5625, ""unit"": ""in""}"
dayton-stainless-steel-16-1-2-x-18-1-4-x-8-single-bowl-undermount-bar-sink,UPDATE,"{""value"": 16.5, ""unit"": ""in""}","{""value"": 18.25, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
dayton-stainless-steel-26-1-2-x-18-1-2-x-8-single-bowl-undermount-sink,UPDATE,"{""value"": 26.5, ""unit"": ""in""}","{""value"": 18.5, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink-dayt-dxuh2816,UPDATE,"{""value"": 30.5, ""unit"": ""in""}","{""value"": 18.25, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
dayton-stainless-steel-31-3-4-x-18-1-4-x-8-equal-double-bowl-undermount-sink,UPDATE,"{""value"": 31.75, ""unit"": ""in""}","{""value"": 18.25, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
dayton-stainless-steel-25-x-21-1-4-x-5-3-8-3-hole-single-bowl-drop-in-sink-with-right-drain,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 21.25, ""unit"": ""in""}","{""value"": 5.375, ""unit"": ""in""}"
at100-electric-elongated-spalet-bidet-seat-in-canvas-white,UPDATE,"{""value"": 21.5625, ""unit"": ""in""}","{""value"": 16.75, ""unit"": ""in""}","{""value"": 6.375, ""unit"": ""in""}"
dxv-modulus-towel-hook-in-matte-black,UPDATE,"{""value"": 2.125, ""unit"": ""in""}","{""value"": 1.8125, ""unit"": ""in""}","{""value"": 3.0625, ""unit"": ""in""}"
dxv-modulus-24-towel-bar-in-matte-black,UPDATE,"{""value"": 24.0, ""unit"": ""in""}","{""value"": 25.5625, ""unit"": ""in""}","{""value"": 1.8125, ""unit"": ""in""}"
e-l-mustee-sons-utilitub-laundry-utility-sink-white-single-bowl-sinks-thermoplastic-tub-steel-leg-18-x-23-1-2-x-33,UPDATE,"{""value"": 18.0, ""unit"": ""in""}","{""value"": 23.5, ""unit"": ""in""}","{""value"": 33.0, ""unit"": ""in""}"
e-l-mustee-sons-drop-in-sink-white-single-bowl-sinkspolypropylene-18-x-23-1-2-x-33,UPDATE,"{""value"": 18.0, ""unit"": ""in""}","{""value"": 23.5, ""unit"": ""in""}","{""value"": 33.0, ""unit"": ""in""}"
e-l-mustee-sons-utilitub-co-polypure-drop-in-sink-white-single-bowl-sinks-23-x-25-x-33,UPDATE,"{""value"": 23.0, ""unit"": ""in""}","{""value"": 25.0, ""unit"": ""in""}","{""value"": 33.0, ""unit"": ""in""}"
23-durastone-utilatub-laundry-tub-floor,UPDATE,"{""value"": 23.5, ""unit"": ""in""}","{""value"": 23.0, ""unit"": ""in""}","{""value"": 33.0, ""unit"": ""in""}"
23-durastone-utilatub-laundry-tub-wall,UPDATE,"{""value"": 23.5, ""unit"": ""in""}","{""value"": 23.0, ""unit"": ""in""}","{""value"": 33.0, ""unit"": ""in""}"
e-l-mustee-sons-durawall-wall-door-components-glossy-white-shower-bases-walls-5-piece-rectangle-corner-alcove-51-1-2-x-43-3-4-x-71-1-2,UPDATE,"{""value"": 51.5, ""unit"": ""in""}","{""value"": 43.75, ""unit"": ""in""}","{""value"": 71.5, ""unit"": ""in""}"
e-l-mustee-sons-utilatwin-laundry-utility-sink-white-double-bowl-sinks-thermoplastic-tub-steel-leg-40-x-24-x-34,UPDATE,"{""value"": 40.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}"
e-l-mustee-sons-utilatwin-laundry-utility-sink-white-double-bowl-sinks-thermoplastic-40-x-24-x-34,UPDATE,"{""value"": 40.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}"
e-l-mustee-sons-utilitub-bigtub-drop-in-sink-white-single-bowl-sinksmolded-polypropylene-body-steel-leg-40-x-24-x-34,UPDATE,"{""value"": 40.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}"
e-l-mustee-sons-shower-base-white-1-piece-standard-threshold-rectangle-60-x-30-x-5-1-2,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-square-single-threshold-32-x-32-x-5,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-rectangle-single-threshold-48-x-32-x-5-1-2,UPDATE,"{""value"": 48.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-rectangle-single-threshold-60-x-32-x-5-1-2,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-semi-gloss-white-1-piece-single-threshold-rectangle-42-x-34-x-5-1-2,UPDATE,"{""value"": 42.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-single-threshold-rectangle-48-x-34-x-5-1-2,UPDATE,"{""value"": 48.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-1-piece-single-threshold-rectangle-60-x-34-x-5-1-2,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-barrier-free-rectangle-30-x-60-x-4,UPDATE,"{""value"": 30.0, ""unit"": ""in""}","{""value"": 60.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-barrier-free-rectangle-30-x-60-x-4-must-360r,UPDATE,"{""value"": 30.0, ""unit"": ""in""}","{""value"": 60.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-square-36-x-36-x-5-1-2,UPDATE,"{""value"": 36.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-60-x-36-x-5-1-2,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-36-x-42-x-5-1-2,UPDATE,"{""value"": 36.0, ""unit"": ""in""}","{""value"": 42.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-60-x-42-x-5-1-2,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 42.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}"
e-l-mustee-sons-mop-service-sink-colorfast-marbleized-white-single-bowl-sinks-molded-fiberglass-24-x-24-x-10,UPDATE,"{""value"": 24.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
e-l-mustee-sons-durastone-mop-service-sink-colorfast-marbleized-white-single-bowl-sinks-molded-fiberglass-36-x-24-x-10,UPDATE,"{""value"": 36.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
e-l-mustee-sons-durawall-wall-door-components-white-shower-bases-walls-5-piece-rectangular-60-x-30-x-73-1-4,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 73.25, ""unit"": ""in""}"
e-l-mustee-sons-durawall-wall-door-components-white-shower-bases-walls-5-piece-rectangular-tile-pattern-60-x-34-x-73-1-4,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 73.25, ""unit"": ""in""}"
60-x-30-x-15-3-4-11-3-4-water-depth-semi-gloss-white-molded-fiberglass-2-left-hand-drain-rectangle-in-outside-1-piece-alcove-bathtub,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 15.75, ""unit"": ""in""}"
60-x-30-x-15-3-4-11-3-4-water-depth-semi-gloss-white-molded-fiberglass-2-right-hand-drain-rectangle-in-outside-1-piece-alcove-bathtub,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 15.75, ""unit"": ""in""}"
elkay-dayton-drop-in-sink-satin-single-bowl-sinks300-series-stainless-steel-15-x-15-x-5-3-16,UPDATE,"{""value"": 15.0, ""unit"": ""in""}","{""value"": 15.0, ""unit"": ""in""}","{""value"": 5.1875, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-22-x-19-1-2-x-10-1-8-1-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 22.0, ""unit"": ""in""}","{""value"": 19.5, ""unit"": ""in""}","{""value"": 10.125, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-25-x-17-x-6-1-2-4-hole-single-bowl-drop-in-classroom-ada-sink,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 17.0, ""unit"": ""in""}","{""value"": 6.5, ""unit"": ""in""}"
elkay-quartz-classic-33-x-19-x-10-equal-double-bowl-undermount-sink-with-aqua-divide-white,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 19.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-33-x-22-x-10-1-hole-60-40-double-bowl-drop-in-sink,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
elkay-everyday-three-hole-deck-mount-kitchen-faucet-with-lever-handle-and-deck-plate-escutcheon-chrome,UPDATE,"{""value"": 10.125, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}","{""value"": 7.5, ""unit"": ""in""}"
elkay-crosstown-black-silicone-11-7-8-x-16-3-4-x-3-8-drying-rack,UPDATE,"{""value"": 16.75, ""unit"": ""in""}","{""value"": 11.875, ""unit"": ""in""}","{""value"": 0.375, ""unit"": ""in""}"
elkay-quartz-perfect-drain-3-1-2-removable-polymer-basket-strainer-and-rubber-stopper-ricotta,UPDATE,"{""value"": 4.125, ""unit"": ""in""}","{""value"": 4.125, ""unit"": ""in""}","{""value"": 3.063, ""unit"": ""in""}"
elkay-stainless-steel-classroom-bubbler,UPDATE,"{""value"": 5.052, ""unit"": ""in""}","{""value"": 1.94, ""unit"": ""in""}","{""value"": 5.6875, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-25-x-22-x-8-1-8-3-hole-single-bowl-drop-in-sink,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 8.125, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-17-x-16-x-6-1-2-2-hole-single-bowl-drop-in-ada-sink,UPDATE,"{""value"": 17.0, ""unit"": ""in""}","{""value"": 16.0, ""unit"": ""in""}","{""value"": 6.5, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-31-x-22-x-6-1-2-3-hole-single-bowl-drop-in-ada-sink,UPDATE,"{""value"": 31.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 6.5, ""unit"": ""in""}"
elkay-lustertone-classic-stainless-steel-33-x-22-x-6-1-2-1-hole-equal-double-bowl-drop-in-ada-sink-with-perfect-drain,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-32-x-32-x-4-3-4,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 4.75, ""unit"": ""in""}"
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-34-x-34-x-5-3-4,UPDATE,"{""value"": 34.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-35-x-33-1-2-x-5-3-4,UPDATE,"{""value"": 35.0, ""unit"": ""in""}","{""value"": 33.5, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-36-x-36-x-5-3-4,UPDATE,"{""value"": 36.0, ""unit"": ""in""}","{""value"": 36.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-42-x-34-x-5-3-4,UPDATE,"{""value"": 42.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-42-x-42-x-5-3-4,UPDATE,"{""value"": 42.0, ""unit"": ""in""}","{""value"": 42.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-shower-base-white-gel-coated-shower-bases-walls-1-piece-single-threshold-47-3-4-x-41-3-4-x-4-3-4,UPDATE,"{""value"": 47.75, ""unit"": ""in""}","{""value"": 41.75, ""unit"": ""in""}","{""value"": 4.75, ""unit"": ""in""}"
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-48-x-32-x-5-3-4,UPDATE,"{""value"": 48.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-48-x-34-x-5-3-4,UPDATE,"{""value"": 48.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-54-x-34-x-5-3-4,UPDATE,"{""value"": 54.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-saflor-shower-base-white-shower-bases-walls-1-piece-single-threshold-60-x-32-x-4-3-4,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 4.75, ""unit"": ""in""}"
florestone-shower-base-white-shower-bases-walls-1-piece-single-threshold-60-x-34-x-5-3-4,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 34.0, ""unit"": ""in""}","{""value"": 5.75, ""unit"": ""in""}"
florestone-mop-service-sink-single-bowl-sinks-24-x-24-x-10,UPDATE,"{""value"": 24.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
florestone-wedge-lok-mop-service-sink-white-single-bowl-sinks-36-x-24-x-10-with-3-drain,UPDATE,"{""value"": 36.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
