sku,titulo,perfil,preco_usd,peso_real_lb,volume_pol3,peso_dimensional_lb,lb_extra_faturado,razao_dim_real,acao
NHSF-400-WYE,"Tyler Pipe 008262 4"" x 4"" x 4"", NH x NH x NH, Gray, Cast Iron DWV, Sanitary, Straight, 45D Wye",Standard,79.5,10.3,30606.0,220.19,209.89,21.4,revisar cotacao
GVLF-7061-500.400-PNTD,"Gruvlok 5"" x 4"" Tee (Reducing) - Painted - GR x GR x GR",General,2118.16,16.75,28944.0,208.23,191.48,12.4,mover p/ Freight ou Standard
PANA-FV-NLF04G,"Panasonic FV-NLF04G WhisperLine™ Installation Kit, 4"" duct",Standard,41.34,9.6,27864.0,200.46,190.86,20.9,revisar cotacao
NHSF-300-LS1/4,"Tyler Pipe 007203 3"" x 3"", NH x NH, Gray, Cast Iron DWV, Sanitary, Long Sweep, Straight, 1/4 Bend",Standard,70.55,8.5,27347.0,196.74,188.24,23.1,revisar cotacao
NHSF-400.300-WYE,"Tyler Pipe 008255 4"" x 4"" x 3"", NH x NH x NH, Gray, Cast Iron DWV, Sanitary, Reducing, 45D Wye",Standard,69.12,9.0,26639.0,191.65,182.65,21.3,revisar cotacao
NHSF-400.300-SANT,"Tyler Pipe 007623 4"" x 4"" x 3"", NH x NH x NH, Gray, Cast Iron, Sanitary, Reducing, Tee",Standard,66.05,8.3,25576.0,184.0,175.7,22.2,revisar cotacao
MPEX-1220120,"MrPEX Systems 1220120 1/2"" x 1200' Red O2 Barrier PEX-a Tubing",Standard,1302.66,29.2,27908.0,200.77,171.57,6.9,revisar cotacao
NHSF-400.200-LTTY,"Tyler Pipe 008811 4"" x 4"" x 2"", NH x NH x NH, Gray, Cast Iron, Reducing, Combination",Standard,63.38,7.4,24513.0,176.36,168.96,23.8,revisar cotacao
ELKA-EZSTL8WSLK,Elkay EZSTL8WSLK ezH2O Bottle Filling Station & Versatile Bi-Level ADA Cooler Non-Filtered Refrigerated Light Gray,General,3749.97,2.0,23557.0,169.47,167.47,84.7,mover p/ Freight ou Standard
GVLF-7788-500-PNTD,"Gruvlok 5"" Flange Adapter - Painted - GR x Flange",General,1222.07,14.24,24607.0,177.03,162.79,12.4,mover p/ Freight ou Standard
NHSF-300-LTTY,"Tyler Pipe 008804 3"" x 3"" x 3"", NH x NH x NH, Gray, Cast Iron, Straight, Combination",Standard,61.2,8.4,23663.0,170.24,161.84,20.3,revisar cotacao
MPEX-1680010,"MrPEX Systems 1680010 2"" x 100' White Potable PEX-a Tubing",General,1322.61,13.14,24299,174.81,161.67,13.3,mover p/ Freight ou Standard
NHSF-400.200-SANT,"Tyler Pipe 007616 4"" x 4"" x 2"", NH x NH x NH, Gray, Cast Iron, Sanitary, Reducing, Tee",Standard,57.75,6.6,22317.0,160.55,153.95,24.3,revisar cotacao
NHSF-400-1/4,"Tyler Pipe 006879 4"" x 4"", NH x NH, Gray, Cast Iron DWV, Sanitary, Straight, 1/4 Bend",Standard,55.17,7.7,21325.0,153.42,145.72,19.9,revisar cotacao
ELKA-LZWS-ERPB8-RF,Elkay LZWS-ERPB8-RF ezH2O Retrofit Bottle Filling Station for SwirlFlo Fountain Filtered Refrigerated Stainless,General,3424.35,2.0,20396.0,146.74,144.74,73.4,mover p/ Freight ou Standard
NHSF-300-WYE,"Tyler Pipe 008231 3"" x 3"" x 3"", NH x NH x NH, Gray, Cast Iron DWV, Sanitary, Straight, 45D Wye",Standard,49.64,6.5,19200.0,138.13,131.63,21.3,revisar cotacao
ELKA-EDFP217RAC,Elkay EDFP217RAC Soft Sides Bi-Level Reverse Fountain Non-Filtered Non-Refrigerated Stainless,General,3310.95,2.0,18564,133.55,131.55,66.8,mover p/ Freight ou Standard
NHSF-300.200-LTTY,"Tyler Pipe 008798 3"" x 3"" x 2"", NH x NH x NH, Gray, Cast Iron, Reducing, Combination",Standard,48.75,5.8,18775.0,135.07,129.27,23.3,revisar cotacao
NHSF-300-SS1/4,"Tyler Pipe 007128 3"" x 3"", NH x NH, Gray, Cast Iron DWV, Sanitary, Short Sweep, Straight, 1/4 Bend",Standard,48.75,6.2,18775.0,135.07,128.87,21.8,revisar cotacao
RBRN-MC1240D4FPR,"Robern MC1240D4FPR 12"" x 4"" x 40"", 10-1/2"" x 4"" x 38-5/8"" Recessed Rough-In, Flat/Plain Door, Right Hand Hinge, Satin Anodized Aluminum, Surface Mount",General,1754.1,1.0,17400,125.18,124.18,125.2,mover p/ Freight ou Standard
ELKA-EZSDWSVRLK,Elkay EZSDWSVRLK ezH2O Bottle Filling Station with Single ADA Vandal-Resistant Cooler Non-Filtered Non-Refrigerated Light Gray,General,2374.37,2.0,17220.0,123.88,121.88,61.9,mover p/ Freight ou Standard
NHSF-300-SANT,"Tyler Pipe 007609 3"" x 3"" x 3"", NH x NH x NH, Gray, Cast Iron, Sanitary, Straight, Tee",Standard,45.48,5.9,17570.0,126.41,120.51,21.4,revisar cotacao
ELKA-LZSTL8WSLP,Elkay LZSTL8WSLP Enhanced ezH2O Bottle Filling Station & Versatile Bi-Level ADA Cooler Filtered Refrigerated Light Gray,General,3817.65,2.0,15442.0,111.1,109.1,55.5,mover p/ Freight ou Standard
NHSF-300.200-SANT,"Tyler Pipe 007593 3"" x 3"" x 2"", NH x NH x NH, Gray, Cast Iron, Sanitary, Reducing, Tee",Standard,40.24,4.9,15516.0,111.62,106.72,22.8,revisar cotacao
NHSF-200-LTTY,"Tyler Pipe 008781 2"" x 2"" x 2"", NH x NH x NH, Gray, Cast Iron, Straight, Combination",Standard,38.95,4.5,15020.0,108.06,103.56,24.0,revisar cotacao
NHSF-200-PTR,"Tyler Pipe 010128 2"" x 2"", NH x NH, Cast Iron DWV, Straight, P-Trap",Standard,38.95,4.7,15020.0,108.06,103.36,23.0,revisar cotacao
AMST-8725.024.477,American Standard 8725024.477 Studio® S 24-Inch Vanity Dark Grey,General,1246.65,1.0,13925.0,100.18,99.18,100.2,mover p/ Freight ou Standard
NHSF-200-SS1/4,"Tyler Pipe 007111 2"" x 2"", NH x NH, Gray, Cast Iron DWV, Sanitary, Short Sweep, Straight, 1/4 Bend",Standard,37.38,4.2,14311.0,102.96,98.76,24.5,revisar cotacao
NHSF-300-1/4,"Tyler Pipe 006862 3"" x 3"", NH x NH, Gray, Cast Iron DWV, Sanitary, Straight, 1/4 Bend",Standard,37.38,4.9,14382.0,103.47,98.57,21.1,revisar cotacao
NHSF-300.200-WYE,"Tyler Pipe 008224 3"" x 3"" x 2"", NH x NH x NH, Gray, Cast Iron DWV, Sanitary, Reducing, 45D Wye",Standard,36.88,4.3,14170.0,101.94,97.64,23.7,revisar cotacao
MUST-760T-34WHT,"E. L Mustee & Sons E.L. Mustee & Sons - DURAWALL® (Wall & Door Components) White, Shower Bases & Walls - 5-Piece, Rectangular, Tile Pattern (60"" x",Standard,1283.24,100.0,27302.0,196.42,96.42,2.0,revisar cotacao
ELKA-EDFP217C,Elkay EDFP217C Soft Sides Bi-Level Fountain Non-Filtered Non-Refrigerated Stainless,General,3310.95,42.0,18564,133.55,91.55,3.2,mover p/ Freight ou Standard
ROHL-RSS3618SB,"Rohl RSS3618SB Forze™ 36"" Single Bowl Stainless Steel Kitchen Sink in Brushed Stainless Steel",General,2104.05,1.0,12792,92.03,91.03,92.0,mover p/ Freight ou Standard
ELKA-LRAD-3722-65-4,"Elkay LRAD3722654 Lustertone Classic Stainless Steel 37"" x 22"" x 6-1/2"" 4-Hole Equal Double Bowl Drop-in ADA Sink",General,1565.41,1.0,12388.0,89.12,88.12,89.1,mover p/ Freight ou Standard
MPEX-1670010,"MrPEX Systems 1670010 1-1/2"" x 100' White Potable PEX-a Tubing",General,772.86,13.14,13260,95.4,82.26,7.3,mover p/ Freight ou Standard
ELKA-LZS8WSLP,Elkay LZS8WSLP Enhanced EZH2O Bottle Filling Station & Single ADA Cooler Filtered Refrigerated Light Gray,General,2777.72,2.0,11705.0,84.21,82.21,42.1,mover p/ Freight ou Standard
ELKA-DLR-2522-10-PD-1,"Elkay DLR252210PD1 Lustertone Classic Stainless Steel 25"" x 22"" x 10-3/8"" 1-Hole Single Bowl Drop-in Sink with Perfect Drain",General,1246.85,1.0,11288.0,81.21,80.21,81.2,mover p/ Freight ou Standard
MUST-28CF,"E. L Mustee & Sons E.L. Mustee & Sons - UTILITUB®, BIGTUB™ (Drop-In Sink) White, Single Bowl SinksMolded Polypropylene (Body), Steel (Leg) - 40"" x",Standard,398.46,40.0,16589.0,119.34,79.34,3.0,revisar cotacao
MUST-27W,"E. L Mustee & Sons E.L. Mustee & Sons - UTILATWIN® (Laundry/Utility Sink) White, Double Bowl Sinks Thermoplastic - 40"" x 24"" x 34""",Standard,349.92,40.0,16589.0,119.34,79.34,3.0,revisar cotacao
MPEX-1230110,"MrPEX Systems 1230110 5/8"" x 1100' Red O2 Barrier PEX-a Tubing",Standard,1717.49,29.2,14400,103.6,74.4,3.5,revisar cotacao
MUST-265-WHT,"E. L Mustee & Sons E.L. Mustee & Sons - DURAWALL® (Wall & Door Components) White, Smooth/Colorfast Gloss, Shower Bases & Walls - 5-Piece, Rectangle",General,609.4,43.0,15552,111.88,68.88,2.6,mover p/ Freight ou Standard
TOTO-MS646124CEMFGN-01,"Toto USA MS646124CEMFGN#01 - Aquia® IV, WASHLET®, Cotton, 1-Piece Elongated Toilet - 0.9/1.28 GPF",Standard,1188.72,40.0,15040.0,108.2,68.2,2.7,revisar cotacao
TOTO-MS646124CEMFG-01,"Toto USA MS646124CEMFG#01 - Aquia® IV, Cotton, 1-Piece Elongated Toilet - 1.28/0.8 GPF",Standard,992.94,40.0,15040.0,108.2,68.2,2.7,revisar cotacao
ROHL-6347-00,"Rohl 6347-00 Allia™ 24"" Fireclay Single Bowl Undermount Kitchen Or Laundry Sink in White",General,1324.05,1.0,9619.0,69.2,68.2,69.2,mover p/ Freight ou Standard
ELKA-DLR-3319-10-3,"Elkay DLR3319103 Lustertone Classic Stainless Steel 33"" x 19-1/2"" x 10-1/8"" 3-Hole Equal Double Bowl Drop-in Sink",General,1631.34,23.0,12401.0,89.22,66.22,3.9,mover p/ Freight ou Standard
ELKA-LZSTL8WSLK,Elkay LZSTL8WSLK ezH2O Bottle Filling Station & Versatile Bi-Level ADA Cooler Filtered Refrigerated Light Gray,General,3676.8,104.0,23557.0,169.47,65.47,1.6,mover p/ Freight ou Standard
ELKA-LR-3722-3,"Elkay LR37223 Lustertone Classic Stainless Steel 37"" x 22"" x 7-5/8"" 3-Hole Equal Double Bowl Drop-in Sink",General,1608.38,24.0,12388.0,89.12,65.12,3.7,mover p/ Freight ou Standard
MUST-3248M,"E. L Mustee & Sons 3248M E.L. Mustee & Sons - DURABASE® (Shower Base) White, 1-Piece, Rectangle, Single Threshold (48"" x 32"" x 5-1/2"")",Standard,295.69,45.0,14861.0,106.91,61.91,2.4,revisar cotacao
DURA-2173010085,"Duravit ME by Starck 1.28 GPF Single Flush Rimless Elongated ADA Compliant One Piece Toilet in White, Top Push Button Flush - Seat Sold Separately",Standard,1038.38,40.0,13997.0,100.7,60.7,2.5,revisar cotacao
DURA-2173010001,"Duravit 2173010001 ME by Starck 1.32/0.92 GPF Dual Flush Rimless Elongated One Piece Toilet in White, Top Push Button Flush - Seat Sold Separately",Standard,1038.38,40.0,13997.0,100.7,60.7,2.5,revisar cotacao
HONE-L4006E1067/U,"Resideo L4006E1067/U Aquastat, breaks on rise, 130-270F range, 250F factory stop, less well",General,306.81,5.0,8640,62.16,57.16,12.4,mover p/ Freight ou Standard
DAYT-DXUH3118,"Dayton DXUH3118 Stainless Steel 31-3/4"" x 18-1/4"" x 8"" Equal Double Bowl Undermount Sink",General,910.5,16.0,9793.0,70.45,54.45,4.4,mover p/ Freight ou Standard
ELKA-DLR-2522-10-3,"Elkay DLR2522103 Lustertone Classic Stainless Steel 25"" x 22"" x 10-3/8"" 3-Hole Single Bowl Drop-in Sink",General,1186.83,18.5,10080.0,72.52,54.02,3.9,mover p/ Freight ou Standard
ELKA-ELUH-3118,"Elkay ELUH3118 Lustertone Classic Stainless Steel, 30-3/4"" x 18-1/2"" x 7-7/8"" Equal Double Bowl Undermount Sink",General,1036.44,21.0,10418.0,74.95,53.95,3.6,mover p/ Freight ou Standard
OATE-30205,Oatey® 30205 Gallon Dark Cutting Oil (Speed Threading),Standard,52.48,8.25,8640,62.16,53.91,7.5,revisar cotacao
DURA-0454120024,"Duravit 0454120024 Vero 47 1/4"" Rectangular Wall Mounted Sink in White with Two Sets of Single Faucet Holes and with Overflow",General,2110.88,1.0,7447.0,53.58,52.58,53.6,mover p/ Freight ou Standard
DURA-2350120000,"Duravit 2350120000 Vero 47 1/4"" Rectangular Wall Mounted Sink in White with Single Faucet Hole and with Overflow",General,2383.88,1.0,7447.0,53.58,52.58,53.6,mover p/ Freight ou Standard
DAYT-DSE-23322-3,"Dayton DSE233223 Stainless Steel 33"" x 22"" x 8-1/16"" 3-Hole Equal Double Bowl Drop-in Sink",General,712.5,18.25,9101.0,65.47,47.22,3.6,mover p/ Freight ou Standard
DAYT-DSE-23322-4,"Dayton DSE233224 Stainless Steel 33"" x 22"" x 8-1/16"" 4-Hole Equal Double Bowl Drop-in Sink",General,712.5,18.25,9101.0,65.47,47.22,3.6,mover p/ Freight ou Standard
DURA-0329100000,"Duravit 0329100000 Vero 41 3/8"" Rectangular Wall Mounted Sink in White with Single Faucet Hole and with Overflow",General,1735.5,1.0,6573.0,47.29,46.29,47.3,mover p/ Freight ou Standard
ELKA-LR-2522-1,"Elkay LR25221 Lustertone Classic Stainless Steel 25"" x 22"" x 8-1/8"" 1-Hole Single Bowl Drop-in Sink",Standard,935.68,15.0,8468.0,60.92,45.92,4.1,revisar cotacao
HOLD-40-S-22-A,"HoldRite 40-S-22-A 22"" Water Heater Stand Assembled",Standard,99.7,16.0,8480.0,61.0,45.0,3.8,revisar cotacao
MPEX-6114001,MrPEX Systems 6114001 15.75 x 31.5 - RetroPanel Straight for 1/2 PEX Tubing,General,652.59,2.04,6400,46.04,44.0,22.6,mover p/ Freight ou Standard
BOOT-011-3302-00,Bootz 011-3302-00 Kona 5430 Porcelain Enamel Right Hand Alcove Bathtub,Standard,405.64,70.0,15552,111.88,41.88,1.6,revisar cotacao
BOOT-011-3303-00,Bootz 011-3303-00 Kona 5430 Porcelain Enamel Left Hand Alcove Bathtub,Standard,405.64,70.0,15552,111.88,41.88,1.6,revisar cotacao
HOLD-40-S-24-A,"HoldRite 40-S-24-A 24"" Water Heater Stand Assembled",Standard,184.34,25.0,9216,66.3,41.3,2.7,revisar cotacao
ELKA-LRAD-2521-65-1,"Elkay LRAD2521651 Lustertone Classic Stainless Steel 25"" x 21-1/4"" x 6-1/2"" Single Bowl Drop-in ADA Sink",General,982.37,15.0,7663.0,55.13,40.13,3.7,mover p/ Freight ou Standard
ELKA-ELUHAD-2115-55,"Elkay ELUHAD211555 Lustertone Classic Stainless Steel 23-1/2"" x 18-1/4"" x 5-3/8"" Single Bowl Undermount ADA Sink",General,594.88,15.0,7663.0,55.13,40.13,3.7,mover p/ Freight ou Standard
TOTO-CT446CEGN-01,"TOTO Aquia IV Elongated Skirted Toilet Bowl with CEFIONTECT, Cotton White - CT446CEGN#01",Standard,493.74,43.7,11584.0,83.34,39.64,1.9,revisar cotacao
ELKA-LZS8WSLK,Elkay LZS8WSLK ezH2O Bottle Filling Station with Single ADA Cooler Filtered Refrigerated Light Gray,General,2636.87,85.0,17220.0,123.88,38.88,1.5,mover p/ Freight ou Standard
MOEN-67430,Moen Chateau Single-Handle Standard Kitchen Faucet with Side Sprayer in Chrome 67430,General,180.3,4.24,5966.0,42.92,38.68,10.1,mover p/ Freight ou Standard
DONN-8724,Moen 8724 Home Care 24 in. x 1-1/4 in. Concealed Screw Grab Bar with SecureMount in Stainless Steel,Standard,61.65,1.89,5616.0,40.4,38.51,21.4,revisar cotacao
DAYT-DSE-12522-4,"Dayton DSE125224 Stainless Steel 25"" x 22"" x 8-1/16"" 4-Hole Single Bowl Drop-in Sink",General,573.0,14.0,7276.0,52.34,38.34,3.7,mover p/ Freight ou Standard
DAYT-DSE-12522-3,"Dayton DSE125223 Stainless Steel 25"" x 22"" x 8-1/16"" 3-Hole Single Bowl Drop-in Sink",General,573.0,14.0,7276.0,52.34,38.34,3.7,mover p/ Freight ou Standard
TOTO-CT446CEGNT40-01,"TOTO Aquia IV WASHLET+ Elongated Skirted Toilet Bowl with CEFIONTECT, Cotton White - CT446CEGNT40#01",Standard,493.74,45.8,11584.0,83.34,37.54,1.8,revisar cotacao
DURA-0329850000,"Duravit 0329850000 Vero 33 1/2"" Rectangular Wall Mounted Sink in White with Single Faucet Hole and with Overflow",General,1413.75,1.0,5304.0,38.16,37.16,38.2,mover p/ Freight ou Standard
ROHL-MS3018WH,"Shaws MS3018WH Shaker™ 30"" Single Bowl Farmhouse Apron Front Fireclay Kitchen Sink in White (WH)",Standard,2513.55,43.5,11172.0,80.38,36.88,1.8,revisar cotacao
DAYT-D-23322-4,"Dayton D233224 Stainless Steel 33"" x 22"" x 6-9/16"" 4-Hole Equal Double Bowl Drop-in Sink",General,394.5,12.4,6756.0,48.61,36.21,3.9,mover p/ Freight ou Standard
DAYT-DD-23322-4,"Dayton DD233224 Stainless Steel 33"" x 22"" x 7-1/16"" 4-Hole Equal Double Bowl Drop-in Sink",Standard,502.5,12.4,6756.0,48.61,36.21,3.9,revisar cotacao
AMST-3712A.100.020,American Standard 3712A100.020 Studio® S Concealed Trapway Chair Height Elongated Toilet Bowl With Seat White,Standard,575.06,40.0,10571.0,76.05,36.05,1.9,revisar cotacao
DONN-8718,"Moen 8718 Home Care Stainless 18"" concealed screw grab bar",Standard,59.78,1.95,5184,37.29,35.34,19.1,revisar cotacao
SUNT-SEL-3,"Suntemp SEL-3 3"" Baseboard End Cap Left Side - 700 Series",Standard,13.98,2.19,5162.0,37.14,34.95,17.0,revisar cotacao
SUNT-SER-3,"Suntemp SER-3 3"" Baseboard End Cap Right Side - 700 Series",Standard,13.98,2.19,5162.0,37.14,34.95,17.0,revisar cotacao
MOEN-G18121,Moen G18121 Prep 1800 Series Farmhouse Apron Front Stainless Steel 30 in. Single Bowl Kitchen Sink,Standard,794.49,38.25,10093.0,72.61,34.36,1.9,revisar cotacao
TOTO-CT446CEFGNT40-01,"TOTO® Aquia® IV Elongated Universal Height Skirted Toilet Bowl with CEFIONTECT®, WASHLET®+ Ready, Cotton White - CT446CEFGNT40#01",Standard,540.54,49.4,11584.0,83.34,33.94,1.7,revisar cotacao
TOTO-CT446CEFNT40-51,"TOTO® Aquia® IV Elongated Universal Height Skirted Toilet Bowl, WASHLET®+ Ready, Ebony - CT446CEFNT40#51",Standard,808.86,49.6,11584.0,83.34,33.74,1.7,revisar cotacao
TOTO-CT446CEFGN-01,"TOTO® Aquia® IV Elongated Universal Height Skirted Toilet Bowl with CEFIONTECT, Cotton White - CT446CEFGN#01",Standard,540.54,49.6,11584.0,83.34,33.74,1.7,revisar cotacao
MOEN-G18180,Moen G18180 Prep 1800 Series Undermount Stainless Steel 31 in. 0-Hole Single Bowl Kitchen Sink,General,513.36,27.35,8378.0,60.27,32.92,2.2,mover p/ Freight ou Standard
DURA-0438600087,"Duravit 0438600087 1930 series 23 5/8"" Octagonal Wall Mounted Sink in White with Widespread Faucet Holes and with Overflow",General,443.62,1.0,4685.0,33.7,32.7,33.7,mover p/ Freight ou Standard
MUST-3060L-WHT,"E. L Mustee & Sons 3060L E.L. Mustee & Sons - Shower Base, White - 1-Piece, Threshold, Rectangle (60"" x 30"" x )",Standard,399.69,55.0,12096,87.02,32.02,1.6,revisar cotacao
DURA-23106500002,"Duravit 23106500002 D-Code 25 5/8"" Rectangular Wall Mounted Sink in White with Single Faucet Hole and with Overflow",General,302.25,1.0,4456.0,32.05,31.05,32.1,mover p/ Freight ou Standard
MUST-12K,"E. L Mustee & Sons E.L. Mustee & Sons - (Drop-In Sink) White, Single Bowl SinksPolypropylene - 18"" x 23-1/2"" x 33""",General,92.14,14.0,6221.0,44.75,30.75,3.2,mover p/ Freight ou Standard
ELKA-LZWSRK,Elkay LZWSRK ezH2O RetroFit Bottle Filling Station Kit for EZ Family Filtered Non-Refrigerated,General,1569.49,8.6,5430.0,39.06,30.46,4.5,mover p/ Freight ou Standard
SIOU-696-2313MF,Sioux Chief 696-2313MF OxBox Washing Machine w/Mini Rester MIP/FSWT,Standard,65.66,2.78,4595.0,33.06,30.28,11.9,revisar cotacao
VEGA-32225,"Viega 32225 1/2"" x 500' Blue PureFlow PEX Tubing",Standard,221.04,26.75,7922.0,56.99,30.24,2.1,revisar cotacao
VEGA-32125,"Viega 32125 1/2"" x 500' Red PureFlow PEX Tubing",Standard,221.04,26.8,7922.0,56.99,30.19,2.1,revisar cotacao
SIOU-696R2313MF,Sioux Chief 696R2313MF OxBox Washing Machine Box Firerated w/Arrester MIP,Standard,104.93,3.18,4595.0,33.06,29.88,10.4,revisar cotacao
AMST-1297.001.020,American Standard 1297001.020 Studio® S 24-Inch Vitreous China Vanity Sink Top Center Hole Only White,General,419.43,1.0,4193.0,30.16,29.16,30.2,mover p/ Freight ou Standard
MPEX-1660010,"MrPEX Systems 1660010 1-1/4"" x 100' White Potable PEX-a Tubing",General,566.7,13.14,5814.0,41.83,28.69,3.2,mover p/ Freight ou Standard
DAYT-D-23319-3,"Dayton D233193 Stainless Steel 33"" x 19"" x 6-7/16"" 3-Hole Equal Double Bowl Drop-in Sink",General,438.0,13.0,5774.0,41.54,28.54,3.2,mover p/ Freight ou Standard
RBRN-PLM2430GBLE,"Robern PLM2430GBLE 24"" x 4-5/8"" x 30"", Classic Gray, Rust-Free Aluminum Cabinet, Glass Shelf, Recessed/Surface Mount, Beveled Front Mirror, Left 170D",General,1466.1,43.0,9898.0,71.21,28.21,1.7,mover p/ Freight ou Standard
SIOU-672XV4L-11313,"Sioux Chief 672XV4L-11313 1"" Male Sweat x Female Sweat Manifold 4 port with Valves 1/2"" F1807",General,341.4,6.13,4754.0,34.2,28.07,5.6,mover p/ Freight ou Standard
DAYT-D-12521-4,"Dayton D125214 Stainless Steel 25"" x 21-1/4"" x 6-9/16"" 4-Hole Single Bowl Drop-in Sink",General,306.0,9.7,5234.0,37.65,27.95,3.9,mover p/ Freight ou Standard
DAYT-D-12522-3,"Dayton D125223 Stainless Steel 25"" x 22"" x 6-9/16"" 3-Hole Single Bowl Drop-in Sink",General,306.0,9.8,5234.0,37.65,27.85,3.8,mover p/ Freight ou Standard
GERB-D481116BN,"Gerber D481116BN 13"" S Shaped Showerarm w/ Escutcheon Brushed Nickel",General,92.34,1.64,4095.0,29.46,27.82,18.0,mover p/ Freight ou Standard
GERB-D481116,"Gerber D481116 13"" S Shaped Showerarm w/ Escutcheon Chrome",General,71.28,1.64,4095.0,29.46,27.82,18.0,mover p/ Freight ou Standard
ELKA-EHS-18-KVX,"Elkay EHS-18-KVX Stainless Steel 18"" x 14-1/2"" x 11"" 18 Gauge Hand Sink with Knee Valve and Faucet",Standard,2073.35,22.0,6912,49.73,27.73,2.3,revisar cotacao
VEGA-32266,"Viega 32266 1"" x 100' Blue PureFlow PEX Tubing",Standard,143.46,13.14,5582.0,40.15,27.01,3.1,revisar cotacao
DAYT-GE-12521-R3,"Dayton GE12521R3 Stainless Steel 25"" x 21-1/4"" x 5-3/8"" 3-Hole Single Bowl Drop-in Sink with Right Drain",General,459.0,9.9,5127.0,36.88,26.98,3.7,mover p/ Freight ou Standard
TOTO-CT446CUFGT40-12,"Toto USA CT446CUFGT40#12 - Aquia® IV, Sedona Beige, Elongated Bowl - 1.28/0.8 GPF",Standard,503.1,40.0,9186.0,66.09,26.09,1.7,revisar cotacao
AMST-0039.000.020,American Standard 0039000.020 Edgemere® Pedestal Leg White,General,113.18,1.0,3766.0,27.09,26.09,27.1,mover p/ Freight ou Standard
ELKA-LR-1919-3,"Elkay LR19193 Lustertone Classic Stainless Steel 19-1/2"" x 19"" x 7-1/2"" 3-Hole Single Bowl Drop-in Sink",Standard,857.16,13.0,5413.0,38.94,25.94,3.0,revisar cotacao
ELKA-ELUHAD-1616-55,"Elkay ELUHAD161655 Lustertone Classic Stainless Steel 18-1/2"" x 18-1/2"" x 5-3/8"" Single Bowl Undermount ADA Sink",General,680.1,13.2,5417.0,38.97,25.77,3.0,mover p/ Freight ou Standard
SUNT-SPJ,"Suntemp 2"" Baseboard Planer Joint - 700 Series",Standard,10.89,2.19,3837.0,27.6,25.41,12.6,revisar cotacao
DURA-0454600027,"Duravit 0454600027 Vero 23 5/8"" Rectangular Vessel Sink in White with Single Faucet Hole and with Overflow",General,916.5,1.0,3624.0,26.07,25.07,26.1,mover p/ Freight ou Standard
DURA-0454600000,"Duravit 0454600000 Vero 23 5/8"" Rectangular Wall Mounted Sink in White with Single Faucet Hole and with Overflow",General,853.12,1.0,3624.0,26.07,25.07,26.1,mover p/ Freight ou Standard
MUST-65MX,"E. L Mustee & Sons E.L. Mustee & Sons - DURASTONE® (Mop/Service Sink) Colorfast Marbleized White, Single Bowl Sinks Molded Fiberglass - 36"" x 24"" x",Standard,281.08,62.2,12096,87.02,24.82,1.4,revisar cotacao
GERB-D606425BN,"Gerber D606425BN 8"" Wall Mount Tub Spout with Diverter Brushed Nickel",General,83.43,1.46,3542.0,25.48,24.02,17.5,mover p/ Freight ou Standard
GERB-D606425,"Gerber D606425 8"" Wall Mount Tub Spout with Diverter Chrome",General,63.18,1.46,3542.0,25.48,24.02,17.5,mover p/ Freight ou Standard
