handle,modelo,tipo,title,chars_antes,descricao_anterior
1-2-in-npt-mixing-valve-lf-c,AM100C-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100C-1LF/U 1/2 in NPT Mixing Valve LF C,341,"<p>The 1/2 in NPT Mixing Valve LF C by Resideo is part of our mixing valve - lead free - 1/2"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100C-1LF/U</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1/2""</li>
<li>
<strong>Shipping Weight:</strong> 7.2 lb</li>
</ul>"
1-2-in-npt-mixing-valve-lf-std,AM100-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100-1LF/U 1/2 in NPT Mixing Valve LF - STD,389,"<p>The 1/2 in NPT Mixing Valve LF - STD by Resideo is part of our mixing valve - lead free - 1/2"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100-1LF/U</li>
<li>
<strong>UPC:</strong> 085267337526</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1/2""</li>
<li>
<strong>Shipping Weight:</strong> 1.9 lb</li>
</ul>"
1-2-in-union-npt-lf-mixing-valve-std,AM100-UT-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100-UT-1LF/U 1/2 in Union NPT LF Mixing Valve - STD,347,"<p>The 1/2 in Union NPT LF Mixing Valve - STD by Resideo is part of our mixing valve - lead free - 1/2"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100-UT-1LF/U</li>
<li>
<strong>UPC:</strong> 085267337700</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1/2""</li>
</ul>"
1-2-in-union-npt-mixing-valve-lf-1070,AM100C1070-UT-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100C1070-UT-1LF 1/2 in Union NPT Mixing Valve LF 1070,214,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100C1070-UT-1LF</li>
<li>
<strong>UPC:</strong> 085267337595</li>
<li>
<strong>Shipping Weight:</strong> 1.5 lb</li>
</ul>"
1-2-in-union-pex-mixing-valve-lf-std,AM100-UPEX-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100-UPEX-1LF/U 1/2 in Union PEX Mixing Valve LF - STD,162,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100-UPEX-1LF/U</li>
<li>
<strong>UPC:</strong> 085267337687</li>
</ul>"
1-2-in-union-propress-mixing-valve-lf-std,AM100-UP-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100-UP-1LF/U 1/2 in Union ProPress Mixing Valve LF - STD,160,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100-UP-1LF/U</li>
<li>
<strong>UPC:</strong> 085267742887</li>
</ul>"
1-2-in-union-push-connect-mixing-valve-lf-1070,AM100C1070-SB-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100C1070-SB-1LF 1/2 in Union Push Connect Mixing Valve LF 1070,358,"<p>The 1/2 in Union Push Connect Mixing Valve LF 1070 by Resideo is part of our mixing valve - lead free - 1/2"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100C1070-SB-1LF</li>
<li>
<strong>UPC:</strong> 085267587334</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1/2""</li>
</ul>"
1-2-in-union-sweat-mixing-valve-lf-1070,AM100C1070-US-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100C1070-US-1LF 1/2 in Union Sweat Mixing Valve LF 1070,402,"<p>The 1/2 in Union Sweat Mixing Valve LF 1070 by Resideo is part of our mixing valve - lead free - 1/2"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100C1070-US-1LF</li>
<li>
<strong>UPC:</strong> 085267337571</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1/2""</li>
<li>
<strong>Shipping Weight:</strong> 1.5 lb</li>
</ul>"
1-2-in-union-sweat-mixing-valve-lf-std,AM100-US-1LF,"Mixing Valve - Lead Free - 1/2""",Resideo AM100-US-1LF/U 1/2 in Union Sweat Mixing Valve LF - STD,209,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM100-US-1LF/U</li>
<li>
<strong>UPC:</strong> 085267337694</li>
<li>
<strong>Shipping Weight:</strong> 2 lb</li>
</ul>"
1-dialset-press-double-union-pressure-reducing-valve,DS06-102-DUP-LF,Pressure Reducing Valves,"Resideo DS06-102-DUT-LF/U 1"" DialSet Press Double Union Pressure Reducing Valve",306,"<p>The 1"" DialSet Press Double Union Pressure Reducing Valve by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-102-DUT-LF/U</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
1-in-dialset-female-npt-double-union-internally-threaded-prv,DS06-102-DUT-LF,Pressure Reducing Valves,"Resideo DS06-102-DUT-LF/U 1 in DialSet Female NPT Double-Union, Internally-Threaded PRV",359,"<p>The 1 in DialSet Female NPT Double-Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-102-DUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267566117</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
1-in-dialset-female-npt-double-union-sweat-prv,DS06-102-DUS-LF,Pressure Reducing Valves,Resideo DS06-102-DUS-LF/U 1 in DialSet Female NPT Double Union Sweat PRV,344,"<p>The 1 in DialSet Female NPT Double Union Sweat PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-102-DUS-LF/U</li>
<li>
<strong>UPC:</strong> 085267524469</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
1-in-dialset-female-npt-single-union-internally-threaded-prv,DS06-102-SUT-LF,Pressure Reducing Valves,"Resideo DS06-102-SUT-LF/U 1 in DialSet Female NPT Single Union, Internally-Threaded PRV",410,"<p>The 1 in DialSet Female NPT Single Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-102-SUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267981767</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
<li>
<strong>Shipping Weight:</strong> 1.8 lb</li>
</ul>"
1-in-dialset-female-npt-single-union-sweat-prv,DS06-102-SUS-LF,Pressure Reducing Valves,Resideo DS06-102-SUS-LF/U 1 in DialSet Female NPT Single Union Sweat PRV,395,"<p>The 1 in DialSet Female NPT Single Union Sweat PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-102-SUS-LF/U</li>
<li>
<strong>UPC:</strong> 085267965682</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
<li>
<strong>Shipping Weight:</strong> 1.8 lb</li>
</ul>"
1-in-dn25-female-npt-pressure-regulating-valve,DS05-102-LF,Pressure Reducing Valves,Resideo DS05-102-LF/U 1 in DN25 Female NPT Pressure Regulating Valve,159,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS05-102-LF/U</li>
<li>
<strong>UPC:</strong> 194159007468</li>
</ul>"
1-in-dn25-pex-connectionpressure-regulating-valve,DS05-102-PEX-LF,Pressure Reducing Valves,Resideo DS05-102-PEX-LF/U 1 in DN25 Pex ConnectionPressure Regulating Valve,163,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS05-102-PEX-LF/U</li>
<li>
<strong>UPC:</strong> 194159007482</li>
</ul>"
1-in-dn25-push-connection-pressure-regulating-valve,DS05-102-SB-LF,Pressure Reducing Valves,Resideo DS05-102-SB-LF/U 1 in DN25 Push Connection Pressure Regulating Valve,348,"<p>The 1 in DN25 Push Connection Pressure Regulating Valve by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS05-102-SB-LF/U</li>
<li>
<strong>UPC:</strong> 194159007475</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
1-in-low-lead-am1-valve-tail-piece-3-unions-and-press-fittings,AM1-TAIL102-3UP-LF,Mixing Valve Accessories & Parts,Resideo AM1-TAIL102-3UP-LF 1 in Low Lead AM1 Valve Tail Piece (3 Unions and Press Fittings),387,"<p>The 1 in Low Lead AM1 Valve Tail Piece (3 Unions and Press Fittings) by Resideo is part of our mixing valve accessories &amp; parts selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM1-TAIL102-3UP-LF</li>
<li>
<strong>UPC:</strong> 085267870405</li>
<li>
<strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li>
</ul>"
1-in-npt-mixing-valve-lf,MX127LF,Mixing Valve - High Flow,Resideo MX127LF/U 1 in NPT Mixing Valve LF,365,"<p>The 1 in NPT Mixing Valve LF by Resideo is part of our mixing valve - high flow selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> MX127LF/U</li>
<li>
<strong>UPC:</strong> 085267182782</li>
<li>
<strong>Category:</strong> Mixing Valve - High Flow</li>
<li>
<strong>Shipping Weight:</strong> 4.4 lb</li>
</ul>"
1-in-npt-mixing-valve-lf-c,AM102C-1LF,"Mixing Valve - Lead Free - 1""",Resideo AM102C-1LF/U 1 in NPT Mixing Valve LF C,335,"<p>The 1 in NPT Mixing Valve LF C by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102C-1LF/U</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
<li>
<strong>Shipping Weight:</strong> 9.6 lb</li>
</ul>"
1-in-npt-mixing-valve-lf-std,AM102-1LF,"Mixing Valve - Lead Free - 1""",Resideo AM102-1LF/U 1 in NPT Mixing Valve LF - STD,381,"<p>The 1 in NPT Mixing Valve LF - STD by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102-1LF/U</li>
<li>
<strong>UPC:</strong> 085267337939</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
<li>
<strong>Shipping Weight:</strong> 9 lb</li>
</ul>"
1-in-union-npt-mixing-valve-lf-std,AM102-UT-1LF,"Mixing Valve - Lead Free - 1""",Resideo AM102-UT-1LF/U 1 in Union NPT Mixing Valve LF - STD,341,"<p>The 1 in Union NPT Mixing Valve LF - STD by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102-UT-1LF/U</li>
<li>
<strong>UPC:</strong> 085267338042</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
</ul>"
1-in-union-npt-mixing-valve-r-heat-only,AM102R-UT-1,"Mixing Valve - Lead Free - 1""",Resideo AM102R-UT-1/U 1 in Union NPT Mixing Valve R - Heat Only,345,"<p>The 1 in Union NPT Mixing Valve R - Heat Only by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102R-UT-1/U</li>
<li>
<strong>UPC:</strong> 085267825511</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
</ul>"
1-in-union-propress-lf-mixing-valve-1070,AM102C1070-UP-1LF,"Mixing Valve - Lead Free - 1""",Resideo AM102C1070-UP-1LF 1 in Union ProPress LF mixing valve 1070,303,"<p>The 1 in Union ProPress LF mixing valve 1070 by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102C1070-UP-1LF</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
</ul>"
1-in-union-propress-lf-mixing-valve-r-heat-only,AM102R-UP-1,"Mixing Valve - Lead Free - 1""",Resideo AM102R-UP-1/U 1 in Union ProPress LF Mixing Valve R - Heat Only,353,"<p>The 1 in Union ProPress LF Mixing Valve R - Heat Only by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102R-UP-1/U</li>
<li>
<strong>UPC:</strong> 085267607148</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
</ul>"
1-in-union-propress-mixing-valve-lf-std,AM102-UP-1LF,"Mixing Valve - Lead Free - 1""",Resideo AM102-UP-1LF/U 1 in Union ProPress Mixing Valve LF - STD,346,"<p>The 1 in Union ProPress Mixing Valve LF - STD by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102-UP-1LF/U</li>
<li>
<strong>UPC:</strong> 085267547109</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
</ul>"
1-in-union-push-connect-mixing-valve-lf-1070,AM102C1070-SB-1LF,"Mixing Valve - Lead Free - 1""",Resideo AM102C1070-SB-1LF 1 in Union Push Connect Mixing Valve LF 1070,352,"<p>The 1 in Union Push Connect Mixing Valve LF 1070 by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102C1070-SB-1LF</li>
<li>
<strong>UPC:</strong> 085267598491</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
</ul>"
1-in-union-sweat-mixing-valve-lf-std,AM102-US-1LF,"Mixing Valve - Lead Free - 1""",Resideo AM102-US-1LF/U 1 in Union Sweat Mixing Valve LF - STD,395,"<p>The 1 in Union Sweat Mixing Valve LF - STD by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102-US-1LF/U</li>
<li>
<strong>UPC:</strong> 085267338035</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
<li>
<strong>Shipping Weight:</strong> 10.8 lb</li>
</ul>"
1-in-union-sweat-mixing-valve-r-heat-only,AM102R-US-1,"Mixing Valve - Lead Free - 1""",Resideo AM102R-US-1/U 1 in Union Sweat Mixing Valve R - Heat Only,398,"<p>The 1 in Union Sweat Mixing Valve R - Heat Only by Resideo is part of our mixing valve - lead free - 1"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM102R-US-1/U</li>
<li>
<strong>UPC:</strong> 085267825498</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 1""</li>
<li>
<strong>Shipping Weight:</strong> 2.5 lb</li>
</ul>"
2-in-dialset-female-npt-double-union-internally-threaded-prv,DS06-105-DUT-LF,Pressure Reducing Valves,"Resideo DS06-105-DUT-LF/U 2 in DialSet Female NPT Double-Union, Internally-Threaded PRV",163,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-105-DUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267105873</li>
</ul>"
2-in-dialset-female-npt-single-union-internally-threaded-prv,DS06-105-SUT-LF,Pressure Reducing Valves,"Resideo DS06-105-SUT-LF/U 2 in DialSet Female NPT Single Union, Internally-Threaded PRV",408,"<p>The 2 in DialSet Female NPT Single Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-105-SUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267444408</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
<li>
<strong>Shipping Weight:</strong> 9 lb</li>
</ul>"
3-4-in-dialset-female-npt-double-union-internally-threaded-prv,DS06-101-DUT-LF,Pressure Reducing Valves,"Resideo DS06-101-DUT-LF/U 3/4 in DialSet Female NPT Double Union, Internally-Threaded PRV",361,"<p>The 3/4 in DialSet Female NPT Double Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-101-DUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267378550</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
3-4-in-dialset-female-npt-double-union-sweat-prv,DS06-101-DUS-LF,Pressure Reducing Valves,"Resideo DS06-101-DUS-LF/U 3/4 in DialSet Female NPT Double Union, Sweat PRV",347,"<p>The 3/4 in DialSet Female NPT Double Union, Sweat PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-101-DUS-LF/U</li>
<li>
<strong>UPC:</strong> 085267354004</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
3-4-in-dialset-female-npt-single-union-internally-threaded-prv,DS06-101-SUT-LF,Pressure Reducing Valves,"Resideo DS06-101-SUT-LF/U 3/4 in DialSet Female NPT Single Union, Internally-Threaded PRV",412,"<p>The 3/4 in DialSet Female NPT Single Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-101-SUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267467667</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
<li>
<strong>Shipping Weight:</strong> 1.8 lb</li>
</ul>"
3-4-in-dialset-female-npt-single-union-sweat-tailpiece-prv,DS06-101-SUS-LF,Pressure Reducing Valves,Resideo DS06-101-SUS-LF/U 3/4 in DialSet Female NPT Single Union Sweat-Tailpiece PRV,214,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-101-SUS-LF/U</li>
<li>
<strong>UPC:</strong> 085267420747</li>
<li>
<strong>Shipping Weight:</strong> 1.8 lb</li>
</ul>"
3-4-in-dn20-female-npt-pressure-regulating-valve,DS05-101-LF,Pressure Reducing Valves,Resideo DS05-101-LF/U 3/4 in DN20 - Female NPT Pressure Regulating Valve,159,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS05-101-LF/U</li>
<li>
<strong>UPC:</strong> 194159007437</li>
</ul>"
3-4-in-dn20-pex-connection-pressure-regulating-valve,DS05-101-PEX-LF,Pressure Reducing Valves,Resideo DS05-101-PEX-LF/U 3/4 in DN20 Pex Connection Pressure Regulating Valve,350,"<p>The 3/4 in DN20 Pex Connection Pressure Regulating Valve by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS05-101-PEX-LF/U</li>
<li>
<strong>UPC:</strong> 194159007451</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
3-4-in-dn20-push-connection-pressure-regulating-valve,DS05-101-SB-LF,Pressure Reducing Valves,Resideo DS05-101-SB-LF/U 3/4 in DN20 Push Connection Pressure Regulating Valve,162,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS05-101-SB-LF/U</li>
<li>
<strong>UPC:</strong> 194159007444</li>
</ul>"
3-4-in-low-lead-am1-valve-tail-piece-3-unions-and-press-fittings,AM1-TAIL101-3UP-LF,Mixing Valve Accessories & Parts,Resideo AM1-TAIL101-3UP-LF 3/4 in Low Lead AM1 Valve Tail Piece (3 Unions and Press Fittings),389,"<p>The 3/4 in Low Lead AM1 Valve Tail Piece (3 Unions and Press Fittings) by Resideo is part of our mixing valve accessories &amp; parts selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM1-TAIL101-3UP-LF</li>
<li>
<strong>UPC:</strong> 085267853996</li>
<li>
<strong>Category:</strong> Mixing Valve Accessories &amp; Parts</li>
</ul>"
3-4-in-npt-mixing-valve-lf-c,AM101C-1LF,"Mixing Valve - Lead Free - 3/4""",Resideo AM101C-1LF/U 3/4 in NPT Mixing Valve LF C,341,"<p>The 3/4 in NPT Mixing Valve LF C by Resideo is part of our mixing valve - lead free - 3/4"" selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM101C-1LF/U</li>
<li>
<strong>Category:</strong> Mixing Valve - Lead Free - 3/4""</li>
<li>
<strong>Shipping Weight:</strong> 7.8 lb</li>
</ul>"
3-4-in-npt-mixing-valve-lf-std,AM101-1LF,"Mixing Valve - Lead Free - 3/4""",Resideo AM101-1LF/U 3/4 in NPT Mixing Valve LF - STD,208,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AM101-1LF/U</li>
<li>
<strong>UPC:</strong> 085267337717</li>
<li>
<strong>Shipping Weight:</strong> 7.8 lb</li>
</ul>"
