ID,Handle,SEO Title,SEO Description
7715532669031,1-2-lb-b-monster-velocity-tank-flush,Mill Rose 76052 1.2 LB. B MONSTER VELOCITY TANK FLUSH,"Mill Rose 76052 Blue Monster Velocity tank flush, 1.2 lb. A system flush lifts the sludge and scale out of a loop before fresh water treatment goes in."
7715464708199,1-2-pex-expansion-ring-heatlink,"HeatLink EX24205 1/2"" PEX Expansion Ring - HeatLink","HeatLink 1/2 in. PEX expansion ring, MPN EX24205. For ASTM F1960 cold-expansion joints: ring and tube expand together, then shrink tight on the fitting."
7715601678439,1-2-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4600500 1/2"" PEX Expansion Ring -","MrPEX Systems 1/2"" PEX Expansion Ring. The ring expands with the tube and draws back onto the fitting by material memory. MPN 4600500."
7715600498791,1-2-pex-press-sleeve-v-sleeve-mr-pex-systems,"MrPEX Systems 4000500 1/2"" PEX Press Sleeve V-Sleeve -","MrPEX Systems 1/2"" PEX Press Sleeve V-Sleeve. The sleeve presses over tube and fitting to close the joint. MPN 4000500."
7716819566695,1-2-pex-pureflow-press-press-sleeve-viega,"Viega 49902 1/2"" PEX PureFlow Press Press Sleeve - Viega","Viega 49902 PureFlow Press sleeve for 1/2"" PEX tubing. The sleeve goes over the 1/2"" PEX and is pressed onto a PureFlow fitting with a PureFlow jaw."
7715768008807,1-2-sharkbite-disconnect-clip,"SharkBite U710 1/2"" SharkBite Disconnect Clip - ()","SharkBite 1/2 in. disconnect clip, MPN U710. Slides over the fitting collar and releases the grip ring so a 1/2 in. push-fit joint comes apart."
7715252469863,1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-6-000-btu-r454b-208-230v,"Bosch 1/2 Ton Ductless Mini-Split, Indoor Wall Mounted","Bosch 1/2 Ton Ductless Mini-Split, Indoor Wall Mounted Unit, 6,000 BTU, R454B ,208-230v. MPN 8733962676."
7715532832871,1-2-watergate-tool-bagged,"Mill Rose 77000 1/2"" WATERGATE TOOL-BAGGED","Mill Rose Water-Gate tool for 1/2 in. copper, MPN 77000. Soldering aid for a 1/2 in. line that will not drain dry before the joint has to be made up."
7716820418663,1-2-x-3-1-2-pex-chrome-sleeve-press-viega,"Viega 52520 1/2"" x 3-1/2"" PEX Chrome Sleeve Press - Viega","Viega 52520 chrome press sleeve for 1/2"" x 3-1/2"" PEX. Chrome finish for the visible end of the run, pressed like the rest of the PureFlow line."
7715531063399,1-2id-fitting-brush-ind-box,"Mill Rose 63035 1/2""ID FITTING BRUSH,IND.BOX","Mill Rose fitting brush, 1/2 in. ID copper fittings, individually boxed, MPN 63035. Wire bristles scour the socket to bright metal so solder draws in."
7715530637415,1-2id-ftg-brush-6100-series,"Mill Rose 61210 1/2""ID,FTG.BRUSH,6100 SERIES","Mill Rose 6100 Series fitting brush, 1/2 in. ID copper fittings, MPN 61210. Wire bristles scour the socket to bright metal so solder draws in."
7715530932327,1-2id-power-deuce-carded,"Mill Rose 62821 1/2""ID POWER DEUCE, CARDED","Mill Rose Power Deuce brush for 1/2 in. ID copper, MPN 62821. Chucks into a drill to scour a copper joint to bright metal before flux and solder, carded."
7715531161703,1-2id-pwr-ftg-brush-cs-1-4hex,"Mill Rose 66430 1/2""ID,PWR FTG BRUSH,CS,1/4HEX","Mill Rose power fitting brush for 1/2 in. ID copper fittings, MPN 66430. 1/4 in. hex shank chucks into a drill and scours the socket before flux goes on."
7715530834023,1-2id-tube-clng-brush-5-8od,"Mill Rose 62050 1/2""ID TUBE CLNG BRUSH,5/8""OD","Mill Rose tube cleaning brush for 1/2 in. copper tube, MPN 62050. Scours the outside of the cut tube end to bright metal before the flux goes on."
7715531784295,1-2x1000-gas-guard-ptfe-thread-tape,"Mill Rose 70826 1/2""x1000"" GAS GUARD PTFE THREAD TAPE","Mill Rose 70826 Gas Guard PTFE thread tape, 1/2 inch wide by 1000 inches. Gas-rated tape is built for fuel gas threads rather than general water service."
7715531915367,1-2x1429-blue-monster-ptfe-thread-tape,"Mill Rose 70885 1/2""x1429"" BLUE MONSTER PTFE THREAD TAPE","Mill Rose 70885 Blue Monster PTFE thread tape, 1/2 inch wide by 1429 inches. Blue Monster is the high-density line, thicker than commodity white tape."
7715475161191,1-30v-x-18h-anodeless-riser-mpt-x-ips-sdr11,"HydraPro 1"" 30V x 18H ANODELESS RISER MPT x IPS SDR11","HydraPro 1"" 30V x 18H ANODELESS RISER MPT x IPS SDR11, MPN PERF-360000128. An anodeless riser leaves the ground with no anode to fail."
7715666788455,1-4-charging-hoses-with-ball-valve-5-ft-long,"Navac NH5SC 1/4"" CHARGING HOSES WITH BALL VALVE, 5 FT LONG","Navac NH5SC 1/4"" charging hoses with ball valve, 5 ft long. Charging hoses with a ball valve at the gauge end."
7715767779431,1-4-sharkbite-coupling,"SharkBite U004LF 1/4"" SharkBite Coupling","SharkBite 1/4 in. coupling, MPN U004LF. Push-to-connect at both ends, joining copper, PEX or CPVC with no solder, glue or crimp ring to make up."
7715767910503,1-4-x-3-4-sharkbite-dishwasher-elbow,"SharkBite U2276LF 1/4"" x 3/4"" SharkBite Dishwasher Elbow","SharkBite 1/4 in. x 3/4 in. dishwasher elbow, MPN U2276LF. The 1/4 in. push-fit end takes an appliance supply with no solder, crimp ring or nut to make up."
7715531030631,1-id-power-deuce-carded,"Mill Rose 62841 1"" ID POWER DEUCE, CARDED","Mill Rose Power Deuce brush for 1 in. ID copper, MPN 62841. Chucks into a drill to scour a copper joint to bright metal before flux and solder, carded."
7715530899559,1-id-tube-clng-brush-1-1-8od,"Mill Rose 62110 1"" ID,TUBE CLNG BRUSH,1-1/8""OD","Mill Rose tube cleaning brush for 1 in. copper tube, MPN 62110. Scours the outside of the cut tube end to bright metal before the flux goes on."
7715708436583,1-ips-f-c-plate-pasco,"Pasco 2883 1"" IPS F&C Plate Pasco","Pasco 1"" IPS F&C Plate Pasco, MPN 2883. Floor and ceiling plate sized to iron pipe, covering the gap where a riser or stub passes through the finish."
7715464773735,1-pex-expansion-ring-heatlink,"HeatLink EX24228 1"" PEX Expansion Ring - HeatLink","HeatLink 1 in. PEX expansion ring, MPN EX24228. For ASTM F1960 cold-expansion joints: ring and tube expand together, then shrink tight on the fitting."
7715601743975,1-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4601000 1"" PEX Expansion Ring -","MrPEX 1 in. PEX Expansion Ring, MPN 4601000. Expanded with the tube on an ASTM F1960 joint, then shrinking back onto the fitting as the connection sets."
7715461529703,1-pex-press-sleeve-v-sleeve-heatlink,"HeatLink 24228 1"" PEX Press Sleeve V-Sleeve - HeatLink","HeatLink 1 in. PEX V-sleeve press sleeve, MPN 24228. ASTM F1807 sleeve crimped onto a barbed fitting, with a profile a go/no-go gauge can read after."
7715600597095,1-pex-press-sleeve-v-sleeve-mr-pex-systems,"MrPEX Systems 4001000 1"" PEX Press Sleeve V-Sleeve -","MrPEX Systems 1"" PEX Press Sleeve V-Sleeve. The sleeve presses over tube and fitting to close the joint. MPN 4001000."
7716819599463,1-pex-pureflow-press-press-sleeve-viega,"Viega 49904 1"" PEX PureFlow Press Press Sleeve - Viega","Viega 49904 PureFlow Press sleeve for 1"" PEX tubing. PureFlow Press joints close on this sleeve, not on a crimp ring set with a ring tool."
7715768074343,1-sharkbite-disconnect-clip,"SharkBite U714 1"" SharkBite Disconnect Clip - ()","SharkBite 1 in. disconnect clip, MPN U714. Slides over the fitting collar and releases the grip ring so a 1 in. push-fit joint comes apart."
7715768139879,1-sharkbite-pvc-to-male-adapter,"SharkBite UIP140 1"" SharkBite PVC to Male Adapter","SharkBite 1 in. PVC to male adapter, MPN UIP140. Push-fit socket takes IPS PVC pipe and the male threaded end takes iron pipe, with no cement or primer."
7715768172647,1-sharkbite-pvc-transition-coupling,"SharkBite UIP4020 1"" SharkBite PVC Transition Coupling","SharkBite 1 in. PVC transition coupling, MPN UIP4020. Push-fit ends tie IPS PVC to copper, PEX or CPVC in one fitting, with no cement or solder."
7715252535399,1-ton-ductless-mini-split-indoor-universal-cassette-unit-12-000-btu-r454b-208-230v,"Bosch 1 Ton Ductless Mini-Split, Indoor Universal Cassette","Bosch 1 Ton Ductless Mini-Split, Indoor Universal Cassette Unit, 12,000 BTU, R454B ,208-230v. MPN 8733962672."
7715252240487,1-ton-ductless-mini-split-indoor-universal-wall-unit-12-000-btu-r454b-115v,"Bosch 1 Ton Ductless Mini-Split, Indoor Universal Wall","Bosch 1 Ton Ductless Mini-Split, Indoor Universal Wall Unit, 12,000 BTU, R454B , 115v. MPN 8733962676."
7715252273255,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-r454b-12-000-btu-r454b-115v,"Bosch 8733962689 1 Ton Ductless Mini-Split Heat Pump, 12,000 BTU, 115V","Bosch 1 Ton Ductless Mini-Split, Single Zone, Outdoor Heat Pump, R454B, 12,000 BTU, R454B ,115v. MPN 8733962689."
7715532898407,1-watergate-tool-bagged,"Mill Rose 77010 1"" WATERGATE TOOL-BAGGED","Mill Rose Water-Gate tool for 1 in. copper, MPN 77010. Soldering aid for a 1 in. line that will not drain dry before the joint has to be made up."
7715532636263,16oz-blue-monster-pvc-cement,Mill Rose 76034 16oz BLUE MONSTER PVC CEMENT,"Mill Rose 16 oz Blue Monster PVC Cement. Cement is a consumable with a shelf life, so can size should follow the job size. MPN 76034."
7715532570727,16oz-blue-monster-thread-sealant,Mill Rose 76015 16oz BLUE MONSTER THREAD SEALANT,"Mill Rose 76015 Blue Monster thread sealant, 16 oz. Sealant carries the load on threads that tape cannot fill, such as coarse or damaged machining."
7715532439655,16oz-ptfe-bluemonster-thread-sealant,Mill Rose 76005 16oz PTFE BLUEMONSTER THREAD SEALANT,"Mill Rose 76005 Blue Monster PTFE thread sealant, 16 oz. PTFE in the paste lowers friction as the joint is made up, so the fitting pulls further home."
7715531128935,1id-fitting-brush-ind-box,"Mill Rose 63085 1""ID FITTING BRUSH,IND.BOX","Mill Rose fitting brush, 1 in. ID copper fittings, individually boxed, MPN 63085. Wire bristles scour the socket to bright metal so solder draws in."
7715530702951,1id-ftg-brush-6100-series,"Mill Rose 61450 1""ID,FTG.BRUSH,6100 SERIES","Mill Rose 6100 Series fitting brush, 1 in. ID copper fittings, MPN 61450. Wire bristles scour the socket to bright metal so solder draws in."
7715531980903,1x1429-blue-monster-ptfe-thread-tape,"Mill Rose 70887 1""x1429"" BLUE MONSTER PTFE THREAD TAPE","Mill Rose 70887 Blue Monster PTFE thread tape, 1 inch wide by 1429 inches. The 1-inch ribbon is sized for large-diameter threaded pipe and fittings."
7715475128423,2-36v-x-34h-anodeless-riser-mpt-x-ips-sdr11,"HydraPro 2"" 36V x 34H ANODELESS RISER MPT x IPS SDR11","HydraPro 2"" 36V x 34H ANODELESS RISER MPT x IPS SDR11, MPN PERF-242382380840. Threaded at the top and polyethylene at the bottom, at the meter transition."
7716844765287,2-compression-unicheck,"Zoeller Pump 30-0020 2"" COMPRESSION UNICHECK","Zoeller 2 in. compression Unicheck, MPN 30-0020. Stops the column of water in a pump discharge from draining back into the basin between cycles."
7715532472423,2-oz-tube-blue-monster-sealant,Mill Rose 76007 2 OZ. TUBE BLUE MONSTER SEALANT,Mill Rose 76007 Blue Monster thread sealant in a 2 oz tube. A tube meters the paste straight onto the thread instead of needing a brush and an open container.
7715464904807,2-pex-expansion-ring-heatlink,"HeatLink EX24250 2"" PEX Expansion Ring - HeatLink","HeatLink 2 in. PEX expansion ring, MPN EX24250. For ASTM F1960 cold-expansion joints: ring and tube expand together, then shrink tight on the fitting."
7715601875047,2-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4602000 2"" PEX Expansion Ring -","MrPEX 2 in. PEX Expansion Ring, MPN 4602000. Expanded with the tube on an ASTM F1960 joint, then shrinking back onto the fitting as the connection sets."
7716818354279,2-pex-pureflow-press-sleeve-viega,"Viega 49607 2"" PEX PureFlow Press Sleeve - Viega","Viega 2 in. PEX PureFlow Press Sleeve, MPN 49607. Driven over the fitting with a Viega press tool, so the PEX joint needs no crimp ring or gauge."
7716844830823,2-quiet-check-valve,"Zoeller Pump 30-0048 2"" QUIET CHECK VALVE","Zoeller 2 in. quiet check valve, MPN 30-0048. Stops the column of water in a pump discharge from draining back into the basin between cycles."
7715769942119,2-sharkbite-90-elbow-ptc-x-ptc,"SharkBite UXL0254 2"" SharkBite 90° Elbow - (PTC x PTC)","SharkBite 2 in. 90-degree elbow, MPN UXL0254. Push-to-connect at both ends, turning a copper, PEX or CPVC run with no solder or crimp ring."
7715769876583,2-sharkbite-coupling-ptc-x-ptc,"SharkBite UXL0154 2"" SharkBite Coupling - (PTC x PTC)","SharkBite 2 in. coupling, MPN UXL0154. Push-to-connect at both ends, joining copper, PEX or CPVC with no solder, glue or crimp ring to make up."
7715770466407,2-sharkbite-disconnect-clip,"SharkBite UXLDC54 2"" SharkBite Disconnect Clip - ()","SharkBite 2 in. disconnect clip, MPN UXLDC54. Slides over the fitting collar and releases the grip ring so a 2 in. push-fit joint comes apart."
7715767582823,2-sharkbite-end-cap-ptc,"SharkBite SB0454 2"" SharkBite End Cap - (PTC)","SharkBite 2 in. end cap, MPN SB0454. Push-to-connect cap closing off copper, PEX or CPVC for a test or a dead leg; pulls off with a clip."
7715770269799,2-sharkbite-female-adapter-fip-x-ptc,"SharkBite UXL115450F 2"" SharkBite Female Adapter - (FIP x PTC)","SharkBite 2"" Female Adapter - (FIP x PTC). MPN UXL115450F. The O-ring and stainless teeth do the work, so the joint is made by hand and can be opened later."
7715770335335,2-sharkbite-male-adapter-mip-x-ptc,"SharkBite UXL115450M 2"" SharkBite Male Adapter - (MIP x PTC)","SharkBite 2"" Male Adapter - (MIP x PTC). MPN UXL115450M. Rated for behind-the-wall use, so it need not sit in an access panel."
7716844929127,2-unicheck-cast-iron-check-valve,"Zoeller Pump 30-0151 2"" UNICHECK CAST IRON CHECK VALVE","Zoeller Pump 30-0151 2"" Unicheck check valve in cast iron. The flapper closes as soon as the pump stops."
7716844798055,2-unicheck-plastic-check-valve,"Zoeller Pump 30-0021 2"" UNICHECK PLASTIC CHECK VALVE","Zoeller Pump 30-0021 2"" Unicheck check valve in plastic. Without a check valve the discharge column drains back and the pump cycles again for the same water."
7715532996711,2-watergate-tool-bagged,"Mill Rose 77025 2"" WATERGATE TOOL-BAGGED","Mill Rose Water-Gate tool for 2 in. copper, MPN 77025. Soldering aid for a 2 in. line that will not drain dry before the joint has to be made up."
7715531358311,2-x-10-yard-blue-monster-open-mesh,"Mill Rose 70154 2"" X 10 YARD BLUE MONSTER OPEN MESH","Mill Rose 2"" X 10 Yard Blue Monster Open Mesh. Mesh keeps cutting after it clogs a cloth backing, which is why it lasts on copper. MPN 70154."
7715531456615,2-x-10-yard-blue-monster-sandcloth,"Mill Rose 70174 2"" X 10 YARD BLUE MONSTER SANDCLOTH","Mill Rose 2"" X 10 Yard Blue Monster Sandcloth. Cleaning copper to bright metal is what lets the flux and solder take hold. MPN 70174."
7715531325543,2-x-5-yard-blue-monster-open-mesh,"Mill Rose 70152 2"" X 5 YARD BLUE MONSTER OPEN MESH","Mill Rose 2"" X 5 Yard Blue Monster Open Mesh. Roll form lets each joint get a fresh piece with nothing wasted. MPN 70152."
7715531292775,2-x-8-blue-monster-open-mesh-10-stri,"Mill Rose 70151 2"" x 8"" BLUE MONSTER OPEN MESH - 10 STRI","Mill Rose 2"" X 8"" Blue Monster Open Mesh, 10 strips. Pre-cut strips save tearing from a roll on a ladder. MPN 70151."
7715531423847,2-x-8-blue-monster-sandcloth-10-stri,"Mill Rose 70171 2"" x 8"" BLUE MONSTER SANDCLOTH - 10 STRI","Mill Rose 2"" X 8"" Blue Monster Sandcloth, 10 strips. Strips suit a bag of fittings prepped one at a time before the torch comes out. MPN 70171."
7716844535911,25-narrow-angle-level-control-switch,Zoeller Pump 10-1881 25' NARROW ANGLE LEVEL CONTROL SWITCH,Zoeller Pump 10-1881 narrow angle level control switch with a 25' cord. The tighter band means the pump starts and stops with less change in level.
7715530801255,2id-ftg-brush-6100-series,"Mill Rose 61620 2""ID,FTG.BRUSH,6100 SERIES","Mill Rose 6100 Series fitting brush, 2 in. ID copper fittings, MPN 61620. Wire bristles scour the socket to bright metal so solder draws in."
7715776233575,3-4-nom-x-12-sweat-coupling,"Sioux Chief 600-312PK 3/4"" NOM X 12 SWEAT COUPLING","Sioux Chief 3/4"" Nominal X 12 Sweat Coupling. MPN 600-312PK. Solder the sweat end first, so the tube stays clear of the torch."
7715464740967,3-4-pex-expansion-ring-heatlink,"HeatLink EX24222 3/4"" PEX Expansion Ring - HeatLink","HeatLink 3/4 in. PEX expansion ring, MPN EX24222. For ASTM F1960 cold-expansion joints: ring and tube expand together, then shrink tight on the fitting."
7715601711207,3-4-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4600750 3/4"" PEX Expansion Ring -","MrPEX Systems 3/4"" PEX Expansion Ring. Ring size, tube size and tool head all have to match before the end is expanded. MPN 4600750."
7715600531559,3-4-pex-press-sleeve-v-sleeve-mr-pex-systems,"MrPEX Systems 4000750 3/4"" PEX Press Sleeve V-Sleeve -","MrPEX Systems 3/4"" PEX Press Sleeve V-Sleeve. Sleeve size and tool jaw have to match the tube before pressing. MPN 4000750."
7715779575911,3-4-pex-v-sleeve-crimp-f1807-sioux-chief,"Sioux Chief 649TX3 3/4"" PEX V-Sleeve Crimp(F1807) Sioux Chief","Sioux Chief 3/4"" PEX V-Sleeve Crimp(F1807) Sioux Chief. MPN 649TX3. Rings are consumables, bought by the bag and gauged on every joint."
7715768041575,3-4-sharkbite-disconnect-clip,"SharkBite U712 3/4"" SharkBite Disconnect Clip - ()","SharkBite 3/4 in. disconnect clip, MPN U712. Slides over the fitting collar and releases the grip ring so a 3/4 in. push-fit joint comes apart."
7715768107111,3-4-sharkbite-pvc-to-male-adapter,"SharkBite UIP134 3/4"" SharkBite PVC to Male Adapter","SharkBite 3/4 in. PVC to male adapter, MPN UIP134. Push-fit socket takes IPS PVC pipe and the male threaded end takes iron pipe, with no cement or primer."
7715252502631,3-4-ton-ductless-mini-split-indoor-wall-mounted-unit-9-000-btu-r454b-208-230v,"Bosch 3/4 Ton Ductless Mini-Split, Indoor Wall Mounted","Bosch 3/4 Ton Ductless Mini-Split, Indoor Wall Mounted Unit, 9,000 BTU, R454B ,208-230v. MPN 8733962672."
7715532865639,3-4-watergate-tool-bagged,"Mill Rose 77005 3/4"" WATERGATE TOOL-BAGGED","Mill Rose Water-Gate tool for 3/4 in. copper, MPN 77005. Soldering aid for a 3/4 in. line that will not drain dry before the joint has to be made up."
7715531096167,3-4id-fitting-brush-ind-box,"Mill Rose 63060 3/4""ID FITTING BRUSH,IND.BOX","Mill Rose fitting brush, 3/4 in. ID copper fittings, individually boxed, MPN 63060. Wire bristles scour the socket to bright metal so solder draws in."
7715530670183,3-4id-ftg-brush-6100-series,"Mill Rose 61330 3/4""ID,FTG.BRUSH,6100 SERIES","Mill Rose 6100 Series fitting brush, 3/4 in. ID copper fittings, MPN 61330. Wire bristles scour the socket to bright metal so solder draws in."
7715530965095,3-4id-power-deuce-carded,"Mill Rose 62831 3/4""ID POWER DEUCE, CARDED","Mill Rose Power Deuce brush for 3/4 in. ID copper, MPN 62831. Chucks into a drill to scour a copper joint to bright metal before flux and solder, carded."
7715531194471,3-4id-pwr-ftg-brush-cs-1-4hex,"Mill Rose 66450 3/4""ID,PWR FTG BRUSH,CS,1/4HEX","Mill Rose power fitting brush for 3/4 in. ID copper fittings, MPN 66450. 1/4 in. hex shank chucks into a drill and scours the socket before flux goes on."
7715530866791,3-4id-tube-clng-brush-7-8od,"Mill Rose 62080 3/4""ID,TUBE CLNG BRUSH,7/8""OD","Mill Rose tube cleaning brush for 3/4 in. copper tube, MPN 62080. Scours the outside of the cut tube end to bright metal before the flux goes on."
7715531817063,3-4x1000-gas-guard-ptfe-thread-tape,"Mill Rose 70827 3/4""x1000"" GAS GUARD PTFE THREAD TAPE","Mill Rose 70827 Gas Guard PTFE thread tape, 3/4 inch wide by 1000 inches. The wider ribbon covers the deeper thread crests found on larger pipe in one wrap."
