Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,preco,lambda_antes,lambda_depois,titulo
3-8-x-1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-038.018-CPL,0.094,lb,521-320,0.35,0.094,3.72,2.91,0.1203,0.0323,"Mueller Streamline 521-320 3/8"" x 1/8"" Black Iron Coupling"
3-4-x-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-075.050-BSH,0.096,lb,521-943,0.42,0.096,4.38,2.91,0.1443,0.033,"Mueller Streamline 521-943 3/4"" x 1/2"" Black Iron Bushing"
3-8-x-1-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-038-1.5,0.071,lb,582-015,0.15,0.071,2.11,2.59,0.0579,0.0274,"Mueller Streamline 582-015 3/8"" x 1-1/2"" - Black Iron Nipple"
1-8-black-iron-elbow-90,UPDATE,UPDATE,BLIF-018-90EL,0.069,lb,520-000,0.34,0.069,4.93,2.52,0.1349,0.0274,"Mueller Streamline 520-000 1/8"" Black Iron Elbow - 90°"
1-8-black-iron-cap,UPDATE,UPDATE,BLIF-018-CAP,0.033,lb,521-400,0.23,0.033,6.97,2.35,0.0979,0.014,"Mueller Streamline 521-400 1/8"" Black Iron Cap"
1-4-black-iron-cap,UPDATE,UPDATE,BLIF-025-CAP,0.055,lb,521-401,0.29,0.055,5.27,2.35,0.1234,0.0234,"Mueller Streamline 521-401 1/4"" Black Iron Cap"
1-4-x-1-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-025-1.5,0.053,lb,581-015,0.55,0.053,10.38,2.35,0.234,0.0226,"Mueller Streamline 581-015 1/4"" x 1-1/2"" - Black Iron Nipple"
1-4-galvanized-plug,UPDATE,UPDATE,GAIF-025-PLG-G,0.033,lb,511-801,0.32,0.033,9.7,2.35,0.1362,0.014,"Mueller Streamline 511-801 1/4"" - Galvanized Plug"
3-8-copper-sweat-fittings-coupling-rolled-stop-c-x-c,UPDATE,UPDATE,COPF-038-CPL/RS-C,0.015,lb,W 01017,0.39,0.015,26.0,1.74,0.2241,0.0086,"Mueller Streamline W 01017 3/8"" Copper Sweat Fittings - Coupling - Rolled Stop C x C"
1-8-black-iron-plug,UPDATE,UPDATE,BLIF-018-PLG,0.019,lb,521-800,0.32,0.019,16.84,1.54,0.2078,0.0123,"Mueller Streamline 521-800 1/8"" Black Iron Plug"
1-4-black-iron-plug,UPDATE,UPDATE,BLIF-025-PLG,0.033,lb,521-801,0.32,0.033,9.7,1.54,0.2078,0.0214,"Mueller Streamline 521-801 1/4"" Black Iron Plug"
1-2-copper-sweat-fittings-coupling-rolled-stop-c-x-c,UPDATE,UPDATE,COPF-050-CPL/RS-C,0.026,lb,W 01022,0.05,0.026,1.92,1.48,0.0338,0.0176,"Mueller Streamline W 01022 1/2"" Copper Sweat Fittings - Coupling - Rolled Stop C x C"
1-4-copper-sweat-fittings-coupling-dimple-stop-c-x-c,UPDATE,UPDATE,COPF-025-CPL/DS-C,0.008,lb,W 10143,0.05,0.008,6.25,1.32,0.0379,0.0061,"Mueller Streamline W 10143 1/4"" Copper Sweat Fittings - Coupling - Dimple Stop C x C"
1-4-copper-sweat-fittings-coupling-rolled-stop-c-x-c,UPDATE,UPDATE,COPF-025-CPL/RS-C,0.008,lb,W 01009,0.39,0.008,48.75,1.32,0.2955,0.0061,"Mueller Streamline W 01009 1/4"" Copper Sweat Fittings - Coupling - Rolled Stop C x C"
