handle,sku,preco,perfil_atual,free_ship_eligible,L,W,H,ft3_com_folga,nota
kds-3448-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-right-seat,MAXV-145031-000-002-595,1256.50,THS Freight & Oversize,nao,47.88,33.62,82.25,86.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-durawall-wall-door-components-white-shower-bases-walls-5-piece-rectangular-60-x-30-x-73-1-4,MUST-760T-30WHT,1066.77,THS Standard - no free shipping,nao,60.0,30.0,73.0,86.1,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
scratched-or-dented-all-sales-are-final-sst3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,S&DT-MAXV-140546-000-001,646.41,THS Freight & Oversize,nao,48.0,36.0,75.0,84.7,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
ss3648-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-right-seat,MAXV-140087-R-000-001,1001.36,THS Freight & Oversize,nao,48.0,36.0,75.0,84.7,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
sst3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,MAXV-140546-000-001,1001.36,THS Freight & Oversize,nao,48.0,36.0,75.0,84.7,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
ss3648-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,MAXV-140545-000-001,1001.36,THS Freight & Oversize,nao,48.0,36.0,72.0,81.4,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
sst42-42-x-34-acrylx-alcove-center-drain-one-piece-shower-in-white-no-seat,MAXV-105932-000-001,995.89,THS Freight & Oversize,nao,42.0,34.0,75.0,70.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kds-3636-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-no-seat,MAXV-145025-000-002-593,1092.56,THS Freight & Oversize,nao,35.88,36.0,79.5,67.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
sst36-36-x-36-acrylx-alcove-center-drain-one-piece-shower-in-white-no-seat,MAXV-140045-000-001,954.09,THS Freight & Oversize,nao,36.0,36.0,72.0,61.8,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
vo6042-5-ft-acrylx-alcove-center-drain-bathtub-in-white,MAXV-140112-000-001,968.62,THS Freight & Oversize,nao,59.75,42.0,18.25,31.8,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
exhibit-6636-ifs-acrylic-alcove-right-hand-drain-bathtub-in-white,MAAX-106179-000-001-101,1334.13,THS Freight & Oversize,nao,65.88,36.0,18.0,29.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
rubix-6030-afr-acrylic-alcove-right-hand-drain-bathtub-in-white,MAAX-105816-000-001-102,843.88,THS Freight & Oversize,nao,59.75,30.0,20.38,25.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-utilatwin-laundry-utility-sink-white-double-bowl-sinks-thermoplastic-40-x-24-x-34,MUST-27W,349.92,THS Standard - no free shipping,nao,40.0,24.0,34.0,22.8,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-utilatwin-laundry-utility-sink-white-double-bowl-sinks-thermoplastic-tub-steel-leg-40-x-24-x-34,MUST-27F,349.92,THS Freight & Oversize,nao,40.0,24.0,34.0,22.8,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-utilitub-bigtub-drop-in-sink-white-single-bowl-sinksmolded-polypropylene-body-steel-leg-40-x-24-x-34,MUST-28CF,398.46,THS Standard - no free shipping,nao,40.0,24.0,34.0,22.8,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
60-x-30-x-15-3-4-11-3-4-water-depth-semi-gloss-white-molded-fiberglass-2-left-hand-drain-rectangle-in-outside-1-piece-alcove-bathtub,MUST-T6030L,380.85,THS Freight & Oversize,nao,60.0,30.0,15.0,19.5,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
60-x-30-x-15-3-4-11-3-4-water-depth-semi-gloss-white-molded-fiberglass-2-right-hand-drain-rectangle-in-outside-1-piece-alcove-bathtub,MUST-T6030R,380.85,THS Freight & Oversize,nao,60.0,30.0,15.0,19.5,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
elkay-ezh2o-bottle-filling-station-versatile-bi-level-ada-cooler-filtered-refrigerated-stainless,ELKA-LZSTL8WSSK,0.00,General profile,nao,36.75,19.0,39.06,19.3,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
60-x-30-x-14-1-4-porcelain-enameled-alcove-bathtub-left-hand-drain-white,BOOT-011-3365-00,348.08,THS Freight & Oversize,nao,60.0,30.0,14.0,18.4,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
60-x-30-x-14-1-4-porcelain-enameled-alcove-bathtub-right-hand-drain-white,BOOT-011-3364-00,348.08,THS Freight & Oversize,nao,60.0,30.0,14.0,18.4,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kona-5430-porcelain-enamel-left-hand-alcove-bathtub,BOOT-011-3303-00,405.64,THS Standard - no free shipping,nao,60.0,30.0,14.0,18.4,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kona-5430-porcelain-enamel-right-hand-alcove-bathtub,BOOT-011-3302-00,405.64,THS Standard - no free shipping,nao,60.0,30.0,14.0,18.4,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
16-x-20-bowl-18-gauge-204-stainless-steel-sink,S&DT-ADVT-9-2-36-24L,3546.00,THS Freight & Oversize,nao,65.0,16.0,24.0,18.1,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
14-100k-btu-condensing-hydro-furnace-horizontal-unit,NAVI-NPF700-100H5CH,3570.00,THS Freight & Oversize,SIM,34.5,21.0,31.0,16.0,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
14-100k-btu-condensing-hydro-furnace-upflow-unit,NAVI-NPF700-100U5CH,3570.00,THS Freight & Oversize,SIM,21.0,34.5,31.0,16.0,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-utilitub-co-polypure-drop-in-sink-white-single-bowl-sinks-23-x-25-x-33,MUST-14K,87.81,THS Standard - no free shipping,nao,23.0,25.0,33.0,13.7,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
9-000-60-000-btu-condensing-hydro-furnace-upflow-unit,NAVI-NPF700-060U3BH,2940.00,THS Freight & Oversize,SIM,17.5,34.5,31.0,13.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
navien-high-efficiency-condensing-heating-boiler-max-htg-input-301-000-btu-h-indoor-wall-hung-residential-commercial-nfb-301c,NAVI-NFB-301C,10162.50,THS Freight & Oversize,nao,25.1,32.8,22.3,13.3,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
navien-high-efficiency-condensing-heating-boiler-max-htg-input-399-000-btu-h-indoor-wall-hung-residential-commercial-nfb-399c,NAVI-NFB-399C,12300.00,THS Freight & Oversize,nao,25.1,32.8,22.3,13.3,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
23-durastone-utilatub-laundry-tub-floor,MUST-17FK,143.97,THS Standard - no free shipping,nao,23.5,23.0,33.0,12.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
23-durastone-utilatub-laundry-tub-wall,MUST-17WK,143.97,THS Standard - no free shipping,nao,23.5,23.0,33.0,12.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-60-x-42-x-5-1-2,MUST-4260M,595.10,THS Freight & Oversize,nao,60.0,42.0,5.0,11.1,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
toto-eco-guinevere-elongated-1-28-gpf-universal-height-skirted-toilet-with-cefiontect-and-softclose-seat-cotton-white-ms974224cefg-01,TOTO-MS974224CEFG-01,1345.50,THS Freight & Oversize,nao,28.25,18.0,28.0,10.5,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-drop-in-sink-white-single-bowl-sinkspolypropylene-18-x-23-1-2-x-33,MUST-12K,92.14,THS Standard - no free shipping,nao,18.0,23.0,33.0,10.1,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-utilitub-laundry-utility-sink-white-single-bowl-sinks-thermoplastic-tub-steel-leg-18-x-23-1-2-x-33,MUST-12C,209.02,THS Freight & Oversize,nao,18.0,23.0,33.0,10.1,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
toto-nexus-one-piece-elongated-1-28-gpf-universal-height-toilet-with-ss124-softclose-seat-washlet-ready-ebony-ms642124cef-51,TOTO-MS642124CEF-51,2287.80,THS Freight & Oversize,nao,28.56,17.5,27.0,10.0,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
