sku,handle,preco,peso_registrado,peso_metafield,diferenca,fonte,lambda_reg,lambda_metafield
RHEE-RTG-70DVLP-3,rheem-160-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-propane-water-heater-for-indoor-installation,921.99,46.5,54.0,7.5,Weight,0.0504,0.0586
RHEE-RTG-84DVLP-3,rheem-180-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-propane-water-heater-for-indoor-installation,1173.15,46.5,54.0,7.5,Weight,0.0396,0.0460
RHEE-RTG-95DVLN-3,rheem-199-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-natural-gas-water-heater-for-indoor-installation,1419.74,46.5,54.0,7.5,Weight,0.0328,0.0380
RHEE-RTG-95DVLP-3,rheem-199-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-propane-water-heater-for-indoor-installation,1419.74,46.5,54.0,7.5,Weight,0.0328,0.0380
ZILM-ZFT8R,2-1-gallon-expansion-tank-rectangular,182.27,5.0,11.0,6.0,Weight,0.0274,0.0604
GERB-VP-28-590,viper-1-6gpf-tank-12-rough-in-white,78.75,31.0,35.2,4.2,Weight,0.3937,0.4470
BLAN-513426,precis-21-single-bowl-kitchen-sink-white,602.06,25.0,27.0,2.0,Weight,0.0415,0.0448
GERB-12-884-CH,maxwell-s-rim-lav-19round-4cc-in-trapezoid-carton-white,52.50,18.0,20.0,2.0,Weight,0.3429,0.3810
ZILM-ZHT24,6-3-gallon-expansion-tank-same-as-tk300-60,131.41,10.0,12.0,2.0,Weight,0.0761,0.0913
GERB-HE-28-530,logan-square-1-28gpf-tank-12-rough-in-white,272.82,37.0,38.8,1.8,Weight,0.1356,0.1422
GERB-12-354,west-point-wall-hung-lav-14x12-4cc-white,86.25,19.0,20.0,1.0,Weight,0.2203,0.2319
CALA-HGT30,4-6-gallon-expansion-tank-hydronic-heating,102.18,8.2,9.0,0.8,Weight,0.0803,0.0881
ZILM-ZHT18,4-8-gallon-expansion-tank-same-as-tk300-30,85.71,8.2,9.0,0.8,Weight,0.0957,0.1050
GERB-D454422SS,antioch-1h-pull-down-kitchen-faucet-w-snapback-1-75gpm-stainless-steel,410.67,5.0,5.4,0.4,Weight,0.0122,0.0131
WILK-TP1100A-4C-125C,4-temperature-and-pressure-relief-valve,58.44,0.6,1.0,0.4,Weight,0.0103,0.0171
WILK-TP1100A-4C-150C,4-temperature-and-pressure-relief-valve-wilk-tp1100a-4c-150c,62.34,0.6,1.0,0.4,Weight,0.0096,0.0160
CALA-HGT15,2-1-gallon-expansion-tank-hydronic-heating,80.05,4.8,5.0,0.2,Weight,0.0600,0.0625
ZILM-ZHT8,2-1-gallon-expansion-tank-same-as-tk300-15,76.68,4.8,5.0,0.2,Weight,0.0626,0.0652
WILK-TP1100AE-3C-150C,3-temperature-and-pressure-relief-valve,60.39,0.8,1.0,0.2,Weight,0.0132,0.0166
GERB-D606425,8-wall-mount-tub-spout-with-diverter-chrome,63.18,1.46,1.6,0.14,Weight,0.0231,0.0253
GERB-D606425BN,8-wall-mount-tub-spout-with-diverter-brushed-nickel,83.43,1.46,1.6,0.14,Weight,0.0175,0.0192
GERB-D481316,6-ceiling-mount-showerarm-w-escutcheon-chrome,27.54,0.37,0.5,0.13,Weight,0.0134,0.0182
GERB-D481316BN,6-ceiling-mount-showerarm-w-escutcheon-brushed-nickel,35.64,0.37,0.5,0.13,Weight,0.0104,0.0140
